CDMFT_iterations	CDMFT_method	D	D_ave	E0_1	E_kin	GS_consistency	U	U_1_ave	convergence	dist_function	eb1_1	eb1_1_ave	eb2_1	eb2_1_ave	eb3_1	eb3_1_ave	eb4_1	eb4_1_ave	eb5_1	eb5_1_ave	eb6_1	eb6_1_ave	eb7_1	eb7_1_ave	eb8_1	eb8_1_ave	githash	model	mu	mu_1_ave	mu_ave	n_1	sb1_1	sb1_1_ave	sb2_1	sb2_1_ave	sb3_1	sb3_1_ave	sb4_1	sb4_1_ave	sb5_1	sb5_1_ave	sb6_1	sb6_1_ave	sb7_1	sb7_1_ave	sb8_1	sb8_1_ave	script	sector_1	t	t_1_ave	t_ave	tb1_1	tb1_1_ave	tb2_1	tb2_1_ave	tb3_1	tb3_1_ave	tb4_1	tb4_1_ave	tb5_1	tb5_1_ave	tb6_1	tb6_1_ave	tb7_1	tb7_1_ave	tb8_1	tb8_1_ave	time	tp	tp_1_ave	tp_ave	version	
1	Broyden	0	-2.465850371e-06	-15.62743344	-0.740570357	Y	9.5	0.0336099485	self-energy/D	sharp_wc_2_b_50	2.123133887	0.01186421367	1.822158739	0.007950537701	2.45188946	0.01134296874	1.759751562	0.01456945418	2.44743751	0.01133482224	1.758806426	0.01456462853	3.13740166	0.002502950836	1.577500721	0.006996989031	a248bdd	2x2_2C_8b_C2v_L	3.5	1.001758778	1.001055203	0.9999999999861218	0.008089740024	-0.003375825975	-0.5618832138	0.2424903093	0.001157846796	-0.001138198074	-0.4302106269	0.4656218474	-0.001381949247	0.001357513845	0.4300574632	-0.4655575852	-0.0001785713542	0.0002504345459	-0.2304818011	0.4026242679	boucle_1bande.py	R0:S0:1	1	-0.5166498792	-0.7166804099	-0.2309095293	0.5135577085	-0.002994455462	0.007084800135	-0.2414689776	0.4059869145	-0.0005196128625	0.001049606728	-0.2411184111	0.4058003951	-0.0006235239996	0.001264500959	0.2718215728	-0.1333515454	-0.000126809094	7.889534345e-05	2024-10-02@11:02	0.3	0.001318566796	-0.0796331569	v2.7.1	
5	Broyden	0	-3.689518273e-07	-15.84017797	-0.7408440506	Y	9.5	0.03371463883	self-energy/D	sharp_wc_2_b_50	2.223032684	0.01224958154	1.883964716	0.00799380066	2.529206469	0.01144164408	1.8214079	0.01467758632	2.538580143	0.01145044571	1.822839187	0.01468768528	3.179729477	0.002532366447	1.643636508	0.007084693343	a248bdd	2x2_2C_8b_C2v_L	3.55	1.00169243	1.000962252	0.9999999999449385	-0.001029388807	0.0004263282091	-0.5652867295	0.2434959506	-4.019287924e-05	4.038164976e-05	-0.4329187272	0.4677356302	-0.0005939455227	0.0005827190323	0.4331790826	-0.4678676768	0.00034659913	-0.0004923180845	-0.2326412146	0.4055111888	boucle_1bande.py	R0:S0:1	1	-0.5166621014	-0.7169326224	-0.2422624176	0.5232456329	0.0003923211058	-0.0009079206979	-0.2500922494	0.4085856855	1.841135011e-05	-3.215828713e-05	-0.2507481764	0.4088186071	-0.0002723634134	0.0005279269117	0.2771371292	-0.1342687807	0.0002541015339	-0.0001559333952	2024-10-02@11:07	0.3	0.001383822423	-0.0797047605	v2.7.1	
6	Broyden	0	-9.711747544e-08	-16.05337185	-0.7411317031	Y	9.5	0.0338232075	self-energy/D	sharp_wc_2_b_50	2.323244008	0.01264443691	1.947148904	0.008043983029	2.616703875	0.01156547549	1.88626073	0.0148084876	2.616986954	0.01156561751	1.886291292	0.01480833655	3.213869938	0.002560983426	1.710053895	0.007171843023	a248bdd	2x2_2C_8b_C2v_L	3.6	1.001624035	1.000869512	0.9999999999623224	0.0001457043173	-5.961720653e-05	-0.5688754685	0.2445388635	0.0002522471833	-0.0002466324724	-0.4361382069	0.4701356314	-0.0001303454386	0.000127913603	0.4361393166	-0.4701315903	-0.0001665620442	0.000237377447	-0.2347716244	0.4083394084	boucle_1bande.py	R0:S0:1	1	-0.5166816073	-0.7171984498	-0.25383052	0.5328807806	-5.877297635e-05	0.0001336737662	-0.2596291415	0.4116524911	-0.000113721488	0.0002141584328	-0.2596465719	0.4116578695	-6.359403853e-05	0.0001192212744	0.2820847013	-0.1351390997	-0.000124951902	7.505514113e-05	2024-10-02@11:13	0.3	0.001449494849	-0.07977751094	v2.7.1	
3	Broyden	0	-4.346983718e-07	-16.26557863	-0.7414047409	Y	9.5	0.03392144396	self-energy/D	sharp_wc_2_b_50	2.410970435	0.01301177139	2.01001954	0.008093126459	2.689251059	0.01168193595	1.950148768	0.01492972291	2.687280546	0.01168370094	1.950264272	0.01492917015	3.226008154	0.002581813888	1.7704	0.007233834028	a248bdd	2x2_2C_8b_C2v_L	3.65	1.001556632	1.000783136	0.9999999999672158	-0.002919487186	0.001197066049	-0.5722737904	0.2455061451	-0.0007930079531	0.0007732962092	-0.4390741029	0.4723293105	-0.001998560116	0.001949343297	0.4390728786	-0.4723274421	0.000612331203	-0.0008755884419	-0.2362357413	0.4103800658	boucle_1bande.py	R0:S0:1	1	-0.5167162562	-0.717451449	-0.2646043204	0.5416363702	0.001185430426	-0.002619252386	-0.2682385127	0.4144365548	0.0003800716146	-0.0006895195614	-0.2681401464	0.4144482082	-0.0009604410472	0.001751788252	0.2857104114	-0.1357565583	0.0004690139606	-0.0002760995496	2024-10-02@11:17	0.3	0.001512743319	-0.07984430628	v2.7.1	
6	Broyden	0	-2.472941927e-07	-16.47863424	-0.7416858006	Y	9.5	0.03403217185	self-energy/D	sharp_wc_2_b_50	2.495624713	0.01337683362	2.072633157	0.008146384809	2.762109432	0.01181203142	2.014839762	0.01506428217	2.758124977	0.01180880536	2.014155083	0.01505974891	3.260946208	0.002613778986	1.840034662	0.007337187105	a248bdd	2x2_2C_8b_C2v_L	3.7	1.001499034	1.000696317	0.9999999998773005	0.0008421932526	-0.0003445049984	-0.5757432673	0.2465302841	0.0002860937396	-0.0002783669204	-0.4422338076	0.4747100874	-0.0002997175867	0.0002909126509	0.4421160084	-0.4746488979	-0.0001209000713	0.0001728406624	-0.2387018334	0.4135797105	boucle_1bande.py	R0:S0:1	1	-0.516730901	-0.7177110369	-0.2752798828	0.5501487274	-0.0003500546649	0.0007554398311	-0.277047631	0.4174061897	-0.0001445371174	0.0002565916329	-0.2767702048	0.4173222418	-0.0001473073349	0.0002635148953	0.2909107425	-0.1367057399	-9.560661352e-05	5.560181917e-05	2024-10-02@11:23	0.3	0.001567599967	-0.07991587875	v2.7.1	
4	Broyden	0	6.781961312e-07	-16.69067272	-0.7419473593	Y	9.5	0.03413385766	self-energy/D	sharp_wc_2_b_50	2.566798069	0.01371174944	2.134760462	0.00819728448	2.815294098	0.01192681535	2.077501133	0.0151819491	2.821994811	0.01193588081	2.078989475	0.01519085601	3.283176633	0.002641764456	1.90825598	0.007429445706	a248bdd	2x2_2C_8b_C2v_L	3.75	1.001445841	1.000617793	0.9999999999473932	0.0001264638522	-5.150228602e-05	-0.5789825794	0.2474748616	-0.001474092281	0.0014331214	-0.4449404409	0.4767848821	0.00089747347	-0.0008716433326	0.4451887965	-0.4769108816	-2.089208386e-05	2.993204162e-05	-0.2409114342	0.4164075227	boucle_1bande.py	R0:S0:1	1	-0.516750036	-0.7179532369	-0.2850406242	0.557803933	-5.277815296e-05	0.0001117932983	-0.2845405583	0.4199501139	0.0007539800732	-0.001303505824	-0.2850538668	0.4201548669	0.0004539413944	-0.0007862524376	0.2953880206	-0.1375231956	-8.826288835e-06	5.22442215e-06	2024-10-02@11:27	0.3	0.001617660864	-0.07998040774	v2.7.1	
5	Broyden	0	1.212950423e-07	-16.90293195	-0.7422120944	Y	9.5	0.034237694	self-energy/D	sharp_wc_2_b_50	2.637975847	0.01405389449	2.19786437	0.00825224806	2.875342969	0.0120551438	2.14271316	0.01531577229	2.871798694	0.01205279737	2.142106277	0.01531133507	3.304423549	0.00267086482	1.978209953	0.00752741851	a248bdd	2x2_2C_8b_C2v_L	3.8	1.001393519	1.00054163	0.9999999999540161	-0.0004621930322	0.0001882923267	-0.5823974895	0.2484660848	0.0002372318956	-0.0002297314731	-0.4480497116	0.4790667519	0.0007460619216	-0.0007242138986	0.4479409225	-0.4790047954	-5.8359288e-05	8.454504484e-05	-0.2432621376	0.4193668348	boucle_1bande.py	R0:S0:1	1	-0.516766922	-0.7181992472	-0.2949597286	0.5654792133	0.0002068524532	-0.0004277382569	-0.2926488395	0.4227512618	-0.0001230280265	0.0002068583438	-0.2924045236	0.4226883443	0.0003892623666	-0.0006551520358	0.2998982504	-0.1383617137	-4.999475493e-05	2.771837474e-05	2024-10-02@11:32	0.3	0.001668278164	-0.08004282418	v2.7.1	
5	Broyden	0	2.956252807e-08	-17.11436678	-0.7424650055	Y	9.5	0.03433195174	self-energy/D	sharp_wc_2_b_50	2.703614506	0.01438905792	2.261697391	0.008308267348	2.913236895	0.01216743112	2.205314197	0.0154292891	2.918973575	0.01217550193	2.206657086	0.01543711097	3.306656114	0.002694042522	2.043282902	0.007603635957	a248bdd	2x2_2C_8b_C2v_L	3.85	1.001338068	1.000471932	0.999999999949842	-0.0005369982363	0.0002176870725	-0.5858472538	0.2494465296	0.0001939942178	-0.0001895049496	-0.4506197746	0.4810113676	-0.0003428686109	0.0003339924137	0.4508399489	-0.4811209002	0.0002479858477	-0.0003602748492	-0.245058124	0.4216719119	boucle_1bande.py	R0:S0:1	1	-0.516792071	-0.7184358641	-0.3046071428	0.57286559	0.0002419763304	-0.0004911467639	-0.2992682921	0.4251202105	-0.0001034716435	0.0001685918929	-0.2997151466	0.4252960265	-0.0001795213901	0.0002928083484	0.3032929421	-0.1390100842	0.0002075826578	-0.00011370182	2024-10-02@11:38	0.3	0.001720553669	-0.08009713796	v2.7.1	
5	Broyden	0	-7.616726153e-07	-17.32590076	-0.742712792	Y	9.5	0.03443104724	self-energy/D	sharp_wc_2_b_50	2.759152166	0.01470507336	2.324757431	0.008363977256	2.951797546	0.0122880302	2.269106545	0.01555218262	2.957081054	0.01229766391	2.270753713	0.01555931978	3.324290102	0.00272362846	2.11480961	0.00770723976	a248bdd	2x2_2C_8b_C2v_L	3.9	1.001292086	1.00040565	0.9999999999461446	-0.001692132968	0.0006880639303	-0.5891533054	0.2504071636	0.002280979753	-0.002221042073	-0.4533891796	0.4830644074	-0.001477237525	0.001438245197	0.453627333	-0.4831674021	-0.0002403464068	0.000352691026	-0.2475260254	0.42471154	boucle_1bande.py	R0:S0:1	1	-0.5168009973	-0.7186669132	-0.3135697759	0.5797027695	0.0007875123373	-0.00156203298	-0.3060505484	0.4276107741	-0.001263207534	0.002022427081	-0.3064917142	0.4278133544	-0.0008181976435	0.001309319985	0.3077098133	-0.139848696	-0.0002092645947	0.0001111380652	2024-10-02@11:43	0.3	0.001762898836	-0.08015292941	v2.7.1	
6	Broyden	0	-4.125976846e-08	-17.53631138	-0.7429462987	Y	9.5	0.0345189441	self-energy/D	sharp_wc_2_b_50	2.801477066	0.01498985277	2.387133657	0.008414997124	2.984606771	0.01240644028	2.33333036	0.0156711091	2.988695484	0.01241367863	2.334540036	0.01567675493	3.311587565	0.002742917545	2.17916568	0.007773565915	a248bdd	2x2_2C_8b_C2v_L	3.95	1.001245902	1.000346554	0.9999999999672717	0.0004085599076	-0.0001670030862	-0.5921834597	0.251263826	-0.001042074164	0.001016746038	-0.4561238236	0.4850393832	-0.0009444385359	0.0009201971646	0.4563033407	-0.4851187065	0.0005702953635	-0.0008399099972	-0.2491176661	0.426681332	boucle_1bande.py	R0:S0:1	1	-0.5168329003	-0.718884762	-0.3215615525	0.5857797869	-0.0001997510568	0.0003874845496	-0.3125088687	0.4300291353	0.0005877588906	-0.0009168364711	-0.3128480682	0.4301787433	-0.0005350132775	0.0008354871056	0.3102854364	-0.1403695003	0.0005165099752	-0.0002721934895	2024-10-02@11:50	0.3	0.001805343535	-0.08020512216	v2.7.1	
8	Broyden	0	-3.136369487e-07	-17.74680554	-0.7431788985	Y	9.5	0.03460452587	self-energy/D	sharp_wc_2_b_50	2.849755293	0.01529878669	2.451808835	0.008472563193	3.012822179	0.01252762758	2.39840987	0.01578988164	3.010948519	0.01252071371	2.397398027	0.0157865585	3.297159604	0.002761405415	2.242314623	0.00783595615	a248bdd	2x2_2C_8b_C2v_L	4	1.001194051	1.000289541	0.9999999999720819	-0.003261744423	0.001325045879	-0.5956018338	0.2522121502	0.002815062904	-0.002755086814	-0.4588918902	0.4869788908	-0.0007765648387	0.0007636770972	0.4587659076	-0.4869357412	-6.110139174e-05	9.276662517e-05	-0.2505869652	0.4285269105	boucle_1bande.py	R0:S0:1	1	-0.5168591521	-0.7191038376	-0.3301975264	0.5922773888	0.001611594146	-0.003078408846	-0.3187468776	0.4324485629	-0.001632244974	0.002488395075	-0.3185516663	0.4323262483	-0.0004554874045	0.0006906545748	0.3127419143	-0.1408657705	-6.383209087e-05	3.182375e-05	2024-10-02@11:58	0.3	0.0018533451	-0.080250203	v2.7.1	
6	Broyden	0	1.192272323e-07	-17.95681689	-0.7433995426	Y	9.5	0.03468576429	self-energy/D	sharp_wc_2_b_50	2.892189699	0.01559600204	2.516603568	0.008529315427	3.031029853	0.01263375727	2.461390682	0.01589858814	3.032811672	0.01263320365	2.461582854	0.01590102403	3.276355318	0.002776999634	2.301927822	0.007888742277	a248bdd	2x2_2C_8b_C2v_L	4.05	1.001144433	1.000238053	0.999999999968836	-0.0003280342602	0.0001339763873	-0.5989995235	0.2531476627	-0.000735464065	0.0007223952629	-0.4613524934	0.4887641058	9.588570367e-05	-9.448172255e-05	0.4613973476	-0.4887993016	-0.0003727522247	0.000558921296	-0.2517633152	0.4300854435	boucle_1bande.py	R0:S0:1	1	-0.5168855025	-0.719312331	-0.3384514782	0.5984504532	0.0001654721712	-0.0003089855346	-0.3242219389	0.4345580413	0.0004405681854	-0.0006570238359	-0.3243272228	0.434556912	5.93104221e-05	-8.839479878e-05	0.3147642136	-0.1412766984	-0.0003527490371	0.000179860112	2024-10-02@12:04	0.3	0.00190130819	-0.08029070535	v2.7.1	
7	Broyden	0	-6.636538279e-08	-18.16628458	-0.7436092456	Y	9.5	0.03476433068	self-energy/D	sharp_wc_2_b_50	2.91714678	0.01585054468	2.579471156	0.008579650612	3.053787807	0.01275836044	2.527991781	0.01602141034	3.04528937	0.01274354029	2.525545214	0.01600855549	3.252020947	0.002790588962	2.36095505	0.007934853141	a248bdd	2x2_2C_8b_C2v_L	4.1	1.00110027	1.000190296	0.9999999999865594	-0.003159798216	0.001286756039	-0.6019258437	0.2539534442	-0.0001899279866	0.000188075944	-0.4642658912	0.4907368401	-0.0003283994752	0.0003242470089	0.4638823338	-0.4905560156	0.0002755500111	-0.0004149748406	-0.25280577	0.4314397865	boucle_1bande.py	R0:S0:1	1	-0.5169157769	-0.7195089647	-0.3453171326	0.6036541058	0.001644830058	-0.003027690782	-0.3302398098	0.4369878773	0.0001137066856	-0.0001639458662	-0.3295256936	0.4366877994	-0.0002023770643	0.0002945225355	0.316537964	-0.1416335299	0.0002676380212	-0.0001358065016	2024-10-02@12:11	0.3	0.001939638323	-0.08033426963	v2.7.1	
7	Broyden	0	5.147761133e-07	-18.37511441	-0.7437963673	Y	9.5	0.03484226804	self-energy/D	sharp_wc_2_b_50	2.936605192	0.01609327669	2.642128601	0.00862959636	3.049397158	0.0128405218	2.586979735	0.01610217223	3.050857208	0.01284944705	2.589093053	0.01611032106	3.248810702	0.002818559665	2.438748164	0.008037966284	a248bdd	2x2_2C_8b_C2v_L	4.15	1.00106999	1.00015126	0.9999999999841396	0.003990134689	-0.001631541391	-0.6047629139	0.2547539252	-0.01020605105	0.01013771806	-0.4659194641	0.4919583273	0.002341514212	-0.002333596108	0.4662713673	-0.492174765	0.0007467889311	-0.001139776745	-0.2554703866	0.4343455996	boucle_1bande.py	R0:S0:1	1	-0.5169101196	-0.7196849854	-0.351773453	0.6085584034	-0.002139574335	0.00386634034	-0.3339566241	0.4384427347	0.006414921491	-0.009146877836	-0.3342536546	0.4387055467	0.001486404839	-0.002109546422	0.3200460253	-0.1423935235	0.0007486624679	-0.0003681974081	2024-10-02@12:18	0.3	0.001965851377	-0.08037127311	v2.7.1	
6	Broyden	0	-1.767039283e-07	-18.58364171	-0.7439872307	Y	9.5	0.03491517952	self-energy/D	sharp_wc_2_b_50	2.939190824	0.01628473923	2.702362249	0.008675057405	3.072023794	0.01298039949	2.658309875	0.01623914677	3.055523253	0.01295582579	2.653743506	0.01621443618	3.210659234	0.002826582407	2.492321275	0.008063669938	a248bdd	2x2_2C_8b_C2v_L	4.2	1.001033564	1.000112681	0.9999999999668872	-0.01650308698	0.006774587968	-0.6068709269	0.25530276	0.002207673023	-0.00219814573	-0.4694499065	0.4942114755	-0.0002169635817	0.0002187196488	0.4687360469	-0.4938688715	-0.000554926246	0.0008627941909	-0.2559763775	0.4351079881	boucle_1bande.py	R0:S0:1	1	-0.5169514084	-0.7198631194	-0.3567022782	0.6122867725	0.009074963063	-0.01613046645	-0.3403067266	0.4412142031	-0.001435248586	0.002004297058	-0.3389655564	0.440717768	-0.0001402203569	0.0001929779012	0.3209333691	-0.1425898194	-0.0005737294506	0.000274141035	2024-10-02@12:24	0.3	0.001995484416	-0.08041370438	v2.7.1	
7	Broyden	0	5.941755731e-08	-18.79150493	-0.7441572645	Y	9.5	0.03497455241	self-energy/D	sharp_wc_2_b_50	2.964732912	0.01656427218	2.768904748	0.008726896299	3.056141569	0.01305307288	2.716962433	0.01631025909	3.051443541	0.01304346469	2.715205997	0.01630223264	3.177978056	0.002837591051	2.549225889	0.008102521987	a248bdd	2x2_2C_8b_C2v_L	4.25	1.000985855	1.000078786	0.9999999999753392	0.002206864047	-0.0009078437804	-0.6105091424	0.2562977077	-0.0008953247684	0.0009010379664	-0.4710075339	0.495360038	0.001861088767	-0.001872868356	0.470750546	-0.495242054	0.0002963568748	-0.0004625771548	-0.2568050178	0.4362259663	boucle_1bande.py	R0:S0:1	1	-0.5169584331	-0.7200269026	-0.3640617839	0.6179402922	-0.001247465948	0.002178454847	-0.3433338333	0.442566874	0.0005957361511	-0.0008132200973	-0.3429127449	0.4423779687	0.001235000948	-0.001687758057	0.3222079061	-0.1428706545	0.0003175320702	-0.0001520211365	2024-10-02@12:31	0.3	0.002040376894	-0.0804345397	v2.7.1	
5	Broyden	0	-2.349411291e-07	-18.99752881	-0.7442828492	Y	9.5	0.03503118306	self-energy/D	sharp_wc_2_b_50	2.949896915	0.01664188248	2.827419591	0.00884338157	3.014203962	0.01308130158	2.766144659	0.01633036256	3.05155111	0.01315061135	2.781355041	0.01640194628	3.162842391	0.002862673882	2.631742538	0.008198246823	a248bdd	2x2_2C_8b_C2v_L	4.3	1.000971352	1.000058476	0.9999999999832305	-0.06268943902	0.0259592332	-0.6092728308	0.2555404399	0.01931981278	-0.01966414191	-0.4708288354	0.4953978017	-0.006771295858	0.006868098699	0.4732962944	-0.4967325201	-1.372310026e-05	3.546711966e-05	-0.259537442	0.4388752425	boucle_1bande.py	R0:S0:1	1	-0.5169395966	-0.7201440136	-0.3658707669	0.6178612402	0.03639798156	-0.06255780104	-0.3438082935	0.4426195067	-0.01317339058	0.01769384057	-0.3473618974	0.4443386239	-0.004615143662	0.006163761612	0.3250912067	-0.1435469659	-3.369630244e-05	5.672949656e-06	2024-10-02@12:37	0.3	0.002050573385	-0.08046278531	v2.7.1	
5	Broyden	0	1.89775248e-07	-19.20505637	-0.7444481336	Y	9.5	0.03508878513	self-energy/D	sharp_wc_2_b_50	2.959558836	0.0168827748	2.891973152	0.008874862699	3.031417301	0.01323160699	2.841604713	0.01647082938	3.019865659	0.01319762502	2.835458756	0.01645019077	3.118833523	0.002867148499	2.679023174	0.008209678441	a248bdd	2x2_2C_8b_C2v_L	4.35	1.000926146	1.000027388	0.9999999999846522	0.05530724165	-0.02299309968	-0.6128594482	0.2565731562	-0.015473961	0.01581486107	-0.4747514185	0.4976855579	0.007585248411	-0.007771575044	0.474123638	-0.497532968	0.00151776233	-0.002423931861	-0.2595580965	0.4392238149	boucle_1bande.py	R0:S0:1	1	-0.5169659991	-0.7203021949	-0.3721001056	0.622926744	-0.03296912472	0.05572121711	-0.3500679592	0.44557056	0.01083799677	-0.01423999803	-0.3490583716	0.445159501	0.005314389274	-0.006982348859	0.3255024109	-0.1436386573	0.001684308897	-0.0007795926039	2024-10-02@12:42	0.3	0.002088332314	-0.08048646245	v2.7.1	
9	Broyden	0	-2.390109113e-07	-19.4103609	-0.744560839	Y	9.5	0.03512820527	self-energy/D	sharp_wc_2_b_50	2.955867071	0.01624253906	2.954311684	0.009739801997	2.992448605	0.01330553393	2.893619434	0.01646060189	3.005949724	0.01329907778	2.899619301	0.0165181962	3.077232392	0.002873513183	2.731622059	0.008230546615	a248bdd	2x2_2C_8b_C2v_L	4.4	1.00089213	1.000009012	0.9999999999544418	-0.2024372426	0.08461023553	-0.5836500907	0.2439765155	0.0585720692	-0.06059470613	-0.4719762714	0.4947747559	-0.03192582418	0.03296942934	0.4752797462	-0.497743765	-0.00233072997	0.003758543807	-0.2599405924	0.439812766	boucle_1bande.py	R0:S0:1	1	-0.5169690754	-0.7204117626	-0.3573725677	0.59425959	0.123909839	-0.20608674	-0.3486875781	0.4430166273	-0.04212695072	0.05439848058	-0.3517311054	0.4458643758	-0.02296200496	0.0296107238	0.3261376913	-0.1437869999	-0.002655113196	0.001221225683	2024-10-02@12:51	0.3	0.002117929376	-0.08049692133	v2.7.1	
