w	up_1	up_2	up_3	down_1	down_2	down_3	cumul_up_1	cumul_up_2	cumul_up_3	cumul_down_1	cumul_down_2	cumul_down_3	
-20	0.000233588	0.000205356	0.000205356	6.27542e-05	4.71348e-05	4.71348e-05	0	0	0	0	0	0
-19.975	0.000234912	0.000206231	0.000206231	6.29014e-05	4.72283e-05	4.72283e-05	5.8728e-06	5.15578e-06	5.15578e-06	1.57254e-06	1.18071e-06	1.18071e-06
-19.95	0.000236248	0.000207113	0.000207113	6.30491e-05	4.7322e-05	4.7322e-05	1.1779e-05	1.03336e-05	1.03336e-05	3.14876e-06	2.36376e-06	2.36376e-06
-19.925	0.000237597	0.000208	0.000208	6.31974e-05	4.74161e-05	4.74161e-05	1.77189e-05	1.55336e-05	1.55336e-05	4.7287e-06	3.54916e-06	3.54916e-06
-19.9	0.000238959	0.000208893	0.000208893	6.33462e-05	4.75104e-05	4.75104e-05	2.36929e-05	2.07559e-05	2.07559e-05	6.31235e-06	4.73692e-06	4.73692e-06
-19.875	0.000240334	0.000209792	0.000209792	6.34955e-05	4.7605e-05	4.7605e-05	2.97013e-05	2.60007e-05	2.60007e-05	7.89974e-06	5.92705e-06	5.92705e-06
-19.85	0.000241722	0.000210697	0.000210697	6.36454e-05	4.77e-05	4.77e-05	3.57443e-05	3.12681e-05	3.12681e-05	9.49088e-06	7.11954e-06	7.11954e-06
-19.825	0.000243123	0.000211608	0.000211608	6.37958e-05	4.77952e-05	4.77952e-05	4.18224e-05	3.65583e-05	3.65583e-05	1.10858e-05	8.31442e-06	8.31442e-06
-19.8	0.000244537	0.000212525	0.000212525	6.39467e-05	4.78907e-05	4.78907e-05	4.79358e-05	4.18714e-05	4.18714e-05	1.26844e-05	9.51169e-06	9.51169e-06
-19.775	0.000245965	0.000213448	0.000213448	6.40983e-05	4.79865e-05	4.79865e-05	5.4085e-05	4.72076e-05	4.72076e-05	1.42869e-05	1.07114e-05	1.07114e-05
-19.75	0.000247407	0.000214377	0.000214377	6.42503e-05	4.80825e-05	4.80825e-05	6.02702e-05	5.2567e-05	5.2567e-05	1.58932e-05	1.19134e-05	1.19134e-05
-19.725	0.000248863	0.000215313	0.000215313	6.44029e-05	4.81789e-05	4.81789e-05	6.64917e-05	5.79499e-05	5.79499e-05	1.75032e-05	1.31179e-05	1.31179e-05
-19.7	0.000250333	0.000216255	0.000216255	6.45561e-05	4.82756e-05	4.82756e-05	7.27501e-05	6.33562e-05	6.33562e-05	1.91171e-05	1.43248e-05	1.43248e-05
-19.675	0.000251818	0.000217203	0.000217203	6.47098e-05	4.83726e-05	4.83726e-05	7.90455e-05	6.87863e-05	6.87863e-05	2.07349e-05	1.55341e-05	1.55341e-05
-19.65	0.000253317	0.000218158	0.000218158	6.48641e-05	4.84698e-05	4.84698e-05	8.53784e-05	7.42403e-05	7.42403e-05	2.23565e-05	1.67458e-05	1.67458e-05
-19.625	0.00025483	0.00021912	0.00021912	6.5019e-05	4.85674e-05	4.85674e-05	9.17492e-05	7.97183e-05	7.97183e-05	2.3982e-05	1.796e-05	1.796e-05
-19.6	0.000256359	0.000220088	0.000220088	6.51744e-05	4.86653e-05	4.86653e-05	9.81582e-05	8.52205e-05	8.52205e-05	2.56113e-05	1.91767e-05	1.91767e-05
-19.575	0.000257903	0.000221062	0.000221062	6.53304e-05	4.87635e-05	4.87635e-05	0.000104606	9.0747e-05	9.0747e-05	2.72446e-05	2.03957e-05	2.03957e-05
-19.55	0.000259462	0.000222043	0.000222043	6.5487e-05	4.88619e-05	4.88619e-05	0.000111092	9.62981e-05	9.62981e-05	2.88818e-05	2.16173e-05	2.16173e-05
-19.525	0.000261037	0.000223031	0.000223031	6.56442e-05	4.89607e-05	4.89607e-05	0.000117618	0.000101874	0.000101874	3.05229e-05	2.28413e-05	2.28413e-05
-19.5	0.000262628	0.000224026	0.000224026	6.58019e-05	4.90598e-05	4.90598e-05	0.000124184	0.000107475	0.000107475	3.21679e-05	2.40678e-05	2.40678e-05
-19.475	0.000264235	0.000225028	0.000225028	6.59602e-05	4.91592e-05	4.91592e-05	0.00013079	0.0001131	0.0001131	3.38169e-05	2.52968e-05	2.52968e-05
-19.45	0.000265858	0.000226036	0.000226036	6.61192e-05	4.92589e-05	4.92589e-05	0.000137436	0.000118751	0.000118751	3.54699e-05	2.65283e-05	2.65283e-05
-19.425	0.000267497	0.000227052	0.000227052	6.62786e-05	4.9359e-05	4.9359e-05	0.000144124	0.000124427	0.000124427	3.71269e-05	2.77622e-05	2.77622e-05
-19.4	0.000269154	0.000228075	0.000228075	6.64387e-05	4.94593e-05	4.94593e-05	0.000150852	0.000130129	0.000130129	3.87878e-05	2.89987e-05	2.89987e-05
-19.375	0.000270827	0.000229105	0.000229105	6.65994e-05	4.95599e-05	4.95599e-05	0.000157623	0.000135857	0.000135857	4.04528e-05	3.02377e-05	3.02377e-05
-19.35	0.000272517	0.000230142	0.000230142	6.67607e-05	4.96609e-05	4.96609e-05	0.000164436	0.00014161	0.00014161	4.21218e-05	3.14792e-05	3.14792e-05
-19.325	0.000274225	0.000231186	0.000231186	6.69226e-05	4.97622e-05	4.97622e-05	0.000171292	0.00014739	0.00014739	4.37949e-05	3.27233e-05	3.27233e-05
-19.3	0.000275951	0.000232238	0.000232238	6.70851e-05	4.98638e-05	4.98638e-05	0.00017819	0.000153196	0.000153196	4.5472e-05	3.39699e-05	3.39699e-05
-19.275	0.000277694	0.000233297	0.000233297	6.72482e-05	4.99657e-05	4.99657e-05	0.000185133	0.000159028	0.000159028	4.71532e-05	3.5219e-05	3.5219e-05
-19.25	0.000279456	0.000234363	0.000234363	6.74119e-05	5.00679e-05	5.00679e-05	0.000192119	0.000164888	0.000164888	4.88385e-05	3.64707e-05	3.64707e-05
-19.225	0.000281236	0.000235438	0.000235438	6.75762e-05	5.01705e-05	5.01705e-05	0.00019915	0.000170774	0.000170774	5.05279e-05	3.7725e-05	3.7725e-05
-19.2	0.000283034	0.000236519	0.000236519	6.77411e-05	5.02734e-05	5.02734e-05	0.000206226	0.000176686	0.000176686	5.22215e-05	3.89818e-05	3.89818e-05
-19.175	0.000284852	0.000237609	0.000237609	6.79067e-05	5.03766e-05	5.03766e-05	0.000213347	0.000182627	0.000182627	5.39191e-05	4.02412e-05	4.02412e-05
-19.15	0.000286689	0.000238706	0.000238706	6.80729e-05	5.04801e-05	5.04801e-05	0.000220515	0.000188594	0.000188594	5.56209e-05	4.15032e-05	4.15032e-05
-19.125	0.000288546	0.000239811	0.000239811	6.82397e-05	5.0584e-05	5.0584e-05	0.000227728	0.00019459	0.00019459	5.73269e-05	4.27678e-05	4.27678e-05
-19.1	0.000290423	0.000240925	0.000240925	6.84071e-05	5.06881e-05	5.06881e-05	0.000234989	0.000200613	0.000200613	5.90371e-05	4.4035e-05	4.4035e-05
-19.075	0.00029232	0.000242046	0.000242046	6.85752e-05	5.07927e-05	5.07927e-05	0.000242297	0.000206664	0.000206664	6.07515e-05	4.53049e-05	4.53049e-05
-19.05	0.000294237	0.000243175	0.000243175	6.87439e-05	5.08975e-05	5.08975e-05	0.000249653	0.000212743	0.000212743	6.24701e-05	4.65773e-05	4.65773e-05
-19.025	0.000296175	0.000244312	0.000244312	6.89132e-05	5.10027e-05	5.10027e-05	0.000257057	0.000218851	0.000218851	6.41929e-05	4.78524e-05	4.78524e-05
-19	0.000298135	0.000245458	0.000245458	6.90832e-05	5.11082e-05	5.11082e-05	0.00026451	0.000224988	0.000224988	6.592e-05	4.91301e-05	4.91301e-05
-18.975	0.000300116	0.000246612	0.000246612	6.92538e-05	5.1214e-05	5.1214e-05	0.000272013	0.000231153	0.000231153	6.76513e-05	5.04104e-05	5.04104e-05
-18.95	0.000302119	0.000247775	0.000247775	6.94251e-05	5.13202e-05	5.13202e-05	0.000279566	0.000237347	0.000237347	6.9387e-05	5.16934e-05	5.16934e-05
-18.925	0.000304144	0.000248946	0.000248946	6.9597e-05	5.14267e-05	5.14267e-05	0.00028717	0.000243571	0.000243571	7.11269e-05	5.29791e-05	5.29791e-05
-18.9	0.000306192	0.000250125	0.000250125	6.97696e-05	5.15336e-05	5.15336e-05	0.000294825	0.000249824	0.000249824	7.28711e-05	5.42674e-05	5.42674e-05
-18.875	0.000308263	0.000251314	0.000251314	6.99429e-05	5.16408e-05	5.16408e-05	0.000302531	0.000256107	0.000256107	7.46197e-05	5.55585e-05	5.55585e-05
-18.85	0.000310357	0.000252511	0.000252511	7.01168e-05	5.17484e-05	5.17484e-05	0.00031029	0.00026242	0.00026242	7.63726e-05	5.68522e-05	5.68522e-05
-18.825	0.000312474	0.000253717	0.000253717	7.02914e-05	5.18563e-05	5.18563e-05	0.000318102	0.000268763	0.000268763	7.81299e-05	5.81486e-05	5.81486e-05
-18.8	0.000314616	0.000254931	0.000254931	7.04666e-05	5.19645e-05	5.19645e-05	0.000325967	0.000275136	0.000275136	7.98916e-05	5.94477e-05	5.94477e-05
-18.775	0.000316781	0.000256155	0.000256155	7.06425e-05	5.20731e-05	5.20731e-05	0.000333887	0.00028154	0.00028154	8.16576e-05	6.07495e-05	6.07495e-05
-18.75	0.000318971	0.000257388	0.000257388	7.08191e-05	5.2182e-05	5.2182e-05	0.000341861	0.000287974	0.000287974	8.34281e-05	6.20541e-05	6.20541e-05
-18.725	0.000321186	0.000258631	0.000258631	7.09964e-05	5.22913e-05	5.22913e-05	0.000349891	0.00029444	0.00029444	8.5203e-05	6.33613e-05	6.33613e-05
-18.7	0.000323427	0.000259882	0.000259882	7.11743e-05	5.24009e-05	5.24009e-05	0.000357977	0.000300937	0.000300937	8.69824e-05	6.46714e-05	6.46714e-05
-18.675	0.000325694	0.000261143	0.000261143	7.1353e-05	5.25109e-05	5.25109e-05	0.000366119	0.000307466	0.000307466	8.87662e-05	6.59841e-05	6.59841e-05
-18.65	0.000327986	0.000262414	0.000262414	7.15323e-05	5.26213e-05	5.26213e-05	0.000374319	0.000314026	0.000314026	9.05545e-05	6.72997e-05	6.72997e-05
-18.625	0.000330305	0.000263694	0.000263694	7.17123e-05	5.2732e-05	5.2732e-05	0.000382576	0.000320619	0.000320619	9.23473e-05	6.8618e-05	6.8618e-05
-18.6	0.00033265	0.000264984	0.000264984	7.18931e-05	5.2843e-05	5.2843e-05	0.000390892	0.000327243	0.000327243	9.41447e-05	6.9939e-05	6.9939e-05
