w	up_1	up_2	up_3	down_1	down_2	down_3	cumul_up_1	cumul_up_2	cumul_up_3	cumul_down_1	cumul_down_2	cumul_down_3	
-20	0.000371156	0.000217234	0.000217298	9.74072e-05	4.91621e-05	4.91608e-05	0	0	0	0	0	0
-19.975	0.00037509	0.000218311	0.000218396	9.77956e-05	4.92678e-05	4.9265e-05	9.37724e-06	5.45777e-06	5.45991e-06	2.44489e-06	1.2317e-06	1.23162e-06
-19.95	0.000379443	0.00021941	0.000219522	9.82209e-05	4.93744e-05	4.937e-05	1.88633e-05	1.0943e-05	1.09479e-05	4.90041e-06	2.46606e-06	2.46587e-06
-19.925	0.000384252	0.000220533	0.000220677	9.86603e-05	4.94816e-05	4.94757e-05	2.84696e-05	1.64563e-05	1.64649e-05	7.36692e-06	3.7031e-06	3.70277e-06
-19.9	0.000389579	0.00022168	0.000221867	9.90728e-05	4.95884e-05	4.95818e-05	3.82091e-05	2.19983e-05	2.20115e-05	9.84374e-06	4.94281e-06	4.94231e-06
-19.875	0.000395532	0.000222855	0.000223098	9.94289e-05	4.96945e-05	4.9688e-05	4.80974e-05	2.75697e-05	2.7589e-05	1.23295e-05	6.18517e-06	6.18451e-06
-19.85	0.000402269	0.000224063	0.00022438	9.97472e-05	4.98002e-05	4.97946e-05	5.81541e-05	3.31713e-05	3.31985e-05	1.48231e-05	7.43017e-06	7.42937e-06
-19.825	0.000410011	0.000225308	0.000225728	0.000100073	4.99063e-05	4.99018e-05	6.84044e-05	3.8804e-05	3.88417e-05	1.7325e-05	8.67783e-06	8.67692e-06
-19.8	0.000419042	0.0002266	0.000227158	0.000100431	5.00133e-05	5.00099e-05	7.88804e-05	4.4469e-05	4.45206e-05	1.98357e-05	9.92816e-06	9.92717e-06
-19.775	0.000429657	0.000227946	0.000228687	0.000100802	5.01209e-05	5.01184e-05	8.96219e-05	5.01677e-05	5.02378e-05	2.23558e-05	1.11812e-05	1.11801e-05
-19.75	0.000442004	0.000229355	0.000230324	0.000101139	5.02281e-05	5.02263e-05	0.000100672	5.59015e-05	5.59959e-05	2.48843e-05	1.24369e-05	1.24358e-05
-19.725	0.000455716	0.000230829	0.000232038	0.000101407	5.03343e-05	5.0333e-05	0.000112065	6.16723e-05	6.17969e-05	2.74194e-05	1.36952e-05	1.36941e-05
-19.7	0.000469497	0.000232359	0.000233732	0.000101625	5.04399e-05	5.0439e-05	0.000123802	6.74812e-05	6.76402e-05	2.996e-05	1.49562e-05	1.49551e-05
-19.675	0.000481635	0.000233933	0.000235282	0.000101839	5.05458e-05	5.05452e-05	0.000135843	7.33296e-05	7.35222e-05	3.2506e-05	1.62199e-05	1.62187e-05
-19.65	0.000491727	0.000235546	0.000236656	0.000102078	5.06525e-05	5.06522e-05	0.000148136	7.92182e-05	7.94386e-05	3.5058e-05	1.74862e-05	1.7485e-05
-19.625	0.00050067	0.000237183	0.000237921	0.000102351	5.07602e-05	5.07601e-05	0.000160653	8.51478e-05	8.53866e-05	3.76167e-05	1.87552e-05	1.8754e-05
-19.6	0.000508411	0.000238773	0.0002391	0.000102654	5.08688e-05	5.08689e-05	0.000173363	9.11171e-05	9.13641e-05	4.01831e-05	2.00269e-05	2.00257e-05
-19.575	0.000514036	0.000240238	0.000240148	0.000102982	5.09781e-05	5.09785e-05	0.000186214	9.7123e-05	9.73678e-05	4.27576e-05	2.13014e-05	2.13002e-05
-19.55	0.000518388	0.000241617	0.000241099	0.000103331	5.10882e-05	5.10888e-05	0.000199174	0.000103163	0.000103395	4.53409e-05	2.25786e-05	2.25774e-05
-19.525	0.000524058	0.000243051	0.000242072	0.0001037	5.11989e-05	5.11999e-05	0.000212275	0.00010924	0.000109447	4.79334e-05	2.38586e-05	2.38574e-05
-19.5	0.000532653	0.000244627	0.000243156	0.00010409	5.13103e-05	5.13117e-05	0.000225592	0.000115355	0.000115526	5.05356e-05	2.51413e-05	2.51402e-05
-19.475	0.000542957	0.000246274	0.000244348	0.000104502	5.14224e-05	5.14242e-05	0.000239166	0.000121512	0.000121635	5.31482e-05	2.64269e-05	2.64258e-05
-19.45	0.000550932	0.00024777	0.00024557	0.00010494	5.15352e-05	5.15376e-05	0.000252939	0.000127707	0.000127774	5.57717e-05	2.77153e-05	2.77143e-05
-19.425	0.000552678	0.000248907	0.000246739	0.000105409	5.16488e-05	5.1652e-05	0.000266756	0.000133929	0.000133942	5.84069e-05	2.90065e-05	2.90056e-05
-19.4	0.000548645	0.000249726	0.000247851	0.000105915	5.17632e-05	5.17675e-05	0.000280472	0.000140172	0.000140139	6.10548e-05	3.03006e-05	3.02997e-05
-19.375	0.000542781	0.000250453	0.00024897	0.000106461	5.18784e-05	5.18841e-05	0.000294042	0.000146434	0.000146363	6.37163e-05	3.15975e-05	3.15969e-05
-19.35	0.000538356	0.000251267	0.000250151	0.000107041	5.19945e-05	5.20018e-05	0.0003075	0.000152715	0.000152617	6.63923e-05	3.28974e-05	3.28969e-05
-19.325	0.000536562	0.000252231	0.000251413	0.000107622	5.21113e-05	5.21198e-05	0.000320914	0.000159021	0.000158902	6.90829e-05	3.42002e-05	3.41999e-05
-19.3	0.000537355	0.000253342	0.000252754	0.000108154	5.22283e-05	5.22372e-05	0.000334348	0.000165355	0.000165221	7.17867e-05	3.55059e-05	3.55058e-05
-19.275	0.000540328	0.000254576	0.000254166	0.000108618	5.23457e-05	5.23536e-05	0.000347857	0.000171719	0.000171575	7.45022e-05	3.68145e-05	3.68147e-05
-19.25	0.000545087	0.000255912	0.000255642	0.000109061	5.24638e-05	5.24699e-05	0.000361484	0.000178117	0.000177966	7.72287e-05	3.81261e-05	3.81264e-05
