w	up_1	up_2	up_3	down_1	down_2	down_3	cumul_up_1	cumul_up_2	cumul_up_3	cumul_down_1	cumul_down_2	cumul_down_3	
-30	0.000267814	0.000143216	0.000148589	4.74515e-05	3.04229e-05	3.04423e-05	0	0	0	0	0	0
-29.9625	0.000237293	0.000143353	0.000147599	4.7163e-05	3.04804e-05	3.04961e-05	8.89848e-06	5.37574e-06	5.53495e-06	1.76861e-06	1.14302e-06	1.1436e-06
-29.925	0.000214859	0.000143616	0.000147017	4.69808e-05	3.05386e-05	3.05516e-05	1.69557e-05	1.07613e-05	1.10481e-05	3.53039e-06	2.28821e-06	2.28929e-06
-29.8875	0.000198382	0.000143973	0.000146734	4.6878e-05	3.05975e-05	3.06084e-05	2.4395e-05	1.61603e-05	1.65506e-05	5.28832e-06	3.43562e-06	3.4371e-06
-29.85	0.000186346	0.000144401	0.000146672	4.68359e-05	3.06569e-05	3.06661e-05	3.1383e-05	2.15754e-05	2.20508e-05	7.04467e-06	4.58525e-06	4.58708e-06
-29.8125	0.000177731	0.000144888	0.000146774	4.68425e-05	3.07167e-05	3.07247e-05	3.80479e-05	2.70087e-05	2.75549e-05	8.80126e-06	5.73713e-06	5.73926e-06
-29.775	0.000171885	0.000145423	0.000147005	4.68907e-05	3.07769e-05	3.07839e-05	4.44936e-05	3.2462e-05	3.30675e-05	1.05597e-05	6.89126e-06	6.89365e-06
-29.7375	0.000168417	0.000146002	0.000147338	4.6977e-05	3.08375e-05	3.08437e-05	5.08092e-05	3.79371e-05	3.85927e-05	1.23213e-05	8.04767e-06	8.05029e-06
-29.7	0.000167071	0.000146621	0.000147756	4.70998e-05	3.08985e-05	3.0904e-05	5.70744e-05	4.34354e-05	4.41336e-05	1.40875e-05	9.20636e-06	9.20919e-06
-29.6625	0.000167492	0.000147275	0.000148244	4.72537e-05	3.09598e-05	3.09648e-05	6.33554e-05	4.89582e-05	4.96927e-05	1.58596e-05	1.03674e-05	1.03704e-05
-29.625	0.000168809	0.000147949	0.000148777	4.74218e-05	3.10214e-05	3.10259e-05	6.96857e-05	5.45063e-05	5.52718e-05	1.76379e-05	1.15307e-05	1.15338e-05
-29.5875	0.000169349	0.00014861	0.00014932	4.75685e-05	3.10831e-05	3.10873e-05	7.60363e-05	6.00791e-05	6.08713e-05	1.94217e-05	1.26963e-05	1.26996e-05
-29.55	0.000167454	0.000149229	0.000149836	4.76584e-05	3.11448e-05	3.11486e-05	8.23158e-05	6.56753e-05	6.64902e-05	2.12089e-05	1.38642e-05	1.38677e-05
-29.5125	0.000163134	0.000149806	0.000150323	4.76929e-05	3.12063e-05	3.12099e-05	8.84333e-05	7.1293e-05	7.21273e-05	2.29974e-05	1.50344e-05	1.50381e-05
-29.475	0.000157939	0.000150371	0.00015081	4.77073e-05	3.1268e-05	3.12713e-05	9.4356e-05	7.69319e-05	7.77827e-05	2.47864e-05	1.6207e-05	1.62107e-05
-29.4375	0.000153263	0.000150952	0.000151319	4.77337e-05	3.133e-05	3.1333e-05	0.000100103	8.25926e-05	8.34571e-05	2.65764e-05	1.73819e-05	1.73857e-05
-29.4	0.000149652	0.000151558	0.000151862	4.7785e-05	3.13923e-05	3.13951e-05	0.000105715	8.8276e-05	8.9152e-05	2.83683e-05	1.85591e-05	1.8563e-05
-29.3625	0.000147113	0.000152191	0.000152436	4.78628e-05	3.1455e-05	3.14576e-05	0.000111232	9.39832e-05	9.48683e-05	3.01632e-05	1.97386e-05	1.97427e-05
-29.325	0.000145477	0.000152847	0.000153039	4.79646e-05	3.15181e-05	3.15204e-05	0.000116687	9.9715e-05	0.000100607	3.19619e-05	2.09206e-05	2.09247e-05
-29.2875	0.000144568	0.000153525	0.000153666	4.80883e-05	3.15815e-05	3.15836e-05	0.000122109	0.000105472	0.00010637	3.37652e-05	2.21049e-05	2.21091e-05
