w	up_1	up_2	up_3	down_1	down_2	down_3	cumul_up_1	cumul_up_2	cumul_up_3	cumul_down_1	cumul_down_2	cumul_down_3	
-25	0.00040096	0.000300865	0.000300205	6.28085e-05	3.95743e-05	3.95742e-05	0	0	0	0	0	0
-24.96	0.000380908	0.000301309	0.000300489	6.30265e-05	3.96708e-05	3.96706e-05	1.52516e-05	1.20644e-05	1.20316e-05	2.52358e-06	1.58842e-06	1.58841e-06
-24.9199	0.000366255	0.00030217	0.000301165	6.32537e-05	3.97678e-05	3.97676e-05	2.99164e-05	2.41634e-05	2.40903e-05	5.05626e-06	3.18073e-06	3.18071e-06
-24.8799	0.000357408	0.000303482	0.00030226	6.34924e-05	3.98654e-05	3.98651e-05	4.4227e-05	3.63148e-05	3.61928e-05	7.5985e-06	4.77694e-06	4.77691e-06
-24.8398	0.000353544	0.000305188	0.000303708	6.37458e-05	3.99636e-05	3.99633e-05	5.8383e-05	4.85345e-05	4.83533e-05	1.01509e-05	6.37708e-06	6.37704e-06
-24.7998	0.000353844	0.000307234	0.000305441	6.40186e-05	4.00626e-05	4.00622e-05	7.25509e-05	6.08362e-05	6.05831e-05	1.27142e-05	7.98119e-06	7.98114e-06
-24.7598	0.000357825	0.000309594	0.000307413	6.43177e-05	4.01624e-05	4.0162e-05	8.68782e-05	7.32323e-05	7.28919e-05	1.52895e-05	9.58929e-06	9.58923e-06
-24.7197	0.000365393	0.000312272	0.000309599	6.46529e-05	4.02634e-05	4.0263e-05	0.000101509	8.57357e-05	8.52883e-05	1.78782e-05	1.12014e-05	1.12014e-05
-24.6797	0.000376839	0.000315304	0.000311999	6.50374e-05	4.03657e-05	4.03653e-05	0.000116597	9.83605e-05	9.77808e-05	2.04823e-05	1.28177e-05	1.28176e-05
-24.6396	0.000392875	0.000318766	0.000314628	6.54852e-05	4.04698e-05	4.04693e-05	0.000132328	0.000111124	0.000110378	2.31043e-05	1.44381e-05	1.4438e-05
-24.5996	0.00041469	0.000322778	0.000317522	6.6001e-05	4.05756e-05	4.0575e-05	0.000148932	0.000124048	0.000123092	2.5747e-05	1.60627e-05	1.60626e-05
-24.5596	0.000444019	0.000327513	0.000320732	6.65509e-05	4.06824e-05	4.06818e-05	0.000166711	0.000137162	0.000135934	2.84117e-05	1.76917e-05	1.76915e-05
-24.5195	0.000483173	0.000333205	0.000324321	6.70294e-05	4.0788e-05	4.07872e-05	0.000186057	0.000150503	0.00014892	3.10956e-05	1.93248e-05	1.93246e-05
-24.4795	0.000534998	0.000340137	0.000328371	6.73061e-05	4.08894e-05	4.08885e-05	0.000207478	0.000164122	0.000162068	3.37905e-05	2.0962e-05	2.09618e-05
-24.4394	0.000601878	0.000348521	0.000332983	6.73735e-05	4.09864e-05	4.09854e-05	0.000231577	0.000178077	0.000175401	3.64881e-05	2.26031e-05	2.26029e-05
-24.3994	0.000681196	0.000358024	0.00033815	6.73618e-05	4.10819e-05	4.10806e-05	0.000258853	0.000192412	0.00018894	3.91853e-05	2.4248e-05	2.42477e-05
-24.3594	0.000757064	0.00036691	0.000343521	6.73902e-05	4.11782e-05	4.11768e-05	0.000289165	0.000207103	0.000202695	4.18836e-05	2.58968e-05	2.58964e-05
-24.3193	0.000801599	0.000372169	0.000348431	6.75057e-05	4.12765e-05	4.1275e-05	0.000321262	0.000222005	0.000216646	4.45865e-05	2.75495e-05	2.75491e-05
-24.2793	0.000802599	0.00037238	0.000352694	6.77176e-05	4.13767e-05	4.13751e-05	0.000353398	0.000236915	0.000230768	4.7298e-05	2.92063e-05	2.92058e-05
-24.2392	0.000782516	0.000369687	0.000357125	6.80314e-05	4.14786e-05	4.1477e-05	0.00038473	0.000251717	0.000245067	5.00219e-05	3.08671e-05	3.08665e-05
-24.1992	0.000772183	0.000367135	0.000362736	6.84535e-05	4.15823e-05	4.15806e-05	0.000415648	0.000266418	0.000259591	5.27628e-05	3.2532e-05	3.25314e-05
-24.1592	0.000784289	0.000366174	0.000369741	6.89747e-05	4.16876e-05	4.16858e-05	0.000447051	0.000281079	0.000274396	5.55246e-05	3.42012e-05	3.42005e-05
-24.1191	0.000808786	0.000366679	0.000376936	6.95374e-05	4.17941e-05	4.1792e-05	0.000479435	0.000295761	0.000289488	5.83088e-05	3.58746e-05	3.58738e-05
-24.0791	0.00081888	0.00036771	0.000381742	7.00202e-05	4.19011e-05	4.18984e-05	0.000512223	0.000310484	0.000304773	6.11125e-05	3.75524e-05	3.75515e-05
-24.039	0.000795442	0.00036853	0.000382398	7.03334e-05	4.20079e-05	4.20044e-05	0.000544072	0.00032524	0.000320084	6.39286e-05	3.92344e-05	3.92333e-05
-23.999	0.000750298	0.000369376	0.00038021	7.05474e-05	4.21153e-05	4.21106e-05	0.000574114	0.00034003	0.000335308	6.67533e-05	4.09207e-05	4.09194e-05
-23.959	0.000709484	0.000370979	0.00037783	7.08241e-05	4.22246e-05	4.22182e-05	0.000602522	0.000354884	0.000350436	6.95891e-05	4.26113e-05	4.26098e-05
-23.9189	0.000688531	0.000373788	0.000376816	7.12763e-05	4.23367e-05	4.23281e-05	0.000630091	0.00036985	0.000365524	7.2443e-05	4.43065e-05	4.43047e-05
-23.8789	0.000689137	0.000377766	0.000377455	7.19249e-05	4.24516e-05	4.24405e-05	0.000657684	0.000384976	0.000380637	7.53229e-05	4.60063e-05	4.6004e-05
-23.8388	0.000701623	0.000382258	0.000379283	7.26692e-05	4.25675e-05	4.25547e-05	0.000685777	0.000400282	0.000395824	7.82326e-05	4.77107e-05	4.77079e-05
-23.7988	0.000706859	0.000385948	0.000381372	7.32526e-05	4.26804e-05	4.26678e-05	0.000714079	0.000415735	0.000411094	8.11656e-05	4.94196e-05	4.94163e-05
-23.7588	0.000689129	0.000387769	0.00038286	7.33971e-05	4.27863e-05	4.27765e-05	0.000741672	0.000431261	0.000426424	8.41044e-05	5.11328e-05	5.11291e-05
-23.7187	0.000652263	0.000388118	0.000383677	7.3089e-05	4.28859e-05	4.28797e-05	0.000767789	0.000446802	0.000441786	8.70309e-05	5.28499e-05	5.2846e-05
-23.6787	0.000612376	0.000388263	0.000384432	7.25808e-05	4.29835e-05	4.29799e-05	0.000792308	0.000462348	0.000457179	8.99371e-05	5.4571e-05	5.45669e-05
-23.6386	0.000581055	0.00038907	0.000385691	7.21123e-05	4.30825e-05	4.30807e-05	0.000815574	0.000477926	0.000472622	9.28244e-05	5.6296e-05	5.62918e-05
-23.5986	0.000561822	0.000390797	0.000387678	7.17779e-05	4.31839e-05	4.31833e-05	0.000838069	0.000493574	0.000488144	9.56984e-05	5.80251e-05	5.80209e-05
-23.5586	0.000554281	0.000393429	0.000390415	7.15765e-05	4.32877e-05	4.32881e-05	0.000860263	0.000509327	0.000503777	9.85644e-05	5.97583e-05	5.97542e-05
-23.5185	0.000557401	0.000396922	0.000393891	7.1477e-05	4.33932e-05	4.33947e-05	0.000882581	0.000525219	0.000519548	0.000101426	6.14958e-05	6.14917e-05
-23.4785	0.000570821	0.000401285	0.000398141	7.14466e-05	4.35001e-05	4.35026e-05	0.000905437	0.000541287	0.00053549	0.000104287	6.32375e-05	6.32335e-05
-23.4384	0.000595261	0.000406621	0.000403278	7.14583e-05	4.36079e-05	4.36117e-05	0.000929271	0.000557568	0.000551637	0.000107148	6.49836e-05	6.49797e-05
-23.3984	0.000632685	0.000413136	0.000409515	7.14893e-05	4.37162e-05	4.37216e-05	0.000954604	0.00057411	0.000568034	0.000110011	6.6734e-05	6.67304e-05
-23.3584	0.000686322	0.000421148	0.000417167	7.15187e-05	4.38248e-05	4.38321e-05	0.000982084	0.000590973	0.000584737	0.000112874	6.84887e-05	6.84854e-05
-23.3183	0.000760036	0.000431028	0.000426602	7.15242e-05	4.39331e-05	4.39431e-05	0.00101252	0.000608231	0.000601818	0.000115738	7.02478e-05	7.02449e-05
-23.2783	0.000855409	0.000442937	0.000437968	7.14781e-05	4.40406e-05	4.40543e-05	0.00104677	0.000625966	0.000619355	0.0001186	7.20112e-05	7.20088e-05
