w	up_1	down_1	cumul_up_1	cumul_down_1	
-15	0.000235141	0.000312056	0	0
-14.965	0.0002365	0.000314594	8.28579e-06	1.10218e-05
-14.9299	0.000237896	0.000317365	1.66205e-05	2.21407e-05
-14.8949	0.000239332	0.000320407	2.50055e-05	3.33662e-05
-14.8599	0.000240806	0.000323719	3.34421e-05	4.47077e-05
-14.8248	0.000242299	0.000327185	4.19311e-05	5.61706e-05
-14.7898	0.000243771	0.000330484	5.04716e-05	6.77491e-05
-14.7548	0.00024518	0.000333161	5.90615e-05	7.94214e-05
-14.7197	0.00024652	0.000334999	6.76983e-05	9.11582e-05
-14.6847	0.000247831	0.000336266	7.63811e-05	0.000102939
-14.6496	0.000249161	0.000337423	8.51104e-05	0.000114761
-14.6146	0.000250538	0.000338786	9.3888e-05	0.00012663
-14.5796	0.000251975	0.000340469	0.000102716	0.000138559
-14.5445	0.000253472	0.000342485	0.000111596	0.000150558
-14.5095	0.000255027	0.000344821	0.000120531	0.000162638
-14.4745	0.000256631	0.000347467	0.000129522	0.000174812
-14.4394	0.000258262	0.000350418	0.000138571	0.000187089
-14.4044	0.000259903	0.000353648	0.000147676	0.000199479
-14.3694	0.000261561	0.000357047	0.00015684	0.000211988
-14.3343	0.00026327	0.000360379	0.000166064	0.000224614
-14.2993	0.000265067	0.000363358	0.00017535	0.000237344
-14.2643	0.000266979	0.000365916	0.000184704	0.000250164
-14.2292	0.000269005	0.000368289	0.000194129	0.000263067
-14.1942	0.000271088	0.000370781	0.000203626	0.000276057
-14.1592	0.000273087	0.000373547	0.000213194	0.000289145
-14.1241	0.000274831	0.000376549	0.000222822	0.000302337
-14.0891	0.000276283	0.00037961	0.000232502	0.000315637
-14.0541	0.000277583	0.000382567	0.000242227	0.00032904
-14.019	0.000278904	0.000385448	0.000251999	0.000342544
-13.984	0.000280339	0.000388448	0.00026182	0.000356153
-13.9489	0.000281889	0.000391763	0.000271696	0.000369879
-13.9139	0.00028351	0.000395526	0.000281629	0.000383736
-13.8789	0.000285164	0.000399834	0.00029162	0.000397744
-13.8438	0.000286841	0.000404798	0.000301669	0.000411926
-13.8088	0.000288532	0.000410561	0.000311778	0.00042631
-13.7738	0.000290217	0.000417288	0.000321946	0.00044093
-13.7387	0.000291903	0.000425081	0.000332173	0.000455823
-13.7037	0.000293626	0.000433754	0.00034246	0.00047102
-13.6687	0.000295426	0.000442468	0.00035281	0.000486521
-13.6336	0.000297329	0.00044964	0.000363227	0.000502275
-13.5986	0.000299349	0.000453931	0.000373715	0.000518178
-13.5636	0.000301501	0.000455683	0.000384278	0.000534143
-13.5285	0.000303804	0.000456634	0.000394922	0.000550141
-13.4935	0.000306286	0.00045837	0.000405652	0.0005662
-13.4585	0.000308974	0.000461587	0.000416477	0.000582372
-13.4234	0.000311869	0.000466168	0.000427404	0.000598704
-13.3884	0.00031489	0.000471354	0.000438436	0.000615218
-13.3534	0.000317822	0.000476149	0.000449571	0.0006319
-13.3183	0.000320382	0.000480172	0.000460795	0.000648723
-13.2833	0.000322453	0.00048405	0.000472092	0.000665681
-13.2482	0.000324202	0.000488715	0.000483451	0.000682804
-13.2132	0.000325856	0.000494653	0.000494867	0.000700134
-13.1782	0.000327493	0.000501912	0.000506341	0.000717718
-13.1431	0.000329115	0.000510578	0.000517871	0.000735606
-13.1081	0.000330783	0.000521115	0.00052946	0.000753864
-13.0731	0.000332597	0.000533989	0.000541113	0.000772572
-13.038	0.000334627	0.000548827	0.000552837	0.0007918
-13.003	0.000336887	0.000563615	0.00056464	0.000811546
-12.968	0.000339348	0.000575021	0.000576529	0.000831692
-12.9329	0.000341934	0.000581056	0.000588508	0.00085205
-12.8979	0.000344539	0.000583517	0.000600579	0.000872493
-12.8629	0.000347112	0.000586377	0.00061274	0.000893037
-12.8278	0.000349716	0.000592742	0.000624993	0.000913804
-12.7928	0.000352474	0.000603814	0.000637341	0.000934958
-12.7578	0.000355456	0.000618799	0.000649795	0.000956638
-12.7227	0.000358628	0.000634506	0.000662359	0.000978868
-12.6877	0.000361816	0.000645912	0.000675036	0.0010015
-12.6527	0.000364782	0.000649813	0.000687816	0.00102426
-12.6176	0.000367425	0.000648314	0.000700689	0.00104698
-12.5826	0.000369909	0.000646677	0.000713648	0.00106963
-12.5475	0.000372502	0.000648973	0.000726699	0.00109237
-12.5125	0.000375402	0.00065651	0.000739851	0.00111537
-12.4775	0.000378712	0.000667823	0.000753119	0.00113877
-12.4424	0.000382487	0.000678672	0.00076652	0.00116255
-12.4074	0.000386752	0.000683655	0.00078007	0.0011865
-12.3724	0.000391457	0.000680468	0.000793784	0.00121034
-12.3373	0.000396392	0.000671895	0.000807672	0.00123388
-12.3023	0.000401181	0.000662418	0.000821727	0.00125709
-12.2673	0.000405572	0.000654858	0.000835937	0.00128003
-12.2322	0.000409789	0.000650205	0.000850294	0.00130281
-12.1972	0.000414409	0.00064856	0.000864812	0.00132553
-12.1622	0.000419909	0.000649693	0.000879524	0.00134829
-12.1271	0.000426381	0.000653307	0.000894462	0.00137118
-12.0921	0.000433336	0.000659173	0.000909644	0.00139428
-12.0571	0.000439644	0.000667201	0.000925047	0.00141765
-12.022	0.000444119	0.000677463	0.000940607	0.00144139
-11.987	0.000446547	0.000690215	0.000956252	0.00146557
-11.952	0.000447706	0.000705914	0.000971937	0.0014903
-11.9169	0.000448523	0.000725224	0.000987651	0.00151571
-11.8819	0.000449725	0.000748954	0.00100341	0.00154195
-11.8468	0.000451829	0.000777748	0.00101924	0.0015692
-11.8118	0.000455114	0.000811275	0.00103518	0.00159762
-11.7768	0.00045968	0.000846931	0.00105129	0.00162729
-11.7417	0.000465582	0.000879643	0.0010676	0.00165811
-11.7067	0.000472956	0.000905382	0.00108417	0.00168983
-11.6717	0.000482107	0.00092537	0.00110106	0.00172225
-11.6366	0.000493485	0.000943229	0.00111835	0.0017553
-11.6016	0.000507516	0.000958578	0.00113613	0.00178888
-11.5666	0.000524227	0.000967099	0.0011545	0.00182276
-11.5315	0.000542531	0.000966592	0.0011735	0.00185663
-11.4965	0.00055957	0.000959866	0.00119311	0.00189026
-11.4615	0.000571382	0.000952215	0.00121313	0.00192362
-11.4264	0.000575336	0.000948216	0.00123328	0.00195684
-11.3914	0.000572039	0.000950565	0.00125332	0.00199014
-11.3564	0.000564908	0.000960917	0.00127312	0.00202381
-11.3213	0.000557864	0.00098081	0.00129266	0.00205817
-11.2863	0.000553257	0.00101193	0.00131204	0.00209362
-11.2513	0.000551594	0.00105626	0.00133137	0.00213063
-11.2162	0.000552266	0.00111585	0.00135072	0.00216972
-11.1812	0.000554458	0.00119153	0.00137014	0.00221147
-11.1461	0.000557915	0.00127956	0.00138969	0.0022563
-11.1111	0.000562988	0.00136728	0.00140941	0.0023042
-11.0761	0.000570154	0.00143528	0.00142939	0.00235448
-11.041	0.000579852	0.00147266	0.0014497	0.00240608
-11.006	0.000592533	0.0014871	0.00147046	0.00245818
-10.971	0.000608343	0.00149019	0.00149178	0.00251039
-10.9359	0.000626382	0.0014815	0.00151372	0.00256229
-10.9009	0.00064406	0.00145418	0.00153629	0.00261324
-10.8659	0.000657983	0.00140833	0.00155934	0.00266258
-10.8308	0.000666616	0.00135401	0.00158269	0.00271002
-10.7958	0.000670772	0.00130369	0.0016062	0.00275569
-10.7608	0.000670908	0.00126432	0.0016297	0.00279999
-10.7257	0.000666783	0.0012372	0.00165306	0.00284333
-10.6907	0.00065983	0.00122175	0.00167618	0.00288614
-10.6557	0.000652978	0.00121757	0.00169906	0.0029288
-10.6206	0.000648469	0.00122449	0.00172177	0.0029717
-10.5856	0.000647135	0.00124254	0.00174445	0.00301523
-10.5506	0.000648979	0.00127231	0.00176718	0.0030598
-10.5155	0.000653757	0.00131513	0.00179009	0.00310588
-10.4805	0.000661217	0.00137316	0.00181325	0.00315399
-10.4454	0.000671064	0.00144886	0.00183677	0.00320475
-10.4104	0.000682782	0.00154362	0.00186069	0.00325883
-10.3754	0.000695658	0.00165539	0.00188506	0.00331683
-10.3403	0.00070939	0.00177702	0.00190991	0.00337908
-10.3053	0.000724794	0.00189546	0.00193531	0.00344549
-10.2703	0.000743468	0.0019877	0.00196135	0.00351513
-10.2352	0.000766811	0.00202229	0.00198822	0.00358598
-10.2002	0.00079522	0.00198512	0.00201608	0.00365553
-10.1652	0.000827041	0.00189952	0.00204505	0.00372208
-10.1301	0.000857495	0.0018043	0.0020751	0.00378529
-10.0951	0.000880421	0.00172512	0.00210594	0.00384573
-10.0601	0.000894159	0.0016705	0.00213727	0.00390426
-10.025	0.000904131	0.00163992	0.00216895	0.00396171
-9.98999	0.000917289	0.00162996	0.00220108	0.00401882
-9.95495	0.000935928	0.00163669	0.00223387	0.00407616
-9.91992	0.000955801	0.00165593	0.00226736	0.00413418
-9.88488	0.000968837	0.00168379	0.0023013	0.00419317
-9.84985	0.000970769	0.00171878	0.00233531	0.00425339
-9.81481	0.000966127	0.00176337	0.00236916	0.00431517
-9.77978	0.000963455	0.00182243	0.00240292	0.00437902
-9.74474	0.000968865	0.00190129	0.00243686	0.00444563
-9.70971	0.000984733	0.0020056	0.00247136	0.00451589
-9.67467	0.00101071	0.00214172	0.00250677	0.00459093
-9.63964	0.00104452	0.00231564	0.00254337	0.00467206
-9.6046	0.0010832	0.0025286	0.00258132	0.00476065
