w	up_1	up_2	up_3	down_1	down_2	down_3	cumul_up_1	cumul_up_2	cumul_up_3	cumul_down_1	cumul_down_2	cumul_down_3	
-25	0.000415228	0.000289679	0.000293274	6.33756e-05	4.00446e-05	4.00447e-05	0	0	0	0	0	0
-24.96	0.000396972	0.000291235	0.000293071	6.37891e-05	4.01465e-05	4.01465e-05	1.58948e-05	1.16611e-05	1.17346e-05	2.55412e-06	1.60747e-06	1.60747e-06
-24.9199	0.000388605	0.000293313	0.000293593	6.42802e-05	4.02503e-05	4.02502e-05	3.14545e-05	2.34053e-05	2.349e-05	5.1279e-06	3.21909e-06	3.21909e-06
-24.8799	0.000388931	0.00029591	0.000294697	6.48464e-05	4.03557e-05	4.03556e-05	4.70273e-05	3.52536e-05	3.52897e-05	7.72435e-06	4.83493e-06	4.83493e-06
-24.8398	0.000396845	0.000299018	0.000296249	6.54365e-05	4.04617e-05	4.04615e-05	6.2917e-05	4.72263e-05	4.71516e-05	1.03444e-05	6.45502e-06	6.45501e-06
-24.7998	0.000410646	0.000302553	0.000298111	6.59432e-05	4.05657e-05	4.05656e-05	7.93593e-05	5.93405e-05	5.90879e-05	1.29848e-05	8.07927e-06	8.07926e-06
-24.7598	0.000426828	0.000306233	0.000300128	6.62871e-05	4.06661e-05	4.06664e-05	9.64495e-05	7.16021e-05	7.11051e-05	1.56389e-05	9.70755e-06	9.70754e-06
-24.7197	0.000439158	0.000309489	0.000302122	6.64871e-05	4.07634e-05	4.07648e-05	0.000114033	8.3994e-05	8.32021e-05	1.83011e-05	1.13397e-05	1.13398e-05
-24.6797	0.000441946	0.000311802	0.000303939	6.65787e-05	4.08593e-05	4.08622e-05	0.000131729	9.64786e-05	9.53718e-05	2.09669e-05	1.29757e-05	1.29759e-05
-24.6396	0.000436952	0.000313386	0.000305596	6.65641e-05	4.09547e-05	4.09586e-05	0.000149225	0.000109027	0.000107608	2.36321e-05	1.46155e-05	1.46159e-05
-24.5996	0.000431976	0.000315013	0.000307279	6.64721e-05	4.10505e-05	4.10542e-05	0.000166521	0.00012164	0.000119911	2.62937e-05	1.62592e-05	1.62597e-05
-24.5596	0.000433747	0.00031732	0.000309179	6.63815e-05	4.11477e-05	4.11499e-05	0.000183888	0.000134345	0.000132291	2.89516e-05	1.79068e-05	1.79073e-05
-24.5195	0.000445762	0.000320627	0.000311413	6.63615e-05	4.12466e-05	4.1247e-05	0.000201736	0.000147183	0.00014476	3.16087e-05	1.95583e-05	1.95589e-05
-24.4795	0.000469241	0.000325047	0.000314022	6.64366e-05	4.13475e-05	4.13458e-05	0.000220525	0.000160198	0.000157333	3.42688e-05	2.12138e-05	2.12143e-05
-24.4394	0.000502425	0.000330408	0.000316958	6.65982e-05	4.14499e-05	4.14463e-05	0.000240642	0.000173428	0.000170024	3.69354e-05	2.28735e-05	2.28739e-05
-24.3994	0.000536781	0.000335859	0.000319985	6.68122e-05	4.15534e-05	4.1548e-05	0.000262135	0.000186875	0.000182837	3.96106e-05	2.45373e-05	2.45374e-05
