w	up_1	up_2	up_3	down_1	down_2	down_3	cumul_up_1	cumul_up_2	cumul_up_3	cumul_down_1	cumul_down_2	cumul_down_3	
-25	0.000333089	0.000305381	0.00030307	6.30811e-05	3.91311e-05	3.91288e-05	0	0	0	0	0	0
-24.96	0.000348284	0.00030854	0.000305693	6.32837e-05	3.92253e-05	3.92226e-05	1.39453e-05	1.2354e-05	1.22399e-05	2.53388e-06	1.57058e-06	1.57047e-06
-24.9199	0.000363355	0.000311602	0.000308453	6.34898e-05	3.93198e-05	3.9317e-05	2.84941e-05	2.48305e-05	2.45904e-05	5.07602e-06	3.14495e-06	3.14473e-06
-24.8799	0.000378648	0.000314564	0.000311399	6.36961e-05	3.94146e-05	3.9412e-05	4.36551e-05	3.74257e-05	3.70588e-05	7.62641e-06	4.72311e-06	4.72278e-06
-24.8398	0.000395916	0.000317542	0.000314635	6.3914e-05	3.95098e-05	3.95077e-05	5.95076e-05	5.01401e-05	4.96569e-05	1.01855e-05	6.30509e-06	6.30467e-06
-24.7998	0.000414084	0.00032036	0.000318195	6.41463e-05	3.96055e-05	3.9604e-05	7.60876e-05	6.29673e-05	6.23974e-05	1.2754e-05	7.89089e-06	7.89042e-06
-24.7598	0.000429324	0.000322603	0.000322007	6.43825e-05	3.97014e-05	3.9701e-05	9.32777e-05	7.58843e-05	7.52906e-05	1.53318e-05	9.48054e-06	9.48005e-06
-24.7197	0.000439739	0.000324199	0.000325897	6.46135e-05	3.97973e-05	3.97985e-05	0.000110885	8.88653e-05	8.83395e-05	1.7919e-05	1.1074e-05	1.10736e-05
-24.6797	0.000444002	0.000325455	0.000329379	6.48284e-05	3.98935e-05	3.9896e-05	0.000128663	0.000101897	0.000101528	2.05147e-05	1.26714e-05	1.2671e-05
-24.6396	0.000437442	0.000326547	0.000331662	6.50081e-05	3.999e-05	3.9993e-05	0.000146178	0.000114971	0.000114808	2.31176e-05	1.42726e-05	1.42723e-05
-24.5996	0.000418825	0.000327546	0.000332517	6.51537e-05	4.00867e-05	4.00895e-05	0.000162948	0.000128086	0.000128122	2.57264e-05	1.58776e-05	1.58775e-05
-24.5596	0.000395087	0.000328631	0.000332662	6.52971e-05	4.01838e-05	4.01861e-05	0.000178767	0.000141245	0.000141441	2.83409e-05	1.74866e-05	1.74866e-05
-24.5195	0.000373795	0.000329968	0.000332914	6.54694e-05	4.02817e-05	4.02833e-05	0.000193734	0.000154457	0.000154771	3.09623e-05	1.90995e-05	1.90995e-05
-24.4795	0.000357999	0.000331602	0.000333623	6.56861e-05	4.03802e-05	4.03814e-05	0.000208068	0.000167734	0.00016813	3.35923e-05	2.07163e-05	2.07164e-05
-24.4394	0.000347643	0.000333505	0.00033481	6.59541e-05	4.04796e-05	4.04803e-05	0.000221988	0.000181088	0.000181535	3.62332e-05	2.23371e-05	2.23372e-05
-24.3994	0.000341746	0.000335632	0.000336394	6.62762e-05	4.05797e-05	4.05802e-05	0.000235671	0.000194526	0.000195005	3.88869e-05	2.39619e-05	2.39621e-05
-24.3594	0.000339355	0.000337948	0.000338288	6.66439e-05	4.06806e-05	4.06808e-05	0.000249259	0.000208058	0.00020855	4.15553e-05	2.55908e-05	2.55909e-05
-24.3193	0.000339751	0.00034043	0.000340425	6.70164e-05	4.07819e-05	4.07819e-05	0.000262863	0.000221689	0.00022218	4.42386e-05	2.72237e-05	2.72238e-05
-24.2793	0.000342439	0.000343063	0.000342762	6.73126e-05	4.08832e-05	4.0883e-05	0.000276574	0.000235425	0.000235905	4.69338e-05	2.88607e-05	2.88608e-05
-24.2392	0.000347211	0.000345848	0.000345273	6.74723e-05	4.0984e-05	4.09837e-05	0.000290476	0.000249273	0.000249729	4.96354e-05	3.05017e-05	3.05018e-05
-24.1992	0.000354241	0.0003488	0.000347957	6.75312e-05	4.10846e-05	4.10842e-05	0.00030466	0.000263239	0.000263661	5.23394e-05	3.21467e-05	3.21468e-05
-24.1592	0.000364022	0.000351955	0.000350829	6.75734e-05	4.11856e-05	4.1185e-05	0.000319236	0.000277331	0.000277709	5.5045e-05	3.37958e-05	3.37958e-05
-24.1191	0.000377252	0.000355359	0.000353918	6.76507e-05	4.12873e-05	4.12865e-05	0.000334341	0.00029156	0.00029188	5.77537e-05	3.54489e-05	3.5449e-05
-24.0791	0.000394815	0.000359072	0.000357265	6.77765e-05	4.13898e-05	4.13888e-05	0.000350149	0.000305937	0.000306184	6.04675e-05	3.71062e-05	3.71062e-05
