w	up_1	up_2	up_3	down_1	down_2	down_3	cumul_up_1	cumul_up_2	cumul_up_3	cumul_down_1	cumul_down_2	cumul_down_3	
-25	0.000348095	0.000321173	0.000321013	6.07767e-05	4.06892e-05	4.06878e-05	0	0	0	0	0	0
-24.96	0.000355793	0.000324001	0.000323814	6.09815e-05	4.07918e-05	4.07902e-05	1.42459e-05	1.2973e-05	1.29655e-05	2.4417e-06	1.63331e-06	1.63324e-06
-24.9199	0.000364409	0.000326949	0.000326731	6.11998e-05	4.08952e-05	4.08931e-05	2.88369e-05	2.60641e-05	2.60479e-05	4.89215e-06	3.27075e-06	3.2706e-06
-24.8799	0.000374086	0.000330036	0.000329777	6.1432e-05	4.09992e-05	4.09966e-05	4.38153e-05	3.92787e-05	3.92521e-05	7.35188e-06	4.91236e-06	4.91211e-06
-24.8398	0.000385	0.00033328	0.000332969	6.16765e-05	4.1104e-05	4.11006e-05	5.92308e-05	5.26233e-05	5.25842e-05	9.82141e-06	6.55817e-06	6.55778e-06
-24.7998	0.000397373	0.000336707	0.00033633	6.19317e-05	4.12094e-05	4.1205e-05	7.51416e-05	6.6105e-05	6.60509e-05	1.23012e-05	8.20819e-06	8.20763e-06
-24.7598	0.000411472	0.000340345	0.00033989	6.21975e-05	4.13154e-05	4.13097e-05	9.16169e-05	7.97324e-05	7.96601e-05	1.47916e-05	9.86246e-06	9.86167e-06
-24.7197	0.000427553	0.000344215	0.000343684	6.2467e-05	4.14218e-05	4.14149e-05	0.000108736	9.35148e-05	9.34212e-05	1.72927e-05	1.1521e-05	1.15199e-05
-24.6797	0.000445823	0.000348324	0.000347756	6.27134e-05	4.15279e-05	4.15203e-05	0.000126587	0.000107462	0.000107345	1.98038e-05	1.31838e-05	1.31824e-05
-24.6396	0.000466651	0.000352695	0.000352165	6.29078e-05	4.16328e-05	4.16257e-05	0.000145272	0.000121584	0.000121446	2.23226e-05	1.48508e-05	1.48491e-05
-24.5996	0.000490973	0.000357427	0.00035701	6.30584e-05	4.17366e-05	4.17312e-05	0.00016493	0.000135895	0.000135741	2.48475e-05	1.65219e-05	1.652e-05
-24.5596	0.000520263	0.000362693	0.000362425	6.32021e-05	4.18405e-05	4.18372e-05	0.000185762	0.000150417	0.000150252	2.73781e-05	1.81972e-05	1.81952e-05
-24.5195	0.000556142	0.000368689	0.000368554	6.33663e-05	4.19452e-05	4.19441e-05	0.00020803	0.00016518	0.000165009	2.99153e-05	1.98767e-05	1.98746e-05
-24.4795	0.000600061	0.000375631	0.000375492	6.35568e-05	4.2051e-05	4.20519e-05	0.000232056	0.00018022	0.000180044	3.24601e-05	2.15604e-05	2.15584e-05
-24.4394	0.000653177	0.000383776	0.000383247	6.37643e-05	4.21577e-05	4.21603e-05	0.000258209	0.000195586	0.000195389	3.50132e-05	2.32484e-05	2.32465e-05
-24.3994	0.000717474	0.00039349	0.000391887	6.39771e-05	4.22651e-05	4.22691e-05	0.000286937	0.000211342	0.00021108	3.75749e-05	2.49407e-05	2.49389e-05
-24.3594	0.000797938	0.000405344	0.0004019	6.41964e-05	4.23732e-05	4.23783e-05	0.000318886	0.000227572	0.000227172	4.01453e-05	2.66373e-05	2.66358e-05
-24.3193	0.000901544	0.000419946	0.000414139	6.44372e-05	4.2482e-05	4.24885e-05	0.000354984	0.000244386	0.000243755	4.27254e-05	2.83383e-05	2.8337e-05
-24.2793	0.00103085	0.000437242	0.000429208	6.47127e-05	4.25918e-05	4.26001e-05	0.00039626	0.000261894	0.00026094	4.53165e-05	3.00437e-05	3.00427e-05
-24.2392	0.00117322	0.000455189	0.000446536	6.50224e-05	4.27025e-05	4.27131e-05	0.000443235	0.000280119	0.000278819	4.792e-05	3.17535e-05	3.1753e-05
-24.1992	0.00129293	0.000469168	0.000463323	6.53402e-05	4.28138e-05	4.28266e-05	0.000495004	0.000298905	0.000297371	5.05362e-05	3.34678e-05	3.34677e-05
-24.1592	0.00134973	0.00047533	0.000475072	6.56089e-05	4.29251e-05	4.29391e-05	0.000549047	0.000317937	0.000316393	5.31632e-05	3.51865e-05	3.5187e-05
-24.1191	0.00134012	0.000475256	0.000479553	6.57831e-05	4.30357e-05	4.30491e-05	0.000602706	0.000336966	0.000335594	5.57971e-05	3.69096e-05	3.69107e-05
-24.0791	0.00130402	0.000474231	0.000479946	6.58851e-05	4.31461e-05	4.31572e-05	0.000654919	0.000355954	0.000354811	5.84352e-05	3.86372e-05	3.86387e-05
-24.039	0.00128723	0.000476587	0.000481676	6.59748e-05	4.32569e-05	4.32654e-05	0.000706459	0.000375037	0.000374097	6.10768e-05	4.03692e-05	4.03711e-05
-23.999	0.00131607	0.000484464	0.000488369	6.60915e-05	4.33686e-05	4.33749e-05	0.000759155	0.000394435	0.000393652	6.37231e-05	4.21057e-05	4.21078e-05
-23.959	0.00140272	0.000498996	0.000501836	6.62465e-05	4.34813e-05	4.34859e-05	0.00081532	0.000414415	0.000413745	6.63756e-05	4.38467e-05	4.3849e-05
-23.9189	0.00155749	0.000521468	0.000523507	6.64397e-05	4.35952e-05	4.35985e-05	0.000877682	0.000435294	0.000434707	6.90359e-05	4.55922e-05	4.55947e-05
-23.8789	0.00179521	0.000553815	0.000555287	6.667e-05	4.37103e-05	4.37127e-05	0.000949562	0.000457469	0.00045694	7.17053e-05	4.73424e-05	4.73449e-05
-23.8388	0.00213454	0.000598386	0.000599465	6.6938e-05	4.38268e-05	4.38285e-05	0.00103503	0.000481429	0.000480943	7.43855e-05	4.90972e-05	4.90998e-05
-23.7988	0.00258497	0.000656159	0.000656965	6.72432e-05	4.39447e-05	4.39458e-05	0.00113853	0.000507701	0.000507248	7.7078e-05	5.08568e-05	5.08594e-05
-23.7588	0.00310932	0.000721757	0.000722374	6.75755e-05	4.40635e-05	4.40643e-05	0.00126303	0.0005366	0.000536172	7.97837e-05	5.26211e-05	5.26238e-05
-23.7187	0.00357397	0.00077703	0.000777515	6.79026e-05	4.41822e-05	4.41827e-05	0.00140613	0.000567713	0.000567303	8.25025e-05	5.43901e-05	5.43928e-05
-23.6787	0.00379106	0.000797345	0.000797737	6.81787e-05	4.42991e-05	4.42994e-05	0.00155792	0.000599638	0.000599245	8.52324e-05	5.61639e-05	5.61666e-05
-23.6386	0.00369944	0.000776754	0.000777084	6.8385e-05	4.4414e-05	4.44141e-05	0.00170605	0.00063074	0.000630359	8.79705e-05	5.79422e-05	5.79449e-05
-23.5986	0.00340221	0.000732991	0.000733284	6.85387e-05	4.45279e-05	4.45278e-05	0.00184227	0.000660089	0.00065972	9.07148e-05	5.97251e-05	5.97278e-05
-23.5586	0.0030249	0.000685136	0.00068542	6.86648e-05	4.46422e-05	4.46419e-05	0.00196339	0.000687522	0.000687164	9.34642e-05	6.15126e-05	6.15153e-05
-23.5185	0.00267061	0.000644314	0.000644615	6.87911e-05	4.47574e-05	4.4757e-05	0.00207032	0.00071332	0.000712975	9.62186e-05	6.33047e-05	6.33074e-05
-23.4785	0.00241178	0.000615496	0.000615843	6.89419e-05	4.48738e-05	4.48734e-05	0.00216689	0.000737964	0.000737633	9.8979e-05	6.51014e-05	6.51041e-05
-23.4384	0.00227764	0.000599546	0.000599974	6.91281e-05	4.49915e-05	4.4991e-05	0.00225809	0.00076197	0.000761656	0.000101747	6.69029e-05	6.69055e-05
-23.3984	0.00227321	0.000595725	0.000596278	6.93522e-05	4.51104e-05	4.51099e-05	0.00234911	0.000785823	0.000785531	0.000104524	6.87091e-05	6.87117e-05
-23.3584	0.00240175	0.000603482	0.000604223	6.96156e-05	4.52305e-05	4.52299e-05	0.00244527	0.000809987	0.000809724	0.000107311	7.05201e-05	7.05227e-05
-23.3183	0.00267199	0.000622904	0.000623921	6.99222e-05	4.53517e-05	4.5351e-05	0.00255226	0.000834928	0.000834706	0.000110111	7.2336e-05	7.23386e-05
-23.2783	0.00308691	0.000653777	0.000655198	7.02785e-05	4.5474e-05	4.54734e-05	0.00267586	0.000861105	0.00086094	0.000112925	7.41568e-05	7.41594e-05
-23.2382	0.00360717	0.000692824	0.000694835	7.06877e-05	4.55976e-05	4.55969e-05	0.00282029	0.000888846	0.000888761	0.000115755	7.59825e-05	7.59851e-05
-23.1982	0.00410382	0.000730284	0.00073315	7.11334e-05	4.57221e-05	4.57214e-05	0.00298461	0.000918086	0.000918117	0.000118603	7.78132e-05	7.78157e-05
-23.1582	0.00437766	0.000751633	0.00075571	7.15537e-05	4.58469e-05	4.58462e-05	0.00315989	0.000948182	0.000948375	0.000121468	7.9649e-05	7.96514e-05
-23.1181	0.00428461	0.000747006	0.000752682	7.18519e-05	4.5971e-05	4.59703e-05	0.00333145	0.000978092	0.000978513	0.000124345	8.14896e-05	8.14921e-05
-23.0781	0.00386129	0.000719868	0.000727315	7.19901e-05	4.6094e-05	4.60932e-05	0.00348605	0.00100692	0.00100763	0.000127228	8.33352e-05	8.33377e-05
-23.038	0.00330233	0.000684571	0.000693104	7.20404e-05	4.62167e-05	4.62159e-05	0.00361828	0.00103433	0.00103539	0.000130112	8.51858e-05	8.51881e-05
-22.998	0.00278179	0.00065355	0.000660936	7.20963e-05	4.63403e-05	4.63394e-05	0.00372966	0.00106049	0.00106185	0.000132999	8.70412e-05	8.70436e-05
-22.958	0.00236672	0.000631599	0.000634522	7.22037e-05	4.64654e-05	4.64642e-05	0.00382442	0.00108578	0.00108726	0.00013589	8.89017e-05	8.8904e-05
-22.9179	0.00206301	0.000619165	0.000614807	7.23716e-05	4.65919e-05	4.65906e-05	0.00390703	0.00111057	0.00111187	0.000138788	9.07673e-05	9.07695e-05
-22.8779	0.00185762	0.000615253	0.000602042	7.25951e-05	4.67202e-05	4.67186e-05	0.00398141	0.00113521	0.00113598	0.000141695	9.26379e-05	9.26401e-05
-22.8378	0.00172868	0.000617748	0.000595445	7.28619e-05	4.68498e-05	4.6848e-05	0.00405062	0.00115994	0.00115982	0.000144612	9.45138e-05	9.45159e-05
-22.7978	0.00164583	0.000622732	0.000593302	7.3146e-05	4.698e-05	4.6978e-05	0.00411652	0.00118488	0.00118358	0.000147541	9.63949e-05	9.63969e-05
-22.7578	0.00157678	0.000625441	0.00059369	7.34077e-05	4.71096e-05	4.71074e-05	0.00417966	0.00120992	0.00120735	0.00015048	9.82812e-05	9.82831e-05
-22.7177	0.00150834	0.000624448	0.000595803	7.36234e-05	4.72376e-05	4.72354e-05	0.00424005	0.00123492	0.0012312	0.000153428	0.000100173	0.000100174
-22.6777	0.0014527	0.000623012	0.000600352	7.3813e-05	4.7365e-05	4.73627e-05	0.00429822	0.00125987	0.00125524	0.000156383	0.000102069	0.000102071
-22.6376	0.00142665	0.000624986	0.00060847	7.40132e-05	4.74931e-05	4.74906e-05	0.00435534	0.00128489	0.00127961	0.000159347	0.000103971	0.000103972
-22.5976	0.00143958	0.000632466	0.000621108	7.42465e-05	4.76227e-05	4.76199e-05	0.00441298	0.00131022	0.00130447	0.00016232	0.000105877	0.000105879
-22.5576	0.0014971	0.000646547	0.000639287	7.45217e-05	4.77543e-05	4.77509e-05	0.00447292	0.00133611	0.00133007	0.000165303	0.00010779	0.000107791
-22.5175	0.00160633	0.0006684	0.00066446	7.48445e-05	4.78879e-05	4.78836e-05	0.00453724	0.00136287	0.00135668	0.0001683	0.000109707	0.000109708
-22.4775	0.00177797	0.000699689	0.000698617	7.52234e-05	4.8024e-05	4.80182e-05	0.00460843	0.00139088	0.00138465	0.000171312	0.00011163	0.000111631
-22.4374	0.00202326	0.00074212	0.000743763	7.5671e-05	4.81628e-05	4.8155e-05	0.00468944	0.0014206	0.00141443	0.000174342	0.000113558	0.000113559
-22.3974	0.00234009	0.0007952	0.00079969	7.61981e-05	4.83047e-05	4.82939e-05	0.00478314	0.00145244	0.00144645	0.000177393	0.000115492	0.000115493
-22.3574	0.00268093	0.000851088	0.000858875	7.67937e-05	4.84491e-05	4.84347e-05	0.00489048	0.00148652	0.00148084	0.000180468	0.000117432	0.000117432
-22.3173	0.00292995	0.000890934	0.00090287	7.73778e-05	4.85932e-05	4.85757e-05	0.0050078	0.00152219	0.00151699	0.000183566	0.000119378	0.000119377
-22.2773	0.00298033	0.000897255	0.000914718	7.77442e-05	4.87294e-05	4.87138e-05	0.00512713	0.00155811	0.00155362	0.000186679	0.000121329	0.000121328
-22.2372	0.00286976	0.000875576	0.000900466	7.76261e-05	4.88486e-05	4.88459e-05	0.00524204	0.00159317	0.00158967	0.000189787	0.000123285	0.000123283
-22.1972	0.00273694	0.000847651	0.000881804	7.71069e-05	4.89539e-05	4.89738e-05	0.00535163	0.00162711	0.00162498	0.000192874	0.000125245	0.000125244
-22.1572	0.00267803	0.00082916	0.00087263	7.67864e-05	4.90663e-05	4.91052e-05	0.00545885	0.00166031	0.00165992	0.000195949	0.00012721	0.00012721
-22.1171	0.00271223	0.000824611	0.000873461	7.69701e-05	4.91977e-05	4.92428e-05	0.00556745	0.00169333	0.00169489	0.000199031	0.00012918	0.000129182
-22.0771	0.00282861	0.000833379	0.000880105	7.74105e-05	4.93405e-05	4.93823e-05	0.00568071	0.0017267	0.00173013	0.00020213	0.000131155	0.000131159
-22.037	0.00302807	0.000854517	0.00089267	7.78669e-05	4.94861e-05	4.95207e-05	0.00580195	0.00176091	0.00176587	0.000205248	0.000133137	0.000133142
-21.997	0.00329655	0.000885264	0.000912618	7.82865e-05	4.96314e-05	4.96589e-05	0.00593395	0.00179636	0.00180241	0.000208383	0.000135124	0.00013513
-21.957	0.00354244	0.000916466	0.000933765	7.86701e-05	4.97759e-05	4.97978e-05	0.00607579	0.00183305	0.0018398	0.000211533	0.000137117	0.000137124
-21.9169	0.00362467	0.000935538	0.000944318	7.90048e-05	4.99196e-05	4.99378e-05	0.00622092	0.00187051	0.00187761	0.000214696	0.000139116	0.000139124
-21.8769	0.00351325	0.000940656	0.000942107	7.92942e-05	5.00628e-05	5.00788e-05	0.00636159	0.00190818	0.00191533	0.000217871	0.00014112	0.000141129
-21.8368	0.00333933	0.000944554	0.000939131	7.95756e-05	5.02062e-05	5.02212e-05	0.0064953	0.001946	0.00195294	0.000221057	0.000143131	0.00014314
-21.7968	0.00324795	0.000961324	0.000948667	7.98888e-05	5.03504e-05	5.03656e-05	0.00662534	0.00198449	0.00199092	0.000224256	0.000145147	0.000145157
-21.7568	0.00331623	0.000999663	0.000978552	8.02579e-05	5.0496e-05	5.05124e-05	0.00675813	0.00202452	0.0020301	0.00022747	0.000147168	0.000147179
-21.7167	0.00358181	0.00106573	0.001034	8.0699e-05	5.0643e-05	5.06621e-05	0.00690154	0.00206719	0.0020715	0.000230701	0.000149196	0.000149208
-21.6767	0.00407916	0.00116631	0.00112089	8.12298e-05	5.0792e-05	5.08151e-05	0.00706487	0.00211389	0.00211639	0.000233953	0.00015123	0.000151242
-21.6366	0.00484577	0.0013083	0.00124598	8.18687e-05	5.09433e-05	5.09724e-05	0.0072589	0.00216627	0.00216627	0.000237231	0.00015327	0.000153283
-21.5966	0.0058829	0.001491	0.0014115	8.26197e-05	5.10968e-05	5.11341e-05	0.00749445	0.00222597	0.00222279	0.000240539	0.000155316	0.000155331
-21.5566	0.00704398	0.00168654	0.00159935	8.34304e-05	5.12519e-05	5.12987e-05	0.00777649	0.0022935	0.00228683	0.00024388	0.000157368	0.000157385
-21.5165	0.00790803	0.00182173	0.00175019	8.41408e-05	5.14058e-05	5.14608e-05	0.00809313	0.00236644	0.00235691	0.000247249	0.000159426	0.000159445
-21.4765	0.00795609	0.00181705	0.00178213	8.45268e-05	5.15551e-05	5.16125e-05	0.00841169	0.0024392	0.00242826	0.000250633	0.00016149	0.000161512
