w	up_1	up_2	up_3	down_1	down_2	down_3	cumul_up_1	cumul_up_2	cumul_up_3	cumul_down_1	cumul_down_2	cumul_down_3	
-25	0.000525199	0.000307754	0.000310028	6.38064e-05	3.95012e-05	3.95033e-05	0	0	0	0	0	0
-24.96	0.000499371	0.000308587	0.000309656	6.39458e-05	3.95968e-05	3.9599e-05	1.99948e-05	1.23558e-05	1.23986e-05	2.56039e-06	1.58546e-06	1.58554e-06
-24.9199	0.000476401	0.000310015	0.000309479	6.40855e-05	3.96932e-05	3.96945e-05	3.90699e-05	2.47688e-05	2.47902e-05	5.12638e-06	3.17477e-06	3.17491e-06
-24.8799	0.000461002	0.000312169	0.000309718	6.42529e-05	3.97907e-05	3.97905e-05	5.75285e-05	3.72681e-05	3.71913e-05	7.69907e-06	4.76799e-06	4.76813e-06
-24.8398	0.000454755	0.000314959	0.000310501	6.44777e-05	3.98895e-05	3.98875e-05	7.57369e-05	4.98791e-05	4.96238e-05	1.02808e-05	6.36517e-06	6.36522e-06
-24.7998	0.00045287	0.000317839	0.000311708	6.47557e-05	3.99894e-05	3.9986e-05	9.38698e-05	6.26054e-05	6.21046e-05	1.28736e-05	7.96635e-06	7.96626e-06
-24.7598	0.000446383	0.000319938	0.000313061	6.50513e-05	4.00898e-05	4.00856e-05	0.000111743	7.54157e-05	7.46396e-05	1.54782e-05	9.57154e-06	9.57129e-06
-24.7197	0.00043077	0.000320869	0.000314378	6.53281e-05	4.019e-05	4.01859e-05	0.000128991	8.82633e-05	8.72273e-05	1.8094e-05	1.11808e-05	1.11803e-05
-24.6797	0.000410087	0.000321133	0.000315686	6.55506e-05	4.02893e-05	4.02859e-05	0.000145411	0.000101122	9.98674e-05	2.07186e-05	1.27939e-05	1.27934e-05
-24.6396	0.000389903	0.000321379	0.000317044	6.5667e-05	4.03866e-05	4.03839e-05	0.000161023	0.00011399	0.000112562	2.33479e-05	1.4411e-05	1.44104e-05
-24.5996	0.000372817	0.000321917	0.000318484	6.56681e-05	4.04816e-05	4.04795e-05	0.00017595	0.000126879	0.000125314	2.59773e-05	1.60319e-05	1.60312e-05
-24.5596	0.00035967	0.000322836	0.000320059	6.56213e-05	4.05759e-05	4.05742e-05	0.000190352	0.000139805	0.000138129	2.86048e-05	1.76566e-05	1.76558e-05
-24.5195	0.000350472	0.000324134	0.000321808	6.55966e-05	4.06708e-05	4.06696e-05	0.000204384	0.000152784	0.000151014	3.12313e-05	1.9285e-05	1.92842e-05
-24.4795	0.000344704	0.000325758	0.000323732	6.5621e-05	4.07672e-05	4.07661e-05	0.000218186	0.000165827	0.000163977	3.38587e-05	2.09173e-05	2.09164e-05
-24.4394	0.000341708	0.000327648	0.000325813	6.56931e-05	4.08648e-05	4.08639e-05	0.000231868	0.000178946	0.000177022	3.64891e-05	2.25536e-05	2.25526e-05
-24.3994	0.000340936	0.000329755	0.000328028	6.58031e-05	4.09635e-05	4.09627e-05	0.000245519	0.00019215	0.000190156	3.91238e-05	2.41938e-05	2.41928e-05
