w	up_1	up_2	up_3	down_1	down_2	down_3	cumul_up_1	cumul_up_2	cumul_up_3	cumul_down_1	cumul_down_2	cumul_down_3	
-25	0.00047153	0.000309146	0.000312332	6.46252e-05	3.9482e-05	3.94831e-05	0	0	0	0	0	0
-24.96	0.000501883	0.000313331	0.000315973	6.48474e-05	3.95777e-05	3.95775e-05	2.00954e-05	1.25458e-05	1.26516e-05	2.59649e-06	1.58469e-06	1.58468e-06
-24.9199	0.000523798	0.000317458	0.000318613	6.49481e-05	3.96714e-05	3.96697e-05	4.10683e-05	2.52568e-05	2.54088e-05	5.19702e-06	3.17314e-06	3.17306e-06
-24.8799	0.000531024	0.000321165	0.000319788	6.49969e-05	3.97643e-05	3.97616e-05	6.23305e-05	3.81163e-05	3.82132e-05	7.79949e-06	4.7653e-06	4.76512e-06
-24.8398	0.000530109	0.000324714	0.000320102	6.50608e-05	3.98575e-05	3.98542e-05	8.35561e-05	5.11178e-05	5.10301e-05	1.04045e-05	6.3612e-06	6.36088e-06
-24.7998	0.000533096	0.000328716	0.000320534	6.51926e-05	3.99521e-05	3.99482e-05	0.000104901	6.42796e-05	6.38643e-05	1.30148e-05	7.96088e-06	7.9604e-06
-24.7598	0.00054311	0.000333138	0.000321504	6.54117e-05	4.0048e-05	4.00437e-05	0.000126647	7.76185e-05	7.67373e-05	1.56339e-05	9.5644e-06	9.56375e-06
-24.7197	0.000550044	0.000336795	0.000322795	6.56959e-05	4.0145e-05	4.01404e-05	0.000148671	9.11038e-05	8.96621e-05	1.82644e-05	1.11718e-05	1.1171e-05
-24.6797	0.000540429	0.000338248	0.000323995	6.59897e-05	4.02423e-05	4.02378e-05	0.00017031	0.000104647	0.000102635	2.09066e-05	1.27831e-05	1.27821e-05
-24.6396	0.000514678	0.000337597	0.000325045	6.62218e-05	4.03393e-05	4.03354e-05	0.000190918	0.000118165	0.00011565	2.35581e-05	1.43983e-05	1.43971e-05
-24.5996	0.000485811	0.000336323	0.000326229	6.63321e-05	4.04359e-05	4.04329e-05	0.00021037	0.000131631	0.000128712	2.62141e-05	1.60174e-05	1.60161e-05
-24.5596	0.000463792	0.000335587	0.000327767	6.63303e-05	4.05325e-05	4.05301e-05	0.00022894	0.000145068	0.000141836	2.887e-05	1.76403e-05	1.76389e-05
-24.5195	0.00044984	0.000335688	0.000329642	6.62936e-05	4.06294e-05	4.06275e-05	0.000246952	0.000158509	0.000155035	3.15244e-05	1.92671e-05	1.92656e-05
-24.4795	0.000439402	0.000336424	0.000331679	6.62828e-05	4.07271e-05	4.07256e-05	0.000264545	0.000171979	0.000168315	3.41783e-05	2.08978e-05	2.08963e-05
