w	up_1	up_2	up_3	down_1	down_2	down_3	cumul_up_1	cumul_up_2	cumul_up_3	cumul_down_1	cumul_down_2	cumul_down_3	
-30	0.000578883	0.000158054	0.000159693	5.37383e-05	3.01483e-05	3.01406e-05	0	0	0	0	0	0
-29.9625	0.000635927	0.000160394	0.000162086	5.38291e-05	3.02089e-05	3.01998e-05	2.38472e-05	6.01478e-06	6.07824e-06	2.01859e-06	1.13283e-06	1.13249e-06
-29.925	0.000668063	0.000162479	0.000164246	5.31986e-05	3.02652e-05	3.0256e-05	4.88996e-05	1.21077e-05	1.22374e-05	4.01354e-06	2.26778e-06	2.26709e-06
-29.8875	0.000676417	0.000164408	0.000166273	5.22604e-05	3.03194e-05	3.03111e-05	7.42652e-05	1.8273e-05	1.84727e-05	5.9733e-06	3.40475e-06	3.40376e-06
-29.85	0.000681476	0.000166661	0.00016865	5.13881e-05	3.03738e-05	3.0367e-05	9.98206e-05	2.45228e-05	2.4797e-05	7.90036e-06	4.54377e-06	4.54252e-06
-29.8125	0.000703099	0.000169684	0.000171827	5.07549e-05	3.04299e-05	3.04246e-05	0.000126187	3.0886e-05	3.12406e-05	9.80366e-06	5.68489e-06	5.68344e-06
-29.775	0.000747002	0.000173522	0.000175855	5.03805e-05	3.04881e-05	3.0484e-05	0.000154199	3.73931e-05	3.78351e-05	1.16929e-05	6.8282e-06	6.82659e-06
-29.7375	0.000800351	0.000177514	0.000180082	5.02045e-05	3.05478e-05	3.05447e-05	0.000184213	4.40498e-05	4.45882e-05	1.35756e-05	7.97374e-06	7.97202e-06
-29.7	0.000832589	0.000180205	0.000183063	5.01284e-05	3.0608e-05	3.06055e-05	0.000215435	5.08075e-05	5.14531e-05	1.54554e-05	9.12154e-06	9.11973e-06
-29.6625	0.000815958	0.000180282	0.000183503	5.00681e-05	3.06676e-05	3.06657e-05	0.000246033	5.75681e-05	5.83344e-05	1.7333e-05	1.02716e-05	1.02697e-05
-29.625	0.000755428	0.000178022	0.000181701	5.0012e-05	3.07268e-05	3.07253e-05	0.000274362	6.42439e-05	6.51482e-05	1.92084e-05	1.14238e-05	1.14219e-05
-29.5875	0.000681306	0.000174924	0.000179185	5.0006e-05	3.07864e-05	3.07853e-05	0.000299911	7.08036e-05	7.18677e-05	2.10836e-05	1.25783e-05	1.25763e-05
-29.55	0.000618522	0.000172202	0.000177211	5.00928e-05	3.08472e-05	3.08464e-05	0.000323105	7.72611e-05	7.85131e-05	2.29621e-05	1.37351e-05	1.37331e-05
-29.5125	0.000576934	0.000170313	0.000176298	5.02928e-05	3.09096e-05	3.09091e-05	0.00034474	8.36479e-05	8.51243e-05	2.48481e-05	1.48942e-05	1.48922e-05
-29.475	0.000557957	0.000169278	0.000176553	5.06169e-05	3.09737e-05	3.09736e-05	0.000365664	8.99958e-05	9.1745e-05	2.67462e-05	1.60557e-05	1.60537e-05
-29.4375	0.000561035	0.000168993	0.000177994	5.10794e-05	3.10399e-05	3.10402e-05	0.000386702	9.6333e-05	9.84198e-05	2.86617e-05	1.72197e-05	1.72177e-05
-29.4	0.000586431	0.000169364	0.000180689	5.17056e-05	3.11086e-05	3.11093e-05	0.000408694	0.000102684	0.000105196	3.06007e-05	1.83863e-05	1.83843e-05
-29.3625	0.000635518	0.000170338	0.000184764	5.25316e-05	3.11802e-05	3.11816e-05	0.000432526	0.000109072	0.000112124	3.25706e-05	1.95555e-05	1.95536e-05
-29.325	0.000708691	0.000171866	0.000190272	5.35951e-05	3.12555e-05	3.12576e-05	0.000459101	0.000115517	0.000119259	3.45804e-05	2.07276e-05	2.07257e-05
-29.2875	0.000799316	0.000173802	0.000196809	5.48976e-05	3.13343e-05	3.13373e-05	0.000489076	0.000122034	0.00012664	3.66391e-05	2.19027e-05	2.19009e-05
-29.25	0.000884116	0.000175746	0.000202907	5.6318e-05	3.14151e-05	3.1419e-05	0.00052223	0.000128625	0.000134249	3.8751e-05	2.30807e-05	2.30791e-05
-29.2125	0.000923745	0.000177046	0.000206077	5.75206e-05	3.14926e-05	3.14972e-05	0.000556871	0.000135264	0.000141977	4.0908e-05	2.42617e-05	2.42603e-05
