w	up_1	up_2	up_3	down_1	down_2	down_3	cumul_up_1	cumul_up_2	cumul_up_3	cumul_down_1	cumul_down_2	cumul_down_3	
-20	0.00349394	0.000576086	0.000572527	6.46184e-05	4.08017e-05	4.08017e-05	0	0	0	0	0	0
-19.975	0.00397264	0.000609093	0.000604627	6.4768e-05	4.08788e-05	4.08789e-05	9.93159e-05	1.52273e-05	1.51157e-05	1.6192e-06	1.02197e-06	1.02197e-06
-19.95	0.00457537	0.000649993	0.000644406	6.49149e-05	4.09561e-05	4.09562e-05	0.0002137	3.14772e-05	3.12258e-05	3.24207e-06	2.04587e-06	2.04588e-06
-19.925	0.00529105	0.000698763	0.000691721	6.50621e-05	4.10337e-05	4.10337e-05	0.000345977	4.89462e-05	4.85189e-05	4.86863e-06	3.07171e-06	3.07172e-06
-19.9	0.0060414	0.000752156	0.000743152	6.52114e-05	4.11114e-05	4.11115e-05	0.000497012	6.77501e-05	6.70977e-05	6.49891e-06	4.0995e-06	4.09951e-06
-19.875	0.00669695	0.000804582	0.000792902	6.53633e-05	4.11895e-05	4.11895e-05	0.000664436	8.78647e-05	8.69202e-05	8.13299e-06	5.12924e-06	5.12924e-06
-19.85	0.00721274	0.000855017	0.000839701	6.55176e-05	4.12678e-05	4.12678e-05	0.000844754	0.00010924	0.000107913	9.77093e-06	6.16093e-06	6.16094e-06
-19.825	0.00771587	0.000911032	0.000890921	6.56739e-05	4.13464e-05	4.13464e-05	0.00103765	0.000132016	0.000130186	1.14128e-05	7.19459e-06	7.1946e-06
-19.8	0.00835642	0.000979975	0.000954047	6.58319e-05	4.14252e-05	4.14252e-05	0.00124656	0.000156515	0.000154037	1.30586e-05	8.23022e-06	8.23023e-06
-19.775	0.00910451	0.00105623	0.00102454	6.59914e-05	4.15043e-05	4.15043e-05	0.00147417	0.000182921	0.00017965	1.47084e-05	9.26783e-06	9.26784e-06
-19.75	0.00969432	0.00111679	0.00108176	6.61521e-05	4.15836e-05	4.15836e-05	0.00171653	0.000210841	0.000206694	1.63622e-05	1.03074e-05	1.03074e-05
-19.725	0.00983011	0.00113733	0.00110373	6.63139e-05	4.16631e-05	4.16631e-05	0.00196228	0.000239274	0.000234288	1.802e-05	1.1349e-05	1.1349e-05
-19.7	0.00953921	0.00112085	0.00109325	6.64769e-05	4.17429e-05	4.17429e-05	0.00220077	0.000267295	0.000261619	1.96819e-05	1.23926e-05	1.23926e-05
-19.675	0.00915542	0.00109584	0.0010764	6.66409e-05	4.1823e-05	4.1823e-05	0.00242965	0.000294691	0.000288529	2.1348e-05	1.34381e-05	1.34382e-05
-19.65	0.00899226	0.00108892	0.00107776	6.68061e-05	4.19033e-05	4.19033e-05	0.00265446	0.000321914	0.000315473	2.30181e-05	1.44857e-05	1.44857e-05
-19.625	0.00921277	0.0011141	0.00111067	6.69724e-05	4.19839e-05	4.19839e-05	0.00288478	0.000349767	0.00034324	2.46924e-05	1.55353e-05	1.55353e-05
-19.6	0.00989576	0.00117838	0.00118235	6.714e-05	4.20647e-05	4.20647e-05	0.00313217	0.000379226	0.000372798	2.63709e-05	1.65869e-05	1.65869e-05
-19.575	0.0111074	0.00128765	0.00129924	6.73091e-05	4.21457e-05	4.21457e-05	0.00340985	0.000411418	0.000405279	2.80536e-05	1.76406e-05	1.76406e-05
-19.55	0.0129138	0.00144756	0.0014677	6.74797e-05	4.22271e-05	4.22271e-05	0.0037327	0.000447607	0.000441972	2.97406e-05	1.86963e-05	1.86963e-05
-19.525	0.0153183	0.00165756	0.00168787	6.76521e-05	4.23087e-05	4.23087e-05	0.00411566	0.000489046	0.000484169	3.14319e-05	1.9754e-05	1.9754e-05
-19.5	0.0181052	0.001897	0.00193947	6.7826e-05	4.23905e-05	4.23905e-05	0.00456829	0.000536471	0.000532655	3.31276e-05	2.08137e-05	2.08137e-05
-19.475	0.0206827	0.00211229	0.00216807	6.80007e-05	4.24727e-05	4.24727e-05	0.00508536	0.000589278	0.000586857	3.48276e-05	2.18756e-05	2.18756e-05
-19.45	0.022197	0.0022304	0.00229744	6.8176e-05	4.25551e-05	4.25551e-05	0.00564028	0.000645038	0.000644293	3.6532e-05	2.29394e-05	2.29394e-05
-19.425	0.0220104	0.00220275	0.00227397	6.83522e-05	4.26378e-05	4.26378e-05	0.00619054	0.000700107	0.000701143	3.82408e-05	2.40054e-05	2.40054e-05
-19.4	0.0202187	0.0020441	0.00211013	6.85294e-05	4.27207e-05	4.27207e-05	0.00669601	0.000751209	0.000753896	3.99541e-05	2.50734e-05	2.50734e-05
-19.375	0.0176498	0.00182558	0.00188027	6.87062e-05	4.28039e-05	4.28039e-05	0.00713726	0.000796849	0.000800903	4.16717e-05	2.61435e-05	2.61435e-05
-19.35	0.0151811	0.00161838	0.00166051	6.88793e-05	4.28872e-05	4.28872e-05	0.00751678	0.000837308	0.000842415	4.33937e-05	2.72157e-05	2.72157e-05
-19.325	0.01325	0.00145674	0.00148789	6.90474e-05	4.29707e-05	4.29707e-05	0.00784803	0.000873727	0.000879613	4.51199e-05	2.82899e-05	2.82899e-05
-19.3	0.0119333	0.00134577	0.00136816	6.92125e-05	4.30543e-05	4.30543e-05	0.00814637	0.000907371	0.000913817	4.68502e-05	2.93663e-05	2.93663e-05
-19.275	0.011167	0.00127946	0.00129499	6.93779e-05	4.31381e-05	4.31381e-05	0.00842554	0.000939357	0.000946191	4.85846e-05	3.04448e-05	3.04448e-05
-19.25	0.0108721	0.00125073	0.00126078	6.95453e-05	4.32223e-05	4.32223e-05	0.00869734	0.000970626	0.000977711	5.03233e-05	3.15253e-05	3.15253e-05
-19.225	0.0109982	0.00125478	0.00126027	6.97153e-05	4.33067e-05	4.33067e-05	0.0089723	0.001002	0.00100922	5.20662e-05	3.2608e-05	3.2608e-05
-19.2	0.011535	0.0012899	0.00129135	6.98875e-05	4.33914e-05	4.33914e-05	0.00926068	0.00103424	0.0010415	5.38133e-05	3.36928e-05	3.36928e-05
-19.175	0.0125149	0.00135757	0.00135517	7.00616e-05	4.34765e-05	4.34765e-05	0.00957355	0.00106818	0.00107538	5.55649e-05	3.47797e-05	3.47797e-05
-19.15	0.0140157	0.00146253	0.00145619	7.02374e-05	4.35618e-05	4.35618e-05	0.00992394	0.00110474	0.00111179	5.73208e-05	3.58687e-05	3.58687e-05
-19.125	0.0161611	0.00161274	0.00160207	7.04146e-05	4.36474e-05	4.36474e-05	0.010328	0.00114506	0.00115184	5.90812e-05	3.69599e-05	3.69599e-05
-19.1	0.0191021	0.00181819	0.00180243	7.0593e-05	4.37332e-05	4.37332e-05	0.0108055	0.00119052	0.0011969	6.0846e-05	3.80532e-05	3.80532e-05
-19.075	0.0229351	0.00208556	0.00206361	7.07726e-05	4.38194e-05	4.38194e-05	0.0113789	0.00124266	0.00124849	6.26153e-05	3.91487e-05	3.91487e-05
-19.05	0.027482	0.00240432	0.00237457	7.09532e-05	4.39058e-05	4.39058e-05	0.012066	0.00130277	0.00130785	6.43891e-05	4.02464e-05	4.02464e-05
-19.025	0.0319623	0.00272655	0.00268695	7.1135e-05	4.39925e-05	4.39925e-05	0.012865	0.00137093	0.00137503	6.61675e-05	4.13462e-05	4.13462e-05
-19	0.0350696	0.00297419	0.00292215	7.13177e-05	4.40795e-05	4.40795e-05	0.0137417	0.00144528	0.00144808	6.79505e-05	4.24482e-05	4.24482e-05
-18.975	0.0360662	0.00310962	0.00304188	7.15015e-05	4.41667e-05	4.41667e-05	0.0146434	0.00152302	0.00152413	6.9738e-05	4.35523e-05	4.35523e-05
-18.95	0.0357104	0.00318785	0.00310067	7.16865e-05	4.42543e-05	4.42543e-05	0.0155362	0.00160272	0.00160164	7.15302e-05	4.46587e-05	4.46587e-05
-18.925	0.0353626	0.00329135	0.00318254	7.18726e-05	4.43421e-05	4.43421e-05	0.0164202	0.001685	0.00168121	7.3327e-05	4.57672e-05	4.57672e-05
-18.9	0.0356057	0.00343973	0.0033134	7.206e-05	4.44302e-05	4.44302e-05	0.0173104	0.001771	0.00176404	7.51285e-05	4.6878e-05	4.6878e-05
-18.875	0.0360808	0.00358483	0.0034553	7.22489e-05	4.45186e-05	4.45186e-05	0.0182124	0.00186062	0.00185042	7.69347e-05	4.7991e-05	4.7991e-05
-18.85	0.0364449	0.00369508	0.00358205	7.24395e-05	4.46073e-05	4.46073e-05	0.0191235	0.001953	0.00193998	7.87457e-05	4.91061e-05	4.91061e-05
-18.825	0.0371786	0.00382402	0.00374177	7.26321e-05	4.46963e-05	4.46963e-05	0.020053	0.0020486	0.00203352	8.05615e-05	5.02235e-05	5.02236e-05
-18.8	0.0391293	0.00405886	0.00401252	7.28272e-05	4.47856e-05	4.47856e-05	0.0210312	0.00215007	0.00213383	8.23822e-05	5.13432e-05	5.13432e-05
-18.775	0.0426332	0.00443174	0.00442141	7.30248e-05	4.48752e-05	4.48752e-05	0.022097	0.00226086	0.00224437	8.42078e-05	5.24651e-05	5.24651e-05
-18.75	0.047132	0.00488194	0.00490673	7.32248e-05	4.49651e-05	4.49651e-05	0.0232753	0.00238291	0.00236704	8.60384e-05	5.35892e-05	5.35892e-05
-18.725	0.0514018	0.00528367	0.00534233	7.34257e-05	4.50553e-05	4.50553e-05	0.0245604	0.002515	0.0025006	8.78741e-05	5.47156e-05	5.47156e-05
-18.7	0.0544249	0.00554097	0.00563033	7.36251e-05	4.51458e-05	4.51457e-05	0.025921	0.00265353	0.00264135	8.97147e-05	5.58442e-05	5.58442e-05
-18.675	0.0559181	0.0056384	0.0057519	7.38217e-05	4.52365e-05	4.52364e-05	0.027319	0.00279449	0.00278515	9.15602e-05	5.69751e-05	5.69751e-05
-18.65	0.0556204	0.00556244	0.0056889	7.40163e-05	4.53274e-05	4.53274e-05	0.0287095	0.00293355	0.00292737	9.34106e-05	5.81083e-05	5.81083e-05
-18.625	0.0528867	0.00525958	0.00538363	7.42101e-05	4.54186e-05	4.54186e-05	0.0300316	0.00306504	0.00306196	9.52659e-05	5.92438e-05	5.92438e-05
-18.6	0.0479955	0.00475888	0.00486699	7.44033e-05	4.551e-05	4.55101e-05	0.0312315	0.00318401	0.00318364	9.7126e-05	6.03815e-05	6.03815e-05
-18.575	0.0426543	0.00421593	0.00430242	7.45953e-05	4.56018e-05	4.56018e-05	0.0322979	0.00328941	0.0032912	9.89909e-05	6.15216e-05	6.15216e-05
-18.55	0.0385591	0.00378071	0.00384672	7.47859e-05	4.56938e-05	4.56938e-05	0.0332619	0.00338392	0.00338737	0.00010086	6.26639e-05	6.26639e-05
-18.525	0.0364639	0.00351676	0.00356612	7.49764e-05	4.5786e-05	4.57861e-05	0.0341735	0.00347184	0.00347652	0.000102735	6.38086e-05	6.38086e-05
-18.5	0.0362663	0.0034139	0.00345051	7.51688e-05	4.58787e-05	4.58787e-05	0.0350801	0.00355719	0.00356278	0.000104614	6.49555e-05	6.49555e-05
-18.475	0.0370811	0.00340214	0.00342917	7.53642e-05	4.59716e-05	4.59716e-05	0.0360071	0.00364224	0.00364851	0.000106498	6.61048e-05	6.61048e-05
-18.45	0.0372572	0.00335845	0.00337832	7.5563e-05	4.60649e-05	4.60649e-05	0.0369386	0.0037262	0.00373297	0.000108387	6.72565e-05	6.72565e-05
-18.425	0.0352506	0.00317258	0.00318718	7.57651e-05	4.61585e-05	4.61586e-05	0.0378198	0.00380552	0.00381265	0.000110281	6.84104e-05	6.84104e-05
-18.4	0.031053	0.00284618	0.00285689	7.59709e-05	4.62525e-05	4.62526e-05	0.0385962	0.00387667	0.00388407	0.000112181	6.95667e-05	6.95667e-05
-18.375	0.0260123	0.00247312	0.00248085	7.61805e-05	4.63469e-05	4.63469e-05	0.0392465	0.0039385	0.00394609	0.000114085	7.07254e-05	7.07254e-05
-18.35	0.0213592	0.00213565	0.00214092	7.63947e-05	4.64417e-05	4.64417e-05	0.0397805	0.00399189	0.00399962	0.000115995	7.18864e-05	7.18864e-05
-18.325	0.0175807	0.00186434	0.00186744	7.66146e-05	4.65369e-05	4.65369e-05	0.04022	0.0040385	0.0040463	0.00011791	7.30499e-05	7.30499e-05
-18.3	0.0146772	0.00165738	0.00165845	7.68414e-05	4.66325e-05	4.66325e-05	0.0405869	0.00407994	0.00408776	0.000119831	7.42157e-05	7.42157e-05
-18.275	0.0124871	0.00150275	0.0015018	7.7076e-05	4.67286e-05	4.67286e-05	0.0408991	0.0041175	0.00412531	0.000121758	7.53839e-05	7.53839e-05
-18.25	0.0108406	0.00138829	0.00138525	7.7317e-05	4.68252e-05	4.68252e-05	0.0411701	0.00415221	0.00415994	0.000123691	7.65545e-05	7.65545e-05
-18.225	0.00960204	0.00130452	0.00129917	7.75577e-05	4.69221e-05	4.69221e-05	0.0414101	0.00418482	0.00419242	0.00012563	7.77276e-05	7.77276e-05
-18.2	0.00867355	0.00124467	0.00123666	7.77857e-05	4.70189e-05	4.70189e-05	0.041627	0.00421594	0.00422334	0.000127575	7.8903e-05	7.89031e-05
-18.175	0.00798888	0.0012044	0.00119319	7.79905e-05	4.71155e-05	4.71155e-05	0.0418267	0.00424605	0.00425317	0.000129525	8.00809e-05	8.00809e-05
-18.15	0.00750708	0.00118131	0.0011661	7.81747e-05	4.72118e-05	4.72118e-05	0.0420144	0.00427558	0.00428232	0.000131479	8.12612e-05	8.12612e-05
-18.125	0.00720676	0.00117463	0.00115428	7.83506e-05	4.73082e-05	4.73082e-05	0.0421946	0.00430495	0.00431117	0.000133438	8.24439e-05	8.24439e-05
-18.1	0.00708183	0.00118494	0.00115783	7.85292e-05	4.7405e-05	4.7405e-05	0.0423716	0.00433457	0.00434012	0.000135401	8.36291e-05	8.36291e-05
-18.075	0.00713858	0.00121403	0.00117791	7.8715e-05	4.75023e-05	4.75023e-05	0.0425501	0.00436492	0.00436957	0.000137369	8.48166e-05	8.48166e-05
-18.05	0.00738975	0.0012642	0.00121621	7.89084e-05	4.76e-05	4.76e-05	0.0427348	0.00439653	0.00439997	0.000139342	8.60066e-05	8.60066e-05
-18.025	0.00783587	0.00133603	0.00127327	7.9108e-05	4.76982e-05	4.76982e-05	0.0429307	0.00442993	0.00443181	0.000141319	8.71991e-05	8.71991e-05
-18	0.00842129	0.00142299	0.00134426	7.93126e-05	4.77968e-05	4.77968e-05	0.0431412	0.00446551	0.00446541	0.000143302	8.8394e-05	8.8394e-05
-17.975	0.00898262	0.00150508	0.00141417	7.95211e-05	4.78959e-05	4.78959e-05	0.0433658	0.00450313	0.00450077	0.00014529	8.95914e-05	8.95914e-05
-17.95	0.00930285	0.00155572	0.00146307	7.97327e-05	4.79953e-05	4.79953e-05	0.0435984	0.00454202	0.00453734	0.000147283	9.07913e-05	9.07913e-05
-17.925	0.00933467	0.00156939	0.00148747	7.99469e-05	4.80951e-05	4.80951e-05	0.0438317	0.00458126	0.00457453	0.000149282	9.19936e-05	9.19937e-05
-17.9	0.00929301	0.00157288	0.00150915	8.01634e-05	4.81952e-05	4.81952e-05	0.0440641	0.00462058	0.00461226	0.000151286	9.31985e-05	9.31985e-05
-17.875	0.00945617	0.00160055	0.00155636	8.03819e-05	4.82957e-05	4.82957e-05	0.0443005	0.0046606	0.00465117	0.000153296	9.44059e-05	9.44059e-05
-17.85	0.0100121	0.00167543	0.00164924	8.06022e-05	4.83966e-05	4.83966e-05	0.0445508	0.00470248	0.0046924	0.000155311	9.56158e-05	9.56158e-05
