w	up_1	down_1	cumul_up_1	cumul_down_1	
-10	0.000858902	0.0772145	0	0
-9.9625	0.000877578	0.0759397	3.29092e-05	0.00284774
-9.925	0.000891477	0.0738	6.63396e-05	0.00561524
-9.8875	0.000900378	0.0711836	0.000100104	0.00828463
-9.85	0.000903852	0.0686806	0.000133998	0.0108602
-9.8125	0.000902648	0.0666553	0.000167848	0.0133597
-9.775	0.000899861	0.0652388	0.000201592	0.0158062
-9.7375	0.00089869	0.0643997	0.000235293	0.0182212
-9.7	0.000900685	0.0639417	0.000269069	0.020619
-9.6625	0.000906053	0.063522	0.000303046	0.0230011
-9.625	0.000914459	0.0627028	0.000337338	0.0253524
-9.5875	0.000925497	0.0611691	0.000372044	0.0276463
-9.55	0.000938877	0.0589494	0.000407252	0.0298569
-9.5125	0.000954465	0.056334	0.000443045	0.0319694
-9.475	0.000972295	0.053639	0.000479506	0.0339808
-9.4375	0.000992562	0.0510918	0.000516727	0.0358968
-9.4	0.00101562	0.0488394	0.000554812	0.0377283
-9.3625	0.00104194	0.0469833	0.000593885	0.0394901
-9.325	0.00107192	0.0455878	0.000634082	0.0411997
-9.2875	0.00110545	0.0446341	0.000675536	0.0428735
-9.25	0.00114142	0.0439365	0.00071834	0.0445211
-9.2125	0.0011783	0.0431642	0.000762526	0.0461397
-9.175	0.00121662	0.0421152	0.000808149	0.0477191
-9.1375	0.00126025	0.0409756	0.000855409	0.0492556
-9.1	0.00131455	0.0401713	0.000904704	0.0507621
-9.0625	0.00138437	0.0399012	0.000956618	0.0522584
-9.025	0.00147277	0.0398638	0.00101185	0.0537533
-8.9875	0.00157788	0.0395799	0.00107102	0.0552375
-8.95	0.00168627	0.0388908	0.00113425	0.0566959
-8.9125	0.00176807	0.0379985	0.00120056	0.0581208
-8.875	0.00179173	0.0372222	0.00126775	0.0595167
-8.8375	0.00175698	0.0368612	0.00133363	0.060899
-8.8	0.00169595	0.0371586	0.00139723	0.0622924
-8.7625	0.00163953	0.038211	0.00145871	0.0637253
-8.725	0.00160106	0.0398536	0.00151875	0.0652198
-8.6875	0.00158195	0.0417254	0.00157808	0.0667845
-8.65	0.00157954	0.0434292	0.00163731	0.0684131
-8.6125	0.00159083	0.0446575	0.00169696	0.0700878
-8.575	0.00161383	0.0455753	0.00175748	0.0717969
-8.5375	0.00164778	0.0469413	0.00181927	0.0735572
-8.5	0.00169267	0.0496064	0.00188275	0.0754174
-8.4625	0.00174859	0.0541893	0.00194832	0.0774495
-8.425	0.00181501	0.0611451	0.00201638	0.0797425
-8.3875	0.00189113	0.0708191	0.0020873	0.0823982
-8.35	0.00197756	0.0832176	0.00216146	0.0855188
-8.3125	0.00207536	0.0974993	0.00223929	0.0891751
-8.275	0.00218091	0.111813	0.00232107	0.0933681
-8.2375	0.0022855	0.124362	0.00240678	0.0980316
-8.2	0.00238198	0.134844	0.0024961	0.103088
-8.1625	0.00246284	0.144275	0.00258846	0.108499
-8.125	0.00251575	0.153453	0.0026828	0.114253
-8.0875	0.00253986	0.162224	0.00277804	0.120336
-8.05	0.0025564	0.169956	0.00287391	0.12671
-8.0125	0.00259026	0.175976	0.00297104	0.133309
-7.975	0.00265402	0.179687	0.00307057	0.140047
-7.9375	0.00274547	0.180828	0.00317352	0.146828
-7.9	0.00284693	0.179766	0.00328028	0.153569
-7.8625	0.00293018	0.177068	0.00339017	0.16021
-7.825	0.00297958	0.17303	0.0035019	0.166698
-7.7875	0.00300962	0.168307	0.00361476	0.17301
-7.75	0.00304723	0.164489	0.00372903	0.179178
-7.7125	0.00311017	0.163218	0.00384566	0.185299
-7.675	0.00320561	0.165074	0.00396587	0.191489
-7.6375	0.00333677	0.16919	0.004091	0.197834
-7.6	0.00350746	0.173623	0.00422253	0.204344
-7.5625	0.00372393	0.176326	0.00436218	0.210957
-7.525	0.00399467	0.176119	0.00451198	0.217561
-7.4875	0.00432787	0.172873	0.00467427	0.224044
-7.45	0.00472536	0.167116	0.00485148	0.230311
-7.4125	0.00517525	0.159678	0.00504555	0.236299
-7.375	0.00564246	0.151331	0.00525714	0.241974
-7.3375	0.00605118	0.142529	0.00548406	0.247318
-7.3	0.00630568	0.133421	0.00572052	0.252322
-7.2625	0.00639291	0.124044	0.00596026	0.256973
-7.225	0.00641853	0.114607	0.00620095	0.261271
-7.1875	0.00650562	0.105712	0.00644491	0.265235
-7.15	0.00672594	0.0982252	0.00669713	0.268919
-7.1125	0.00711316	0.0927911	0.00696388	0.272398
-7.075	0.00769035	0.0895767	0.00725227	0.275757
-7.0375	0.00847784	0.0884325	0.00757018	0.279074
-7	0.00947377	0.0891328	0.00792545	0.282416
-6.9625	0.0106044	0.0914927	0.00832312	0.285847
-6.925	0.0116874	0.0953745	0.00876139	0.289424
-6.8875	0.0125192	0.100613	0.00923087	0.293197
-6.85	0.0130501	0.106842	0.00972024	0.297203
-6.8125	0.013401	0.113159	0.0102228	0.301447
-6.775	0.0137257	0.117665	0.0107375	0.305859
-6.7375	0.0140767	0.117441	0.0112654	0.310263
-6.7	0.0144235	0.110141	0.0118063	0.314394
-6.6625	0.0148158	0.0965937	0.0123618	0.318016
-6.625	0.0154235	0.0805791	0.0129402	0.321038
-6.5875	0.0164235	0.0656452	0.0135561	0.323499
-6.55	0.0179497	0.0533567	0.0142292	0.3255
-6.5125	0.0201229	0.0437995	0.0149838	0.327143
-6.475	0.023077	0.0364947	0.0158492	0.328511
-6.4375	0.0269302	0.0308966	0.0168591	0.32967
-6.4	0.0316767	0.0265552	0.018047	0.330666
-6.3625	0.0370351	0.0231366	0.0194358	0.331533
-6.325	0.0424532	0.020401	0.0210278	0.332298
-6.2875	0.0473389	0.0181777	0.022803	0.33298
-6.25	0.0513337	0.0163444	0.024728	0.333593
-6.2125	0.0547236	0.0148129	0.0267801	0.334148
-6.175	0.0586712	0.0135186	0.0289803	0.334655
-6.1375	0.0646227	0.0124141	0.0314037	0.335121
-6.1	0.0732784	0.0114633	0.0341516	0.335551
-6.0625	0.0836963	0.0106376	0.0372902	0.33595
-6.025	0.0929062	0.00991417	0.0407742	0.336321
-5.9875	0.0974997	0.00927471	0.0444304	0.336669
-5.95	0.0968382	0.00870554	0.0480619	0.336996
-5.9125	0.0934668	0.00819592	0.0515669	0.337303
-5.875	0.0902864	0.0077366	0.0549526	0.337593
-5.8375	0.0884699	0.00732045	0.0582702	0.337868
-5.8	0.087384	0.00694264	0.0615471	0.338128
-5.7625	0.0857699	0.00659934	0.0647635	0.338375
-5.725	0.0830476	0.00628683	0.0678778	0.338611
-5.6875	0.0798081	0.00600158	0.0708706	0.338836
-5.65	0.0773002	0.00574046	0.0737693	0.339051
-5.6125	0.0764772	0.00550076	0.0766372	0.339258
-5.575	0.0776066	0.00528016	0.0795475	0.339456
-5.5375	0.0804533	0.00507666	0.0825645	0.339646
-5.5	0.0844404	0.00488844	0.085731	0.339829
-5.4625	0.088595	0.0047137	0.0890533	0.340006
-5.425	0.0914906	0.00455069	0.0924842	0.340177
-5.3875	0.0915867	0.00439789	0.0959187	0.340342
-5.35	0.0881123	0.00425442	0.0992229	0.340501
-5.3125	0.0818137	0.00411994	0.102291	0.340656
-5.275	0.0746347	0.00399417	0.10509	0.340806
-5.2375	0.0684361	0.00387667	0.107656	0.340951
-5.2	0.0640821	0.0037669	0.110059	0.341092
-5.1625	0.0614452	0.00366437	0.112363	0.34123
-5.125	0.0596579	0.00356864	0.114601	0.341363
-5.0875	0.0576603	0.00347932	0.116763	0.341494
-5.05	0.0551049	0.00339592	0.118829	0.341621
-5.0125	0.0524581	0.00331761	0.120796	0.341746
-4.975	0.0502571	0.00324313	0.122681	0.341867
-4.9375	0.0487158	0.00317127	0.124508	0.341986
-4.9	0.04782	0.00310171	0.126301	0.342103
-4.8625	0.0474744	0.00303512	0.128081	0.342216
-4.825	0.0475601	0.00297243	0.129865	0.342328
-4.7875	0.0479173	0.00291418	0.131662	0.342437
-4.75	0.0482686	0.0028605	0.133472	0.342544
-4.7125	0.04823	0.00281136	0.135281	0.34265
-4.675	0.0476165	0.00276667	0.137066	0.342754
-4.6375	0.0466842	0.00272607	0.138817	0.342856
-4.6	0.0458629	0.0026883	0.140537	0.342957
-4.5625	0.045397	0.00265084	0.142239	0.343056
