w	up_1	down_1	cumul_up_1	cumul_down_1	
-10	0.00088304	0.0028649	0	0
-9.9625	0.000891513	0.0029568	3.34317e-05	0.00011088
-9.925	0.000905807	0.0030353	6.73995e-05	0.000224704
-9.8875	0.000926425	0.00307925	0.00010214	0.000340176
-9.85	0.000954411	0.00307388	0.000137931	0.000455446
-9.8125	0.000991286	0.00301667	0.000175104	0.000568571
-9.775	0.00103854	0.00293321	0.000214049	0.000678567
-9.7375	0.00109612	0.00286056	0.000255154	0.000785838
-9.7	0.0011598	0.00281996	0.000298646	0.000891586
-9.6625	0.00122075	0.00281524	0.000344424	0.000997158
-9.625	0.00127048	0.00284401	0.000392068	0.00110381
-9.5875	0.00130375	0.00290499	0.000440958	0.00121275
-9.55	0.00131565	0.00299811	0.000490295	0.00132517
-9.5125	0.00130571	0.00312047	0.000539259	0.00144219
-9.475	0.00128312	0.0032611	0.000587376	0.00156448
-9.4375	0.00126188	0.00340037	0.000634697	0.001692
-9.4	0.00125257	0.00352581	0.000681668	0.00182422
-9.3625	0.00125888	0.00365092	0.000728876	0.00196112
-9.325	0.0012772	0.00380467	0.000776771	0.0021038
-9.2875	0.00129599	0.00400674	0.00082537	0.00225405
-9.25	0.00130082	0.00425281	0.000874151	0.00241353
-9.2125	0.00128764	0.00450495	0.000922438	0.00258247
-9.175	0.00126621	0.00470194	0.000969921	0.00275879
-9.1375	0.00124815	0.00481479	0.00101673	0.00293935
-9.1	0.00123909	0.00488532	0.00106319	0.00312254
-9.0625	0.00124009	0.00498034	0.0011097	0.00330931
-9.025	0.00125059	0.00513525	0.00115659	0.00350188
-8.9875	0.00127005	0.00533941	0.00120422	0.00370211
-8.95	0.00129856	0.00554364	0.00125292	0.00390999
-8.9125	0.001337	0.00569759	0.00130305	0.00412365
-8.875	0.00138708	0.0058043	0.00135507	0.00434131
-8.8375	0.00145087	0.00591419	0.00140948	0.0045631
-8.8	0.00152943	0.00607286	0.00146683	0.00479083
-8.7625	0.00161961	0.00630109	0.00152757	0.00502712
-8.725	0.00171129	0.00660495	0.00159174	0.00527481
-8.6875	0.00179151	0.00698782	0.00165892	0.00553685
-8.65	0.00185279	0.00745685	0.0017284	0.00581648
-8.6125	0.00189043	0.00802531	0.00179929	0.00611743
-8.575	0.0018991	0.00871329	0.00187051	0.00644418
-8.5375	0.00188395	0.00954852	0.00194116	0.00680225
-8.5	0.00186475	0.010566	0.00201108	0.00719847
-8.4625	0.00186134	0.0118018	0.00208088	0.00764104
-8.425	0.00188346	0.0132758	0.00215151	0.00813888
-8.3875	0.00193122	0.0149704	0.00222393	0.00870027
-8.35	0.00199559	0.0168569	0.00229877	0.00933241
-8.3125	0.00205688	0.0190053	0.0023759	0.0100451
-8.275	0.00209356	0.021627	0.00245441	0.0108561
-8.2375	0.00210309	0.0249389	0.00253328	0.0117913
-8.2	0.00210498	0.0289885	0.00261221	0.0128784
-8.1625	0.00212033	0.033591	0.00269173	0.0141381
-8.125	0.00216079	0.0385261	0.00277275	0.0155828
-8.0875	0.00223188	0.0438444	0.00285645	0.017227
-8.05	0.00233834	0.0496761	0.00294414	0.0190898
-8.0125	0.00248644	0.0558058	0.00303738	0.0211825
-7.975	0.00268299	0.061885	0.00313799	0.0235032
-7.9375	0.00292868	0.0679354	0.00324782	0.0260508
-7.9	0.00320214	0.0742407	0.0033679	0.0288348
-7.8625	0.00344319	0.0806854	0.00349702	0.0318605
-7.825	0.00357599	0.0864135	0.00363112	0.035101
-7.7875	0.00358231	0.0902371	0.00376545	0.0384849
-7.75	0.00351453	0.091542	0.00389725	0.0419177
-7.7125	0.00342128	0.0906583	0.00402555	0.0453174
-7.675	0.00331973	0.0879656	0.00415004	0.0486161
-7.6375	0.00322687	0.0833759	0.00427104	0.0517427
-7.6	0.00316621	0.0770983	0.00438978	0.0546339
-7.5625	0.00315217	0.07004	0.00450798	0.0572604
-7.525	0.00318686	0.0633837	0.00462749	0.0596373
-7.4875	0.00326355	0.058175	0.00474987	0.0618189
-7.45	0.0033649	0.0550085	0.00487606	0.0638817
-7.4125	0.00346185	0.0538522	0.00500588	0.0659011
-7.375	0.0035309	0.0542379	0.00513829	0.0679351
-7.3375	0.00357903	0.0556366	0.0052725	0.0700214
-7.3	0.00363493	0.0576649	0.00540881	0.0721839
-7.2625	0.0037214	0.0600649	0.00554836	0.0744363
-7.225	0.00384513	0.0625988	0.00569255	0.0767838
-7.1875	0.00399772	0.0649429	0.00584247	0.0792191
-7.15	0.00415932	0.0666312	0.00599844	0.0817178
-7.1125	0.00431452	0.0671598	0.00616024	0.0842363
-7.075	0.00447192	0.0663025	0.00632793	0.0867226
-7.0375	0.0046563	0.0643178	0.00650255	0.0891345
-7	0.00488487	0.0617234	0.00668573	0.0914492
-6.9625	0.00515547	0.0589588	0.00687906	0.0936601
