w	up_1	up_2	up_3	down_1	down_2	down_3	cumul_up_1	cumul_up_2	cumul_up_3	cumul_down_1	cumul_down_2	cumul_down_3	
-20	0.0324533	0.00409113	0.004095	6.43219e-05	4.25766e-05	4.25766e-05	0	0	0	0	0	0
-19.975	0.0323761	0.00401853	0.00402386	6.4488e-05	4.26594e-05	4.26594e-05	0.000809402	0.000100463	0.000100596	1.6122e-06	1.06649e-06	1.06649e-06
-19.95	0.0320108	0.00390481	0.00391214	6.46554e-05	4.27426e-05	4.27426e-05	0.00160967	0.000198083	0.0001984	3.22858e-06	2.13505e-06	2.13505e-06
-19.925	0.0325739	0.00389599	0.00390607	6.48238e-05	4.2826e-05	4.2826e-05	0.00242402	0.000295483	0.000296052	4.84918e-06	3.2057e-06	3.2057e-06
-19.9	0.0348275	0.00407647	0.00409025	6.49938e-05	4.29097e-05	4.29097e-05	0.00329471	0.000397395	0.000398308	6.47402e-06	4.27844e-06	4.27844e-06
-19.875	0.0392339	0.00449183	0.0045103	6.51676e-05	4.29938e-05	4.29938e-05	0.00427556	0.000509691	0.000511065	8.10321e-06	5.35329e-06	5.35329e-06
-19.85	0.0461202	0.0051694	0.00519286	6.53471e-05	4.30783e-05	4.30783e-05	0.00542856	0.000638926	0.000640887	9.73689e-06	6.43025e-06	6.43025e-06
-19.825	0.0555038	0.00609759	0.00612359	6.5533e-05	4.31631e-05	4.31631e-05	0.00681616	0.000791365	0.000793976	1.13752e-05	7.50932e-06	7.50932e-06
-19.8	0.0664562	0.00715231	0.0071729	6.57226e-05	4.32482e-05	4.32483e-05	0.00847756	0.000970173	0.000973299	1.30183e-05	8.59053e-06	8.59053e-06
-19.775	0.0764144	0.00802651	0.00802988	6.59078e-05	4.33335e-05	4.33335e-05	0.0103879	0.00117084	0.00117405	1.4666e-05	9.67387e-06	9.67387e-06
-19.75	0.0818521	0.00834054	0.00832235	6.60779e-05	4.34187e-05	4.34187e-05	0.0124342	0.00137935	0.0013821	1.63179e-05	1.07593e-05	1.07593e-05
-19.725	0.0806231	0.00794994	0.00791927	6.62291e-05	4.35036e-05	4.35036e-05	0.0144498	0.0015781	0.00158009	1.79736e-05	1.18469e-05	1.18469e-05
-19.7	0.0733752	0.00705903	0.00702728	6.63682e-05	4.35886e-05	4.35885e-05	0.0162842	0.00175457	0.00175577	1.96329e-05	1.29366e-05	1.29366e-05
-19.675	0.0628267	0.00600948	0.00598234	6.65057e-05	4.36737e-05	4.36737e-05	0.0178549	0.00190481	0.00190533	2.12955e-05	1.40285e-05	1.40285e-05
-19.65	0.052057	0.00506027	0.00503906	6.66477e-05	4.37593e-05	4.37592e-05	0.0191563	0.00203132	0.0020313	2.29617e-05	1.51225e-05	1.51225e-05
-19.625	0.0430199	0.00432582	0.00430999	6.67958e-05	4.38452e-05	4.38452e-05	0.0202318	0.00213946	0.00213905	2.46316e-05	1.62186e-05	1.62186e-05
-19.6	0.0363189	0.00382145	0.00380992	6.69494e-05	4.39315e-05	4.39315e-05	0.0211397	0.002235	0.0022343	2.63053e-05	1.73169e-05	1.73169e-05
-19.575	0.0318358	0.00352567	0.00351741	6.71074e-05	4.40181e-05	4.40181e-05	0.0219356	0.00232314	0.00232224	2.7983e-05	1.84173e-05	1.84173e-05
-19.55	0.0292755	0.00341538	0.00340961	6.72689e-05	4.41051e-05	4.41051e-05	0.0226675	0.00240853	0.00240748	2.96647e-05	1.952e-05	1.952e-05
-19.525	0.0283792	0.00347464	0.0034708	6.74331e-05	4.41924e-05	4.41924e-05	0.023377	0.00249539	0.00249425	3.13506e-05	2.06248e-05	2.06248e-05
-19.5	0.028894	0.0036833	0.00368104	6.75995e-05	4.428e-05	4.428e-05	0.0240994	0.00258747	0.00258627	3.30405e-05	2.17318e-05	2.17318e-05
