w	up_1	up_2	up_3	down_1	down_2	down_3	cumul_up_1	cumul_up_2	cumul_up_3	cumul_down_1	cumul_down_2	cumul_down_3	
-30	0.000640153	0.000171207	0.000180849	8.74457e-05	2.9852e-05	2.98823e-05	0	0	0	0	0	0
-29.9625	0.00071059	0.000172161	0.000186912	8.95642e-05	2.99136e-05	2.99743e-05	2.66471e-05	6.45603e-06	7.00919e-06	3.35866e-06	1.12176e-06	1.12403e-06
-29.925	0.000778962	0.000173338	0.000192572	9.1568e-05	2.99758e-05	3.00639e-05	5.58582e-05	1.29562e-05	1.42306e-05	6.79246e-06	2.24585e-06	2.25143e-06
-29.8875	0.000806533	0.000173971	0.000195548	9.23465e-05	3.00324e-05	3.01341e-05	8.61032e-05	1.94801e-05	2.15637e-05	1.02554e-05	3.37207e-06	3.38146e-06
-29.85	0.000768314	0.000173562	0.000194376	9.11838e-05	3.00791e-05	3.01738e-05	0.000114915	2.59887e-05	2.88528e-05	1.36748e-05	4.50003e-06	4.51298e-06
-29.8125	0.00068104	0.000172379	0.000190116	8.85814e-05	3.01185e-05	3.01911e-05	0.000140454	3.24529e-05	3.59821e-05	1.69966e-05	5.62948e-06	5.64514e-06
-29.775	0.000581695	0.000171062	0.000185046	8.563e-05	3.01568e-05	3.02029e-05	0.000162268	3.88677e-05	4.29214e-05	2.02078e-05	6.76036e-06	6.77775e-06
-29.7375	0.000494414	0.000170023	0.000180653	8.30414e-05	3.01977e-05	3.02203e-05	0.000180808	4.52436e-05	4.96959e-05	2.33218e-05	7.89277e-06	7.91102e-06
-29.7	0.000426039	0.000169373	0.000177366	8.10191e-05	3.02424e-05	3.02465e-05	0.000196785	5.15951e-05	5.63471e-05	2.636e-05	9.02686e-06	9.04526e-06
-29.6625	0.00037496	0.000169073	0.000175094	7.95174e-05	3.02905e-05	3.02807e-05	0.000210846	5.79353e-05	6.29131e-05	2.93419e-05	1.01628e-05	1.01808e-05
-29.625	0.000337445	0.000169052	0.000173619	7.84279e-05	3.03415e-05	3.03214e-05	0.0002235	6.42747e-05	6.94238e-05	3.2283e-05	1.13006e-05	1.13178e-05
-29.5875	0.000310051	0.000169241	0.000172733	7.76504e-05	3.03947e-05	3.03668e-05	0.000235127	7.06213e-05	7.59013e-05	3.51949e-05	1.24404e-05	1.24566e-05
