model	E_kin	D	U	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	t	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tp	tpp	ave_D	ave_mu	ave_t	ave_tp	ave_tpp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_sb7_1	ave_sb8_1	ave_t_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	ave_tp_1	E0_1	sector_1	n_1	githash	version	GS_consistency	method	iterations	dist_function	convergence	script	time	
2x2_2C_8b_C2v_L	-0.98027228	0	10	-0.15127966	0.30857444	0.63470919	-0.23519092	0.23515498	0.63463008	0.63055498	-0.21903956	2	-5.0097189e-05	4.2888666e-05	0.074891998	-0.13243957	0.195314	0.074858938	1.8339927e-05	3.078689e-05	1	-0.10149053	0.16187019	-0.36655418	0.19530706	-0.13238707	0.36657837	-0.52819076	-0.25670165	-0.7	0.001000001	0.005033471	0.90828826	-0.77763553	0.28920655	-0.19216854	0.022342079	1.9853254	0.21113518	0.12993387	1.6834832	0.31654113	0.13001566	0.070877179	1.8819986	0.90254979	0.00077739052	-1.010324e-05	-0.01218506	0.89075451	-1.0318952	-0.012041233	-2.8273193e-05	-6.8508434e-05	-0.46231676	0.23139113	-1.5477283	1.1251318	-1.0318917	0.89076707	-1.1255372	0.59724589	0.93124102	0.024208134	-11.297351	R0:S0:1	0.90254979	b8cfe21	v2.4.3	Y	Broyden	9	sharp_wc_2.0_b_35	self-energy/D	run_optim.py	2024-06-14@17:58
2x2_2C_8b_C2v_L	-0.98023847	0	10.001	-0.15128218	0.30849931	0.63439917	-0.23510947	0.23518693	0.63482608	0.63046905	-0.21901206	2	0.00019642505	-0.00015928936	0.074893918	-0.1323837	0.19527638	0.074857069	-8.1037425e-07	-3.8459249e-05	1	-0.10148098	0.16185619	-0.36654824	0.19533846	-0.13241392	0.36657234	-0.52817077	-0.25669219	-0.7	0.001000001	0.0050324332	0.90827977	-0.77759945	0.28920981	-0.19215805	0.022336972	1.9853225	0.21117184	0.13009757	1.6833024	0.31641401	0.12987145	0.070886111	1.8819796	0.90254129	-0.0031231259	-5.0088776e-05	-0.01213532	0.89106085	-1.0318203	-0.012109816	-9.4653513e-05	0.00015686389	-0.46228211	0.23140095	-1.5477385	1.1259367	-1.0319509	0.89037978	-1.1247668	0.59728844	0.93124883	0.024215665	-11.297014	R0:S0:1	0.90254129	b8cfe21	v2.4.3	Y	Broyden	10	sharp_wc_2.0_b_35	self-energy/D	run_optim.py	2024-06-14@18:36
2x2_2C_8b_C2v_L	-0.98019853	0	10	-0.15119759	0.30821966	0.6350254	-0.23535298	0.23526601	0.63456583	0.63065046	-0.21940315	2.001	-0.00025274539	0.00021650312	0.074948112	-0.13258373	0.19536837	0.074971415	3.5577329e-05	9.2686249e-05	1	-0.10150136	0.16180215	-0.36645129	0.19531365	-0.13252466	0.36642918	-0.5281192	-0.25685847	-0.7	0.001000001	0.0050278549	0.90837872	-0.77760628	0.28914315	-0.19204652	0.022349506	1.9853127	0.21110052	0.12969108	1.6836981	0.31655489	0.12990105	0.070801646	1.8820539	0.90262849	0.003894647	-6.5135169e-05	-0.012365427	0.890809	-1.0317053	-0.012351891	-4.4565935e-06	-0.00023593237	-0.46232614	0.2313993	-1.5474005	1.1240992	-1.0315378	0.89127819	-1.1251497	0.59703088	0.93126118	0.024194629	-11.301789	R0:S0:1	0.90262849	b8cfe21	v2.4.3	Y	Broyden	8	sharp_wc_2.0_b_35	self-energy/D	run_optim.py	2024-06-14@19:07
2x2_2C_8b_C2v_L	-0.97984068	0	10	-0.14988392	0.3081515	0.63542339	-0.23523761	0.23521702	0.63552021	0.63093603	-0.22000951	2	5.5103039e-05	-4.1944656e-05	0.075008062	-0.13279119	0.19516621	0.07499813	-1.1332111e-05	-2.3697694e-05	1	-0.10127132	0.16190659	-0.36631395	0.19517526	-0.13279538	0.36632601	-0.52794138	-0.25694302	-0.699	0.001000001	0.0050269891	0.90833011	-0.77796193	0.28853611	-0.19200724	0.02234376	1.9853336	0.2110237	0.12957386	1.6834256	0.3165532	0.12954964	0.070638238	1.8822381	0.90258193	-0.00082776521	2.4860842e-05	-0.012424545	0.89240767	-1.0315386	-0.012420125	1.4024125e-05	5.2514172e-05	-0.46247342	0.23108015	-1.5477119	1.1239654	-1.0315566	0.89236436	-1.1238627	0.596478	0.93118157	0.024061596	-11.296142	R0:S0:1	0.90258193	b8cfe21	v2.4.3	Y	Broyden	13	sharp_wc_2.0_b_35	self-energy/D	run_optim.py	2024-06-14@19:56
2x2_2C_8b_C2v_L	-0.98084113	0	10	-0.15085891	0.30886294	0.63473059	-0.23521953	0.23516102	0.63458626	0.63038939	-0.21871386	2	-0.00012398745	0.00010873508	0.074929913	-0.13259605	0.19543937	0.074922212	3.9913368e-06	2.7459326e-05	1	-0.10146185	0.16222513	-0.36683971	0.19543755	-0.13255446	0.3668414	-0.52815908	-0.25648065	-0.7	0.002000001	0.0050769816	0.90813123	-0.77781932	0.28947902	-0.19324787	0.022350178	1.9853071	0.21180233	0.1301364	1.6825637	0.31752313	0.13022914	0.070905131	1.881923	0.90241397	0.0018804485	-6.5949226e-05	-0.011905064	0.89214964	-1.0337459	-0.011842956	2.6787715e-05	-8.1359728e-05	-0.4623014	0.23164978	-1.5500984	1.1259793	-1.0337211	0.89230667	-1.1264439	0.59708182	0.93159973	0.024313486	-11.297393	R0:S0:1	0.90241397	b8cfe21	v2.4.3	Y	Broyden	8	sharp_wc_2.0_b_35	self-energy/D	run_optim.py	2024-06-14@20:28
2x2_2C_8b_C2v_L	-0.98093036	0	10.0005	-0.15231689	0.30898877	0.63366805	-0.23512787	0.23524493	0.63400347	0.6301102	-0.21804839	2.0005	0.0001761839	-0.00015854957	0.074762734	-0.13209363	0.19553417	0.074782537	-2.6866755e-05	-6.4404132e-05	1	-0.10169794	0.16198003	-0.36688531	0.19555598	-0.13216657	0.36689393	-0.52837467	-0.25641741	-0.701	0.001500001	0.0050553027	0.90821138	-0.77736787	0.28997617	-0.19279642	0.022345808	1.9852983	0.21155275	0.13050999	1.6830638	0.31678251	0.13035764	0.071096385	1.8817443	0.90248846	-0.0026878753	8.0777046e-05	-0.011614692	0.88987285	-1.0329446	-0.011715666	1.9098506e-05	0.00015560289	-0.46214511	0.23185267	-1.5487278	1.1272983	-1.0330519	0.88968461	-1.1265651	0.59783857	0.93146091	0.024399417	-11.300198	R0:S0:1	0.90248846	b8cfe21	v2.4.3	Y	Broyden	7	sharp_wc_2.0_b_35	self-energy/D	run_optim.py	2024-06-14@20:56
2x2_2C_8b_C2v_L	-0.98095866	0	10.00075	-0.15176695	0.30912889	0.63409707	-0.23506874	0.23506169	0.63410178	0.63015365	-0.21803559	1.99925	2.7094036e-05	-2.6732003e-05	0.07476122	-0.13219942	0.19546776	0.074767323	1.198044e-05	1.3034051e-05	1	-0.10157215	0.16214854	-0.3669878	0.19547461	-0.1322091	0.36698308	-0.52833596	-0.25630753	-0.7005	0.001750001	0.0050708983	0.90807933	-0.77761293	0.28980403	-0.19314489	0.02233798	1.9853101	0.21178975	0.13049034	1.6827136	0.31729621	0.13049579	0.071079468	1.8817541	0.90236476	-0.00037536324	4.9599476e-05	-0.011492622	0.89067981	-1.0336594	-0.011511977	-3.2509887e-05	-1.9013465e-05	-0.4621887	0.23177894	-1.5498612	1.1272765	-1.0336931	0.89076296	-1.1273123	0.59769682	0.93159251	0.024380877	-11.294658	R0:S0:1	0.90236476	b8cfe21	v2.4.3	Y	Broyden	11	sharp_wc_2.0_b_35	self-energy/D	run_optim.py	2024-06-14@21:37
2x2_2C_8b_C2v_L	-0.98124992	0	9.999625	-0.15159544	0.30930027	0.63444995	-0.23525867	0.23521082	0.63385324	0.63013374	-0.21792796	1.999875	-0.00036574313	0.00031237831	0.074789864	-0.13232481	0.19562669	0.074862534	2.4055884e-05	9.9886081e-05	1	-0.10157817	0.16224449	-0.36709467	0.19555174	-0.13228729	0.36705119	-0.52834378	-0.25627545	-0.70075	0.002125001	0.0050837737	0.90807817	-0.77761732	0.29000555	-0.19351288	0.022351614	1.9852996	0.21190889	0.13036463	1.6826985	0.31765518	0.13065871	0.071082194	1.881743	0.90237428	0.005618881	-0.0001112505	-0.011514655	0.89066958	-1.0342667	-0.011580686	6.9287885e-05	-0.00029074227	-0.46220633	0.23185657	-1.5503354	1.1266312	-1.0341227	0.8915525	-1.1281268	0.59760997	0.93166559	0.0244235	-11.297469	R0:S0:1	0.90237428	b8cfe21	v2.4.3	Y	Broyden	10	sharp_wc_2.0_b_35	self-energy/D	run_optim.py	2024-06-14@22:16
2x2_2C_8b_C2v_L	-0.98177875	0	9.9989375	-0.15201718	0.30954694	0.63368014	-0.23516066	0.23522438	0.63400308	0.62988608	-0.21726568	1.9998125	0.00015576851	-0.00012112524	0.074835538	-0.13224582	0.19568191	0.07477979	-2.3716441e-05	-6.578565e-05	1	-0.10166932	0.16242225	-0.36731898	0.19572917	-0.13225958	0.36734708	-0.52843142	-0.25600729	-0.701125	0.002687501	0.0051147402	0.90797326	-0.77762468	0.2904363	-0.19420469	0.022357871	1.9852843	0.21238315	0.13087443	1.6817991	0.31795135	0.13072775	0.071203084	1.8815922	0.90227976	-0.0024909945	-6.3347233e-05	-0.011356745	0.89166729	-1.035397	-0.01123566	-1.4337235e-05	0.00017975298	-0.46214719	0.23217961	-1.5517855	1.1288699	-1.0355589	0.8911514	-1.1281018	0.59783051	0.93188888	0.024548972	-11.297641	R0:S0:1	0.90227976	b8cfe21	v2.4.3	Y	Broyden	8	sharp_wc_2.0_b_35	self-energy/D	run_optim.py	2024-06-14@22:48
2x2_2C_8b_C2v_L	-0.98198344	0	10.000094	-0.15231494	0.30970159	0.63333555	-0.23505958	0.23521651	0.63387623	0.62970941	-0.21696108	1.9997812	0.0002722249	-0.00022915849	0.074777678	-0.13213711	0.19573424	0.074771519	-3.9192281e-06	-6.0250136e-05	1	-0.10172751	0.16252377	-0.36744519	0.19578812	-0.13223353	0.36746451	-0.52845314	-0.25589148	-0.7013125	0.002968751	0.0051263593	0.90790846	-0.77757391	0.29064364	-0.1945315	0.022353774	1.985274	0.2126297	0.13108087	1.6815003	0.31820495	0.13084267	0.071265792	1.8815063	0.90222353	-0.0042241811	3.2799045e-05	-0.01107984	0.8915911	-1.0359334	-0.01113356	-9.3837868e-05	0.00020004335	-0.46207364	0.2323451	-1.5525152	1.129652	-1.0361714	0.89119012	-1.1284833	0.59797553	0.93201376	0.024615388	-11.297681	R0:S0:1	0.90222353	b8cfe21	v2.4.3	Y	Broyden	9	sharp_wc_2.0_b_35	self-energy/D	run_optim.py	2024-06-14@23:23
