model	E_kin	D	U	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	t	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tp	tpp	ave_D	ave_mu	ave_t	ave_tp	ave_tpp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_sb7_1	ave_sb8_1	ave_t_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	ave_tp_1	E0_1	sector_1	n_1	githash	version	GS_consistency	method	iterations	dist_function	convergence	script	time	
2x2_2C_8b_C2v_L	-0.807686	0	12	0.1253054	0.16915209	0.57317395	0.2500427	0.57311641	0.25005167	0.53154176	0.31465208	2.2	0.00022763936	0.16776971	0.11583137	0.19354467	0.11583397	0.19354008	2.1883774e-05	0.26665714	1	-0.13917231	0.00021675499	-0.25162148	0.16456277	0.25160894	-0.1645716	0.38927202	-2.4489196e-05	-0.4	1e-09	-0.0051038573	0.91855183	-0.75293249	0.13688378	-0.10317907	0.016718389	0.21701089	0.058082404	0.063692064	0.29190683	0.063694162	0.29190903	0.037399789	0.093944629	0.91489456	-0.00054894143	-0.34947443	-0.14064461	-0.90003046	-0.14065002	-0.90000182	-5.6786392e-05	-0.84027127	-0.43966427	1.3623969	-0.0019183945	0.77451768	-0.9977707	-0.77452141	0.99782112	-0.46042858	3.3207502e-05	-0.001532392	-10.450018	R0:S0:1	0.91489456	b8cfe21	v2.4.3	Y	Broyden	0	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-14@19:20
2x2_2C_8b_C2v_L	-0.80766002	0	12.001	0.12529784	0.16914514	0.57316287	0.25004179	0.57312131	0.25004338	0.53153991	0.31464735	2.2	0.00022474145	0.1677671	0.11582936	0.19354423	0.11583144	0.19354014	2.1431267e-05	0.26665721	1	-0.13916961	0.00020988394	-0.25162299	0.16456176	0.25161113	-0.16456864	0.38927064	-2.4132777e-05	-0.4	1e-09	-0.0051029834	0.91854575	-0.75290589	0.13688532	-0.10317733	0.016715519	0.21702892	0.058086464	0.063693627	0.29191974	0.063693675	0.29192461	0.037401344	0.093951558	0.91488974	-0.0005515568	-0.34948434	-0.14062872	-0.90002897	-0.14063787	-0.90001227	-5.7573313e-05	-0.84027728	-0.43964041	1.3624043	-0.0018475771	0.77452435	-0.99777568	-0.77451608	0.99781503	-0.46044847	3.0868825e-05	-0.0015304589	-10.449949	R0:S0:1	0.91488974	b8cfe21	v2.4.3	Y	Broyden	0	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-14@19:21
2x2_2C_8b_C2v_L	-0.80751409	0	12	0.12518381	0.16919811	0.57320094	0.25011177	0.57313075	0.25010926	0.53145027	0.31469321	2.201	0.00023663715	0.16783348	0.11593951	0.19357039	0.11594236	0.19356442	7.8437043e-06	0.26670888	1	-0.13905533	0.00022162631	-0.25143907	0.16459885	0.25141438	-0.16460979	0.38910457	-1.3838996e-05	-0.4	1e-09	-0.005131376	0.918653	-0.75277112	0.13685742	-0.10306286	0.016723627	0.21678303	0.058092616	0.063573517	0.29170026	0.063568617	0.29170531	0.037359925	0.093889599	0.91499847	-0.00057648616	-0.34932067	-0.14092317	-0.89951039	-0.14094797	-0.89949233	-1.7888877e-05	-0.83993761	-0.43965986	1.3613968	-0.0019547981	0.77374272	-0.99759836	-0.77369037	0.99763542	-0.46021944	1.9910028e-05	-0.0015466311	-10.453349	R0:S0:1	0.91499847	b8cfe21	v2.4.3	Y	Broyden	6	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-14@19:30
2x2_2C_8b_C2v_L	-0.80751243	0	12	0.12514322	0.16966119	0.57305297	0.25008475	0.57304922	0.2500918	0.53141883	0.31455623	2.2	0.00012786863	0.16814697	0.11594393	0.19355713	0.11592765	0.19356425	1.9107019e-05	0.26651818	1	-0.13914676	0.0001209673	-0.2513542	0.16459083	0.2513701	-0.16457998	0.38895658	-2.286496e-05	-0.399	1e-09	-0.0051295642	0.9185533	-0.75304819	0.13650186	-0.10302065	0.016720602	0.2169462	0.058203189	0.06358533	0.29197808	0.063595426	0.29196999	0.03734892	0.093872265	0.91490536	-0.00031011355	-0.34976522	-0.14099259	-0.90022158	-0.14093453	-0.90022669	-5.1471067e-05	-0.8399885	-0.43974246	1.3619394	-0.0010673584	0.77378271	-0.99823236	-0.77386304	0.99820232	-0.46004287	2.9640505e-05	-0.0016108703	-10.449573	R0:S0:1	0.91490536	b8cfe21	v2.4.3	Y	Broyden	6	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-14@19:39
2x2_2C_8b_C2v_L	-0.80808082	0	12	0.1250215	0.16966926	0.57309604	0.25023191	0.57314298	0.25025287	0.53139166	0.31479968	2.2	0.00033869307	0.16807919	0.11594383	0.19357605	0.11598483	0.19356486	3.4345723e-05	0.26658152	1	-0.13942532	0.0003246602	-0.25177367	0.1648031	0.25175479	-0.16483803	0.38921254	-4.0397646e-05	-0.4	0.001000001	-0.0050606728	0.91843534	-0.7531464	0.1370762	-0.10394496	0.016719064	0.21799618	0.058378933	0.063773341	0.29221559	0.063763008	0.29223757	0.037402453	0.094008415	0.9147752	-0.0008194593	-0.35072045	-0.14097766	-0.90067187	-0.14108289	-0.90062333	-8.8885592e-05	-0.84079138	-0.43965015	1.3649454	-0.0028696378	0.77491273	-0.99858909	-0.77483401	0.99875268	-0.46029376	5.4936073e-05	-0.0014515107	-10.451118	R0:S0:1	0.9147752	b8cfe21	v2.4.3	Y	Broyden	6	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-14@19:47
2x2_2C_8b_C2v_L	-0.80710922	0	12.0005	0.12546519	0.16890956	0.57314435	0.24988844	0.57312486	0.24994157	0.53159727	0.31449759	2.2005	5.5164948e-05	0.16768651	0.11582575	0.1935375	0.11584233	0.19353582	3.150995e-06	0.26670042	1	-0.13884196	6.0281237e-05	-0.2512302	0.16434114	0.25121367	-0.16436246	0.38907919	-1.5734356e-06	-0.3995	-0.000999999	-0.005175061	0.91871817	-0.75268428	0.13648863	-0.10227647	0.016720245	0.21586872	0.057849473	0.063499374	0.29154996	0.063490879	0.29153376	0.03735015	0.093818137	0.91506981	-0.00010913115	-0.34828807	-0.14062595	-0.89926159	-0.14066689	-0.89922299	-3.9288104e-06	-0.83945382	-0.43970585	1.3590766	-0.00055843199	0.77336095	-0.99708447	-0.773289	0.9971124	-0.46026185	6.2257645e-06	-0.0016605249	-10.450308	R0:S0:1	0.91506981	b8cfe21	v2.4.3	Y	Broyden	1	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-14@19:50
2x2_2C_8b_C2v_L	-0.80663199	0	12.00075	0.12566578	0.16850832	0.57316464	0.24975698	0.57315764	0.24978319	0.531711	0.31435647	2.20075	-0.00010288973	0.16747944	0.11576112	0.19353089	0.11577849	0.19353487	-1.6239618e-05	0.26676457	1	-0.13855307	-0.00010190203	-0.25096826	0.16410802	0.25095442	-0.16411735	0.38901373	1.4455453e-05	-0.39925	-0.001999999	-0.0052331435	0.9188582	-0.75245906	0.13619494	-0.10144834	0.016720941	0.21483748	0.05759546	0.063369504	0.29121037	0.063355921	0.29120125	0.037322962	0.093727729	0.91521413	0.00024317819	-0.34710019	-0.1404114	-0.89857205	-0.14047263	-0.89858924	4.2917763e-05	-0.83881259	-0.43973276	1.3561972	0.00090658815	0.77263246	-0.99633076	-0.77252289	0.99628472	-0.46024019	-1.9221442e-05	-0.0017627357	-10.449934	R0:S0:1	0.91521413	b8cfe21	v2.4.3	Y	Broyden	0	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-14@19:51
2x2_2C_8b_C2v_L	-0.80700746	0	11.999375	0.12534808	0.16912757	0.57320284	0.24998808	0.57319158	0.24999163	0.53155081	0.31447393	2.200875	3.2792229e-05	0.16785579	0.11590727	0.19357511	0.11591049	0.19356781	-5.3779037e-07	0.26666483	1	-0.13877882	2.8586999e-05	-0.25108155	0.16436284	0.25106165	-0.16436796	0.38890033	-3.6468079e-06	-0.399125	-0.000999999	-0.0051985063	0.91876454	-0.75269522	0.13633429	-0.10217663	0.016726434	0.21573584	0.057898466	0.063415004	0.29145957	0.063401097	0.29144767	0.037312961	0.093759961	0.91512038	-7.7213855e-05	-0.34833075	-0.1408189	-0.89913463	-0.14085095	-0.89913047	4.5717002e-06	-0.83919528	-0.43976135	1.3584793	-0.00025465775	0.77283253	-0.99717192	-0.77272067	0.99712938	-0.4600116	7.5926955e-06	-0.0016988884	-10.451463	R0:S0:1	0.91512038	b8cfe21	v2.4.3	Y	Broyden	0	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-14@19:52
2x2_2C_8b_C2v_L	-0.80665027	0	12.000062	0.12537765	0.16911407	0.57316285	0.24992755	0.57311473	0.24994906	0.53155183	0.31438304	2.2013125	-8.7742968e-05	0.16789895	0.1159386	0.19358245	0.11594222	0.19358034	-9.9671429e-06	0.26667213	1	-0.13859187	-7.9339043e-05	-0.25080094	0.16426013	0.25077982	-0.16426445	0.38871415	1.0002518e-05	-0.3986875	-0.001499999	-0.0052432122	0.91886264	-0.75255542	0.13606489	-0.10167871	0.016727472	0.21513012	0.057808396	0.063276674	0.29127989	0.063263139	0.29125612	0.037271873	0.093680118	0.91522479	0.00022712755	-0.3477762	-0.14090347	-0.89874046	-0.14093446	-0.89873912	3.1466792e-05	-0.83869914	-0.43978448	1.3565889	0.00068455269	0.77196839	-0.99689337	-0.77185156	0.99681397	-0.45982457	-8.2665e-06	-0.0017777847	-10.452131	R0:S0:1	0.91522479	b8cfe21	v2.4.3	Y	Broyden	0	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-14@19:54
2x2_2C_8b_C2v_L	-0.80613997	0	12.000094	0.12540783	0.16909201	0.57314449	0.24986143	0.57314255	0.24990012	0.53155066	0.31424166	2.2019687	-0.0001918349	0.16796579	0.11599343	0.19360693	0.11600279	0.19359802	-2.5398429e-05	0.26667866	1	-0.13829848	-0.00017496968	-0.25038361	0.16410588	0.25036803	-0.16411664	0.38843438	2.3351535e-05	-0.39803125	-0.002249999	-0.0053118245	0.91901826	-0.75237024	0.13565974	-0.10092707	0.016731984	0.21420291	0.05767643	0.063062953	0.2909854	0.063049851	0.29095807	0.037209002	0.093551615	0.9153879	0.00048613681	-0.3469429	-0.14104751	-0.89816088	-0.14107886	-0.89812791	7.3953327e-05	-0.83792877	-0.4398435	1.353686	0.0015194562	0.77064109	-0.996433	-0.77053513	0.99639333	-0.45952552	-2.4378284e-05	-0.0018993248	-10.453193	R0:S0:1	0.9153879	b8cfe21	v2.4.3	Y	Broyden	0	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-14@19:55
