model	E_kin	D	U	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	t	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tp	tpp	ave_D	ave_mu	ave_t	ave_tp	ave_tpp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_sb7_1	ave_sb8_1	ave_t_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	ave_tp_1	E0_1	sector_1	n_1	githash	version	GS_consistency	method	iterations	dist_function	convergence	script	time	
2x2_2C_8b_C2v_L	-0.80690641	0	12	0.14054819	0.19266216	0.54112861	0.24323411	0.54115846	0.24327875	0.51511408	0.30044438	2.2	0.00067303091	0.17388173	0.10917586	0.19415034	0.10923739	0.19413624	1.9693543e-05	0.26233882	1	-0.14408822	0.0006328632	-0.25236227	0.15648173	0.25232444	-0.15654066	0.38451119	-1.9469522e-05	-0.4	0.001000001	-0.0054935863	0.91892812	-0.75214408	0.13664743	-0.10335554	0.016713278	0.20704029	0.051012572	0.068696913	0.28554723	0.068677961	0.28558554	0.037777605	0.092878553	0.91545085	-0.0015487137	-0.33622609	-0.12579822	-0.89383208	-0.1259685	-0.89376919	-5.7557175e-05	-0.8316003	-0.43988918	1.3660589	-0.0053506681	0.80122819	-0.96697801	-0.80109336	0.96723863	-0.45948355	1.7509366e-05	-0.0013930161	-10.443241	R0:S0:1	0.91545085	b8cfe21	v2.4.3	Y	Broyden	13	sharp_wc_2.0_b_35	self-energy/D	run_optim.py	2024-06-11@09:57
2x2_2C_8b_C2v_L	-0.80690644	0	12.001	0.14052224	0.19262333	0.5410454	0.24324369	0.54110118	0.24326252	0.51506211	0.30042548	2.2	0.00019633134	0.17388335	0.10920005	0.19415077	0.10923833	0.19414025	1.2083423e-05	0.26234151	1	-0.14411013	0.00019938056	-0.2523191	0.15650862	0.25231098	-0.15653006	0.38448763	-9.2662952e-06	-0.4	0.001000001	-0.0054908892	0.91892197	-0.75213738	0.13666425	-0.10336139	0.016710348	0.20714165	0.051039094	0.068686759	0.28563559	0.068674865	0.28564139	0.037778647	0.092904708	0.9154375	-0.00042354928	-0.33632956	-0.12587558	-0.89393272	-0.12597385	-0.89390046	-2.6400493e-05	-0.83170122	-0.43986194	1.3662895	-0.0017158117	0.80113132	-0.96716852	-0.80104751	0.96724602	-0.45948533	1.6826901e-05	-0.0013829482	-10.443194	R0:S0:1	0.9154375	b8cfe21	v2.4.3	Y	Broyden	8	sharp_wc_2.0_b_35	self-energy/D	run_optim.py	2024-06-11@10:04
2x2_2C_8b_C2v_L	-0.80675492	0	12	0.14036015	0.1928163	0.54106013	0.24329635	0.54103381	0.24333304	0.51500984	0.30056669	2.201	0.00067352062	0.17398033	0.10930227	0.19417516	0.10932752	0.19416612	6.4354784e-05	0.26241902	1	-0.14398159	0.00063762037	-0.25213883	0.15652706	0.25211802	-0.15655686	0.38433138	-6.830805e-05	-0.4	0.001000001	-0.0055203763	0.91903145	-0.75199644	0.13663807	-0.10324518	0.016718285	0.20690041	0.051039548	0.068559416	0.28539313	0.068556649	0.28540542	0.037735587	0.092839365	0.91554888	-0.0015389228	-0.33617803	-0.12617162	-0.89337704	-0.1262314	-0.89332225	-0.00017604479	-0.83137355	-0.43987562	1.3652839	-0.0053999134	0.8003431	-0.96689904	-0.80031359	0.96704237	-0.45926141	8.550979e-05	-0.001395498	-10.446569	R0:S0:1	0.91554888	b8cfe21	v2.4.3	Y	Broyden	8	sharp_wc_2.0_b_35	self-energy/D	run_optim.py	2024-06-11@10:11
2x2_2C_8b_C2v_L	-0.80675997	0	12	0.14022987	0.19325664	0.54101929	0.2433129	0.54091057	0.24333384	0.51495597	0.3004081	2.2	0.00061455408	0.17427899	0.10932153	0.19416827	0.1093019	0.19417224	-5.1646611e-05	0.26222065	1	-0.14405959	0.0005781911	-0.25207625	0.15655243	0.2520805	-0.1565346	0.38419313	6.33327e-05	-0.399	0.001000001	-0.0055164615	0.91892917	-0.75227826	0.13628699	-0.10320545	0.016715181	0.20711327	0.051165859	0.068573485	0.28569191	0.068588955	0.28567104	0.037727651	0.092833061	0.91545141	-0.0014142119	-0.33667062	-0.12623808	-0.89410512	-0.12617034	-0.89410312	0.00013712363	-0.83144865	-0.43995545	1.3658766	-0.0048834404	0.80042816	-0.96766425	-0.80051407	0.96758402	-0.45910137	-9.2109196e-05	-0.001457336	-10.44284	R0:S0:1	0.91545141	b8cfe21	v2.4.3	Y	Broyden	8	sharp_wc_2.0_b_35	self-energy/D	run_optim.py	2024-06-11@10:18
2x2_2C_8b_C2v_L	-0.80731436	0	12	0.14025979	0.19310306	0.54112081	0.24340723	0.54106271	0.24340287	0.51497448	0.30060254	2.2	0.00056323306	0.17419673	0.10925352	0.1942019	0.10926561	0.1941879	-6.2036315e-05	0.26227002	1	-0.1443656	0.00052747506	-0.25255408	0.15668185	0.25252757	-0.15670063	0.38444454	6.820666e-05	-0.4	0.002000001	-0.0054504317	0.91881116	-0.75236771	0.13684602	-0.10412071	0.0167138	0.2080399	0.051300367	0.068797213	0.28587532	0.068795197	0.28589685	0.037779495	0.09294872	0.91532696	-0.0013084852	-0.33748782	-0.12599529	-0.89458551	-0.12603846	-0.89454735	0.0001658827	-0.83216465	-0.43987333	1.3687517	-0.004446877	0.80175923	-0.96772887	-0.80173052	0.9678477	-0.45933772	-9.8044288e-05	-0.0013078565	-10.444358	R0:S0:1	0.91532696	b8cfe21	v2.4.3	Y	Broyden	8	sharp_wc_2.0_b_35	self-energy/D	run_optim.py	2024-06-11@10:25
2x2_2C_8b_C2v_L	-0.80635252	0	12.0005	0.14058236	0.19258695	0.54103577	0.24313218	0.54100514	0.24316086	0.51511303	0.30035119	2.2005	-0.00029550336	0.17383329	0.10918033	0.19415019	0.10922488	0.19413519	4.112619e-05	0.26239585	1	-0.14375139	-0.00027080774	-0.25194975	0.15628355	0.25190217	-0.15633057	0.38430042	-4.8722098e-05	-0.3995	1e-09	-0.0055621163	0.91909619	-0.75191016	0.13627624	-0.10246503	0.016714777	0.20606006	0.050831716	0.06848882	0.28523522	0.068463889	0.2852465	0.037725934	0.092771249	0.91561914	0.00069707873	-0.33523321	-0.12579868	-0.89311718	-0.12594133	-0.89305923	-0.00010423271	-0.83088075	-0.43991792	1.3629948	0.0022704572	0.80003075	-0.96642182	-0.79983863	0.96656883	-0.45930419	7.4266249e-05	-0.0015053357	-10.443534	R0:S0:1	0.91561914	b8cfe21	v2.4.3	Y	Broyden	7	sharp_wc_2.0_b_35	self-energy/D	run_optim.py	2024-06-11@10:32
2x2_2C_8b_C2v_L	-0.80587392	0	12.00075	0.14080414	0.19225146	0.54106694	0.24304754	0.54100161	0.24301223	0.51518538	0.30022432	2.20075	-7.3669239e-05	0.17363686	0.10923014	0.19410609	0.10916748	0.19411805	-9.3742584e-07	0.26245809	1	-0.14346062	-6.3463461e-05	-0.25158593	0.15616248	0.25162514	-0.15611079	0.38422384	-3.8539353e-07	-0.39925	-0.000999999	-0.0056186835	0.91923842	-0.75168259	0.13598739	-0.10163752	0.016715496	0.20505121	0.05059117	0.068285376	0.28493991	0.06831883	0.28491516	0.037696856	0.092676119	0.91576521	0.00017710125	-0.33408079	-0.12596545	-0.89232791	-0.12577155	-0.8923549	5.1648015e-06	-0.83022448	-0.43994404	1.360108	0.00052771709	0.79882403	-0.96600456	-0.79905725	0.96584782	-0.45927247	3.4313579e-06	-0.0016056195	-10.443137	R0:S0:1	0.91576521	b8cfe21	v2.4.3	Y	Broyden	6	sharp_wc_2.0_b_35	self-energy/D	run_optim.py	2024-06-11@10:37
2x2_2C_8b_C2v_L	-0.80626277	0	11.999375	0.14037975	0.19287975	0.54105959	0.24322991	0.54104305	0.24321055	0.51503254	0.30030365	2.200875	0.00021347935	0.1740114	0.10929717	0.19416697	0.10931336	0.19416027	-0.00011305636	0.26235923	1	-0.14368438	0.00019639203	-0.25175619	0.15635312	0.25174739	-0.15636108	0.38412228	0.00012623354	-0.399125	1e-09	-0.0055813142	0.91914129	-0.75192936	0.13613129	-0.10236789	0.016720592	0.20599204	0.050888783	0.068370384	0.28519926	0.06837073	0.28522537	0.037691784	0.092734724	0.91566335	-0.0005041261	-0.33533603	-0.12613911	-0.89302371	-0.12618756	-0.89301983	0.00030327087	-0.83070076	-0.43996596	1.3625238	-0.0016457701	0.79928966	-0.9666708	-0.79928695	0.96675087	-0.45906897	-0.00017404235	-0.0015367723	-10.444711	R0:S0:1	0.91566335	b8cfe21	v2.4.3	Y	Broyden	8	sharp_wc_2.0_b_35	self-energy/D	run_optim.py	2024-06-11@10:45
2x2_2C_8b_C2v_L	-0.80589861	0	12.000062	0.14037952	0.19290291	0.54100127	0.24318344	0.54097307	0.24318495	0.51503377	0.30030751	2.2013125	0.00059080979	0.17404752	0.10932155	0.19417583	0.10937551	0.1941598	-5.1020581e-05	0.26238481	1	-0.14348897	0.00055102732	-0.25148588	0.15624783	0.25144513	-0.15628737	0.38394537	6.0424597e-05	-0.3986875	-0.000499999	-0.0056267672	0.91924101	-0.75178343	0.13586107	-0.10186932	0.016721613	0.20540186	0.050804339	0.068230418	0.28499228	0.068212601	0.28503254	0.037648047	0.092645794	0.91577043	-0.0013633603	-0.33479704	-0.12620431	-0.89256802	-0.12637124	-0.89253985	0.00013488969	-0.83018986	-0.43998581	1.3606255	-0.004646491	0.79846969	-0.96634967	-0.79832667	0.96652823	-0.45888127	-8.8564502e-05	-0.0016130055	-10.445373	R0:S0:1	0.91577043	b8cfe21	v2.4.3	Y	Broyden	10	sharp_wc_2.0_b_35	self-energy/D	run_optim.py	2024-06-11@10:53
2x2_2C_8b_C2v_L	-0.80538838	0	12.000094	0.14030495	0.19304233	0.54096703	0.24314795	0.54090715	0.24316772	0.51495877	0.30017082	2.2019687	0.00083045976	0.17411735	0.10940619	0.1941797	0.1093848	0.19420052	1.2493656e-05	0.2623872	1	-0.14318436	0.00076744677	-0.25106089	0.15614127	0.2510656	-0.15612873	0.3836609	-9.3445973e-06	-0.39803125	-0.001249999	-0.0056933953	0.91939819	-0.75159754	0.13545982	-0.10111912	0.016725861	0.2045472	0.050683261	0.067999917	0.28470719	0.068007824	0.28470073	0.037584908	0.092525662	0.91593173	-0.0019186447	-0.33401995	-0.12642528	-0.89188424	-0.12637091	-0.89193438	-4.3709984e-05	-0.82943725	-0.44003725	1.3578275	-0.0064614814	0.79710328	-0.96606997	-0.79715402	0.96598683	-0.45858492	-2.4506095e-06	-0.0017267716	-10.446461	R0:S0:1	0.91593173	b8cfe21	v2.4.3	Y	Broyden	11	sharp_wc_2.0_b_35	self-energy/D	run_optim.py	2024-06-11@11:03
