model	E_kin	D	U	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	t	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tp	ave_D	ave_mu	ave_t	ave_tp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_sb7_1	ave_sb8_1	ave_t_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	ave_tp_1	E0_1	sector_1	n_1	githash	version	GS_consistency	method	iterations	dist_function	convergence	script	time	
2x2_2C_8b_C2v_L	-1.0719191	0	7.5	0.34309043	0.16402943	0.84969316	0.17006736	0.17007609	0.84966436	0.80660515	0.18932539	1.3	2.2959196e-05	0.14319313	-0.043095779	-0.15528388	-0.1552861	-0.043076517	-7.0241674e-06	0.19931345	1	0.22440322	-2.4774323e-05	-0.41317204	0.12590473	-0.1259063	0.41316591	0.54469076	1.900532e-05	-0.4	-0.02065825	0.86267954	-1.0258826	0.11509125	0.032143602	0.27986547	0.029347633	0.17360237	0.47271291	0.47268703	0.17360759	0.058535394	0.094218377	0.85323148	-2.9670126e-05	-0.35517713	-0.13890863	1.4198616	1.419835	-0.13898389	1.962194e-05	-0.97345626	-0.5700894	-2.0164675	0.00032030278	1.3540852	-1.2735295	1.2735103	-1.3540955	-0.45897774	-3.1270653e-05	-0.0081443205	-7.9341298	R0:S0:1	0.85323148	b8cfe21	v2.4.3	Y	Broyden	1	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-02@12:33
2x2_2C_8b_C2v_L	-1.0713785	0	7.51	0.34290653	0.16383413	0.84895882	0.17004008	0.16997283	0.84888159	0.80595509	0.18939556	1.3	5.1775123e-05	0.1431171	-0.043139142	-0.15528033	-0.15526189	-0.043110473	-9.0812473e-06	0.19933816	1	0.22435561	-5.6223812e-05	-0.41300085	0.12587359	-0.12583446	0.4130095	0.54448037	6.6795554e-06	-0.4	-0.020625685	0.86253592	-1.0253469	0.11507908	0.032053882	0.2799932	0.02934814	0.17354903	0.47268724	0.47267433	0.17359431	0.058561074	0.094257019	0.85310159	-9.7685512e-05	-0.35516491	-0.13854451	1.4193145	1.4192846	-0.13865293	3.2767656e-05	-0.97330169	-0.56973161	-2.0162248	0.00069625295	1.3536112	-1.2728008	1.2726985	-1.3537816	-0.45927312	-9.4079049e-06	-0.008139326	-7.9324393	R0:S0:1	0.85310159	b8cfe21	v2.4.3	Y	Broyden	4	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-02@12:40
2x2_2C_8b_C2v_L	-1.0714777	0	7.5	0.34129318	0.16521179	0.8498742	0.1716606	0.17173363	0.84999324	0.80687543	0.19118158	1.31	6.4353875e-05	0.14377765	-0.043353312	-0.15605625	-0.15607044	-0.043394569	8.532317e-06	0.20016899	1	0.22381602	-7.2416692e-05	-0.41245368	0.12641508	-0.12646844	0.41245193	0.54415197	-9.2834681e-06	-0.4	-0.020495751	0.86384496	-1.0251836	0.11573533	0.032277878	0.2785082	0.029513694	0.17232363	0.46958479	0.46960806	0.17228523	0.058234008	0.094136416	0.85438374	-9.9112901e-05	-0.35526122	-0.13855892	1.4166422	1.4165966	-0.13841045	-2.914113e-05	-0.97397699	-0.57020186	-2.0105922	0.00091226303	1.349908	-1.2711429	1.2713858	-1.3497975	-0.45854821	1.0712939e-05	-0.008104077	-7.968106	R0:S0:1	0.85438374	b8cfe21	v2.4.3	Y	Broyden	5	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-02@12:48
2x2_2C_8b_C2v_L	-1.07175	0	7.5	0.33886273	0.17424198	0.84495417	0.17278588	0.17277158	0.8449437	0.80503794	0.18965915	1.3	-2.2848318e-05	0.14852049	-0.043669478	-0.15702559	-0.15701968	-0.043660088	4.406839e-06	0.19895669	1	0.22512666	2.237444e-05	-0.41077618	0.12588568	-0.12587924	0.41077369	0.54127157	-3.8706261e-06	-0.39	-0.020717284	0.86200629	-1.0295889	0.10810544	0.032159997	0.28116058	0.030993314	0.1728909	0.47240656	0.47239884	0.17289375	0.057893836	0.09403214	0.85252836	4.8648579e-05	-0.36457322	-0.13903064	1.4295646	1.4295564	-0.13906051	-1.7861143e-05	-0.97503332	-0.57138634	-2.0189029	-0.0002625351	1.3502611	-1.2730691	1.273043	-1.3502629	-0.45518778	3.868189e-06	-0.009479117	-7.9342243	R0:S0:1	0.85252836	b8cfe21	v2.4.3	Y	Broyden	5	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-02@12:56
2x2_2C_8b_C2v_L	-1.071864	0	7.5066667	0.34192268	0.1696412	0.84580972	0.17024001	0.17017624	0.84569197	0.80492772	0.18769937	1.29	1.2646069e-05	0.14614336	-0.043222599	-0.15566442	-0.15565076	-0.043181794	-1.0557775e-06	0.1982251	1	0.22544663	-1.0467661e-05	-0.4121766	0.12533055	-0.12527707	0.41217725	0.54281448	8.0045954e-06	-0.39333333	-0.020835058	0.86095437	-1.0286919	0.10975954	0.031960372	0.28217768	0.030283035	0.17440061	0.47555445	0.47552118	0.17443419	0.058420593	0.094192363	0.85151847	-2.7033925e-05	-0.36143602	-0.13919572	1.4291562	1.4292075	-0.13934809	-3.4074878e-07	-0.97383528	-0.57061215	-2.023828	0.00012418843	1.3554805	-1.2749206	1.2746488	-1.3555605	-0.4570443	-1.4906997e-05	-0.0090775278	-7.8991131	R0:S0:1	0.85151847	b8cfe21	v2.4.3	Y	Broyden	1	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-02@12:59
2x2_2C_8b_C2v_L	-1.0720779	0	7.51	0.34219744	0.1717724	0.84362334	0.16949294	0.16943559	0.84349252	0.80394654	0.1859022	1.28	5.0113912e-05	0.14731407	-0.043139439	-0.15546398	-0.15545665	-0.043097138	5.2399301e-06	0.1972413	1	0.2262458	-5.3290585e-05	-0.41203079	0.12473508	-0.12468779	0.41203495	0.54215255	-1.0318194e-06	-0.39	-0.021005347	0.85949122	-1.0304613	0.10670923	0.031801572	0.28401381	0.030675377	0.17547953	0.4785616	0.47852991	0.17552676	0.058518935	0.094226712	0.85006839	-9.1039033e-05	-0.36454473	-0.13956376	1.435596	1.435618	-0.13972861	-2.0861093e-05	-0.97376325	-0.57082839	-2.030374	0.00064899754	1.3583151	-1.2764916	1.2762713	-1.3584675	-0.45628826	-2.4962423e-06	-0.0095795956	-7.8646824	R0:S0:1	0.85006839	b8cfe21	v2.4.3	Y	Broyden	1	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-02@13:02
2x2_2C_8b_C2v_L	-1.0725105	0	7.4966667	0.33983578	0.17615534	0.84305039	0.17154922	0.17153627	0.84303496	0.80436893	0.1872329	1.2866667	6.7475313e-08	0.14957509	-0.043460178	-0.15660102	-0.15659999	-0.043465485	2.1127409e-05	0.19770495	1	0.22615177	-4.0891094e-06	-0.41096244	0.12513034	-0.12513594	0.41095193	0.54091517	-2.4131705e-05	-0.38666667	-0.020963076	0.86024711	-1.0319696	0.10484714	0.032015934	0.2833997	0.031343235	0.17444896	0.47652349	0.47653717	0.17443877	0.058077528	0.09409072	0.85076874	8.3433586e-06	-0.36774177	-0.13985052	1.4377003	1.437711	-0.139809	-7.8063422e-05	-0.97504332	-0.57179973	-2.0276427	5.6306129e-05	1.35485	-1.2758896	1.275908	-1.3548	-0.45438774	2.9992881e-05	-0.010003171	-7.8896349	R0:S0:1	0.85076874	b8cfe21	v2.4.3	Y	Broyden	2	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-02@13:06
2x2_2C_8b_C2v_L	-1.0725346	0	7.5044444	0.33763646	0.18385106	0.83779504	0.17263212	0.17262126	0.83768619	0.802246	0.18577833	1.2777778	7.3076471e-05	0.15374359	-0.043814563	-0.15755081	-0.15754997	-0.04380212	-7.9521198e-06	0.19662501	1	0.22729224	-8.7264956e-05	-0.40929207	0.12460377	-0.12458387	0.40928141	0.538201	1.0316231e-05	-0.37777778	-0.021150261	0.85843507	-1.0355545	0.097888672	0.031843429	0.2858689	0.032689216	0.1749403	0.47926866	0.47923888	0.17495298	0.057805012	0.094059944	0.84894369	-0.00010662608	-0.37600192	-0.13994258	1.4498344	1.4498529	-0.14000568	2.2728569e-05	-0.9760119	-0.57261585	-2.0347957	0.0010486503	1.3547228	-1.276883	1.2767363	-1.3547299	-0.45159902	-2.0348533e-05	-0.011279399	-7.8585856	R0:S0:1	0.84894369	b8cfe21	v2.4.3	Y	Broyden	3	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-02@13:11
2x2_2C_8b_C2v_L	-1.0731059	0	7.5066667	0.33504753	0.19342316	0.83138219	0.17417752	0.17417261	0.83142391	0.79992617	0.18389328	1.2666667	-5.509294e-05	0.15901793	-0.04424245	-0.15884481	-0.15883895	-0.044218181	-1.6792745e-05	0.19526809	1	0.2287461	6.1026709e-05	-0.4072854	0.12393184	-0.12392232	0.40729739	0.53493914	2.5238452e-05	-0.36666667	-0.021422146	0.85617596	-1.040447	0.089069743	0.031695678	0.28890089	0.034409039	0.17561712	0.48286136	0.48283568	0.17562846	0.057456254	0.094027141	0.84669546	0.00010513491	-0.38634133	-0.14044116	1.4663512	1.4663209	-0.1405408	5.8623637e-05	-0.97752614	-0.57392819	-2.0438967	-0.0006925494	1.3548095	-1.2783416	1.2783159	-1.3548636	-0.44788379	-3.4841368e-05	-0.012922187	-7.8213463	R0:S0:1	0.84669546	b8cfe21	v2.4.3	Y	Broyden	4	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-02@13:18
2x2_2C_8b_C2v_L	-1.073379	0	7.5088889	0.3391105	0.18679095	0.83390245	0.17069448	0.17068833	0.83385455	0.80053653	0.18156768	1.2555556	3.23005e-06	0.15547018	-0.04352017	-0.15692972	-0.15692845	-0.043520277	2.1926696e-06	0.19448712	1	0.22896682	-4.2335076e-06	-0.40944523	0.12326861	-0.12326692	0.40943778	0.53739386	-5.3064004e-06	-0.37222222	-0.021545067	0.85527575	-1.0390708	0.092171372	0.031515672	0.28972016	0.033302757	0.17749411	0.48612894	0.48613008	0.17750122	0.058130736	0.094178357	0.84579942	-6.1696991e-06	-0.3813918	-0.14100955	1.4636982	1.4636876	-0.14101112	-7.2636885e-06	-0.97571305	-0.57301926	-2.0490107	4.9051816e-05	1.3616966	-1.2802391	1.2802377	-1.3617159	-0.45041827	7.9049762e-06	-0.012220788	-7.7830879	R0:S0:1	0.84579942	b8cfe21	v2.4.3	Y	Broyden	5	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-02@13:26
