model	E_kin	D	U	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	t	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tp	ave_D	ave_mu	ave_t	ave_tp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_sb7_1	ave_sb8_1	ave_t_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	ave_tp_1	E0_1	sector_1	n_1	githash	version	GS_consistency	method	iterations	dist_function	convergence	script	time	
2x2_2C_8b_C2v_L	-1.0790264	0	7	0.28736059	0.20372629	0.23355758	0.92410881	0.92405444	0.23355717	0.24676499	0.86684941	1.7	1.0256165e-05	-0.16695804	0.18299991	0.052084353	-0.052076761	-0.18299777	-0.22568232	3.6597956e-06	1	0.19851198	6.4363037e-06	-0.14518467	0.39507893	0.39507653	-0.1451733	2.0125291e-06	0.53536517	-0.4	-0.014322274	0.91306792	-1.0240921	0.13733559	0.042955849	0.21215621	0.03384324	0.36878569	0.12693692	0.12694524	0.36877477	0.087100964	0.046535477	0.90333753	-2.1713766e-05	0.3400352	-1.3227255	0.11805609	-0.11809423	1.3227241	0.9874562	-1.1001304e-05	-0.59709376	-1.7436035	-6.0570188e-05	1.2046705	-1.1991214	-1.1991477	1.2046188	-2.7014939e-06	-0.42218757	-0.0073462232	-9.4008591	R0:S0:1	0.90333753	b8cfe21	v2.4.3	Y	Broyden	0	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-02@12:33
2x2_2C_8b_C2v_L	-1.0783107	0	7.01	0.28685813	0.20357419	0.23355321	0.92302005	0.92304839	0.23353057	0.24686409	0.8659981	1.7	0.00026752416	-0.16691902	0.18303645	0.052142225	-0.052138592	-0.18303206	-0.22574889	-1.2374368e-05	1	0.19840619	0.00026750384	-0.14513263	0.39478069	0.3947826	-0.1451318	-1.4524973e-05	0.53499592	-0.4	-0.014256479	0.91292801	-1.0234027	0.13726993	0.042825672	0.21232956	0.033896981	0.36851506	0.12682618	0.12682408	0.36852208	0.087107451	0.04652527	0.90320338	-0.000474378	0.34023385	-1.3216842	0.11761776	-0.11761391	1.3216881	0.98701633	4.2558678e-05	-0.59666217	-1.7434122	-0.0026710522	1.2035782	-1.1983485	-1.1983433	1.2035915	1.8253031e-05	-0.42238238	-0.0073647177	-9.398533	R0:S0:1	0.90320338	b8cfe21	v2.4.3	Y	Broyden	5	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-02@12:41
2x2_2C_8b_C2v_L	-1.0782578	0	7	0.28596821	0.20425611	0.23508331	0.92568649	0.92570943	0.23506781	0.24825161	0.86817496	1.71	-1.7666307e-05	-0.16747684	0.18366913	0.052346051	-0.052344008	-0.18366962	-0.22632826	-4.0870593e-06	1	0.19764581	-1.8976367e-05	-0.14544911	0.39437022	0.39437881	-0.14544223	-6.551564e-06	0.5347947	-0.4	-0.014054418	0.91407031	-1.0231798	0.13769506	0.043090167	0.21034669	0.033903398	0.36607164	0.12572109	0.12572294	0.36607635	0.086835832	0.046235895	0.90436741	2.586002e-05	0.33919125	-1.3190286	0.11667977	-0.1166825	1.319048	0.98691928	1.2752224e-05	-0.59736872	-1.7349284	0.00019406067	1.2008945	-1.1941412	-1.1941556	1.2008748	7.7059241e-06	-0.42136465	-0.0073846834	-9.4353092	R0:S0:1	0.90436741	b8cfe21	v2.4.3	Y	Broyden	6	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-02@12:49
2x2_2C_8b_C2v_L	-1.0778513	0	7	0.28440139	0.21189826	0.2358816	0.91880189	0.91869052	0.23587533	0.24740705	0.86474904	1.7	-0.00038334471	-0.17161157	0.18439054	0.052822635	-0.052809705	-0.18438841	-0.22523207	1.6922164e-05	1	0.19892112	-0.00037975337	-0.1451724	0.39216244	0.39215503	-0.14515527	1.7373073e-05	0.53157103	-0.39	-0.014063764	0.9125917	-1.0265574	0.13152267	0.042931072	0.21246885	0.035085751	0.36851975	0.12597165	0.12598602	0.36850024	0.086800407	0.045983993	0.90298598	0.00069171273	0.34564371	-1.3275268	0.1160141	-0.1160765	1.3275188	0.98772363	-6.1734975e-05	-0.5981064	-1.7425346	0.0037024191	1.2048631	-1.1941469	-1.1941912	1.2047792	-1.8768228e-05	-0.41890418	-0.0083731245	-9.3979596	R0:S0:1	0.90298598	b8cfe21	v2.4.3	Y	Broyden	6	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-02@12:58
2x2_2C_8b_C2v_L	-1.0785205	0	7.0066667	0.28633964	0.20854005	0.23362105	0.91843632	0.91837131	0.23362142	0.24584143	0.86366543	1.69	1.4319058e-05	-0.16952113	0.18328991	0.052364728	-0.052354974	-0.1832923	-0.22480261	-1.0013944e-05	1	0.19954689	1.3230576e-05	-0.14487776	0.39364689	0.39364381	-0.14487179	-1.5212349e-05	0.53316602	-0.39333333	-0.014370632	0.91165447	-1.0261937	0.13303413	0.042717755	0.21428777	0.034660103	0.37108549	0.12741085	0.1274215	0.37107644	0.087162047	0.046452654	0.90198221	-2.625954e-05	0.34481904	-1.3288864	0.11772391	-0.11776544	1.3288777	0.98788216	3.1622779e-05	-0.59721593	-1.7513265	-0.00013009368	1.2077393	-1.2001522	-1.2001946	1.2077091	1.8931175e-05	-0.42092367	-0.008015079	-9.3629221	R0:S0:1	0.90198221	b8cfe21	v2.4.3	Y	Broyden	3	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-02@13:03
2x2_2C_8b_C2v_L	-1.0786835	0	7.01	0.28654216	0.21071889	0.23285427	0.91470736	0.91468228	0.2328744	0.24465923	0.86138377	1.68	3.0257225e-06	-0.17054907	0.18308287	0.052367553	-0.052368901	-0.1830933	-0.22404298	-1.2464491e-05	1	0.2005013	6.1936152e-06	-0.14459379	0.39327439	0.39327608	-0.14458983	-1.6840486e-05	0.5323569	-0.39	-0.014540503	0.91042699	-1.0277245	0.13066407	0.042532504	0.21627222	0.035038092	0.37368505	0.12828687	0.12828556	0.37367765	0.087327058	0.046563993	0.90077098	3.8648339e-06	0.34764247	-1.3339406	0.11826313	-0.11826923	1.3339782	0.98840158	3.8143607e-05	-0.597146	-1.7595338	-7.0426791e-05	1.2112759	-1.2032389	-1.2032217	1.2112116	2.2017925e-05	-0.4206986	-0.0083381005	-9.3268331	R0:S0:1	0.90077098	b8cfe21	v2.4.3	Y	Broyden	0	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-02@13:04
2x2_2C_8b_C2v_L	-1.0794818	0	7.0133333	0.28954907	0.20000877	0.23079258	0.92251045	0.92241406	0.23075598	0.24476703	0.86472662	1.6866667	0.00035861519	-0.16465661	0.18169259	0.051612444	-0.051571442	-0.18169216	-0.22506235	-1.2625628e-05	1	0.19935047	0.00035839481	-0.14479061	0.39657841	0.39658693	-0.14475066	-1.7039554e-05	0.53690013	-0.40333333	-0.014670136	0.91169242	-1.0235344	0.13871244	0.04261093	0.21466162	0.033413897	0.37216663	0.12869959	0.1287242	0.37213828	0.087547495	0.047104238	0.90190131	-0.0006329609	0.33946259	-1.3245954	0.11977011	-0.11991496	1.3246304	0.9874356	4.5218568e-05	-0.59581668	-1.7550317	-0.0036280345	1.2082958	-1.2062026	-1.2062924	1.2081081	2.1878127e-05	-0.42462835	-0.0069776778	-9.3527656	R0:S0:1	0.90190131	b8cfe21	v2.4.3	Y	Broyden	2	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-02@13:08
2x2_2C_8b_C2v_L	-1.0803466	0	7.02	0.29242924	0.19403045	0.22820966	0.92409974	0.92402739	0.22817724	0.24333865	0.864601	1.68	0.00059927925	-0.16118631	0.18035915	0.050981078	-0.050968734	-0.18034658	-0.22493348	-1.064295e-05	1	0.19958858	0.00060465849	-0.14453432	0.39877571	0.39877121	-0.14451809	-9.0071841e-06	0.53954605	-0.41	-0.014964864	0.91122818	-1.0219835	0.14234903	0.042451929	0.21569838	0.032540618	0.37409183	0.13011971	0.13013416	0.37408306	0.087920834	0.047681183	0.90135347	-0.001048227	0.33609725	-1.3233068	0.12172467	-0.12176999	1.3232818	0.98722317	4.2918433e-05	-0.59466436	-1.7611466	-0.0062396426	1.2099067	-1.2123838	-1.2124373	1.209872	1.3040314e-05	-0.42752726	-0.0062686	-9.3301893	R0:S0:1	0.90135347	b8cfe21	v2.4.3	Y	Broyden	3	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-02@13:13
2x2_2C_8b_C2v_L	-1.0802985	0	7.01	0.29056727	0.2021096	0.22953595	0.91909452	0.91906991	0.2295055	0.24299496	0.86266246	1.6733333	7.6930921e-05	-0.16555547	0.18125811	0.05144524	-0.051427448	-0.18125379	-0.22404079	-8.1785247e-06	1	0.20062779	7.8081049e-05	-0.14437532	0.39666045	0.39667176	-0.14435257	-1.4750193e-05	0.53649598	-0.4	-0.014950071	0.91024057	-1.0257874	0.13627773	0.042465075	0.21706833	0.033727297	0.37566763	0.13006095	0.1300775	0.37565767	0.087775572	0.047314892	0.90045236	-0.00013517992	0.34238837	-1.3313293	0.12118347	-0.12124972	1.3313328	0.98829963	2.5059028e-05	-0.59595076	-1.7659679	-0.00078985999	1.2132787	-1.2114459	-1.211521	1.2132048	1.9884082e-05	-0.42450931	-0.0072784307	-9.3066086	R0:S0:1	0.90045236	b8cfe21	v2.4.3	Y	Broyden	4	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-02@13:20
2x2_2C_8b_C2v_L	-1.0804121	0	7.0266667	0.29246659	0.20084116	0.2268266	0.91499831	0.91503092	0.22683121	0.24059299	0.85933402	1.6555556	0.00015647172	-0.16457914	0.18012525	0.051064418	-0.051071391	-0.18013014	-0.22300212	-1.6569726e-05	1	0.20194048	0.00015893365	-0.14374897	0.3974566	0.39746269	-0.14375318	-2.721928e-05	0.53692936	-0.4	-0.015297136	0.90820214	-1.0262217	0.13547598	0.042010666	0.22041119	0.033658849	0.37999153	0.13204452	0.13204061	0.37999998	0.088201113	0.047821641	0.89838422	-0.00027790584	0.34393986	-1.3359984	0.12278644	-0.12275958	1.3360152	0.9883309	5.2320023e-05	-0.59478418	-1.7803287	-0.0016180048	1.2177589	-1.2188531	-1.2188435	1.2177733	3.6153923e-05	-0.42621567	-0.0072639103	-9.2416007	R0:S0:1	0.89838422	b8cfe21	v2.4.3	Y	Broyden	5	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-02@13:27
