model	E_kin	D	U	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	t	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tp	ave_D	ave_mu	ave_t	ave_tp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_sb7_1	ave_sb8_1	ave_t_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	ave_tp_1	E0_1	sector_1	n_1	githash	version	GS_consistency	method	iterations	dist_function	convergence	script	time	
2x2_2C_8b_C2v_L	-0.95940248	0	8.5	0.19116322	-0.20073783	0.78284023	0.25564907	0.78330278	0.2556451	0.27743413	0.75491753	2	-0.1735351	-0.15731121	-0.0680102	0.20135675	-0.068099759	0.20134854	-0.24693223	-6.7354801e-05	1	0.029283478	0.033022035	-0.32750895	-0.14130395	0.3275135	0.1413832	-7.7378854e-05	0.46003008	-0.4	0.00096266295	0.92604327	-0.90421232	0.13797538	0.031517246	0.047786341	1.8229637	0.087743813	0.28200493	0.087674591	0.28207282	0.080690373	0.037496367	0.91861405	0.32625658	1.4330777	-0.023950948	-1.0804973	-0.02362315	-1.0805388	0.89374783	0.00021563265	-0.54404675	-0.27155756	-0.060632461	0.9816382	0.99833347	-0.98131239	-0.9986515	0.00012050552	-0.41841231	-0.0083206838	-10.52697	R0:S0:1	0.91861405	b8cfe21	v2.4.3	Y	Broyden	8	sharp_wc_2.0_b_35	self-energy/D	run_optim.py	2024-06-04@10:57
2x2_2C_8b_C2v_L	-0.95892265	0	8.51	0.19107178	-0.20043787	0.78174063	0.255515	0.78215019	0.25551659	0.2773355	0.75382032	2	-0.17327538	-0.15709889	-0.06808756	0.20131688	-0.06820281	0.20131243	-0.24693354	-0.0001106666	1	0.030291174	0.034137688	-0.32728922	-0.14130702	0.32727432	0.14140324	-0.00012678141	0.45974773	-0.4	0.00097365564	0.92594282	-0.90373607	0.13796646	0.031443113	0.04821421	1.8230389	0.087742203	0.28212882	0.08766211	0.28221175	0.080762378	0.037515856	0.91852286	0.32611014	1.4316573	-0.023632625	-1.0800778	-0.02322238	-1.0801355	0.89359147	0.00033628948	-0.54366295	-0.28089795	-0.062777787	0.98140404	0.99825426	-0.98100726	-0.99862122	0.00018095834	-0.41863697	-0.0082940323	-10.524817	R0:S0:1	0.91852286	b8cfe21	v2.4.3	Y	Broyden	7	sharp_wc_2.0_b_35	self-energy/D	run_optim.py	2024-06-04@11:22
2x2_2C_8b_C2v_L	-0.95810769	0	8.5	0.19215205	-0.20004478	0.78510331	0.25691563	0.78538701	0.25689936	0.27863597	0.75674875	2.01	-0.17384348	-0.15583777	-0.068309633	0.20207105	-0.06837429	0.20205715	-0.24761562	-5.2670134e-05	1	0.031041642	0.035255071	-0.32644441	-0.1412709	0.32643848	0.14132679	-6.5083573e-05	0.45893416	-0.4	0.0013157551	0.92706223	-0.90291111	0.13799146	0.031610225	0.048137642	1.8259752	0.086542107	0.27942153	0.086493924	0.27946598	0.080144583	0.037110746	0.91966632	0.3234788	1.4188097	-0.022462367	-1.0756445	-0.022228391	-1.0756551	0.89149781	0.00016509619	-0.54428363	-0.28680239	-0.064320575	0.97562562	0.99432441	-0.97538618	-0.99455578	0.00010684949	-0.41682007	-0.0084256349	-10.559292	R0:S0:1	0.91966632	b8cfe21	v2.4.3	Y	Broyden	6	sharp_wc_2.0_b_35	self-energy/D	run_optim.py	2024-06-04@11:45
2x2_2C_8b_C2v_L	-0.95805414	0	8.5	0.19734123	-0.19827675	0.77987315	0.25737291	0.77996648	0.25745237	0.27746809	0.75321329	2	-0.17598524	-0.15595009	-0.068895563	0.20220392	-0.068948346	0.20222256	-0.24599116	2.3535062e-05	1	0.035739259	0.040415162	-0.32484692	-0.14160264	0.32484392	0.14164809	2.5288221e-05	0.45664895	-0.39	0.001231755	0.92582149	-0.90601496	0.13343377	0.031534207	0.050716667	1.8248485	0.086817387	0.28258231	0.08679602	0.28260322	0.080213818	0.037021442	0.9185167	0.32695182	1.418838	-0.021608836	-1.0838024	-0.021458035	-1.0838139	0.89236429	-6.2580361e-05	-0.54491852	-0.32571853	-0.074908533	0.97642552	1.0021479	-0.97632454	-1.0022858	-2.7425068e-05	-0.41507242	-0.0090938939	-10.518347	R0:S0:1	0.9185167	b8cfe21	v2.4.3	Y	Broyden	9	sharp_wc_2.0_b_35	self-energy/D	run_optim.py	2024-06-04@12:16
2x2_2C_8b_C2v_L	-0.95729741	0	8.5066667	0.1958311	-0.19848418	0.7816569	0.25754921	0.78163198	0.25752813	0.27825927	0.75433563	2.0066667	-0.17513219	-0.15524419	-0.068863383	0.20236845	-0.068843048	0.20236747	-0.24677688	-4.0876591e-05	1	0.035468213	0.040255974	-0.32487396	-0.14148945	0.32488245	0.14146967	-4.7902048e-05	0.45686568	-0.39333333	0.0013878953	0.926516	-0.90421366	0.13495869	0.031540972	0.050285041	1.8263676	0.086318406	0.28073597	0.08632508	0.28072187	0.080045625	0.036931722	0.91919769	0.32460888	1.4127189	-0.021153607	-1.0791057	-0.021214695	-1.0791201	0.8911913	0.00012324666	-0.54452994	-0.32434286	-0.074125669	0.97396701	0.99816163	-0.97399622	-0.99807607	6.6796134e-05	-0.41526419	-0.0088884185	-10.541392	R0:S0:1	0.91919769	b8cfe21	v2.4.3	Y	Broyden	9	sharp_wc_2.0_b_35	self-energy/D	run_optim.py	2024-06-04@12:47
2x2_2C_8b_C2v_L	-0.9562587	0	8.51	0.19816429	-0.19757269	0.78097754	0.25846944	0.78092085	0.25850781	0.27863893	0.75405922	2.01	-0.17559731	-0.15396288	-0.069248496	0.20288073	-0.069252382	0.20289239	-0.24669276	2.239071e-05	1	0.03931869	0.044788479	-0.32356186	-0.14153385	0.3235544	0.14153936	2.0503558e-05	0.45527526	-0.39	0.0016037893	0.92675788	-0.90421181	0.13345355	0.031553669	0.051853016	1.8285354	0.085628632	0.28009711	0.085627632	0.28009162	0.079710812	0.036649671	0.91949024	0.32297315	1.3999968	-0.019907571	-1.0784667	-0.019901928	-1.0784791	0.88986987	-6.4264596e-05	-0.54477856	-0.35713504	-0.082503779	0.97021554	0.99795534	-0.97019925	-0.99793336	-2.7260075e-05	-0.41367717	-0.0091753053	-10.549064	R0:S0:1	0.91949024	b8cfe21	v2.4.3	Y	Broyden	6	sharp_wc_2.0_b_35	self-energy/D	run_optim.py	2024-06-04@13:10
2x2_2C_8b_C2v_L	-0.9560122	0	8.4966667	0.20062513	-0.19730101	0.78248323	0.259688	0.78215513	0.2596561	0.279133	0.7557015	2.0133333	-0.17688754	-0.15339421	-0.069549575	0.20346502	-0.069466139	0.20346998	-0.24659955	5.0681931e-05	1	0.040341454	0.046170937	-0.32262107	-0.14160486	0.32262303	0.14153807	5.5857532e-05	0.45414199	-0.38666667	0.0018064672	0.92715711	-0.90498516	0.13196648	0.031689952	0.052120227	1.8300694	0.084903094	0.27924543	0.084953994	0.27919561	0.079250143	0.036333539	0.91993934	0.32222424	1.3926652	-0.019038985	-1.0784549	-0.019314359	-1.0784397	0.88877143	-0.00015563232	-0.54566984	-0.36405315	-0.084792425	0.966667	0.99796644	-0.96691411	-0.99770508	-7.8094789e-05	-0.41170466	-0.0095046837	-10.560573	R0:S0:1	0.91993934	b8cfe21	v2.4.3	Y	Broyden	4	sharp_wc_2.0_b_35	self-energy/D	run_optim.py	2024-06-04@13:25
2x2_2C_8b_C2v_L	-0.95458769	0	8.49	0.2053388	-0.19662907	0.7829658	0.261849	0.78251649	0.26187321	0.280027	0.75692103	2.02	-0.17848844	-0.15154713	-0.070298723	0.20456828	-0.070206249	0.2045861	-0.24644139	0.00011728887	1	0.044956163	0.051913679	-0.3202458	-0.1417434	0.32024634	0.14166734	0.00013854009	0.45134792	-0.38	0.0022345959	0.9277607	-0.90557438	0.12898239	0.031816553	0.053772333	1.8338879	0.083468113	0.27782143	0.083534922	0.27774955	0.078441002	0.035740525	0.92065516	0.31921059	1.371939	-0.016719478	-1.0777017	-0.017051459	-1.0776637	0.88621324	-0.00036654888	-0.54670099	-0.4006717	-0.094812684	0.95909822	0.99788303	-0.95942775	-0.99755358	-0.00019866657	-0.40819929	-0.010121701	-10.58035	R0:S0:1	0.92065516	b8cfe21	v2.4.3	Y	Broyden	4	sharp_wc_2.0_b_35	self-energy/D	run_optim.py	2024-06-04@13:41
2x2_2C_8b_C2v_L	-0.95451026	0	8.5	0.19990484	-0.19750702	0.7862094	0.26071038	0.78610649	0.26068316	0.28066883	0.75866107	2.0266667	-0.17636273	-0.15182351	-0.069590439	0.20412925	-0.069575855	0.20412686	-0.24783747	3.7869295e-05	1	0.040537901	0.046831996	-0.32202333	-0.14134072	0.32200437	0.1413344	3.4443284e-05	0.45369306	-0.39	0.0022051867	0.92857758	-0.90244772	0.1334937	0.031783893	0.051559928	1.833645	0.083654813	0.27553899	0.083657738	0.27553938	0.078662012	0.035976169	0.92136067	0.31781931	1.3774168	-0.018042627	-1.0705137	-0.018069656	-1.070516	0.88600802	-0.00011966199	-0.54558274	-0.36617959	-0.08488694	0.96043544	0.99089821	-0.960433	-0.9908684	-4.5657973e-05	-0.41070093	-0.0093834035	-10.606574	R0:S0:1	0.92136067	b8cfe21	v2.4.3	Y	Broyden	5	sharp_wc_2.0_b_35	self-energy/D	run_optim.py	2024-06-04@13:59
2x2_2C_8b_C2v_L	-0.95225763	0	8.5	0.21081122	-0.19385989	0.78097808	0.26391849	0.78084053	0.2639825	0.28085313	0.75565512	2.0277778	-0.18907034	-0.15665963	-0.071257921	0.20562784	-0.07122537	0.20564044	-0.24627354	3.4839745e-05	1	0.0078716916	0.0091396375	-0.31736568	-0.14190416	0.31736609	0.14188572	3.9361043e-05	0.44793244	-0.37333333	0.0026996546	0.92833525	-0.90518856	0.12607786	0.031822103	0.044841919	1.8257522	0.082012086	0.27643158	0.082030912	0.27638712	0.077831307	0.035196091	0.92130905	0.33371568	1.4173478	-0.013582975	-1.0756338	-0.013707453	-1.0756053	0.8833582	-0.00011400384	-0.54699274	-0.069129838	-0.016787251	0.95092401	0.9973325	-0.95100988	-0.99719676	-5.5327948e-05	-0.40515211	-0.010629244	-10.596908	R0:S0:1	0.92130905	b8cfe21	v2.4.3	Y	Broyden	7	sharp_wc_2.0_b_35	self-energy/D	run_optim.py	2024-06-04@14:24
