model	E_kin	D	U	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	t	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tp	ave_D	ave_mu	ave_t	ave_tp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_sb7_1	ave_sb8_1	ave_t_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	ave_tp_1	E0_1	sector_1	n_1	githash	version	GS_consistency	iterations	dist_function	convergence	script	time	
2x2_2C_8b_C2v_L	-1.0032558	0	8	0.21999008	0.26672385	0.7847621	0.26423096	0.26418099	0.78473227	0.76957974	0.26494754	1.8	0.0004124043	-0.21179217	0.072281676	0.20146231	-0.20145769	-0.072253007	-5.5058107e-06	-0.22738587	1	-0.18771704	-0.00040342395	0.33251088	-0.14888843	-0.14886004	0.33252843	0.46278005	-6.2189528e-06	-0.3	-0.0054772386	0.90552531	-0.97794488	0.084369592	0.03379378	0.21637026	0.050738723	0.099794012	0.34595642	0.34595303	0.099818028	0.039040358	0.083317653	0.89838286	-0.0008328026	0.39363337	0.032937396	-1.2652369	1.2652357	-0.03303979	2.1478336e-05	0.94223536	-0.56841689	1.6468706	0.0033150357	-1.043328	1.1486325	1.148576	-1.0434624	-0.40170764	6.5231971e-06	-0.016850062	-9.5212836	R0:S0:1	0.89838286	817c5bc	v2.2.6	Y	3	sharp_wc_2.0_b_50	self-energy/D	test4.py	2023-12-17@14:09
2x2_2C_8b_C2v_L	-1.0032018	0	8.001	0.21995113	0.26672033	0.78460349	0.26417735	0.26421203	0.78470218	0.76949081	0.26495836	1.8	0.00029295559	-0.21178744	0.072251262	0.20145446	-0.20145709	-0.072280774	3.2369487e-06	-0.22738829	1	-0.1877069	-0.00028732995	0.33249928	-0.14885486	-0.14888468	0.33249757	0.46274867	5.1379091e-06	-0.3	-0.0054746287	0.90551538	-0.97789083	0.084369783	0.033785309	0.21638719	0.050743648	0.099813018	0.3459357	0.34595575	0.099795495	0.039039785	0.083318521	0.8983742	-0.00059269023	0.39364704	0.033035288	-1.2651654	1.2651558	-0.032933525	-5.657268e-06	0.9421984	-0.56838014	1.6468602	0.0023599651	-1.0434026	1.1484945	1.1486181	-1.0433283	-0.40172134	-8.0376798e-06	-0.01684921	-9.5210918	R0:S0:1	0.8983742	817c5bc	v2.2.6	Y	3	sharp_wc_2.0_b_50	self-energy/D	test4.py	2023-12-17@14:13
2x2_2C_8b_C2v_L	-1.003131	0	8	0.21983143	0.26671634	0.78478075	0.26426426	0.26429213	0.78485667	0.7696646	0.26505209	1.801	0.00011509188	-0.21183431	0.072259462	0.20150742	-0.20151217	-0.07227724	6.6818693e-06	-0.22743691	1	-0.18759747	-0.00011266829	0.33242211	-0.14885273	-0.1488659	0.33243387	0.46267979	5.0614305e-06	-0.3	-0.005439327	0.90563635	-0.97780369	0.08442443	0.033803432	0.21617185	0.050742269	0.099706323	0.34567507	0.34568522	0.09970303	0.039007997	0.083279212	0.89849804	-0.00023399005	0.39348808	0.032953806	-1.2647209	1.2647129	-0.032908113	-1.9257564e-05	0.94204822	-0.56842816	1.6458765	0.00092391093	-1.0429333	1.1481191	1.1481858	-1.0429354	-0.40159991	-6.7344229e-06	-0.016846161	-9.524563	R0:S0:1	0.89849804	817c5bc	v2.2.6	Y	7	sharp_wc_2.0_b_50	self-energy/D	test4.py	2023-12-17@14:20
2x2_2C_8b_C2v_L	-1.0032642	0	8	0.21992653	0.26750482	0.78407001	0.26446668	0.26446995	0.7842822	0.76930684	0.26495646	1.8	-0.00012127886	-0.21225588	0.072396628	0.20158718	-0.20158415	-0.072415747	-3.9409241e-06	-0.22728954	1	-0.18778703	0.00011528697	0.33220878	-0.1489235	-0.14894395	0.33222343	0.46243497	-3.1173137e-06	-0.299	-0.0054677171	0.90546022	-0.97819502	0.083843381	0.033796119	0.2163836	0.050832274	0.099719139	0.34615178	0.34617395	0.099698569	0.038997775	0.083282523	0.89833304	0.00025593702	0.39400511	0.032620492	-1.266051	1.2660551	-0.03253761	1.437224e-05	0.94221949	-0.5685167	1.6468485	-0.00093466622	-1.04284	1.1491349	1.1492414	-1.0427648	-0.40138932	1.1150953e-06	-0.016944855	-9.5211478	R0:S0:1	0.89833304	817c5bc	v2.2.6	Y	7	sharp_wc_2.0_b_50	self-energy/D	test4.py	2023-12-17@14:26
model	E_kin	D	U	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	t	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tp	ave_D	ave_mu	ave_t	ave_tp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_sb7_1	ave_sb8_1	ave_t_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	ave_tp_1	E0_1	sector_1	n_1	githash	version	GS_consistency	iterations	dist_function	convergence	script	time	
2x2_2C_8b_C2v_L	-1.0032558	0	8	0.21999008	0.26672385	0.7847621	0.26423096	0.26418099	0.78473227	0.76957974	0.26494754	1.8	0.0004124043	-0.21179217	0.072281676	0.20146231	-0.20145769	-0.072253007	-5.5058107e-06	-0.22738587	1	-0.18771704	-0.00040342395	0.33251088	-0.14888843	-0.14886004	0.33252843	0.46278005	-6.2189528e-06	-0.3	-0.0054772386	0.90552531	-0.97794488	0.084369592	0.03379378	0.21637026	0.050738723	0.099794012	0.34595642	0.34595303	0.099818028	0.039040358	0.083317653	0.89838286	-0.0008328026	0.39363337	0.032937396	-1.2652369	1.2652357	-0.03303979	2.1478338e-05	0.94223536	-0.56841689	1.6468706	0.0033150357	-1.043328	1.1486325	1.148576	-1.0434624	-0.40170764	6.5231975e-06	-0.016850062	-9.5212836	R0:S0:1	0.89838286	817c5bc	v2.2.6	Y	3	sharp_wc_2.0_b_50	self-energy/D	test4.py	2023-12-17@19:54
2x2_2C_8b_C2v_L	-1.0032018	0	8.001	0.21995113	0.26672033	0.78460349	0.26417735	0.26421203	0.78470218	0.76949081	0.26495836	1.8	0.00029295559	-0.21178744	0.072251262	0.20145446	-0.20145709	-0.072280774	3.2369487e-06	-0.22738829	1	-0.1877069	-0.00028732995	0.33249928	-0.14885486	-0.14888468	0.33249757	0.46274867	5.1379091e-06	-0.3	-0.0054746287	0.90551538	-0.97789083	0.084369783	0.033785309	0.21638719	0.050743648	0.099813018	0.3459357	0.34595575	0.099795495	0.039039785	0.083318521	0.8983742	-0.00059269023	0.39364704	0.033035288	-1.2651654	1.2651558	-0.032933525	-5.657268e-06	0.9421984	-0.56838014	1.6468602	0.0023599651	-1.0434026	1.1484945	1.1486181	-1.0433283	-0.40172134	-8.0376798e-06	-0.01684921	-9.5210918	R0:S0:1	0.8983742	817c5bc	v2.2.6	Y	3	sharp_wc_2.0_b_50	self-energy/D	test4.py	2023-12-17@19:56
2x2_2C_8b_C2v_L	-1.003131	0	8	0.21983143	0.26671634	0.78478075	0.26426426	0.26429213	0.78485667	0.7696646	0.26505209	1.801	0.00011509188	-0.21183431	0.072259462	0.20150742	-0.20151217	-0.07227724	6.6818693e-06	-0.22743691	1	-0.18759747	-0.00011266829	0.33242211	-0.14885273	-0.1488659	0.33243387	0.46267979	5.0614305e-06	-0.3	-0.005439327	0.90563635	-0.97780369	0.08442443	0.033803432	0.21617185	0.050742269	0.099706323	0.34567507	0.34568522	0.09970303	0.039007997	0.083279212	0.89849804	-0.00023399005	0.39348808	0.032953806	-1.2647209	1.2647129	-0.032908113	-1.9257564e-05	0.94204822	-0.56842816	1.6458765	0.00092391093	-1.0429333	1.1481191	1.1481858	-1.0429354	-0.40159991	-6.7344229e-06	-0.016846161	-9.524563	R0:S0:1	0.89849804	817c5bc	v2.2.6	Y	7	sharp_wc_2.0_b_50	self-energy/D	test4.py	2023-12-17@20:02
2x2_2C_8b_C2v_L	-1.0032642	0	8	0.21992653	0.26750482	0.78407001	0.26446668	0.26446995	0.7842822	0.76930684	0.26495646	1.8	-0.00012127886	-0.21225588	0.072396628	0.20158718	-0.20158415	-0.072415747	-3.9409241e-06	-0.22728954	1	-0.18778703	0.00011528697	0.33220878	-0.1489235	-0.14894395	0.33222343	0.46243497	-3.1173137e-06	-0.299	-0.0054677171	0.90546022	-0.97819502	0.083843381	0.033796119	0.2163836	0.050832274	0.099719139	0.34615178	0.34617395	0.099698569	0.038997775	0.083282523	0.89833304	0.00025593702	0.39400511	0.032620492	-1.266051	1.2660551	-0.03253761	1.437224e-05	0.94221949	-0.5685167	1.6468485	-0.00093466622	-1.04284	1.1491349	1.1492414	-1.0427648	-0.40138932	1.1150953e-06	-0.016944855	-9.5211478	R0:S0:1	0.89833304	817c5bc	v2.2.6	Y	7	sharp_wc_2.0_b_50	self-energy/D	test4.py	2023-12-17@20:07
2x2_2C_8b_C2v_L	-1.0033453	0	8.0006667	0.22001498	0.26724636	0.78421787	0.264271	0.26427401	0.7842508	0.7692362	0.26483032	1.799	0.00030495342	-0.21205054	0.072327251	0.20148772	-0.20148302	-0.072339891	-1.0996572e-07	-0.22726172	1	-0.1878625	-0.0002974448	0.33241771	-0.14889966	-0.14891052	0.332412	0.46262084	1.572531e-06	-0.29933333	-0.0055072853	0.90536352	-0.97821272	0.08396171	0.033779641	0.21660806	0.050810515	0.099861837	0.34634193	0.34635105	0.099852339	0.039043507	0.083332765	0.89822951	-0.0006211117	0.394064	0.032883149	-1.2662276	1.2662212	-0.032834001	2.9217822e-06	0.94236398	-0.56844582	1.6478435	0.0024372366	-1.0435485	1.1493102	1.1493602	-1.0435006	-0.40160866	-2.0657959e-06	-0.016914312	-9.517765	R0:S0:1	0.89822951	817c5bc	v2.2.6	Y	3	sharp_wc_2.0_b_50	self-energy/D	test4.py	2023-12-17@20:09
