model	E_kin	D	U	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	t	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tp	ave_D	ave_mu	ave_t	ave_tp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_sb7_1	ave_sb8_1	ave_t_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	ave_tp_1	E0_1	sector_1	n_1	githash	version	GS_consistency	iterations	dist_function	convergence	script	time	
2x2_2C_8b_C2v_L	-0.92285428	0	9.5	0.12826542	0.17922239	0.73423866	0.25047168	0.25047843	0.73435889	0.69380945	0.29457024	2.1	-0.13700294	0.00022775477	0.078843649	-0.1976753	-0.19766732	0.078870555	3.00104e-06	0.266399	1	0.00021172682	0.14843836	0.32171141	0.14897563	-0.14900096	-0.32170725	-0.46376861	5.4243703e-06	-0.5	0.0011695525	0.9266921	-0.83253568	0.18063721	0.025804345	0.037814995	0.19280299	0.083132736	0.27624228	0.27625894	0.08311515	0.041197428	0.08958617	0.9194031	0.30194852	-0.00043026121	-0.019907486	0.98718281	0.9871683	-0.019992866	-8.8647221e-06	-0.8878139	-0.50056271	-0.002313993	-1.4341722	-0.93992855	-0.95859326	0.95869767	0.93984446	0.46323287	-7.9977358e-06	0.0014144363	-10.382073	R0:S0:1	0.9194031	817c5bc	v2.2.6	Y	3	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2023-12-05@09:52
2x2_2C_8b_C2v_L	-0.92281792	0	9.501	0.12825254	0.17917636	0.7341501	0.2504599	0.25046568	0.73428866	0.69369642	0.29454844	2.1	-0.13699769	0.00024423951	0.078853443	-0.19766535	-0.19766729	0.078872131	1.2602644e-06	0.26639328	1	0.0002314216	0.14843825	0.32169092	0.14898614	-0.14899658	-0.32170206	-0.46374489	1.7389255e-06	-0.5	0.0011686924	0.92668329	-0.83249859	0.18063865	0.025798675	0.03782761	0.19285377	0.083133367	0.2762692	0.2762778	0.083118272	0.041201132	0.089598745	0.91939362	0.30199565	-0.0004535935	-0.019938522	0.98715115	0.98717246	-0.019998535	-3.091652e-06	-0.88781759	-0.50052653	-0.0025377225	-1.4342526	-0.93991196	-0.95864971	0.95867227	0.93984404	0.46325951	-4.7599341e-06	0.0014202643	-10.38196	R0:S0:1	0.91939362	817c5bc	v2.2.6	Y	3	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2023-12-05@09:54
2x2_2C_8b_C2v_L	-0.92430361	0	9.5	0.12854208	0.17958928	0.73528231	0.25055319	0.25053895	0.73524014	0.69472189	0.29450542	2.1	-0.1371957	-0.00030012146	0.078775519	-0.19776291	-0.19776002	0.078751868	1.2506758e-05	0.26640172	1.001	-0.00027304529	0.14876101	0.32225508	0.14909712	-0.14907962	-0.32226037	-0.46440124	1.5639046e-05	-0.5	0.0011230178	0.92658918	-0.8332238	0.18049315	0.025840167	0.037829049	0.19300634	0.083301354	0.27660204	0.27658667	0.083312949	0.041230784	0.089589368	0.91928401	0.3022236	0.00058342644	-0.019398656	0.98836112	0.98834716	-0.019327852	-2.7107934e-05	-0.88812584	-0.50088851	0.0029622743	-1.4356139	-0.94097875	-0.95944104	0.95938364	0.94103789	0.46315555	-2.2096573e-05	0.0013832565	-10.385978	R0:S0:1	0.91928401	817c5bc	v2.2.6	Y	13	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2023-12-05@10:06
2x2_2C_8b_C2v_L	-0.92272732	0	9.5	0.12835232	0.17908534	0.73435228	0.25055777	0.2505383	0.73433069	0.69386698	0.29464549	2.101	-0.13707989	0.00024558573	0.078896152	-0.19772929	-0.19772785	0.078889991	-2.4113071e-05	0.26646066	1	0.00022448304	0.14833782	0.32158461	0.14899059	-0.14898126	-0.32158366	-0.46364046	-2.7436042e-05	-0.5	0.0011960538	0.92678571	-0.83242282	0.180609	0.025811943	0.037833178	0.19261103	0.083020165	0.27603753	0.2760378	0.083019983	0.041158091	0.089538975	0.91949815	0.30188255	-0.00047408398	-0.020102809	0.98675967	0.98677893	-0.020092953	6.0998965e-05	-0.88759777	-0.5005812	-0.0024407245	-1.4332276	-0.93933644	-0.958321	0.95827938	0.93932843	0.46305732	3.4311632e-05	0.0013986663	-10.385467	R0:S0:1	0.91949815	817c5bc	v2.2.6	Y	10	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2023-12-05@10:14
2x2_2C_8b_C2v_L	-0.92261212	0	9.5	0.12877257	0.17883209	0.73415785	0.25052479	0.25052036	0.73412459	0.6936777	0.29453722	2.1	-0.13736415	0.00031462227	0.078881345	-0.1977131	-0.19771661	0.078876206	5.4355092e-06	0.26630045	1	0.00028697841	0.14839626	0.32147759	0.14896828	-0.14896682	-0.32147457	-0.46341529	4.8001713e-06	-0.499	0.0012004273	0.92670138	-0.83269745	0.18018972	0.025805558	0.037978634	0.19283999	0.083038432	0.27619779	0.27620002	0.083040283	0.041137488	0.089528802	0.91941624	0.30248033	-0.00061020156	-0.020015011	0.98722272	0.98723433	-0.020004441	-2.0117362e-05	-0.88759813	-0.50065071	-0.0031131226	-1.4338022	-0.93943543	-0.95877616	0.95876801	0.9394429	0.46284313	-3.6763627e-06	0.0013354773	-10.381539	R0:S0:1	0.91941625	817c5bc	v2.2.6	Y	10	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2023-12-05@10:23
2x2_2C_8b_C2v_L	-0.92119975	0	9.5005	0.12827198	0.17865117	0.73324275	0.2504606	0.25045583	0.7332823	0.6927788	0.29462909	2.1005	-0.13701917	0.00082400123	0.078980939	-0.1976277	-0.1976293	0.07898718	-1.9564062e-06	0.26636753	0.999	0.00076338944	0.14806622	0.32097519	0.14887755	-0.14887959	-0.32097989	-0.4628791	-2.409451e-06	-0.4995	0.001244981	0.92684201	-0.83185197	0.18053981	0.02577029	0.037885966	0.19250716	0.082848012	0.27577291	0.27577723	0.082842556	0.041115612	0.08953002	0.91957262	0.30186648	-0.0015652581	-0.020647176	0.98578492	0.98580201	-0.020669276	-1.7638227e-06	-0.88725702	-0.50027561	-0.0083339125	-1.4320966	-0.93826236	-0.95776559	0.95776521	0.93823667	0.46303341	1.4048362e-06	0.0013995352	-10.379556	R0:S0:1	0.91957262	817c5bc	v2.2.6	Y	3	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2023-12-05@10:25
2x2_2C_8b_C2v_L	-0.91965611	0	9.50075	0.12815081	0.17813702	0.73218656	0.25040126	0.25037206	0.73228649	0.69180074	0.29470218	2.10075	-0.13692873	0.0010179004	0.079086554	-0.19756206	-0.19756348	0.07906004	5.0798038e-05	0.26635289	0.998	0.00093494634	0.14770857	0.32033278	0.14877628	-0.14874714	-0.32037578	-0.46212968	6.3984101e-05	-0.49925	0.0013026026	0.92696579	-0.83116992	0.18056791	0.025735246	0.037922217	0.19228376	0.082619767	0.27540564	0.27540086	0.082636744	0.041061245	0.089508271	0.91971266	0.3017155	-0.0019503206	-0.021274195	0.98459005	0.98460644	-0.02118691	-0.00014756317	-0.8868566	-0.49996377	-0.010196183	-1.4303594	-0.93687478	-0.95698303	0.95692368	0.93700239	0.46298878	-7.6999936e-05	0.0014099471	-10.376379	R0:S0:1	0.91971266	817c5bc	v2.2.6	Y	3	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2023-12-05@10:28
2x2_2C_8b_C2v_L	-0.92110546	0	9.499375	0.12849769	0.17845446	0.7333334	0.25050048	0.25050708	0.73332895	0.69290491	0.29465562	2.100875	-0.13719181	0.00062961376	0.078970796	-0.19767811	-0.19767815	0.078981679	3.9683893e-06	0.26635508	0.999	0.00058569099	0.14800187	0.32087427	0.14884147	-0.14884981	-0.32086866	-0.46272723	1.1670661e-06	-0.499125	0.0012676667	0.9268911	-0.83191295	0.18036449	0.02577978	0.03795118	0.19242372	0.0827819	0.27565512	0.27565688	0.082776552	0.041074306	0.089480505	0.91962313	0.30203495	-0.0011902724	-0.020618779	0.98571777	0.98571683	-0.020649976	-1.4975294e-05	-0.88709588	-0.5003528	-0.0063941796	-1.4315365	-0.9379426	-0.9576134	0.95763355	0.9379092	0.4627929	-3.5043296e-06	0.0013599929	-10.380747	R0:S0:1	0.91962313	817c5bc	v2.2.6	Y	3	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2023-12-05@10:31
2x2_2C_8b_C2v_L	-0.92019313	0	9.5000625	0.12860948	0.17802115	0.73273242	0.25050453	0.25047452	0.73274219	0.69233232	0.29468595	2.1013125	-0.13728391	0.00069189946	0.079033024	-0.19767272	-0.19767611	0.079008915	2.2401132e-05	0.26633286	0.9985	0.00064047435	0.14777884	0.3204333	0.14877388	-0.14874356	-0.32045838	-0.46217928	2.6494663e-05	-0.4986875	0.001316277	0.9269875	-0.83156338	0.18022729	0.025761731	0.038030717	0.19228115	0.08261183	0.27537045	0.27535975	0.082624064	0.041015984	0.089439679	0.91972524	0.30212323	-0.0013162589	-0.020970203	0.98493987	0.98497014	-0.020897414	-6.5244153e-05	-0.88673979	-0.50021137	-0.0069806078	-1.4302763	-0.93694561	-0.95711402	0.95700759	0.93702064	0.46259776	-3.3946786e-05	0.001338044	-10.379954	R0:S0:1	0.91972524	817c5bc	v2.2.6	Y	3	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2023-12-05@10:33
2x2_2C_8b_C2v_L	-0.918858	0	9.5000937	0.12875917	0.17743287	0.73199894	0.25053755	0.25050176	0.7320378	0.6916788	0.29480117	2.1019688	-0.13741894	0.00090897257	0.079134213	-0.19767846	-0.19767526	0.079132265	3.4249654e-05	0.2663158	0.99775	0.00084689618	0.14743976	0.31979304	0.14866885	-0.14866285	-0.31980325	-0.46139475	3.8506492e-05	-0.49803125	0.0013911257	0.92713551	-0.83107231	0.18002003	0.025740689	0.038136466	0.19199187	0.082346309	0.27492363	0.27493045	0.082347255	0.040921353	0.089358129	0.91988934	0.30218079	-0.0017196791	-0.021519873	0.98382003	0.98382918	-0.021519894	-9.4962554e-05	-0.88619349	-0.50003838	-0.0092353406	-1.42824	-0.93542625	-0.95633463	0.95633751	0.93544144	0.46226968	-5.2278547e-05	0.0012963528	-10.378887	R0:S0:1	0.91988934	817c5bc	v2.2.6	Y	3	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2023-12-05@10:36
2x2_2C_8b_C2v_L	-0.91838905	0	9.5001094	0.1287419	0.17741287	0.7315111	0.25045598	0.25041842	0.7315341	0.69115974	0.29472981	2.1007969	-0.1373665	0.0011817889	0.079193251	-0.19758429	-0.19757301	0.079179263	2.9235583e-05	0.26621058	0.997375	0.0010993993	0.14745082	0.31963997	0.14868388	-0.14866764	-0.31964498	-0.4612046	3.3236155e-05	-0.49770312	0.0013836315	0.92706322	-0.83100438	0.17995879	0.025719009	0.038145967	0.19212101	0.08236189	0.27508157	0.27506929	0.082358317	0.040940392	0.089396103	0.91982222	0.30226327	-0.002232843	-0.021775266	0.98388966	0.98389606	-0.021747547	-8.1598921e-05	-0.88628182	-0.49992388	-0.011996849	-1.4287188	-0.9354511	-0.95670511	0.95663115	0.93542225	0.46239717	-4.8661636e-05	0.0012995458	-10.37334	R0:S0:1	0.91982222	817c5bc	v2.2.6	Y	3	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2023-12-05@10:38
2x2_2C_8b_C2v_L	-0.91639243	0	9.5001641	0.12834461	0.17678708	0.73032539	0.2503946	0.25036429	0.7304708	0.69006965	0.29487132	2.1021953	-0.13709061	0.0015128191	0.079302549	-0.19752597	-0.1975215	0.079304089	4.9029476e-05	0.26630472	0.9960625	0.0013982579	0.14688062	0.31884553	0.14850992	-0.14850021	-0.31886911	-0.46031368	5.4844754e-05	-0.49805469	0.0014702289	0.92732779	-0.82987709	0.18026732	0.025681297	0.038121293	0.19160334	0.082025622	0.27434553	0.27434781	0.082016369	0.040864198	0.089351148	0.92010709	0.30166593	-0.0028792421	-0.022552125	0.98176823	0.98180082	-0.022565512	-0.00014142386	-0.88561605	-0.49948096	-0.015260045	-1.4256049	-0.93345266	-0.95504776	0.95500932	0.93341818	0.46239361	-7.1525734e-05	0.0013510417	-10.373125	R0:S0:1	0.92010709	817c5bc	v2.2.6	Y	3	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2023-12-05@10:41
2x2_2C_8b_C2v_L	-0.91327665	0	9.5002461	0.12813289	0.1759087	0.72865704	0.2503597	0.25035756	0.72868645	0.68827483	0.2950114	2.103293	-0.13696534	4.3884222e-05	0.079573636	-0.19742656	-0.1974184	0.079580721	6.2471195e-06	0.26630079	0.99409375	4.2062119e-05	0.14616586	0.317527	0.14833107	-0.14833681	-0.31751765	-0.45875226	7.0987866e-06	-0.49758203	0.0016053177	0.92763721	-0.82845863	0.1802941	0.025619925	0.038121094	0.19094026	0.081480647	0.27342281	0.27342054	0.08146846	0.040723428	0.089247614	0.92045632	0.30115872	-7.6009304e-05	-0.024005898	0.97900214	0.97899911	-0.024036885	-1.4145527e-05	-0.88456842	-0.49890463	-0.00046777406	-1.4215661	-0.93026828	-0.95332709	0.95332431	0.93018998	0.46213908	-1.1513161e-05	0.0013523294	-10.36896	R0:S0:1	0.92045632	817c5bc	v2.2.6	Y	7	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2023-12-05@10:47
