model	E_kin	D	U	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	t	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tp	ave_D	ave_mu	ave_t	ave_tp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_sb7_1	ave_sb8_1	ave_t_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	ave_tp_1	E0_1	sector_1	n_1	githash	version	GS_consistency	method	iterations	dist_function	convergence	script	time	
2x2_2C_8b_C2v_L	-0.93735608	0	9	0.18273244	-0.17743532	0.25554616	0.75312852	0.25557468	0.75305604	0.2853882	0.71923092	2	0.17089389	0.15721153	-0.19992637	-0.075652452	0.19993445	-0.075635174	-0.25019875	1.8109532e-05	1	0.013768239	0.014751719	-0.14722165	0.31887848	-0.14721011	-0.31888177	-1.9099253e-05	-0.45233482	-0.4	-0.0009568656	0.92082387	-0.88227433	0.13770438	0.028141666	0.048667038	1.8013096	0.29210974	0.085185476	0.29208085	0.08519776	0.084856178	0.038375189	0.91379652	-0.34585564	-1.4756247	1.0668013	0.0013162314	-1.0667804	0.0012465173	0.89465336	-6.9895184e-05	-0.52518632	-0.12793672	-0.030247453	1.0160229	-0.95927107	1.0159441	0.95932786	1.9023039e-05	0.43091476	-0.0069015555	-10.418029	R0:S0:1	0.91379652	b8cfe21	v2.4.3	Y	Broyden	0	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-02@12:28
2x2_2C_8b_C2v_L	-0.93692607	0	9.01	0.18257784	-0.17721125	0.25548262	0.752215	0.25545293	0.75202162	0.28537194	0.71832492	2	0.17079801	0.15719435	-0.1998763	-0.075802432	0.19988252	-0.075713252	-0.25020974	2.4218963e-05	1	0.013880474	0.014862125	-0.14730709	0.31867691	-0.14723755	-0.31869794	-1.8309176e-05	-0.45213961	-0.4	-0.00095735044	0.92072862	-0.88184712	0.13769737	0.028078981	0.048739568	1.8010706	0.29228448	0.085165916	0.29221879	0.085209227	0.084928862	0.038398208	0.91371057	-0.3460043	-1.4758463	1.0664376	0.0018498884	-1.0664312	0.001566978	0.8945774	-9.0600291e-05	-0.52483346	-0.12899896	-0.030505934	1.0162389	-0.95894787	1.015939	0.95916087	1.4998503e-05	0.43115821	-0.0068758966	-10.416286	R0:S0:1	0.91371057	b8cfe21	v2.4.3	Y	Broyden	6	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-02@12:34
2x2_2C_8b_C2v_L	-0.93601964	0	9	0.18292074	-0.17628879	0.25656939	0.75436545	0.2565846	0.75435333	0.2862573	0.72012914	2.01	0.17144052	0.15598929	-0.20058288	-0.075973922	0.20059493	-0.075951728	-0.25080503	1.6072702e-05	1	0.014256018	0.015386357	-0.14716764	0.31768516	-0.14714953	-0.3177045	-1.5195277e-05	-0.45108235	-0.4	-0.0012973501	0.92183975	-0.88093618	0.13770864	0.028225918	0.048777537	1.8036201	0.28965495	0.084048792	0.28962934	0.084064294	0.08435548	0.037995515	0.91485425	-0.34422813	-1.4645081	1.0621359	0.002721337	-1.0621276	0.0026379569	0.89227737	-6.9342401e-05	-0.52537015	-0.1321583	-0.031409816	1.0121507	-0.95341534	1.0120613	0.95350532	1.3453286e-05	0.42929899	-0.0070122104	-10.44911	R0:S0:1	0.91485425	b8cfe21	v2.4.3	Y	Broyden	6	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-02@12:40
2x2_2C_8b_C2v_L	-0.93601353	0	9	0.18886673	-0.17634483	0.2571062	0.75069043	0.25716186	0.75046489	0.28526974	0.71789543	2	0.17486829	0.15723393	-0.20074094	-0.0765205	0.20075442	-0.0764708	-0.24919911	5.7305947e-05	1	0.015038583	0.016172247	-0.14746596	0.3162951	-0.14743941	-0.31629034	-6.6342594e-05	-0.44900768	-0.39	-0.001218228	0.9206072	-0.88407266	0.13318173	0.02816599	0.049762878	1.8019306	0.29267975	0.084229387	0.29260891	0.084260072	0.084261393	0.037875031	0.91372505	-0.34882194	-1.4713664	1.0702649	0.0036518374	-1.0701961	0.0034679904	0.89290915	-0.00020831669	-0.52613974	-0.13746613	-0.033272227	1.0197638	-0.95383833	1.019587	0.95397416	7.119678e-05	0.42738954	-0.0077459196	-10.412211	R0:S0:1	0.91372505	b8cfe21	v2.4.3	Y	Broyden	6	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-02@12:47
2x2_2C_8b_C2v_L	-0.93526061	0	9.0066667	0.18689374	-0.17581318	0.25722638	0.75175108	0.25722774	0.75163924	0.28589858	0.71841966	2.0066667	0.17387746	0.15641722	-0.20087711	-0.076523777	0.20088265	-0.07645222	-0.24993899	6.9543229e-05	1	0.014828358	0.015993081	-0.14738147	0.31623085	-0.14733985	-0.31625513	-6.8511153e-05	-0.44915671	-0.39333333	-0.0013638737	0.92130298	-0.88228057	0.13469504	0.028172054	0.049480085	1.8030945	0.29091155	0.083774623	0.29085303	0.08381772	0.084161053	0.037800419	0.91440513	-0.3468581	-1.4656481	1.0656806	0.0040933897	-1.0656037	0.0038498084	0.8917908	-0.00024007017	-0.52570658	-0.1360767	-0.032786119	1.015929	-0.95151625	1.0157798	0.95175533	7.1512581e-05	0.42763777	-0.0075169606	-10.433703	R0:S0:1	0.91440513	b8cfe21	v2.4.3	Y	Broyden	2	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-02@12:49
2x2_2C_8b_C2v_L	-0.93421201	0	9.01	0.18898883	-0.17518737	0.25805343	0.75100336	0.25804575	0.75076689	0.28614405	0.71794962	2.01	0.17536482	0.15603704	-0.20134012	-0.076955751	0.20135803	-0.076832885	-0.24980291	8.8021818e-05	1	0.01537148	0.016649887	-0.1474736	0.31490507	-0.14737113	-0.31494891	-9.816753e-05	-0.44756933	-0.39	-0.0015662371	0.92153783	-0.88226914	0.13318684	0.028187516	0.049826857	1.8040892	0.29031857	0.083087073	0.29020843	0.083149502	0.083800927	0.037518045	0.91471094	-0.34715494	-1.4605019	1.0650444	0.0054657073	-1.0650309	0.0050592904	0.89030285	-0.00029835057	-0.52597145	-0.14018694	-0.034117121	1.0159837	-0.94771006	1.0155112	0.94802828	0.00010962583	0.42601215	-0.0078288219	-10.441932	R0:S0:1	0.91471094	b8cfe21	v2.4.3	Y	Broyden	1	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-02@12:51
2x2_2C_8b_C2v_L	-0.93389983	0	8.9966667	0.19117802	-0.17496219	0.25897909	0.7519012	0.25898155	0.75164155	0.28636054	0.71913403	2.0133333	0.17716183	0.1558572	-0.20190091	-0.077139045	0.20190928	-0.077079603	-0.24965395	0.00011771426	1	0.013862941	0.015095189	-0.14738254	0.31394308	-0.1473482	-0.31393212	-0.00012164786	-0.4463112	-0.38666667	-0.0017694635	0.92193301	-0.88297351	0.131706	0.028307358	0.049772462	1.8051721	0.28949329	0.082432005	0.28943595	0.082464642	0.083339237	0.037197989	0.91515502	-0.34757538	-1.4565545	1.0651945	0.0059355514	-1.0651364	0.0057449192	0.88902827	-0.00038767252	-0.52681731	-0.12567699	-0.030842859	1.0155818	-0.94442923	1.0154045	0.94457438	0.0001345711	0.42398488	-0.0081769102	-10.453123	R0:S0:1	0.91515502	b8cfe21	v2.4.3	Y	Broyden	18	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-02@13:08
2x2_2C_8b_C2v_L	-0.93241474	0	8.99	0.19573002	-0.17421623	0.26078352	0.75165236	0.26078137	0.75147695	0.28689302	0.71954683	2.02	0.18100497	0.15571275	-0.20290822	-0.077868808	0.2029112	-0.07781185	-0.24936205	4.3015989e-05	1	0.0050027759	0.0054901202	-0.14745529	0.31151765	-0.14740619	-0.31152702	-4.4969855e-05	-0.44340671	-0.38	-0.0021800415	0.9225448	-0.8834936	0.12873984	0.02842176	0.049366563	1.8066181	0.28814148	0.081062091	0.28808161	0.081091022	0.082523208	0.036614374	0.91587902	-0.34916489	-1.4512247	1.0644932	0.0081723918	-1.0644696	0.0079821721	0.88614015	-0.00015067529	-0.52780041	-0.044821511	-0.011157953	1.0154362	-0.93702057	1.0151994	0.93715497	4.5516762e-05	0.42045235	-0.0088177903	-10.472308	R0:S0:1	0.91587902	b8cfe21	v2.4.3	Y	Broyden	6	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-02@13:14
2x2_2C_8b_C2v_L	-0.93234107	0	9	0.18952322	-0.17403903	0.25968618	0.75412569	0.25983596	0.75417455	0.28755687	0.72051843	2.0266667	0.17695311	0.15453449	-0.20247574	-0.077237741	0.20249668	-0.077259632	-0.25078038	4.2825807e-05	1	0.0098736758	0.010843771	-0.14714163	0.31316801	-0.1471831	-0.31315862	-4.5668724e-05	-0.44564056	-0.39	-0.002149666	0.92334755	-0.88039309	0.13319996	0.028390465	0.048934573	1.8076551	0.28594254	0.081277003	0.2859038	0.0812636	0.08283319	0.036863445	0.91657961	-0.34485622	-1.4456724	1.05736	0.0069345766	-1.0572921	0.0069741539	0.8861222	-0.0001573747	-0.52664062	-0.089727623	-0.021955408	1.008787	-0.93850099	1.0088266	0.9384186	4.7284927e-05	0.42303195	-0.0080362576	-10.496457	R0:S0:1	0.91657961	b8cfe21	v2.4.3	Y	Broyden	4	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-02@13:19
2x2_2C_8b_C2v_L	-0.93008426	0	9	0.19997555	-0.17349261	0.2626002	0.75020777	0.26259622	0.75012271	0.28749763	0.71876472	2.0277778	0.18427301	0.15504636	-0.20392982	-0.078837126	0.20393803	-0.078804967	-0.24916553	2.0037539e-05	1	0.0019469409	0.0021611153	-0.14758178	0.3086446	-0.14756406	-0.30865164	-1.8409086e-05	-0.44002522	-0.37333333	-0.0026386313	0.92310537	-0.88312103	0.12579437	0.028442442	0.049656266	1.8088921	0.28679225	0.079535872	0.28677499	0.0795546	0.081732095	0.036018897	0.91658333	-0.3493416	-1.4408652	1.0628063	0.011240142	-1.0627954	0.011136977	0.88274516	-6.7779178e-05	-0.52822652	-0.017231835	-0.0043784992	1.0150175	-0.9283423	1.0149513	0.9284481	2.047103e-05	0.41707711	-0.0094336804	-10.493152	R0:S0:1	0.91658333	b8cfe21	v2.4.3	Y	Broyden	6	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-02@13:25
