model	E_kin	D	U	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	t	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tp	ave_D	ave_mu	ave_t	ave_tp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_sb7_1	ave_sb8_1	ave_t_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	ave_tp_1	E0_1	sector_1	n_1	githash	version	GS_consistency	method	iterations	dist_function	convergence	script	time	
2x2_2C_8b_C2v_L	-0.73574282	0	11.032713	1.3754375	-0.27766158	1.3391582	0.30246117	1.3393518	0.30255648	0.77467267	0.70444573	2.9152119	-0.54238508	-5.7893008e-05	-0.4093405	0.15219209	-0.40934018	0.15223787	-0.18513846	-0.0046286636	1	4.2530512e-05	0.18690537	-0.019697052	-0.090891087	0.019722764	0.090894666	-0.002950571	0.11227498	0.39591635	0.046481895	0.97888528	-0.68753223	-0.12176964	0.025394363	0.0060686371	1.9988823	0.028359749	0.10441912	0.028352599	0.10441805	0.01067166	0.0022525343	0.98105959	0.21577141	0.00030445321	0.50232607	-0.47990483	0.50229478	-0.4799575	0.35819196	0.0091680088	-0.47756846	-0.00012864923	-0.084651922	-0.15445067	0.77758189	0.15435626	-0.77755021	0.0028815267	-0.1124481	-0.019660572	-13.562851	R0:S0:1	0.98105959	b8cfe21	v2.4.3	Y	Broyden	2	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-06-03@08:41
2x2_2C_8b_C2v_L	-0.73540268	0	11.042713	1.375675	-0.27757907	1.3393532	0.30224693	1.339311	0.3022063	0.77483594	0.70288409	2.9152119	-0.54240375	-5.3919068e-05	-0.40937293	0.15218428	-0.40938293	0.15216679	-0.18518583	-0.0039742623	1	3.8496873e-05	0.18693089	-0.019677164	-0.090886874	0.019675101	0.090892321	-0.0025291453	0.11218616	0.39591635	0.046499147	0.97883334	-0.68719787	-0.12175504	0.025354108	0.0060622685	1.9988827	0.028378615	0.1045682	0.02838084	0.10458104	0.010680477	0.0022517592	0.98100709	0.21570449	0.00028483396	0.50224229	-0.4802503	0.50225114	-0.48024473	0.35808173	0.0078732166	-0.47729413	-0.00011453963	-0.084630963	-0.154617	0.77787054	0.154631	-0.77794399	0.0024695215	-0.11247713	-0.019694479	-13.561738	R0:S0:1	0.98100709	b8cfe21	v2.4.3	Y	Broyden	12	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-06-03@08:54
2x2_2C_8b_C2v_L	-0.72008871	0	11.032713	1.4060902	-0.28493014	1.3483456	0.30506491	1.3483408	0.30506665	0.78825569	0.79142829	2.9252119	-0.54498613	2.5784034e-06	-0.40880112	0.15106108	-0.40880034	0.15105806	-0.18480312	0.0044938107	1	-7.2877769e-07	0.18837145	-0.017938858	-0.081504531	0.017938881	0.08150781	0.0026568866	0.10950628	0.39591635	0.044131867	0.98457887	-0.67473159	-0.11456236	0.02540813	0.0060044461	1.9989273	0.023793097	0.083703296	0.023792846	0.083705597	0.0089172758	0.0019576204	0.98630558	0.21672995	-1.3402888e-05	0.46779562	-0.41053073	0.46779159	-0.41052764	0.33614758	-0.008166627	-0.47394143	1.2037787e-06	-0.08515567	-0.13778798	0.70295536	0.13778845	-0.70297709	-0.0025914239	-0.10669784	-0.015189414	-13.600601	R0:S0:1	0.98630558	b8cfe21	v2.4.3	Y	Broyden	15	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-06-03@09:11
2x2_2C_8b_C2v_L	-0.77973043	0	11.032713	1.0235149	-0.23915172	1.3157198	0.29750604	1.3157894	0.29746956	0.77338913	0.56583332	2.9152119	-0.55829116	-0.12674096	-0.41380617	0.15326936	-0.41381068	0.15327035	-0.18695593	4.078598e-07	1	9.2593721e-06	2.6216689e-05	-0.023620556	-0.1111493	0.023616525	0.11113939	1.2659062e-06	0.12182726	0.40591635	0.046572255	0.96496841	-0.72247344	-0.14105614	0.02551371	0.01534594	1.9700407	0.040534569	0.15002311	0.040533429	0.15002593	0.016399294	0.0029365631	0.96588804	0.26558957	0.6309165	0.59319944	-0.63424735	0.59319965	-0.63426284	0.43061623	-1.0263198e-06	-0.485557	-2.8315027e-05	-1.9322614e-05	-0.18171418	0.91469961	0.18171462	-0.91467774	-1.0778866e-06	-0.12423692	-0.025122954	-13.5693	R0:S0:1	0.96588804	b8cfe21	v2.4.3	Y	Broyden	20	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-06-03@09:32
2x2_2C_8b_C2v_L	-0.78928105	0	11.03938	1.0145884	-0.23435816	1.3042795	0.29310912	1.3042914	0.29307878	0.75935172	0.54123296	2.9052119	-0.55700941	-0.1319298	-0.41333514	0.15308261	-0.41334183	0.15307593	-0.18754543	0.00011671926	1	1.0684826e-05	2.5852528e-05	-0.024343184	-0.11561362	0.024336355	0.11560698	9.6725625e-05	0.12458084	0.40258302	0.04600302	0.96120934	-0.73100389	-0.14475811	0.025462302	0.016390629	1.9666362	0.043888158	0.16310699	0.043890277	0.16310482	0.017978796	0.0031578774	0.96219957	0.2690427	0.66304711	0.61655237	-0.67628961	0.61656808	-0.6762852	0.4486217	-0.00030982773	-0.48745209	-3.3027493e-05	-1.949335e-05	-0.1880503	0.94651252	0.18806911	-0.94649087	-9.1589065e-05	-0.12798829	-0.027462667	-13.533922	R0:S0:1	0.96219957	b8cfe21	v2.4.3	Y	Broyden	12	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-06-03@09:46
2x2_2C_8b_C2v_L	-0.7314027	0	11.03438	1.3852427	-0.27980632	1.3437334	0.30354407	1.3438624	0.30364163	0.78196833	0.72720288	2.9202119	-0.5438196	9.3837993e-06	-0.40965963	0.15201151	-0.40964503	0.15205583	-0.18501995	-0.001069461	1	-6.8866686e-06	0.18733031	-0.01917371	-0.088232994	0.019193842	0.088240635	-0.00066599788	0.111202	0.39758302	0.04593106	0.98056039	-0.68361331	-0.12019977	0.025402857	0.0060636158	1.998896	0.02703515	0.098381298	0.027027773	0.098383985	0.01012343	0.00214981	0.98260332	0.21634182	-4.6407442e-05	0.49250104	-0.45992325	0.49245584	-0.45997012	0.35145432	0.0020675656	-0.47644363	2.0344513e-05	-0.084810425	-0.15017766	0.75693789	0.15010028	-0.75694216	0.00064925257	-0.11054677	-0.018362357	-13.58246	R0:S0:1	0.98260332	b8cfe21	v2.4.3	Y	Broyden	11	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-06-03@10:02
2x2_2C_8b_C2v_L	-0.77433912	0	11.037713	1.0217701	-0.24048281	1.313227	0.29876922	1.3131284	0.29870112	0.76714684	0.57564432	2.9102119	-0.55623428	-0.12427372	-0.41216669	0.15287662	-0.4121691	0.1528503	-0.18696141	1.2819916e-05	1	1.557555e-05	3.6239045e-05	-0.023531933	-0.1094879	0.023514739	0.10947673	8.7401165e-06	0.12179698	0.40091635	0.046719413	0.96637382	-0.71939372	-0.13704953	0.02545253	0.014937993	1.9711718	0.039095258	0.14479931	0.039102411	0.14479362	0.015987307	0.0029085037	0.96723141	0.26335603	0.61958958	0.58230655	-0.61620578	0.58234387	-0.6161758	0.42491187	-3.2098338e-05	-0.48461992	-5.2126609e-05	-2.4762812e-05	-0.17765964	0.90181366	0.17772013	-0.90178688	-7.6402364e-06	-0.12401913	-0.02413733	-13.544016	R0:S0:1	0.96723141	b8cfe21	v2.4.3	Y	Broyden	15	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-06-03@10:23
2x2_2C_8b_C2v_L	-0.78925829	0	11.03938	1.0145935	-0.23433293	1.3044672	0.29315047	1.304312	0.29308888	0.75926629	0.54134928	2.9052119	-0.55700924	-0.13189487	-0.41333307	0.15311592	-0.41333042	0.15308831	-0.18753691	-0.00013729286	1	9.4852875e-06	2.4499994e-05	-0.024350684	-0.1155889	0.024333335	0.11557905	-0.00010641761	0.12457393	0.40258302	0.046008551	0.96121759	-0.73098541	-0.14474747	0.025462198	0.016386405	1.9666515	0.043871522	0.16308698	0.043881113	0.16307989	0.017976525	0.0031572146	0.96220882	0.26902421	0.66288967	0.61645402	-0.6762694	0.61649813	-0.67623392	0.44858091	0.00036486278	-0.48744703	-3.0172802e-05	-1.9290436e-05	-0.18801102	0.94641574	0.18807801	-0.94639377	0.00010046556	-0.1279783	-0.027458673	-13.5338	R0:S0:1	0.96220882	b8cfe21	v2.4.3	Y	Broyden	7	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-06-03@10:35
2x2_2C_8b_C2v_L	-0.78613703	0	11.042713	1.0195225	-0.23595682	1.3110528	0.29457323	1.3108757	0.29450479	0.76825952	0.54906042	2.9118786	-0.55833043	-0.1301832	-0.41416589	0.15329137	-0.41416998	0.15325402	-0.18726024	0.00032435623	1	-1.5846569e-05	-3.5262059e-05	-0.02399867	-0.11395623	0.02396585	0.11394016	0.00025425488	0.12314305	0.40591635	0.046241772	0.96254179	-0.72756344	-0.14429966	0.025474704	0.016008745	1.9679307	0.042737462	0.15859726	0.042752256	0.15857117	0.017341095	0.0030569195	0.96351739	0.26802321	0.6510056	0.60865308	-0.6620576	0.60873233	-0.66199163	0.44152463	-0.00084940946	-0.48661669	5.2970324e-05	2.6675567e-05	-0.18637786	0.93542462	0.18649339	-0.93532917	-0.00023837626	-0.12621089	-0.026674003	-13.558639	R0:S0:1	0.96351739	b8cfe21	v2.4.3	Y	Broyden	12	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-06-03@10:53
2x2_2C_8b_C2v_L	-0.74258603	0	11.035213	1.3648286	-0.27495009	1.3378072	0.30118473	1.3375941	0.30108565	0.77441899	0.67664398	2.9143786	-0.54234693	1.854973e-05	-0.4102966	0.1527162	-0.41029979	0.15267327	-0.1852973	-7.8001926e-05	1	-1.2822966e-05	0.18634445	-0.020261977	-0.094338924	0.020238381	0.094325769	-5.1148066e-05	0.11317301	0.39841635	0.047039882	0.97653403	-0.69248755	-0.12574402	0.025396011	0.0061154874	1.9988643	0.030336778	0.11293257	0.030346774	0.112925	0.011369789	0.0023516675	0.97891632	0.21580329	-9.6102388e-05	0.51729337	-0.50861528	0.51734664	-0.50856737	0.36705925	0.00015892058	-0.4789643	3.726059e-05	-0.084475954	-0.16113122	0.80495774	0.16122337	-0.80492455	5.1315935e-05	-0.11434863	-0.021518822	-13.561439	R0:S0:1	0.97891632	b8cfe21	v2.4.3	Y	Broyden	16	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-06-03@11:16
