model	E_kin	D	U	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	t	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tp	ave_D	ave_mu	ave_t	ave_tp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_sb7_1	ave_sb8_1	ave_t_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	ave_tp_1	E0_1	sector_1	n_1	githash	version	GS_consistency	method	iterations	dist_function	convergence	script	time	
2x2_2C_8b_C2v_L	-0.8180647	0	12.697713	0.94234908	-0.17246032	1.2228434	0.22717112	1.2228417	0.22716435	0.681222	0.35796526	2.8452119	-0.55000739	-0.16347017	-0.41568631	0.14734726	-0.41568466	0.14734546	-0.19280665	-4.7554406e-05	1	-1.3493738e-08	-3.9940418e-06	-0.025984943	-0.13842739	0.025984408	0.13842839	-5.1876339e-05	0.13353509	0.39591635	0.030381285	0.92421871	-0.74686165	-0.17984367	0.019604347	0.027126426	1.9310297	0.076773322	0.28883182	0.076772357	0.28884117	0.033555893	0.0048690025	0.92578473	0.29608032	0.89438264	0.79894774	-1.0258983	0.79894016	-1.0259026	0.57742176	0.00017960168	-0.46451638	-4.3315225e-06	6.3993895e-06	-0.2179796	1.1277994	0.21797927	-1.1278294	5.3865577e-05	-0.15552862	-0.048331655	-13.147579	R0:S0:1	0.92578473	b8cfe21	v2.4.3	Y	Broyden	0	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-06-03@09:45
2x2_2C_8b_C2v_L	-0.81775024	0	12.707713	0.94230341	-0.17237737	1.2227571	0.22702275	1.2229018	0.22708128	0.68147452	0.35772383	2.8452119	-0.54999261	-0.16344796	-0.4156754	0.14732278	-0.41567556	0.14733875	-0.19283402	-8.2135929e-05	1	8.1886543e-06	9.5777598e-06	-0.025968	-0.13838901	0.025982813	0.13839457	-8.2995774e-05	0.13350329	0.39591635	0.030370814	0.92418999	-0.74656561	-0.17979717	0.019575453	0.027122896	1.9310223	0.076779652	0.28892349	0.076765457	0.28890483	0.033556466	0.0048697247	0.92575575	0.29600427	0.89431349	0.79877003	-1.0259445	0.79872194	-1.0259518	0.57725817	0.00031161846	-0.46430183	-3.4388451e-05	-8.2810396e-06	-0.21796742	1.1277446	0.21791303	-1.1276897	8.5061242e-05	-0.15556243	-0.048337088	-13.146559	R0:S0:1	0.92575575	b8cfe21	v2.4.3	Y	Broyden	2	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-06-03@09:47
2x2_2C_8b_C2v_L	-0.8032201	0	12.697713	0.95335388	-0.17714894	1.2421426	0.2334895	1.2421436	0.2334767	0.69719706	0.36874331	2.8552119	-0.55057428	-0.15771707	-0.41593275	0.14767157	-0.41594146	0.14765247	-0.19240819	-6.1117202e-05	1	-2.8364017e-06	-7.0784288e-06	-0.025326993	-0.13440491	0.025317103	0.13440794	-5.9336148e-05	0.13064276	0.39591635	0.033584006	0.92959842	-0.73512402	-0.17199611	0.019629654	0.024799001	1.9378744	0.070701692	0.26991006	0.070706264	0.2699048	0.030685871	0.0045852549	0.93102489	0.28800335	0.85430577	0.76087623	-0.97170575	0.76089718	-0.97166302	0.54886305	0.00021995055	-0.4615274	6.0857578e-06	8.5220795e-06	-0.21582249	1.1042149	0.21585777	-1.1042413	6.0288274e-05	-0.15192642	-0.045277073	-13.173362	R0:S0:1	0.93102489	b8cfe21	v2.4.3	Y	Broyden	10	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-06-03@09:54
2x2_2C_8b_C2v_L	-0.84298144	0	12.697713	0.93285595	-0.16426794	1.2036422	0.21642611	1.2034775	0.2164009	0.6679189	0.33914826	2.8452119	-0.55323835	-0.17207706	-0.41832955	0.14744211	-0.41832223	0.14742205	-0.19301079	3.8364597e-05	1	1.5348273e-06	6.1757208e-06	-0.026432149	-0.14357128	0.026413669	0.14357293	3.3717706e-05	0.13491391	0.40591635	0.025408188	0.91627371	-0.76326004	-0.1963986	0.019648982	0.030857956	1.9205837	0.086788775	0.31886727	0.086805745	0.31886742	0.03764645	0.0051026377	0.91808118	0.30974899	0.94987272	0.86088018	-1.1105133	0.86093606	-1.110463	0.61886241	-0.00015807038	-0.46892511	-3.6922112e-06	-8.1321315e-06	-0.22111987	1.1584569	0.22119146	-1.1585024	-3.4909821e-05	-0.15752713	-0.053220764	-13.169753	R0:S0:1	0.91808118	b8cfe21	v2.4.3	Y	Broyden	10	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-06-03@10:02
2x2_2C_8b_C2v_L	-0.7827448	0	12.70438	0.95714385	-0.18255862	1.2513158	0.24118743	1.2513211	0.24121683	0.69950483	0.38438626	2.8518786	-0.54684501	-0.14992499	-0.41293629	0.14724141	-0.41292081	0.14726027	-0.19222498	-4.1176407e-05	1	-3.2780335e-06	-8.0231832e-06	-0.024984023	-0.12960863	0.024993813	0.1296086	-3.5986042e-05	0.12917267	0.38591635	0.037020923	0.93596271	-0.72169735	-0.15818831	0.019564529	0.022341787	1.9449855	0.063479411	0.24652441	0.063472986	0.24652549	0.027965855	0.0044065141	0.9371839	0.27817585	0.8092905	0.71333607	-0.90048673	0.71330395	-0.90051833	0.51866563	0.00013774681	-0.45765168	1.0306434e-05	7.7918447e-06	-0.20994129	1.073548	0.20990471	-1.0735287	3.6551507e-05	-0.15021357	-0.041279397	-13.140341	R0:S0:1	0.9371839	b8cfe21	v2.4.3	Y	Broyden	9	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-06-03@10:09
2x2_2C_8b_C2v_L	-0.7532105	0	12.707713	0.96628697	-0.18938838	1.2695266	0.25146899	1.2696517	0.25160606	0.70597659	0.40801363	2.8552119	-0.54323581	-0.13751127	-0.40985092	0.1468923	-0.40985694	0.14692825	-0.19170831	1.33659e-06	1	-6.8824853e-06	-2.7556046e-05	-0.024036566	-0.12125275	0.024074086	0.12127749	-4.1279101e-07	0.12485266	0.37591635	0.041585675	0.94577618	-0.70051024	-0.14019145	0.019533393	0.018905043	1.95526	0.053274383	0.21198513	0.05326279	0.21197055	0.023847414	0.0040092238	0.94670762	0.26458143	0.73657527	0.64457658	-0.79313751	0.64453251	-0.79314433	0.47282022	-4.6182477e-06	-0.45175908	1.5987661e-05	2.7773802e-05	-0.19908888	1.0188554	0.1989841	-1.0188419	9.4505817e-07	-0.14512578	-0.035312936	-13.123798	R0:S0:1	0.94670762	b8cfe21	v2.4.3	Y	Broyden	14	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-06-03@10:27
2x2_2C_8b_C2v_L	-0.76443537	0	12.69438	0.96619779	-0.18738649	1.2675474	0.24825698	1.2677186	0.24826171	0.70958946	0.399856	2.8585452	-0.54590258	-0.14206877	-0.41193291	0.14729539	-0.41194728	0.14730651	-0.19176296	-2.5494782e-05	1	5.8084433e-06	1.238894e-05	-0.024247237	-0.12412726	0.024248516	0.12412343	-1.7961046e-05	0.12582354	0.38258302	0.040191787	0.94245583	-0.70791221	-0.14774091	0.019600689	0.020012042	1.952018	0.056778219	0.2238804	0.056771078	0.22388018	0.025058508	0.0041016172	0.94349862	0.2694811	0.76079582	0.6690082	-0.83145737	0.66898876	-0.83147972	0.4875177	7.9205943e-05	-0.45409205	-1.8164892e-05	-1.2249753e-05	-0.2040346	1.0385539	0.20401042	-1.0385243	1.8475921e-05	-0.14609957	-0.037440895	-13.149567	R0:S0:1	0.94349862	b8cfe21	v2.4.3	Y	Broyden	4	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-06-03@10:33
2x2_2C_8b_C2v_L	-0.7295317	0	12.702157	0.97929654	-0.19383009	1.2927896	0.2591078	1.2931178	0.25923169	0.71849175	0.42998337	2.8674341	-0.54275521	-0.12618958	-0.40915945	0.147054	-0.4091654	0.14711547	-0.19094508	3.9980752e-06	1	1.2289763e-05	2.3384503e-05	-0.022697957	-0.11278142	0.022732946	0.11279213	2.1750593e-06	0.11899603	0.37369413	0.044666549	0.95429711	-0.68161795	-0.1282165	0.019580257	0.016206251	1.9636334	0.045195354	0.18299303	0.045175397	0.18299219	0.020252096	0.0035473466	0.95501086	0.2543828	0.66901061	0.589109	-0.70228036	0.58902999	-0.70234792	0.43296527	-1.0464071e-05	-0.44678832	-4.2537842e-05	-1.7714162e-05	-0.18867964	0.96271091	0.1885421	-0.96267026	-2.2625802e-06	-0.13801734	-0.030289191	-13.147097	R0:S0:1	0.95501086	b8cfe21	v2.4.3	Y	Broyden	12	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-06-03@10:50
2x2_2C_8b_C2v_L	-0.70164313	0	12.70512	0.98244657	-0.19642991	1.3018065	0.26515349	1.3019517	0.2651936	0.70691047	0.45697177	2.8655823	-0.53690374	-0.11255844	-0.40455237	0.14622886	-0.4045496	0.14624415	-0.19069869	-0.00010645384	1	4.4810184e-05	0.00011989599	-0.021494059	-0.10316498	0.02150172	0.10316593	-8.0993124e-05	0.11420389	0.35887931	0.046517805	0.96332367	-0.66167409	-0.1113718	0.01953407	0.013651828	1.9713878	0.036790681	0.15178053	0.036783952	0.15177602	0.017126623	0.0031757755	0.96379043	0.24293771	0.59692508	0.52824967	-0.60006915	0.52822043	-0.60008143	0.39493726	0.00025381154	-0.44111836	-0.00014843297	-8.7352599e-05	-0.17120825	0.89235451	0.17116851	-0.89233247	8.2972254e-05	-0.13231742	-0.024628241	-13.106076	R0:S0:1	0.96379043	b8cfe21	v2.4.3	Y	Broyden	11	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-06-03@11:54
2x2_2C_8b_C2v_L	-0.65480961	0	12.708824	1.4262378	-0.27616831	1.338486	0.26583551	1.3385716	0.26587914	0.68674418	0.51646878	2.8707675	-0.52396274	-2.2009694e-06	-0.39952466	0.14618271	-0.39951125	0.14620843	-0.1898232	4.4722655e-05	1	-1.5551989e-06	-0.19516796	-0.017165299	-0.082036196	0.017172451	0.082036735	2.7630411e-05	0.099171163	0.34036079	0.046460901	0.9784434	-0.62364288	-0.091569706	0.019531663	0.0046468513	1.9989234	0.024143493	0.10344765	0.02413909	0.10344818	0.010920677	0.0023343659	0.97995004	0.19576421	1.1864519e-05	0.43301402	-0.44041319	0.43298649	-0.44043744	0.32033148	-8.0645442e-05	-0.43126026	4.8103186e-06	0.082365672	-0.14268123	0.74557529	0.14264549	-0.74556573	-3.0434582e-05	-0.11601526	-0.018415005	-13.210271	R0:S0:1	0.97995004	b8cfe21	v2.4.3	Y	Broyden	11	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-06-03@12:10
