model	E_kin	D	U	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	t	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tp	ave_D	ave_mu	ave_t	ave_tp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_sb7_1	ave_sb8_1	ave_t_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	ave_tp_1	E0_1	sector_1	n_1	githash	version	GS_consistency	method	iterations	dist_function	convergence	script	time	
2x2_2C_8b_C2v_L	-0.58824554	0	12.707713	1.5886175	-0.3078516	1.4152541	0.26233258	1.4155776	0.26243701	0.69519369	1.0169191	2.9152119	-0.53244234	-3.7438981e-06	-0.39759282	0.14496234	-0.39759461	0.14501172	-0.18947366	0.00071768774	1	5.0372221e-07	0.2023081	-0.0039840546	-0.021764569	0.0039934359	0.021767516	0.00021964526	0.072246743	0.32591635	0.017688075	1.0024573	-0.56602923	-0.068165692	0.019728292	0.0042728585	1.9991844	0.006461164	0.0093085159	0.0064601814	0.0093093843	0.0027471081	0.00074105811	1.0027062	0.19696294	2.1463176e-05	0.29333448	-0.14151911	0.29332584	-0.14155883	0.22382202	-0.00081504393	-0.4152369	-2.099481e-06	-0.083752486	-0.044272906	0.21788965	0.044236804	-0.21789373	-0.00024236773	-0.072009906	-0.00026075446	-13.386567	R0:S0:1	1.0027062	b8cfe21	v2.4.3	Y	Broyden	0	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-16@10:12
2x2_2C_8b_C2v_L	-0.58820615	0	12.708713	1.588632	-0.30783332	1.4153449	0.26233952	1.4156306	0.26243712	0.69522415	1.0170838	2.9152119	-0.53244868	-7.6456765e-06	-0.39759556	0.1449735	-0.39759565	0.14501619	-0.18947721	0.00068531758	1	4.6532294e-06	0.20230373	-0.0039841138	-0.021756304	0.0039923284	0.021762866	0.00021166566	0.0722306	0.32591635	0.017685612	1.0024576	-0.56599133	-0.068161103	0.019725608	0.0042724083	1.9991846	0.0064594838	0.0093042769	0.006458479	0.0093062492	0.0027464415	0.00074066274	1.0027064	0.19695825	4.122202e-05	0.29330386	-0.14150462	0.29329369	-0.14153949	0.22379732	-0.00077810745	-0.41521072	-1.3350026e-05	-0.083746902	-0.044259448	0.21782706	0.044226707	-0.21785427	-0.00023385715	-0.071993705	-0.00026037018	-13.386451	R0:S0:1	1.0027064	b8cfe21	v2.4.3	Y	Broyden	2	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-16@10:24
2x2_2C_8b_C2v_L	-0.58692941	0	12.707713	1.5921265	-0.30835875	1.4174435	0.26226566	1.4172374	0.26212721	0.69561043	1.0459859	2.9162119	-0.53277589	6.9167509e-06	-0.39766939	0.14499134	-0.39768399	0.14493803	-0.18942678	1.5888212e-05	1	-5.4157517e-06	0.20241315	-0.0034278538	-0.018871917	0.0034231349	0.018872417	5.3204451e-06	0.071508881	0.32591635	0.015487154	1.0029385	-0.56480973	-0.06786919	0.019733994	0.0042686831	1.9991888	0.006127785	0.0072487338	0.006128722	0.0072497919	0.0025788991	0.00070954119	1.0031698	0.19704461	-3.471836e-05	0.29065553	-0.13509734	0.29067179	-0.13505805	0.22180214	-1.7915298e-05	-0.41491611	1.4930005e-05	-0.08376767	-0.038669478	0.18952687	0.038689632	-0.18955247	-5.5870919e-06	-0.070705647	0.00010598746	-13.390455	R0:S0:1	1.0031698	b8cfe21	v2.4.3	Y	Broyden	28	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-16@12:35
2x2_2C_8b_C2v_L	-0.58905305	0	12.707713	1.5871097	-0.30753381	1.4158329	0.26290618	1.4153187	0.262673	0.69664802	1.0027856	2.9152119	-0.53270128	-1.3130616e-06	-0.39780842	0.14516121	-0.39782393	0.14505882	-0.1894063	0.0012544962	1	2.2939889e-06	0.20227419	-0.0042521086	-0.023126297	0.0042416719	0.023117989	0.00039403475	0.07253483	0.32691635	0.018734707	1.0022054	-0.5666451	-0.068543353	0.019728904	0.0042823957	1.9991819	0.0066398692	0.010382819	0.0066422572	0.010381938	0.002831157	0.00075571775	1.0024678	0.19709836	9.5117023e-06	0.29486079	-0.14503911	0.29489038	-0.14496146	0.22475703	-0.001432912	-0.41539141	-9.7741624e-06	-0.0837633	-0.046975706	0.23130938	0.047025994	-0.23130076	-0.00043315712	-0.072583278	-0.00045269393	-13.386742	R0:S0:1	1.0024678	b8cfe21	v2.4.3	Y	Broyden	70	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-16@18:02
2x2_2C_8b_C2v_L	-0.59005296	0	12.70838	1.583612	-0.30687734	1.4136626	0.26278763	1.4137039	0.262833	0.6957608	0.98006637	2.9142119	-0.53229823	-2.5986772e-06	-0.39767894	0.14507433	-0.39767475	0.14509061	-0.18945897	0.0029140974	1	7.3455777e-06	0.20205955	-0.0046452513	-0.025118517	0.0046605137	0.025126753	0.00092940271	0.07309645	0.32658302	0.020185151	1.0018162	-0.5676131	-0.068711028	0.019721413	0.0042837112	1.9991792	0.0069082773	0.012039768	0.0069074742	0.012043484	0.0029677204	0.00078218125	1.002091	0.19698054	1.8167148e-05	0.29698098	-0.15015201	0.29697253	-0.15016942	0.22639467	-0.0033563698	-0.41564032	-2.912689e-05	-0.083694088	-0.050702149	0.2505716	0.050657512	-0.25062139	-0.0010220606	-0.073616181	-0.00074950104	-13.382221	R0:S0:1	1.002091	b8cfe21	v2.4.3	Y	Broyden	58	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-16@22:29
2x2_2C_8b_C2v_L	-0.59161442	0	12.708713	1.5796583	-0.30627921	1.4116488	0.26305328	1.4120844	0.26318046	0.69562146	0.94967684	2.9132119	-0.53204908	-5.5548856e-06	-0.39768036	0.1451132	-0.39768616	0.14517188	-0.18948457	0.0018775191	1	8.4017523e-06	0.20194757	-0.0051857925	-0.027759316	0.0052005947	0.027764317	0.00061511241	0.073841562	0.32691635	0.022073634	1.001255	-0.56901099	-0.069141323	0.019715197	0.0042909845	1.9991736	0.0072997695	0.014427259	0.0072979884	0.014428771	0.0031625635	0.00081823246	1.0015509	0.19693927	3.0578585e-05	0.30014987	-0.15765001	0.30013802	-0.15769836	0.22870932	-0.0021889862	-0.41600378	-2.9096694e-05	-0.08368373	-0.055590274	0.27598345	0.05553245	-0.2759927	-0.00067630635	-0.075015447	-0.0011780953	-13.378407	R0:S0:1	1.0015509	b8cfe21	v2.4.3	Y	Broyden	29	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-17@00:48
2x2_2C_8b_C2v_L	-0.59113696	0	12.70738	1.5815766	-0.30660842	1.4130809	0.26323843	1.412918	0.26314237	0.69644145	0.96117723	2.9138786	-0.53234109	-4.522165e-06	-0.39779112	0.14517381	-0.3977962	0.1451432	-0.18942095	0.0024030203	1	6.4961874e-06	0.20204203	-0.0049973842	-0.026819452	0.0050077509	0.026829723	0.00078206117	0.073571575	0.32724968	0.021402878	1.0014628	-0.56852738	-0.069089703	0.019722267	0.0042921511	1.9991751	0.0071585112	0.013545678	0.0071586075	0.01355345	0.0030887511	0.0008046661	1.0017521	0.19704156	2.793616e-05	0.29907231	-0.1549603	0.29907519	-0.15494606	0.22781542	-0.0027891882	-0.41589385	-2.3686143e-05	-0.083718357	-0.053853426	0.26691986	0.053830797	-0.26701883	-0.00086061098	-0.074490051	-0.0010203303	-13.38142	R0:S0:1	1.0017521	b8cfe21	v2.4.3	Y	Broyden	1	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-17@00:57
2x2_2C_8b_C2v_L	-0.5930528	0	12.708157	1.5764344	-0.30565692	1.4115698	0.26383872	1.4110963	0.26364773	0.69728839	0.92728214	2.9129897	-0.53226793	-1.4601967e-05	-0.39793371	0.14531093	-0.39794269	0.14523099	-0.18940045	0.0025121546	1	1.3227693e-05	0.20178774	-0.0056190844	-0.029794113	0.0056170275	0.029800223	0.00084251105	0.074433424	0.32813857	0.023486953	1.0007903	-0.57017441	-0.069721728	0.019715651	0.0043050933	1.9991692	0.007629836	0.016394211	0.0076318657	0.016401551	0.0033184462	0.00084766287	1.001106	0.19709156	7.8746289e-05	0.3029352	-0.16398634	0.30295443	-0.16393317	0.23050089	-0.0029582931	-0.41631518	-4.1944923e-05	-0.083662083	-0.059296244	0.29535011	0.059322492	-0.29544061	-0.00092759441	-0.076104494	-0.0015347015	-13.377705	R0:S0:1	1.001106	b8cfe21	v2.4.3	Y	Broyden	18	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-17@02:24
2x2_2C_8b_C2v_L	-0.59542714	0	12.70838	1.5703196	-0.30446927	1.4091521	0.2642055	1.409272	0.26426048	0.69825957	0.88942473	2.9118786	-0.53220419	-6.0903236e-06	-0.39813779	0.14535921	-0.39813468	0.14538388	-0.1893645	0.0027095896	1	4.2934737e-06	0.20149748	-0.0062998695	-0.033080573	0.0063121231	0.033091663	0.00094348434	0.075458483	0.32924968	0.025720013	0.99996775	-0.57220872	-0.070519186	0.019709707	0.0043216958	1.9991615	0.0082136202	0.019863547	0.0082122294	0.019869499	0.0035985072	0.00090054003	1.000316	0.1971634	3.5945268e-05	0.30773479	-0.17490789	0.30772176	-0.17493326	0.23378618	-0.0032483247	-0.41684985	-1.6244313e-05	-0.083604905	-0.065325909	0.32660007	0.065283842	-0.32666391	-0.0010380746	-0.078016831	-0.0021645603	-13.373096	R0:S0:1	1.000316	b8cfe21	v2.4.3	Y	Broyden	39	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-17@04:27
2x2_2C_8b_C2v_L	-0.59628307	0	12.708602	1.5674504	-0.30396969	1.4073543	0.26428615	1.4074138	0.26422524	0.69683663	0.8737867	2.9107675	-0.53173961	-6.2076702e-06	-0.3979114	0.14539048	-0.39792814	0.14537487	-0.18945001	0.00081141874	1	4.2214675e-06	0.20136188	-0.0066000003	-0.034387939	0.0065931993	0.034383928	0.00028298073	0.075944836	0.32869413	0.026553407	0.99962609	-0.57307119	-0.070618473	0.019703082	0.0043211201	1.9991583	0.0084446013	0.021305031	0.0084454192	0.021305718	0.003721216	0.00092422816	0.99998437	0.19701105	3.2331665e-05	0.30951246	-0.17942695	0.30952603	-0.17941765	0.23529221	-0.00097993402	-0.41708123	-1.3458182e-05	-0.08356507	-0.067433653	0.33868063	0.067451938	-0.33867543	-0.00031150609	-0.078888866	-0.0024249504	-13.368338	R0:S0:1	0.99998438	b8cfe21	v2.4.3	Y	Broyden	40	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-17@06:30
