model	E_kin	D	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_D	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_sb7_1	ave_sb8_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	ave_e_2	ave_mu_2	ave_tpp_2	ave_tppp_2	E0_1	sector_1	n_1	E0_2	sector_2	n_2	githash	version	GS_consistency	method	iterations	dist_function	convergence	script	time	
2x2_2C_8b_C2v_L	5.9576854	0	12.012165	3.3795191	0.013342091	-2.8729301	-4.7851998	-0.19323659	-4.7852797	-0.19323576	0.26873563	-5.1165537	11.556699	5.5166129e-05	1.4994365e-05	0.024405164	-0.22675556	0.024398081	-0.22676614	1.5950671e-05	-3.2460715e-06	-0.14377474	-1.316146	2.1785248	0.13484922	-2.178551	-0.13482741	0.25535672	-2.9668881	2.7651559	1	1.0924382	0.033941656	1.224215	1.6250994	-0.71945707	-0.26592462	0.095174955	0.28054213	0.14330678	1.913572	1.6732674	1.5243432	1.6732754	1.5243318	0.007246613	1.3591116	1.2524882	-0.00037495909	-4.0605952e-05	0.23391407	1.427499	0.233929	1.4276047	-7.2447096e-05	3.7330505e-07	1.2269274	0.65654181	-1.9553131	-1.1046685	1.9552801	1.1045622	-0.21596736	3.2424447	2	2	0	0	-93.638531	R0:S0:1	1.2524882	-130.83488	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	0	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-13@09:15
2x2_2C_8b_C2v_L	5.9578743	0	12.013165	3.3795191	0.013343408	-2.8730243	-4.7852549	-0.19325012	-4.7853511	-0.19324456	0.26873231	-5.1165523	11.556699	4.09656e-05	2.6277307e-06	0.024404431	-0.2267569	0.024403868	-0.22675569	9.9908855e-06	-4.0698503e-06	-0.14377408	-1.3161659	2.1785497	0.13485421	-2.1785718	-0.13485366	0.25534339	-2.9668982	2.7651559	1	1.0924382	0.03393919	1.2242208	1.625091	-0.71944508	-0.26590858	0.095169673	0.28049682	0.1433229	1.9135702	1.6732865	1.5243774	1.6732864	1.5243734	0.0072469036	1.3591617	1.2524394	-0.00028010358	-1.4342747e-07	0.23391382	1.4274251	0.233909	1.4274224	-4.5876972e-05	4.4652904e-07	1.226966	0.65660419	-1.9552977	-1.1046176	1.9553093	1.1046257	-0.21596182	3.2423125	2	2	0	0	-93.637985	R0:S0:1	1.2524394	-130.83488	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	1	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-13@09:31
2x2_2C_8b_C2v_L	5.959872	0	12.012165	3.3805191	0.013415628	-2.8723102	-4.7845057	-0.19325797	-4.7843998	-0.19324512	0.26874792	-5.1158934	11.556699	1.5308106e-05	-2.8201555e-07	0.024412789	-0.22684795	0.024408588	-0.22684581	-8.8498137e-06	4.2602586e-06	-0.14381552	-1.3160938	2.1784826	0.13482857	-2.1784655	-0.1348165	0.2554389	-2.9669016	2.7651559	1	1.0924382	0.033947133	1.22418	1.625061	-0.71957234	-0.2660058	0.095195879	0.28056131	0.14346381	1.9135248	1.6731687	1.5239229	1.6731635	1.5239169	0.0072503344	1.3589657	1.2524902	-0.00010455188	4.6665632e-06	0.23398238	1.4282825	0.23398927	1.4283013	3.7514018e-05	-4.1253926e-06	1.227546	0.65667299	-1.955581	-1.104971	1.9555906	1.1049308	-0.21602289	3.2427558	2	2	0	0	-93.633884	R0:S0:1	1.2524902	-130.81888	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	4	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-13@10:11
2x2_2C_8b_C2v_L	5.9503208	0	12.012165	3.3795191	0.013639837	-2.8714231	-4.7832355	-0.19325342	-4.7838739	-0.19328137	0.268837	-5.1164844	11.556699	-1.7007537e-05	1.0669164e-06	0.02441496	-0.22707729	0.024425004	-0.22709231	2.7594416e-06	-1.5838996e-06	-0.14395161	-1.3162618	2.1787572	0.13470603	-2.1788977	-0.13471703	0.25572733	-2.9678221	2.7661559	1	1.0924382	0.033962871	1.2241011	1.6249489	-0.71988246	-0.26618068	0.095250171	0.28059642	0.14386006	1.913405	1.6728554	1.5228751	1.6728687	1.5228725	0.0072634025	1.358639	1.2524695	0.00011782226	-1.2793639e-05	0.23417738	1.4302489	0.23415459	1.4302575	-7.5072135e-06	7.195816e-06	1.229175	0.65698055	-1.9564553	-1.1055063	1.9564721	1.1055482	-0.21618552	3.2435782	2	2	0	0	-93.635139	R0:S0:1	1.2524695	-130.83488	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	6	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-13@11:06
2x2_2C_8b_C2v_L	5.9588479	0	12.012165	3.3795191	0.013283709	-2.8732739	-4.7857146	-0.19317927	-4.7859968	-0.19322273	0.26862129	-5.1172706	11.556699	1.0376141e-05	3.1623864e-06	0.024391888	-0.22669595	0.024402929	-0.22672204	5.743735e-06	-3.4129788e-06	-0.14375185	-1.3162581	2.1785842	0.13486914	-2.1786504	-0.13487215	0.25520425	-2.966885	2.7651559	1	1.0934382	0.03393469	1.2242353	1.6251213	-0.71938051	-0.26587474	0.095140243	0.28052476	0.14327127	1.9135749	1.6733318	1.5244739	1.6733499	1.5244642	0.0072414508	1.3592233	1.2524796	-7.0001379e-05	-1.1332942e-05	0.23386891	1.4271785	0.23385675	1.4272748	-2.5250684e-05	3.3527032e-06	1.2267118	0.6565899	-1.9551231	-1.1045924	1.9550719	1.1045561	-0.21586866	3.2422025	2	2	0	0	-93.642365	R0:S0:1	1.2524796	-130.83488	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	2	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-13@11:30
2x2_2C_8b_C2v_L	5.9592708	0	12.012165	3.3795191	0.013239424	-2.873605	-4.7861683	-0.19325163	-4.7858559	-0.19323154	0.26876462	-5.1171572	11.557699	1.9068031e-05	6.243216e-06	0.02440438	-0.22666205	0.024396572	-0.22664013	-9.3668091e-06	3.3245353e-06	-0.14371445	-1.3162298	2.1786264	0.13492864	-2.1785551	-0.13493254	0.25525116	-2.9668783	2.7651559	1	1.0924382	0.033939802	1.224249	1.6251593	-0.71932689	-0.26585124	0.095156725	0.28057226	0.14308922	1.9136317	1.6733839	1.5247655	1.6733638	1.524787	0.0072393127	1.359212	1.252544	-0.0001287988	-1.8514379e-05	0.23386633	1.4267657	0.23388544	1.4266401	4.1211029e-05	8.0512782e-08	1.2260892	0.65631312	-1.9549252	-1.1045436	1.9549841	1.1046004	-0.2158791	3.2422265	2	2	0	0	-93.648293	R0:S0:1	1.252544	-130.85088	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	3	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-13@11:59
2x2_2C_8b_C2v_L	5.9551346	0	12.012565	3.3799191	0.01350788	-2.871931	-4.7840214	-0.1933173	-4.7839123	-0.19328395	0.26889986	-5.1157735	11.557099	6.5651162e-06	5.7578682e-06	0.024422014	-0.22695073	0.02440889	-0.22693009	9.0710602e-06	-4.7372132e-06	-0.14385583	-1.3160772	2.1785891	0.1347969	-2.1785643	-0.13478017	0.25564185	-2.9672669	2.7655559	1	1.0914382	0.033958477	1.2241506	1.6250213	-0.71969554	-0.26607437	0.095239065	0.28058355	0.14354521	1.9135061	1.673049	1.5236293	1.6730368	1.5236384	0.0072572333	1.358811	1.2524935	-4.3380583e-05	-2.2046097e-05	0.2340777	1.4289237	0.23410048	1.4288754	-3.7709629e-05	6.0067284e-06	1.2279572	0.65665123	-1.9559246	-1.1051397	1.9559656	1.1051219	-0.2161377	3.2431296	2	2	0	0	-93.634919	R0:S0:1	1.2524935	-130.83488	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	0	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-13@12:06
2x2_2C_8b_C2v_L	5.9550323	0	12.011325	3.3800791	0.013513959	-2.8718505	-4.7839795	-0.1932786	-4.7839582	-0.19328413	0.26886848	-5.1161554	11.557259	3.4520528e-05	6.4685307e-06	0.024416257	-0.2269641	0.024410066	-0.22696556	1.151533e-06	-7.9916016e-07	-0.14387233	-1.316154	2.1786458	0.134779	-2.178641	-0.13477815	0.25562529	-2.9673909	2.7657159	1	1.0920382	0.033961415	1.2241374	1.6250247	-0.71972925	-0.26610643	0.095237202	0.28064582	0.14358396	1.9134859	1.6729972	1.5234474	1.6729984	1.5234523	0.007255843	1.3587319	1.252555	-0.00023418032	-1.7086097e-05	0.23411105	1.429264	0.23412334	1.4292693	-6.8079786e-06	-2.1725954e-07	1.2281183	0.65665781	-1.9560066	-1.1052798	1.9559972	1.1052687	-0.21611671	3.2433443	2	2	0	0	-93.638204	R0:S0:1	1.252555	-130.83488	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	1	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-13@12:20
2x2_2C_8b_C2v_L	5.9519643	0	12.011989	3.3803031	0.013723319	-2.8705724	-4.7822058	-0.19328331	-4.7826737	-0.1933037	0.26890293	-5.1152041	11.556083	1.1396236e-05	5.3980834e-06	0.024422865	-0.22716772	0.024418617	-0.22718641	7.2441986e-06	-2.9888073e-06	-0.14399367	-1.316068	2.1785741	0.13465236	-2.1786836	-0.13464614	0.2558681	-2.9676365	2.7659399	1	1.0918782	0.033968482	1.2240649	1.6249035	-0.72000611	-0.26626487	0.095281836	0.28059908	0.14401493	1.9133646	1.6727545	1.5225413	1.6727683	1.5225342	0.0072700831	1.3584934	1.2524544	-7.538625e-05	-2.2486353e-05	0.23424687	1.4309063	0.23424848	1.4309813	-2.9948867e-05	4.6477293e-06	1.2298006	0.65709348	-1.9567694	-1.1056521	1.9567587	1.1056069	-0.21629413	3.2438713	2	2	0	0	-93.623922	R0:S0:1	1.2524544	-130.81248	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	0	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-13@12:27
2x2_2C_8b_C2v_L	5.9482946	0	12.011901	3.3806951	0.013958311	-2.8690651	-4.7804356	-0.19332078	-4.7810122	-0.19334063	0.26896047	-5.1141099	11.555275	-5.8488381e-05	-1.3147632e-06	0.024437247	-0.2274239	0.024439185	-0.22743666	-1.3491751e-05	7.6524618e-06	-0.1441258	-1.3159888	2.1785905	0.1345355	-2.178721	-0.13454369	0.25615621	-2.9679844	2.7663319	1	1.0915982	0.033983209	1.2239725	1.6247755	-0.72034657	-0.2664729	0.095344359	0.28061258	0.14447171	1.9132325	1.6724528	1.5214101	1.6724599	1.5214138	0.0072841435	1.358126	1.2524093	0.00039991761	-1.4155661e-05	0.23443375	1.4330315	0.23442413	1.4330186	6.5973836e-05	2.597997e-06	1.2316306	0.657476	-1.957651	-1.1062742	1.95769	1.1063082	-0.21648459	3.2447045	2	2	0	0	-93.611822	R0:S0:1	1.2524093	-130.79328	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	1	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-13@12:41
