model	E_kin	D	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_D	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_sb7_1	ave_sb8_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	ave_e_2	ave_mu_2	ave_tpp_2	ave_tppp_2	E0_1	sector_1	n_1	E0_2	sector_2	n_2	githash	version	GS_consistency	method	iterations	dist_function	convergence	script	time	
2x2_2C_8b_C2v_L	7.8202879	0	14	3.0461	-0.0026875753	-3.1972785	-3.683188	-0.087400515	-3.6836994	-0.08744848	0.12464612	-3.2207875	9.68	0.0006517447	-6.1751273e-06	0.0077643227	-0.15575428	0.0077639352	-0.15577604	-4.2722648e-06	2.7862849e-06	-0.10649924	-1.0395439	1.603271	0.039335643	-1.6033789	-0.039319802	0.22156456	-2.1072392	1.9019	1	0.2229	0.012076471	1.262125	1.6241598	-0.56453212	-0.1806535	0.074207749	0.12760123	0.26146312	1.9443994	1.823164	1.5633748	1.8231714	1.5634898	0.018507933	1.5836545	1.1051252	-0.007198598	-3.6249494e-05	0.087153509	1.093402	0.087181107	1.093285	9.4165299e-05	3.4254992e-05	1.0930057	0.72670459	-1.4805802	-0.51553927	1.4806205	0.51545035	-0.29525232	2.4217202	2	2	0	0	-71.832994	R0:S0:1	1.1051252	-106.1424	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	8	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-09@15:50
2x2_2C_8b_C2v_L	7.8205275	0	14.001	3.0461	-0.0026962305	-3.1973269	-3.6834481	-0.08742679	-3.6834681	-0.087431839	0.12465372	-3.220779	9.68	0.00092060672	-1.7093838e-05	0.0077630297	-0.15576299	0.007763863	-0.15575389	-1.533142e-05	3.1161456e-06	-0.10649226	-1.0395566	1.6033435	0.039317516	-1.6033441	-0.039329313	0.22155544	-2.1072522	1.9019	1	0.2229	0.012073249	1.2621302	1.6241589	-0.56450404	-0.1806421	0.074203057	0.12757905	0.2615979	1.9444016	1.8231922	1.5633886	1.8231756	1.5635227	0.018511276	1.583682	1.1051016	-0.010170382	-2.8629615e-05	0.087147276	1.0935379	0.087173976	1.0930529	0.0001962462	5.5248601e-05	1.0929644	0.72670728	-1.4804465	-0.51539772	1.4805979	0.51550318	-0.29525815	2.4215872	2	2	0	0	-71.832703	R0:S0:1	1.1051016	-106.1424	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	7	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-09@16:04
2x2_2C_8b_C2v_L	7.822462	0	14	3.0471	-0.0026451235	-3.1963267	-3.6827139	-0.087567749	-3.6830791	-0.087586259	0.12481921	-3.2200644	9.68	0.00052409024	-9.855484e-06	0.0077688332	-0.15588114	0.0077697863	-0.15589119	-1.6425502e-06	4.7249726e-07	-0.10652701	-1.0394625	1.6032855	0.039310838	-1.6033646	-0.039295488	0.22171714	-2.1072175	1.9019	1	0.2229	0.01207748	1.2620813	1.6241083	-0.56469155	-0.18076408	0.074249745	0.12761409	0.26165714	1.9443706	1.8230614	1.5632969	1.823063	1.5633602	0.018524793	1.5834086	1.1051142	-0.0057818163	-1.6635987e-05	0.087263503	1.0939791	0.087277256	1.0938563	6.9867932e-05	2.9986264e-05	1.0935351	0.72681144	-1.4809471	-0.5156342	1.4810015	0.51556454	-0.29538937	2.4223126	2	2	0	0	-71.828667	R0:S0:1	1.1051142	-106.1264	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	8	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-09@16:21
2x2_2C_8b_C2v_L	7.8125009	0	14	3.0461	-0.0025190151	-3.1947315	-3.6833053	-0.088002777	-3.6832777	-0.087976438	0.12529485	-3.2211911	9.68	-6.4806999e-05	5.4016379e-10	0.0077933347	-0.1562305	0.0077860135	-0.15621861	-2.0922713e-06	8.5105564e-07	-0.10663138	-1.0396233	1.6039873	0.039290686	-1.6039797	-0.039281544	0.22213772	-2.1082515	1.9029	1	0.2229	0.012091981	1.2619685	1.6239724	-0.56516514	-0.18103698	0.074357825	0.12767644	0.2618716	1.9442938	1.822739	1.5631623	1.822735	1.5631235	0.018558112	1.5827988	1.1050997	0.00071180464	3.4448558e-06	0.08758194	1.0955199	0.087582454	1.0954975	1.4826772e-05	1.3161383e-06	1.0949526	0.72702181	-1.4821897	-0.51616894	1.4822096	0.5161469	-0.2956854	2.4241121	2	2	0	0	-71.835568	R0:S0:1	1.1050997	-106.1424	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	12	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-09@16:45
2x2_2C_8b_C2v_L	7.8220374	0	14	3.0461	-0.002766076	-3.1978088	-3.6845789	-0.087332947	-3.6840094	-0.087300262	0.12445349	-3.2218792	9.68	-0.002635516	5.6239265e-05	0.0077698748	-0.15564319	0.0077838301	-0.15565981	1.9643441e-05	-1.9235218e-06	-0.10647068	-1.0396579	1.6034788	0.039438916	-1.6033712	-0.039453134	0.22133015	-2.1073333	1.9019	1	0.2239	0.012083527	1.2621657	1.6242137	-0.56437767	-0.18055064	0.074155002	0.12759095	0.26236388	1.9444133	1.8232493	1.5637872	1.8232835	1.5633967	0.018476876	1.5838914	1.1051348	0.029166958	7.7385008e-05	0.087154176	1.0921431	0.087053664	1.0933841	-0.00042681443	-0.00015450571	1.0924013	0.72667481	-1.4804583	-0.51588741	1.4800539	0.51581194	-0.29500848	2.4211759	2	2	0	0	-71.838956	R0:S0:1	1.1051348	-106.1424	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	10	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-09@17:06
2x2_2C_8b_C2v_L	7.8220716	0	14	3.0461	-0.0027824712	-3.1980205	-3.6840805	-0.087249119	-3.6841869	-0.087274116	0.1244451	-3.2214363	9.681	0.0001502323	-2.5659625e-06	0.0077672526	-0.15560767	0.0077754799	-0.15561123	-1.6509319e-06	3.5075321e-07	-0.10647177	-1.0395967	1.6033559	0.039409201	-1.6033831	-0.039452667	0.22135366	-2.1072497	1.9019	1	0.2229	0.012081808	1.2621731	1.6242326	-0.56435459	-0.18053289	0.074161609	0.12761408	0.26101689	1.9444329	1.8232813	1.5636931	1.8232701	1.5637886	0.018471788	1.5839116	1.1051726	-0.0016650039	-6.9848462e-06	0.0870664	1.0926165	0.087068518	1.0923187	2.0816731e-05	4.5518376e-06	1.0923959	0.72654894	-1.4801948	-0.51555569	1.4802875	0.51579302	-0.29499428	2.4211479	2	2	0	0	-71.841786	R0:S0:1	1.1051726	-106.1584	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	7	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-09@17:21
2x2_2C_8b_C2v_L	7.8192618	0	13.999	3.0465	-0.0026701703	-3.1965171	-3.6836059	-0.087595455	-3.6836955	-0.087593207	0.1248136	-3.2213069	9.6804	-0.00084037103	1.8942024e-05	0.0077770937	-0.15587888	0.0077845108	-0.15589313	1.5087907e-05	-3.1364595e-06	-0.10654652	-1.0396286	1.6035931	0.039377949	-1.6036195	-0.039382628	0.22167814	-2.107655	1.9023	1	0.2233	0.012089402	1.2620764	1.6241172	-0.56474007	-0.18076989	0.074248443	0.12765966	0.26148859	1.944364	1.8230136	1.5635624	1.8230273	1.5634468	0.018503809	1.5833904	1.1051585	0.0092766414	2.0078951e-05	0.087333623	1.0936353	0.087297049	1.0940334	-0.00018228756	-4.6969669e-05	1.0935794	0.72679335	-1.4812383	-0.51598696	1.4811228	0.51595711	-0.29526483	2.4225811	2	2	0	0	-71.838197	R0:S0:1	1.1051585	-106.1424	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	7	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-09@17:35
2x2_2C_8b_C2v_L	7.819108	0	13.9996	3.04666	-0.0026488636	-3.1961095	-3.6837031	-0.087658851	-3.6836888	-0.087652008	0.12490817	-3.2216839	9.68056	-0.00096183009	2.148244e-05	0.0077834349	-0.15592631	0.0077820971	-0.15594809	2.5937235e-05	-6.8204928e-06	-0.10655839	-1.0396496	1.6037172	0.039383079	-1.6037238	-0.039361563	0.22175142	-2.1078805	1.90246	1	0.22346	0.012090108	1.262063	1.6240982	-0.56479498	-0.18080164	0.074259011	0.12766094	0.26153985	1.9443538	1.8229676	1.563612	1.8229922	1.5634437	0.01851021	1.5833337	1.1051491	0.010613214	2.5453575e-05	0.087371942	1.0936705	0.087338321	1.094343	-0.00026192481	-5.5808406e-05	1.0937046	0.72681384	-1.4814294	-0.51609609	1.481223	0.51589323	-0.29532039	2.4227582	2	2	0	0	-71.839791	R0:S0:1	1.1051491	-106.1424	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	5	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-09@17:46
2x2_2C_8b_C2v_L	7.8154864	0	13.99944	3.045484	-0.0027274911	-3.1971167	-3.6848549	-0.087594437	-3.6849345	-0.087535189	0.12470335	-3.2227207	9.680784	-0.0021504786	4.5424605e-05	0.0077871239	-0.15584451	0.007795943	-0.1558513	2.8668655e-05	-2.7581649e-06	-0.10653852	-1.0398201	1.6039415	0.039467849	-1.6039708	-0.039458734	0.22155391	-2.1080691	1.902684	1	0.223684	0.012097389	1.2620961	1.624144	-0.56468518	-0.18071667	0.074224513	0.12766618	0.26196948	1.9443707	1.8230368	1.563833	1.8230619	1.5634686	0.018482262	1.5834983	1.1051699	0.023772159	6.0479639e-05	0.08735186	1.0931114	0.087260104	1.0940408	-0.00039704795	-0.00011621401	1.0932661	0.72675128	-1.4812369	-0.51633168	1.4809883	0.51621313	-0.29509564	2.4224288	2	2	0	0	-71.84969	R0:S0:1	1.1051699	-106.1648	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	13	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-09@18:12
2x2_2C_8b_C2v_L	7.8120049	0	13.99916	3.044676	-0.0027487614	-3.1974889	-3.685623	-0.087526746	-3.685529	-0.087512485	0.12470229	-3.224233	9.681176	-0.00046801838	7.9377934e-06	0.007799598	-0.15581304	0.0077962002	-0.15580853	1.2530633e-05	-4.461573e-06	-0.10656155	-1.0400016	1.6042095	0.039515757	-1.604192	-0.039510524	0.22151576	-2.1085513	1.903076	1	0.224076	0.012104424	1.2621039	1.6241603	-0.56468236	-0.18069123	0.074211322	0.12769187	0.26105017	1.9443699	1.8230398	1.5637429	1.8230424	1.5636732	0.018470163	1.5835602	1.1051985	0.0051768627	1.6010423e-05	0.087305775	1.0933506	0.087295186	1.0935253	-0.00012631673	-2.7171189e-05	1.093405	0.72672996	-1.4812001	-0.51649207	1.4811495	0.51646667	-0.29501674	2.4224579	2	2	0	0	-71.859017	R0:S0:1	1.1051985	-106.184	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	12	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-09@18:35
