model	E_kin	D	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_D	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_sb7_1	ave_sb8_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	ave_e_2	ave_mu_2	ave_tpp_2	ave_tppp_2	E0_1	sector_1	n_1	E0_2	sector_2	n_2	githash	version	GS_consistency	iterations	dist_function	convergence	script	time	
2x2_2C_8b_C2v_L	4.8710878	0	10	2.5	-0.00847776	-3.4536248	-4.7519439	0.19558892	-4.7521722	0.19562993	0.28135641	-4.4096687	10.96	0.077469132	6.9036989e-06	-0.018188365	0.099576668	-0.018193575	0.099585783	7.2464736e-06	3.9407917e-06	-0.00012569904	1.0501642	-1.6918284	0.17333185	1.6918653	-0.17334388	-0.2511416	-2.218478	2.1	1	0.2	0.04924016	1.2472489	1.6884247	-0.61308376	-0.2256735	0.093615047	0.36374094	1.9657312	1.9556444	1.778051	0.42392732	1.7780618	0.42390626	0.0043970012	1.3629352	1.3539818	-0.62965862	2.7584256e-07	-0.27849468	-1.1120291	-0.27848702	-1.1120144	-7.6448802e-05	1.2783585e-05	0.00064699512	-0.43405516	1.485632	-1.5423241	-1.4855958	1.5423249	0.21992631	3.2362513	2	2	0	0	-87.833801	R0:S0:1	1.3539818	-135.36	uncorrelated	2	817c5bc	v2.2.6	YY	3	sharp_wc_2.0_b_50	self-energy/D	test.py	2023-11-04@14:21
2x2_2C_8b_C2v_L	4.8710725	0	10.001	2.5	-0.0090691138	-3.4545123	-4.7539898	0.19611042	-4.7540655	0.19608536	0.28212084	-4.4113488	10.96	0.077394232	2.2571756e-05	-0.018193425	0.099593957	-0.018186689	0.099594692	2.0016846e-05	6.2272403e-06	-0.00041796179	1.0503795	-1.6921924	0.17337421	1.6921998	-0.17336991	-0.25124323	-2.2189058	2.1	1	0.2	0.049279854	1.2472545	1.6883399	-0.61311873	-0.22561676	0.093603098	0.36345395	1.9659147	1.9556397	1.7779988	0.4224423	1.777984	0.4224687	0.0043964898	1.3631914	1.3536963	-0.62780554	5.5937453e-06	-0.27879273	-1.1115147	-0.27880539	-1.1116173	-0.00024075404	6.5350426e-05	0.0020989308	-0.43426431	1.4863237	-1.5386066	-1.4864145	1.5386125	0.21993335	3.235675	2	2	0	0	-87.846748	R0:S0:1	1.3536963	-135.36	uncorrelated	2	817c5bc	v2.2.6	YY	7	sharp_wc_2.0_b_50	self-energy/D	test.py	2023-11-04@14:30
2x2_2C_8b_C2v_L	4.8742345	0	10	2.501	-0.0084933239	-3.4529858	-4.7513799	0.19563339	-4.7515427	0.19565409	0.28144217	-4.4091463	10.96	0.07746908	-1.6725517e-06	-0.018194253	0.09959532	-0.018195289	0.099597696	-8.4479551e-06	-1.4627738e-06	-5.0663792e-05	1.0501553	-1.6918346	0.17335678	1.6918685	-0.17336747	-0.25119392	-2.21853	2.1	1	0.2	0.049239606	1.2472318	1.6884098	-0.61313917	-0.22571592	0.093631688	0.36375419	1.9657393	1.9556432	1.7780105	0.42389471	1.7780113	0.42389086	0.0043989641	1.362852	1.3539926	-0.62962752	1.0490802e-05	-0.27851605	-1.1120396	-0.27851746	-1.1120378	6.0642703e-05	-2.895801e-07	0.00026001917	-0.43403075	1.4857673	-1.5422478	-1.4857776	1.5422607	0.21997988	3.2364087	2	2	0	0	-87.830014	R0:S0:1	1.3539926	-135.344	uncorrelated	2	817c5bc	v2.2.6	YY	4	sharp_wc_2.0_b_50	self-energy/D	test.py	2023-11-04@14:34
2x2_2C_8b_C2v_L	4.8671321	0	10	2.5	-0.0089513773	-3.4523775	-4.7520514	0.19598869	-4.7525547	0.19602211	0.28202596	-4.4104128	10.96	0.077469219	9.4482071e-06	-0.018197136	0.099676149	-0.018210063	0.099691864	1.3252477e-05	5.1400626e-06	-0.0001911244	1.0506082	-1.6926354	0.17346122	1.6927163	-0.17347585	-0.25137357	-2.2196951	2.101	1	0.2	0.04925909	1.2471956	1.6883182	-0.61331283	-0.22577446	0.093665493	0.36363327	1.9658633	1.9556339	1.7778012	0.42303077	1.7778158	0.42303439	0.0044024423	1.3627545	1.3538594	-0.62860185	3.9849282e-06	-0.2787677	-1.111904	-0.27873457	-1.1119578	-0.00014214738	3.1415095e-05	0.00096517603	-0.43405845	1.4867917	-1.5399559	-1.4867623	1.5399812	0.22006723	3.2366353	2	2	0	0	-87.841111	R0:S0:1	1.3538594	-135.36	uncorrelated	2	817c5bc	v2.2.6	YY	7	sharp_wc_2.0_b_50	self-energy/D	test.py	2023-11-04@14:43
2x2_2C_8b_C2v_L	4.8719578	0	10	2.5	-0.0083986681	-3.4541053	-4.7529735	0.19560218	-4.7525993	0.19556001	0.28136595	-4.4110664	10.96	0.077445827	-1.3254271e-06	-0.01818788	0.099572915	-0.018183351	0.099565096	1.0791569e-05	3.3843907e-06	-5.2345802e-05	1.0502221	-1.6919232	0.17331283	1.6918509	-0.17329738	-0.25107652	-2.2186298	2.1	1	0.201	0.049237272	1.2472659	1.6884335	-0.6130289	-0.22562827	0.093582865	0.3637006	1.9657379	1.955636	1.7780987	0.42384165	1.7780871	0.42385288	0.0043946363	1.3630916	1.3539439	-0.62951298	1.189846e-05	-0.27845654	-1.1119689	-0.2784677	-1.1119794	-0.00010140263	1.747788e-05	0.00027133258	-0.43414819	1.4855	-1.5421041	-1.4855309	1.5420879	0.2198463	3.2359661	2	2	0	0	-87.839585	R0:S0:1	1.3539439	-135.36	uncorrelated	2	817c5bc	v2.2.6	YY	4	sharp_wc_2.0_b_50	self-energy/D	test.py	2023-11-04@14:48
2x2_2C_8b_C2v_L	4.8717786	0	10	2.5	-0.0078962726	-3.4532435	-4.7513484	0.19516392	-4.750396	0.19510808	0.28085802	-4.4098125	10.961	0.077519204	-2.1798544e-06	-0.018197744	0.099558883	-0.018182864	0.09954444	3.5753589e-06	1.4049693e-06	-1.211289e-05	1.0499489	-1.6916114	0.17329161	1.6914354	-0.17326544	-0.25111266	-2.2183434	2.1	1	0.2	0.049203587	1.2472618	1.6885242	-0.61298483	-0.22568192	0.093608723	0.36399034	1.9655579	1.9556488	1.7781803	0.42526027	1.7781562	0.42525447	0.0043984186	1.3628519	1.3542331	-0.63122449	6.2795378e-06	-0.27816212	-1.1124096	-0.27820681	-1.1123789	-3.1837481e-05	3.1813424e-06	6.3728758e-05	-0.43389163	1.4846862	-1.5457844	-1.4847334	1.5457214	0.21992571	3.2365251	2	2	0	0	-87.831998	R0:S0:1	1.3542331	-135.376	uncorrelated	2	817c5bc	v2.2.6	YY	6	sharp_wc_2.0_b_50	self-energy/D	test.py	2023-11-04@14:55
2x2_2C_8b_C2v_L	4.8704182	0	10.0004	2.5004	-0.0095017292	-3.4533703	-4.7536404	0.19639504	-4.7545906	0.19651219	0.28255921	-4.4110409	10.959	0.077376468	2.1443412e-05	-0.018180712	0.099632915	-0.01820514	0.09967493	1.2149223e-05	1.7357952e-06	-0.0003146261	1.0506121	-1.6925738	0.17344357	1.6927316	-0.17348573	-0.25132785	-2.2194044	2.1004	1	0.2004	0.04929892	1.2472169	1.6882464	-0.61328811	-0.22568159	0.093630572	0.36332216	1.9660422	1.9556278	1.7777986	0.42158695	1.7778267	0.42157383	0.0043984043	1.3630895	1.3535556	-0.62680207	-4.8026023e-06	-0.27906613	-1.1113253	-0.27901382	-1.1114302	-0.00015611681	5.0063214e-05	0.0015528526	-0.4343384	1.4873462	-1.5363123	-1.487289	1.5363371	0.21999582	3.235836	2	2	0	0	-87.843908	R0:S0:1	1.3535556	-135.3376	uncorrelated	2	817c5bc	v2.2.6	YY	3	sharp_wc_2.0_b_50	self-energy/D	test.py	2023-11-04@14:58
2x2_2C_8b_C2v_L	4.8697709	0	10.0006	2.5006	-0.01043957	-3.4536289	-4.7554182	0.19712759	-4.7557724	0.19716621	0.28371691	-4.4128376	10.958	0.077321723	7.4414026e-07	-0.018187128	0.099701366	-0.018193259	0.099713545	-1.4421031e-06	1.25408e-06	5.3714824e-07	1.0509905	-1.6931549	0.17354783	1.6932194	-0.17356326	-0.25154723	-2.2202485	2.1006	1	0.2006	0.049347986	1.2471949	1.6881085	-0.61343585	-0.22567971	0.09364106	0.36297404	1.966302	1.9556168	1.7776264	0.41965187	1.7776356	0.41964995	0.004401108	1.3632824	1.3532018	-0.6245643	-1.9506433e-06	-0.27951408	-1.1108156	-0.27949935	-1.1108434	1.5438169e-05	-6.5338716e-06	-2.4780775e-06	-0.43457096	1.4886348	-1.5314126	-1.488618	1.531426	0.22008692	3.235402	2	2	0	0	-87.852575	R0:S0:1	1.3532018	-135.3184	uncorrelated	2	817c5bc	v2.2.6	YY	4	sharp_wc_2.0_b_50	self-energy/D	test.py	2023-11-04@15:03
2x2_2C_8b_C2v_L	4.8693577	0	10.00064	2.50064	-0.0097728717	-3.4525118	-4.7530901	0.19660559	-4.7536095	0.19665439	0.28290788	-4.4101162	10.9592	0.077397535	5.9855839e-06	-0.018188219	0.09969153	-0.01820565	0.099708061	-6.1024625e-06	-5.0883704e-06	-0.00015632104	1.0506678	-1.6927652	0.17352026	1.6928548	-0.17354175	-0.25151836	-2.21967	2.10064	1	0.19924	0.049311546	1.2471844	1.6882061	-0.61340792	-0.22575544	0.093679714	0.36332178	1.9660947	1.9556344	1.7776944	0.42129088	1.7777083	0.42129157	0.0044036953	1.3629022	1.3535489	-0.62653236	7.7889686e-06	-0.27921274	-1.1113683	-0.27917645	-1.111411	1.3919942e-05	2.8871388e-05	0.00076270511	-0.43424462	1.4877846	-1.5356254	-1.4877607	1.5356577	0.22015191	3.2361983	2	2	0	0	-87.841074	R0:S0:1	1.3535489	-135.33696	uncorrelated	2	817c5bc	v2.2.6	YY	3	sharp_wc_2.0_b_50	self-energy/D	test.py	2023-11-04@15:07
2x2_2C_8b_C2v_L	4.8695395	0	10.000896	2.500896	-0.010250132	-3.4525884	-4.7547359	0.19700627	-4.7550507	0.19703739	0.28352234	-4.4117832	10.95888	0.077359697	1.3630644e-05	-0.018198244	0.099729169	-0.018206222	0.09974745	1.24437e-05	2.1639557e-06	-0.00023708658	1.0509304	-1.6932646	0.17358711	1.6933067	-0.17359191	-0.25160971	-2.220321	2.100896	1	0.199936	0.049336112	1.2471755	1.6881296	-0.61348148	-0.2257443	0.093673532	0.36311748	1.9662321	1.955622	1.777608	0.42023408	1.7776174	0.42022833	0.0044041508	1.3630494	1.3533412	-0.62524973	4.1211875e-06	-0.27942321	-1.1110617	-0.27940867	-1.1111415	-0.00014704888	4.2114192e-05	0.001137119	-0.43441245	1.48848	-1.5329322	-1.4884625	1.5329145	0.22016435	3.2358904	2	2	0	0	-87.85138	R0:S0:1	1.3533412	-135.32774	uncorrelated	2	817c5bc	v2.2.6	YY	3	sharp_wc_2.0_b_50	self-energy/D	test.py	2023-11-04@15:10
