model	E_kin	D	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_D	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_sb7_1	ave_sb8_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	ave_e_2	ave_mu_2	ave_tpp_2	ave_tppp_2	E0_1	sector_1	n_1	E0_2	sector_2	n_2	githash	version	GS_consistency	iterations	dist_function	convergence	script	time	
2x2_2C_8b_C2v_L	5.4363444	0	10.999094	2.5000884	4.6706596	-0.1790737	0.18678519	5.4819102	5.4818886	0.18676053	0.27376312	5.1980263	11.957208	1.1007987	-6.9126693e-06	0.086587012	-1.7052335	-1.7052287	0.086586789	-3.6564926e-06	2.2317203	2.50186e-06	-0.11955858	-0.15494752	-0.016575523	0.016568992	0.15493888	0.22668356	8.5303573e-07	2.1000006	1	0.20106456	-0.051664912	1.2626449	1.7002029	-0.55937207	-0.18560722	0.077984084	0.3445667	0.037194099	1.9901543	0.40372357	0.18174988	0.18175594	0.40374535	0.0059274457	0.53758942	1.3381376	-0.42822058	4.9642329e-05	-1.0964864	1.3492234	1.3492581	-1.0965563	3.2529788e-05	-3.014691	-3.2818246e-06	0.18407285	1.4964506	-0.26647748	0.2664885	-1.4964522	-0.19178812	2.8879434e-06	2	2	0	0	-56.596129	R0:S0:1	1.3381376	-151.31391	uncorrelated	2	817c5bc	v2.2.6	YY	3	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2023-12-12@10:02
2x2_2C_8b_C2v_L	5.4360577	0	11.000094	2.5000884	4.6718989	-0.17926049	0.18720158	5.4844635	5.4846221	0.18718711	0.27425909	5.1996541	11.957208	1.1009192	1.3237294e-05	0.086561141	-1.7056214	-1.7056438	0.08656388	-8.4377256e-07	2.2320483	-5.7114825e-06	-0.11946677	-0.15501874	-0.016571395	0.016569904	0.15500841	0.22675157	-1.885826e-06	2.1000006	1	0.20106456	-0.051703523	1.2626443	1.7000995	-0.55943318	-0.1855716	0.077977112	0.34425442	0.037216725	1.9901741	0.40266331	0.18180138	0.18179936	0.40267132	0.0059194587	0.53738511	1.3378242	-0.42857737	-9.9150243e-05	-1.0961616	1.3499247	1.3499225	-1.0962167	2.0208361e-05	-3.0141086	5.3834806e-06	0.18400197	1.4934505	-0.26676111	0.26676279	-1.4934334	-0.19175933	1.2135625e-05	2	2	0	0	-56.595176	R0:S0:1	1.3378242	-151.31391	uncorrelated	2	817c5bc	v2.2.6	YY	6	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2023-12-12@10:08
2x2_2C_8b_C2v_L	5.4396333	0	10.999094	2.5010884	4.6702045	-0.17912866	0.18680866	5.4813513	5.4808501	0.18679475	0.2739113	5.1976737	11.957208	1.1008073	-2.7984222e-05	0.086592663	-1.7052493	-1.7051659	0.086594428	5.7146239e-06	2.2318076	1.0502503e-05	-0.11957432	-0.15495998	-0.01656848	0.016566407	0.1549489	0.22674197	-9.2457744e-07	2.1000006	1	0.20106456	-0.051666209	1.2626317	1.700187	-0.55942186	-0.1856386	0.077997151	0.34456159	0.037196053	1.9901557	0.40362357	0.1817931	0.18180709	0.40363164	0.005928274	0.53764893	1.338131	-0.4282244	0.00021083421	-1.0964672	1.3494177	1.34947	-1.0965249	-7.0895306e-05	-3.0148218	-7.9697234e-06	0.18405992	1.4961245	-0.2665257	0.26654373	-1.4960972	-0.19183224	-1.3909408e-05	2	2	0	0	-56.596979	R0:S0:1	1.338131	-151.29791	uncorrelated	2	817c5bc	v2.2.6	YY	4	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2023-12-12@10:13
2x2_2C_8b_C2v_L	5.4324912	0	10.999094	2.5000884	4.6700442	-0.17944929	0.18730769	5.4834436	5.4829722	0.18728219	0.27445829	5.199198	11.957208	1.1012688	-4.2116555e-06	0.086646356	-1.7062596	-1.7061954	0.086627072	-1.2837726e-05	2.2329931	6.6270555e-07	-0.1195671	-0.15512422	-0.016584517	0.016564432	0.15510826	0.22692024	6.5060103e-06	2.1010006	1	0.20106456	-0.051701974	1.2625947	1.7000749	-0.55961796	-0.18569955	0.078031214	0.34437939	0.037218973	1.9901813	0.40269824	0.18195701	0.18196883	0.40266871	0.00592149	0.53775352	1.3379393	-0.42841526	2.5017771e-05	-1.0963303	1.3504144	1.3504457	-1.0962352	0.00012165473	-3.0150529	-1.1238055e-06	0.18386652	1.4935538	-0.26686779	0.26691511	-1.493517	-0.19187759	8.444244e-06	2	2	0	0	-56.602769	R0:S0:1	1.3379393	-151.31391	uncorrelated	2	817c5bc	v2.2.6	YY	6	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2023-12-12@10:19
2x2_2C_8b_C2v_L	5.4370844	0	10.999094	2.5000884	4.671168	-0.17914051	0.18672713	5.4828702	5.4825293	0.18673401	0.27369109	5.1993062	11.957208	1.1008478	9.7643171e-06	0.086577468	-1.7052981	-1.7052487	0.086577573	-6.8127708e-06	2.2318119	-9.575589e-06	-0.11958155	-0.15492123	-0.016567448	0.016571992	0.15491994	0.22660724	3.312555e-06	2.1000006	1	0.20206456	-0.051660092	1.2626583	1.7002126	-0.55932196	-0.18557218	0.077958564	0.34454357	0.037200227	1.9901496	0.40378172	0.18171324	0.18172195	0.4037757	0.0059260832	0.53746362	1.338116	-0.42829192	-7.132659e-05	-1.0965183	1.3490948	1.3491247	-1.0965183	6.5825323e-05	-3.0144069	1.6392146e-05	0.18414477	1.4965507	-0.26643108	0.26644028	-1.4965299	-0.19172507	1.197563e-06	2	2	0	0	-56.595613	R0:S0:1	1.338116	-151.31391	uncorrelated	2	817c5bc	v2.2.6	YY	4	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2023-12-12@10:23
2x2_2C_8b_C2v_L	5.442057	0	10.999594	2.5005884	4.6717255	-0.17889235	0.18644272	5.4817046	5.4819138	0.18646795	0.27335545	5.1981585	11.957208	1.1004079	-4.3135447e-06	0.086507519	-1.7044173	-1.7044438	0.086517832	7.1272968e-07	2.2307069	-2.8496985e-06	-0.11952037	-0.15478809	-0.016554801	0.01656347	0.15479792	0.22646612	1.3523934e-06	2.0990006	1	0.20156456	-0.051646132	1.2626948	1.7002734	-0.55915841	-0.18549448	0.077927207	0.34457651	0.037187199	1.9901369	0.4041751	0.18158459	0.18157675	0.40417254	0.0059283837	0.53728645	1.338158	-0.42826264	3.4698622e-05	-1.0965253	1.3484858	1.3484566	-1.0965441	-1.5063366e-05	-3.0139478	8.5448611e-06	0.1842662	1.4976054	-0.26625385	0.26623525	-1.4976081	-0.19166929	-1.1009672e-05	2	2	0	0	-56.589224	R0:S0:1	1.338158	-151.30591	uncorrelated	2	817c5bc	v2.2.6	YY	3	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2023-12-12@10:26
2x2_2C_8b_C2v_L	5.4468308	0	10.999844	2.5008384	4.6725743	-0.17857868	0.18602543	5.4808903	5.4812734	0.18607236	0.27280412	5.1977282	11.957208	1.0999855	-2.1117749e-05	0.086437629	-1.7034989	-1.7035598	0.086452779	-1.8636025e-06	2.2295808	1.4651324e-05	-0.11948465	-0.15463248	-0.016544564	0.016553899	0.15464377	0.22624212	4.1083107e-06	2.0980006	1	0.20181456	-0.051619306	1.2627447	1.7003728	-0.55892936	-0.18539243	0.077875366	0.34467741	0.037171376	1.9901158	0.40492514	0.18139224	0.1813849	0.40491759	0.0059317958	0.53704794	1.3382696	-0.42818493	0.00015694013	-1.0966032	1.3474896	1.3474726	-1.0966536	7.5709786e-06	-3.0133891	-1.9104257e-05	0.18445162	1.4996959	-0.26594744	0.26593315	-1.4996866	-0.19156467	-7.5741015e-06	2	2	0	0	-56.58239	R0:S0:1	1.3382696	-151.30191	uncorrelated	2	817c5bc	v2.2.6	YY	3	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2023-12-12@10:30
2x2_2C_8b_C2v_L	5.4438824	0	10.998469	2.5009634	4.6711429	-0.17882417	0.18602203	5.4793831	5.4790614	0.18600126	0.27280463	5.1965261	11.957208	1.1003712	-2.1819172e-05	0.086541157	-1.7040759	-1.7040202	0.086537016	2.0992214e-06	2.2303702	1.0388614e-05	-0.11965965	-0.15472847	-0.016564104	0.016558105	0.15471742	0.226368	-6.3898005e-07	2.0990006	1	0.20193956	-0.051603347	1.2626954	1.7003868	-0.55909062	-0.18553325	0.077930431	0.34491534	0.037160442	1.9901131	0.40533782	0.18151964	0.18152577	0.40533529	0.0059358533	0.53749889	1.3384982	-0.42786612	0.00016027973	-1.0968844	1.3476963	1.3477115	-1.0968835	-2.9597275e-05	-3.0145584	-1.3855509e-05	0.18438066	1.5009239	-0.26593611	0.2659504	-1.5009046	-0.19168028	-4.8739296e-06	2	2	0	0	-56.590632	R0:S0:1	1.3384982	-151.29991	uncorrelated	2	817c5bc	v2.2.6	YY	3	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2023-12-12@10:33
2x2_2C_8b_C2v_L	5.4477938	0	10.997657	2.5014009	4.6706911	-0.17859486	0.18542945	5.4768096	5.4761515	0.18540081	0.27207392	5.1948114	11.957208	1.1000772	-2.1702041e-05	0.0865317	-1.7032914	-1.7031877	0.086530346	-4.1487981e-06	2.2294981	1.211983e-05	-0.11975424	-0.15457937	-0.016564437	0.016558241	0.15456824	0.22617486	2.8227431e-06	2.0985006	1	0.20237706	-0.051549938	1.262721	1.7005304	-0.55891938	-0.18551406	0.07790711	0.34524756	0.037131629	1.9900825	0.40665741	0.18137453	0.18139693	0.40668421	0.005944214	0.53756486	1.3388369	-0.42750462	0.00016059537	-1.0971985	1.3465551	1.3466473	-1.0972816	2.7642002e-05	-3.014801	-1.5828478e-05	0.18456899	1.5046255	-0.26549122	0.26551789	-1.5046138	-0.19164231	-4.0481958e-06	2	2	0	0	-56.588301	R0:S0:1	1.3388369	-151.29291	uncorrelated	2	817c5bc	v2.2.6	YY	3	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2023-12-12@10:36
2x2_2C_8b_C2v_L	5.444389	0	10.99875	2.5001197	4.6716781	-0.17851347	0.18565228	5.4796116	5.480005	0.18566506	0.27226993	5.1972492	11.957208	1.0999747	-3.9755401e-05	0.086463205	-1.7033751	-1.7034303	0.086474395	2.2967333e-06	2.2294956	2.1009021e-05	-0.11960495	-0.15457796	-0.016550331	0.016557488	0.15458328	0.22611682	-2.5372507e-06	2.0982506	1	0.20259581	-0.051579438	1.2627527	1.7004734	-0.55884964	-0.18540509	0.077865605	0.34496302	0.037154874	1.9900957	0.40595432	0.1813275	0.18132049	0.405969	0.0059369682	0.53718565	1.338556	-0.42788341	0.00029275719	-1.0968885	1.3467732	1.3467606	-1.0969653	-3.6394835e-05	-3.0138283	-3.0347681e-05	0.18454997	1.5026294	-0.26565498	0.26563558	-1.5026447	-0.1915345	-4.2903045e-06	2	2	0	0	-56.584114	R0:S0:1	1.338556	-151.31341	uncorrelated	2	817c5bc	v2.2.6	YY	3	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2023-12-12@10:39
