model	E_kin	D	M	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	tbA1_down_1	tbA1_up_1	tbA2_down_1	tbA2_up_1	tbA3_down_1	tbA3_up_1	tbA4_down_1	tbA4_up_1	tbA5_down_1	tbA5_up_1	tbA6_down_1	tbA6_up_1	tbA7_down_1	tbA7_up_1	tbA8_down_1	tbA8_up_1	tbB1_down_1	tbB1_up_1	tbB2_down_1	tbB2_up_1	tbB3_down_1	tbB3_up_1	tbB4_down_1	tbB4_up_1	tbB5_down_1	tbB5_up_1	tbB6_down_1	tbB6_up_1	tbB7_down_1	tbB7_up_1	tbB8_down_1	tbB8_up_1	tpd	tpp	tppp	trb1_1	trb2_1	trb3_1	trb4_1	trb5_1	trb6_1	trb7_1	trb8_1	ave_D	ave_M	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_sb7_1	ave_sb8_1	ave_tbA1_down_1	ave_tbA1_up_1	ave_tbA2_down_1	ave_tbA2_up_1	ave_tbA3_down_1	ave_tbA3_up_1	ave_tbA4_down_1	ave_tbA4_up_1	ave_tbA5_down_1	ave_tbA5_up_1	ave_tbA6_down_1	ave_tbA6_up_1	ave_tbA7_down_1	ave_tbA7_up_1	ave_tbA8_down_1	ave_tbA8_up_1	ave_tbB1_down_1	ave_tbB1_up_1	ave_tbB2_down_1	ave_tbB2_up_1	ave_tbB3_down_1	ave_tbB3_up_1	ave_tbB4_down_1	ave_tbB4_up_1	ave_tbB5_down_1	ave_tbB5_up_1	ave_tbB6_down_1	ave_tbB6_up_1	ave_tbB7_down_1	ave_tbB7_up_1	ave_tbB8_down_1	ave_tbB8_up_1	ave_trb1_1	ave_trb2_1	ave_trb3_1	ave_trb4_1	ave_trb5_1	ave_trb6_1	ave_trb7_1	ave_trb8_1	ave_e_2	ave_mu_2	ave_tpp_2	ave_tppp_2	E0_1	sector_1	n_1	E0_2	sector_2	n_2	githash	version	GS_consistency	iterations	dist_function	convergence	script	time	
2x2_2C_8b_C2v_L	5.4709253	0	0	10.999094	2.5000884	-0.084091508	-3.868394	-5.6111749	0.20858051	0.14673634	-5.2128308	-0.12959664	-5.2136505	12.085208	-0.00016999998	-0.00066006975	0.0001959284	-0.00013484703	-0.046098929	-0.013036016	-0.14556561	-0.010433288	0.15265831	-0.089055318	1.1837586	-0.87923419	2.2016196	-2.3375012	0.14536488	0.30883145	-0.099314185	-0.23010839	-1.9446417	-0.39537812	-0.081172481	-0.020214032	1.3715109	2.2781462	0.089184725	-0.15292646	-0.8781139	1.1826544	2.3380639	-2.2022798	0.30899643	0.1454871	0.23019656	0.099156765	1.3339547	2.345314	-0.023576854	-0.077990167	1.8881179	0.4055463	2.1000006	1	0.20106456	-0.0012221635	0.00027697494	0.0001043136	-0.00075868097	0.00036633243	-0.0024967404	0.00010462862	-0.0097853752	0.030054328	0.075472532	1.2632285	1.7112136	-0.55305929	-0.18875643	0.077786967	0.39060233	1.7564029	1.9401563	1.5346688	0.13753878	0.47516498	1.7768191	1.3873844	1.8720053	1.3842969	0.00016833086	0.001758302	0.0020450805	0.0002387157	0.72416446	-0.2209248	1.9598576	-0.12725013	-0.45822883	0.21827902	-0.27683106	-0.029276575	-0.82843853	0.55002279	0.044468004	-0.31039715	0.39013595	0.56088099	0.51073715	0.041934034	0.43126945	0.06286734	-0.36320415	-0.26090328	-0.2180092	0.4584373	-0.029736152	-0.27609729	-0.5495184	0.82855894	-0.31034329	0.044346559	-0.55961491	-0.38917135	-0.14965928	-0.61981458	0.065367713	0.42819726	-0.21689804	-0.11033835	0.0071557073	-0.00010484906	-0.00012722751	0.00030136658	-0.0013519121	0.0097041167	0.0020520354	-0.030565202	2	2	0	0	-97.210659	R0:S0:1	1.3842969	-76.680957	uncorrelated	2	817c5bc	v2.2.6	YY	9	sharp_wc_2.0_b_50	self-energy/D/M	run_optim.py	2023-11-21@19:45
2x2_2C_8b_C2v_L	5.4707913	0	0	10.999194	2.5000884	-0.084177618	-3.8695944	-5.6114551	0.20860985	0.14684779	-5.213198	-0.12973269	-5.2143476	12.085208	-0.00017380933	-0.00062831005	0.00017284619	-0.00013375239	-0.046067616	-0.01302731	-0.14559976	-0.010428278	0.15269396	-0.088975852	1.1838768	-0.87934947	2.2017454	-2.3375168	0.14532366	0.30890626	-0.099286472	-0.23022092	-1.9449567	-0.39548378	-0.081133848	-0.020184233	1.3713703	2.2782284	0.089092539	-0.15295402	-0.8782713	1.1828206	2.3380571	-2.2023895	0.30907638	0.14545381	0.23031423	0.099147213	1.3337147	2.345434	-0.023561365	-0.077977729	1.8883938	0.40568774	2.1000006	1	0.20106456	-0.0012225719	0.00025892492	8.9480546e-05	-0.00076145401	0.00035747212	-0.0024762705	0.00010011215	-0.0097947227	0.030063095	0.075573731	1.2632264	1.7111937	-0.55307823	-0.18875632	0.077787441	0.39054764	1.7565781	1.9401352	1.5346866	0.1374989	0.47487177	1.77674	1.3875813	1.8720715	1.3842412	0.00017198616	0.0017357803	0.0020647496	0.00023330153	0.72397117	-0.22118986	1.9593801	-0.12734124	-0.45824649	0.21810366	-0.27696575	-0.029329166	-0.82862403	0.54981249	0.044598933	-0.31046042	0.38996789	0.56075	0.5110214	0.041916632	0.43138914	0.062760363	-0.36328161	-0.26069622	-0.21783126	0.45844707	-0.029772234	-0.27625454	-0.54931418	0.82873925	-0.3104268	0.044464659	-0.55951373	-0.38902715	-0.14951991	-0.62005562	0.065276784	0.42835202	-0.21675107	-0.11040095	0.0071475769	-9.398349e-05	-0.00011261171	0.00030924526	-0.0013460101	0.0096995182	0.0020532864	-0.03059976	2	2	0	0	-97.216201	R0:S0:1	1.3842412	-76.680957	uncorrelated	2	817c5bc	v2.2.6	YY	8	sharp_wc_2.0_b_50	self-energy/D/M	run_optim.py	2023-11-21@20:04
2x2_2C_8b_C2v_L	5.471272	0	0	10.999094	2.5001884	-0.084063729	-3.8683865	-5.6110544	0.20859925	0.14674546	-5.212649	-0.12961803	-5.2137975	12.085208	-0.00017488551	-0.0006809271	0.0002069066	-0.00013399492	-0.046098039	-0.013035038	-0.14558223	-0.010438209	0.15266097	-0.089038585	1.1837066	-0.87922951	2.201652	-2.3375249	0.14537073	0.30883978	-0.099333739	-0.23010269	-1.9446107	-0.39554309	-0.08115116	-0.020232707	1.3715709	2.2781709	0.089184171	-0.15293794	-0.87820705	1.1826804	2.3380286	-2.2022502	0.3089992	0.14548986	0.23018221	0.099183466	1.3339748	2.3452597	-0.02358129	-0.07798888	1.8881488	0.40572071	2.1000006	1	0.20106456	-0.001221346	0.00025842685	8.8108055e-05	-0.00076795538	0.00036400563	-0.0024880742	0.00010312488	-0.0097907983	0.030054427	0.075452455	1.2632275	1.7112153	-0.55306182	-0.1887597	0.077788347	0.39061392	1.7563679	1.9401642	1.5346562	0.13756517	0.47524093	1.7768347	1.3873834	1.8719957	1.3843084	0.00017351635	0.0017690038	0.0020294607	0.00023308126	0.72415302	-0.22091893	1.9600396	-0.12725757	-0.45823127	0.21828832	-0.27676414	-0.029267564	-0.82841848	0.5500639	0.044463365	-0.31042229	0.390212	0.56090257	0.51069357	0.041964325	0.43116263	0.062892657	-0.36317559	-0.26093785	-0.21803044	0.45844298	-0.029699476	-0.27607546	-0.54956348	0.82852834	-0.31035711	0.044348219	-0.55964183	-0.38925817	-0.1496873	-0.6197415	0.065390467	0.42810744	-0.21692809	-0.11036489	0.007146915	-9.4386857e-05	-0.00011150966	0.00033102949	-0.0013451848	0.0096934399	0.0020465713	-0.030550341	2	2	0	0	-97.210422	R0:S0:1	1.3843084	-76.680157	uncorrelated	2	817c5bc	v2.2.6	YY	10	sharp_wc_2.0_b_50	self-energy/D/M	run_optim.py	2023-11-21@20:28
2x2_2C_8b_C2v_L	5.4704091	0	0	10.999094	2.5000884	-0.084213162	-3.8694674	-5.6111876	0.20863545	0.14689086	-5.2130946	-0.1297852	-5.2151455	12.085208	-0.0001748971	-0.00064210194	0.00018349057	-0.00013371221	-0.046066532	-0.013023678	-0.1456323	-0.010439287	0.15273373	-0.088951211	1.183948	-0.87965139	2.2017755	-2.337423	0.14533802	0.30893272	-0.099306582	-0.23026109	-1.9446423	-0.39601491	-0.081146463	-0.020196827	1.3721008	2.2784128	0.089073692	-0.15300056	-0.87826556	1.1825964	2.3381319	-2.2026308	0.30911162	0.14546819	0.2303453	0.099171525	1.3343066	2.3454374	-0.023584308	-0.077982959	1.8882358	0.4062658	2.1001006	1	0.20106456	-0.0012241242	0.00025944345	9.0802323e-05	-0.00076357261	0.00035158014	-0.0024764761	0.00010468062	-0.0098057189	0.030064081	0.075580075	1.263221	1.7111892	-0.55310005	-0.18877029	0.077793338	0.39055952	1.7565933	1.9401457	1.5346329	0.13749876	0.4748569	1.776748	1.3876026	1.8720542	1.3842519	0.00017306007	0.0017444258	0.0020539085	0.00023263599	0.72391987	-0.22123302	1.9594414	-0.12738602	-0.45825142	0.21808646	-0.27699535	-0.029255184	-0.82866532	0.54982276	0.044621053	-0.31047868	0.38999487	0.56076602	0.51094221	0.041972232	0.43139558	0.062776981	-0.36342839	-0.26066683	-0.21780942	0.45846456	-0.029794006	-0.27613522	-0.54932488	0.82881925	-0.31045531	0.04447564	-0.55952094	-0.38904764	-0.14957548	-0.62005458	0.065293275	0.42834809	-0.2166949	-0.11053993	0.007152468	-9.3699346e-05	-0.00011399077	0.00031645874	-0.0013296327	0.0097164911	0.0020353305	-0.030593411	2	2	0	0	-97.217758	R0:S0:1	1.3842519	-76.680957	uncorrelated	2	817c5bc	v2.2.6	YY	8	sharp_wc_2.0_b_50	self-energy/D/M	run_optim.py	2023-11-21@20:48
2x2_2C_8b_C2v_L	5.470993	0	0	10.999094	2.5000884	-0.084095844	-3.8685327	-5.6112596	0.20859152	0.14671354	-5.212532	-0.12961995	-5.2136095	12.085208	-0.00017428944	-0.00065863132	0.00019500478	-0.00013057988	-0.046091607	-0.013030336	-0.14557891	-0.010430548	0.15267143	-0.089036535	1.1838136	-0.87917137	2.2015863	-2.3375528	0.1453686	0.30882817	-0.09931614	-0.23008588	-1.94475	-0.39540646	-0.0811373	-0.020215117	1.3712829	2.2781167	0.089168357	-0.15294118	-0.87809841	1.1827473	2.3380925	-2.2022197	0.30899734	0.14548525	0.23016559	0.099173545	1.3336841	2.3452367	-0.023572334	-0.077975047	1.8882613	0.40558825	2.1000006	1	0.20116456	-0.0012208805	0.00022949883	7.3745903e-05	-0.00076325641	0.00035846496	-0.0024826873	0.00010086684	-0.0097794642	0.030052865	0.07546631	1.2632298	1.711215	-0.55305516	-0.18875309	0.077784755	0.39060985	1.7563966	1.9401511	1.5346825	0.13754755	0.47522911	1.7768127	1.3874107	1.8720137	1.3843047	0.00017245764	0.0017545758	0.0020416358	0.00022647999	0.72416464	-0.22094388	1.9600011	-0.12725389	-0.45824012	0.21827577	-0.27683669	-0.029295938	-0.82841582	0.55002842	0.044473313	-0.31041003	0.39021069	0.56087412	0.51076978	0.041951635	0.43114389	0.062860339	-0.36312268	-0.26091389	-0.21801157	0.45844366	-0.029741834	-0.27612653	-0.54952645	0.82853404	-0.31036066	0.044357105	-0.55961248	-0.38926272	-0.1496467	-0.61978025	0.065361526	0.42809115	-0.21691898	-0.11033236	0.0071434842	-7.5559762e-05	-9.8167136e-05	0.00031755917	-0.0013392431	0.0096819255	0.0020559635	-0.030563746	2	2	0	0	-97.210405	R0:S0:1	1.3843047	-76.680957	uncorrelated	2	817c5bc	v2.2.6	YY	7	sharp_wc_2.0_b_50	self-energy/D/M	run_optim.py	2023-11-21@21:08
2x2_2C_8b_C2v_L	5.4711393	0	0	10.999094	2.5000884	-0.083999055	-3.8676564	-5.6111518	0.20856708	0.14662321	-5.2119826	-0.12949777	-5.2130555	12.085308	-0.00017503699	-0.00065521033	0.00019308722	-0.00013830091	-0.046123478	-0.013035717	-0.14554399	-0.010438871	0.15263621	-0.089114046	1.1837546	-0.8790444	2.2014782	-2.3376175	0.14540211	0.30876622	-0.099336484	-0.22998758	-1.9445289	-0.39526888	-0.08118057	-0.020238716	1.3712714	2.2780687	0.089253682	-0.1529077	-0.87795946	1.1826926	2.3381448	-2.2021086	0.30893165	0.14552641	0.23006569	0.099183464	1.3337417	2.3450741	-0.023614947	-0.078008804	1.8881324	0.40541423	2.1000006	1	0.20106456	-0.001221589	0.00028417256	0.00010467641	-0.00076141574	0.00036167708	-0.0024856813	0.00010510093	-0.00979762	0.03004743	0.075354943	1.2632323	1.7112383	-0.55303147	-0.18875277	0.07778488	0.39066602	1.7562039	1.9401717	1.5346748	0.1376054	0.47550386	1.776888	1.3872412	1.8719533	1.3843618	0.00017274094	0.0017533229	0.0020443691	0.00024184126	0.72434201	-0.22071521	1.9604277	-0.12716861	-0.45822826	0.21845445	-0.27669312	-0.029254584	-0.82821168	0.55024729	0.044356998	-0.31035653	0.39034269	0.5610174	0.51051605	0.041967326	0.43103977	0.062971579	-0.36299173	-0.26112893	-0.21819302	0.45843489	-0.029701897	-0.27598189	-0.54974503	0.82832877	-0.31030292	0.044234733	-0.55974852	-0.38937701	-0.14977716	-0.61950573	0.065485289	0.42798836	-0.21709413	-0.11025346	0.0071550084	-0.00010965746	-0.00012758048	0.00030915564	-0.0013467638	0.0096610387	0.0020469747	-0.03049651	2	2	0	0	-97.206222	R0:S0:1	1.3843618	-76.681757	uncorrelated	2	817c5bc	v2.2.6	YY	3	sharp_wc_2.0_b_50	self-energy/D/M	run_optim.py	2023-11-21@21:17
2x2_2C_8b_C2v_L	5.4706014	0	0	10.999134	2.5001284	-0.084300656	-3.8704385	-5.6113466	0.20862399	0.14698795	-5.2136678	-0.12987388	-5.2153659	12.085108	-0.0001726616	-0.00066604668	0.00020012777	-0.00012803728	-0.046046815	-0.013022943	-0.14564614	-0.010430105	0.15274414	-0.088879866	1.183951	-0.87968073	2.2018792	-2.3373813	0.14529223	0.30897385	-0.09928674	-0.23036292	-1.9449568	-0.39589365	-0.081131799	-0.020166842	1.3718222	2.2783941	0.089023029	-0.15302555	-0.87844807	1.1827341	2.3380078	-2.202631	0.30914803	0.14542204	0.23043819	0.099131151	1.3340237	2.3455766	-0.023530128	-0.077955567	1.8884087	0.40614738	2.1000406	1	0.20110456	-0.0012198283	0.00024107831	7.9903349e-05	-0.00076602955	0.00036174291	-0.0024773951	0.00010650901	-0.0097929312	0.030070579	0.075679157	1.2632206	1.7111707	-0.55311228	-0.18876599	0.077791556	0.39050162	1.7567637	1.9401272	1.5346581	0.13744578	0.47456204	1.7766781	1.3877581	1.8721181	1.3841936	0.00017275215	0.0017590794	0.0020374475	0.00022354508	0.72381827	-0.22144372	1.9589432	-0.12744597	-0.45825378	0.21792649	-0.27709444	-0.029315284	-0.82884392	0.54961661	0.044723818	-0.31052909	0.38982154	0.56065719	0.51119815	0.041928801	0.43157079	0.062666497	-0.36349324	-0.26047856	-0.21765837	0.45847689	-0.029808958	-0.27630517	-0.54911945	0.82897859	-0.3104857	0.044583018	-0.559388	-0.38884624	-0.14942768	-0.62031507	0.065166933	0.4284984	-0.21655576	-0.11054841	0.0071255474	-8.3072955e-05	-0.00010303618	0.0003288196	-0.0013282098	0.0097363178	0.002035856	-0.030651055	2	2	0	0	-97.221173	R0:S0:1	1.3841936	-76.679837	uncorrelated	2	817c5bc	v2.2.6	YY	6	sharp_wc_2.0_b_50	self-energy/D/M	run_optim.py	2023-11-21@21:34
2x2_2C_8b_C2v_L	5.4703229	0	0	10.999154	2.5001484	-0.0844438	-3.8718039	-5.6114343	0.20866828	0.14719788	-5.21436	-0.13007622	-5.2165835	12.085008	-0.00017832065	-0.00064909876	0.00018955622	-0.00013071713	-0.045992293	-0.013015571	-0.14568938	-0.010429494	0.15278692	-0.088740474	1.183995	-0.87993294	2.2021413	-2.3372787	0.145227	0.30911155	-0.099238509	-0.23060456	-1.945053	-0.3962753	-0.081121506	-0.020116096	1.3722526	2.2785449	0.088873572	-0.15306131	-0.87872407	1.1828095	2.3378983	-2.2028698	0.30928502	0.14535601	0.23066226	0.099073914	1.3342756	2.345811	-0.023490124	-0.077913842	1.8884492	0.40659258	2.1000606	1	0.20112456	-0.0012184718	0.0002421013	8.3726329e-05	-0.00076608782	0.00035611409	-0.0024694652	0.00011222126	-0.0097968762	0.030081744	0.075867757	1.2632145	1.7111344	-0.55315386	-0.18877264	0.077794729	0.39040662	1.7570868	1.9400937	1.534647	0.13736504	0.47397116	1.7765471	1.3880404	1.8722073	1.3840964	0.00017732056	0.0017471441	0.0020474564	0.00022459503	0.72340723	-0.22186818	1.9579825	-0.12759801	-0.45826565	0.2176055	-0.27732446	-0.029380891	-0.82922248	0.54925012	0.04492904	-0.31064492	0.38946515	0.56048861	0.51157089	0.041903582	0.43196084	0.062487748	-0.36382136	-0.26010122	-0.21733358	0.45848193	-0.029867006	-0.27654974	-0.54874608	0.82935617	-0.31059775	0.044795897	-0.55917228	-0.38845203	-0.14923043	-0.62082719	0.064977959	0.42883213	-0.21622675	-0.11073866	0.0071074282	-8.3217729e-05	-0.00010761309	0.0003321533	-0.0013019988	0.009781174	0.0020326974	-0.03073868	2	2	0	0	-97.228428	R0:S0:1	1.3840964	-76.678877	uncorrelated	2	817c5bc	v2.2.6	YY	5	sharp_wc_2.0_b_50	self-energy/D/M	run_optim.py	2023-11-21@21:48
2x2_2C_8b_C2v_L	5.4704856	0	0	10.999158	2.5001524	-0.084315617	-3.8703364	-5.6112117	0.20863783	0.14702216	-5.2136361	-0.12992377	-5.2157471	12.085128	-0.00017812991	-0.0006486418	0.00018731747	-0.00013310524	-0.046046111	-0.013023073	-0.14565495	-0.010430159	0.1527329	-0.088868421	1.1839353	-0.8797455	2.2019411	-2.33735	0.14529259	0.30901631	-0.099260162	-0.23041818	-1.9447336	-0.39605413	-0.081163841	-0.020151304	1.3722696	2.2784677	0.089013114	-0.1530175	-0.87845869	1.1826704	2.337994	-2.2027147	0.30918949	0.14541771	0.23049305	0.099109917	1.3343851	2.3456023	-0.023547013	-0.077967354	1.8882452	0.40633258	2.1000646	1	0.20098856	-0.0012165391	0.00026085375	9.151657e-05	-0.00076392488	0.00035500714	-0.0024713713	0.00011017872	-0.0098154727	0.030077425	0.075717206	1.2632173	1.7111622	-0.55312746	-0.18877312	0.077795679	0.3904808	1.7568259	1.9401194	1.5346355	0.13742779	0.47441861	1.7766466	1.38785	1.8721216	1.3841719	0.00017694964	0.0017465189	0.0020485442	0.00022936995	0.7238361	-0.22153855	1.9585771	-0.12750811	-0.45823816	0.21786812	-0.27715386	-0.029317686	-0.82893249	0.54955562	0.044748155	-0.31054351	0.38968649	0.56062253	0.51123654	0.04193482	0.4317394	0.062637359	-0.36365417	-0.26040143	-0.21759727	0.45846637	-0.029829377	-0.27633812	-0.54905263	0.82907085	-0.31049492	0.04461287	-0.55934337	-0.38870483	-0.14942781	-0.62045107	0.065148196	0.4286479	-0.21646537	-0.11061364	0.0071062593	-9.5072577e-05	-0.0001144109	0.00032455408	-0.0013222637	0.00974565	0.0020319035	-0.030654616	2	2	0	0	-97.221868	R0:S0:1	1.3841719	-76.679805	uncorrelated	2	817c5bc	v2.2.6	YY	6	sharp_wc_2.0_b_50	self-energy/D/M	run_optim.py	2023-11-21@22:05
2x2_2C_8b_C2v_L	5.470394	0	0	10.999184	2.500178	-0.084403893	-3.8712915	-5.6110603	0.20863879	0.14718735	-5.2145617	-0.13002545	-5.2168674	12.085096	-0.00017707716	-0.00064855913	0.00018620581	-0.00013330027	-0.046015454	-0.013021538	-0.14567862	-0.010427626	0.15277138	-0.088779798	1.1838824	-0.88011648	2.2021236	-2.3371532	0.14524289	0.30908152	-0.099253827	-0.23058228	-1.9447001	-0.39635648	-0.08116252	-0.0201296	1.3728582	2.2786595	0.088928879	-0.15305564	-0.87875719	1.1825504	2.3378332	-2.2029497	0.30924906	0.14536292	0.23064338	0.099092575	1.3348914	2.3458467	-0.023511023	-0.077943345	1.8881648	0.40665895	2.1000902	1	0.20105816	-0.0012193762	0.00025344479	8.7079286e-05	-0.00076431858	0.00035945944	-0.0024746142	0.00011440893	-0.0098144082	0.03008217	0.075818253	1.2632143	1.7111433	-0.55314845	-0.18877587	0.077796447	0.39042741	1.7569947	1.9401223	1.5346064	0.13739012	0.47407569	1.7766063	1.3879669	1.8721623	1.3841173	0.00017520312	0.0017482531	0.0020528049	0.00022934044	0.72352417	-0.22175591	1.9581221	-0.12760167	-0.45825831	0.21768795	-0.27721568	-0.029284323	-0.8291533	0.54936229	0.044865722	-0.31062067	0.38949021	0.56055596	0.51136245	0.041921022	0.4319644	0.06254926	-0.36390402	-0.26019516	-0.21742335	0.45848088	-0.029819849	-0.27636848	-0.54885314	0.8293073	-0.31055811	0.044745835	-0.55924542	-0.38848453	-0.14934517	-0.6207031	0.065042406	0.42883396	-0.21626785	-0.1107388	0.0071177514	-9.069217e-05	-0.00011038993	0.00032298312	-0.0013107177	0.0097868163	0.0020263714	-0.030713461	2	2	0	0	-97.228037	R0:S0:1	1.3841173	-76.679344	uncorrelated	2	817c5bc	v2.2.6	YY	7	sharp_wc_2.0_b_50	self-energy/D/M	run_optim.py	2023-11-21@22:26
