CDMFT_iterations	CDMFT_method	D	D_ave	E0_1	E_kin	GS_consistency	U	U_1_ave	convergence	dist_function	eb1_1	eb1_1_ave	eb2_1	eb2_1_ave	eb3_1	eb3_1_ave	eb4_1	eb4_1_ave	eb5_1	eb5_1_ave	eb6_1	eb6_1_ave	eb7_1	eb7_1_ave	eb8_1	eb8_1_ave	githash	model	mu	mu_1_ave	mu_ave	n_1	sb1_1	sb1_1_ave	sb2_1	sb2_1_ave	sb3_1	sb3_1_ave	sb4_1	sb4_1_ave	sb5_1	sb5_1_ave	sb6_1	sb6_1_ave	sb7_1	sb7_1_ave	sb8_1	sb8_1_ave	script	sector_1	t	t_1_ave	t_ave	tb1_1	tb1_1_ave	tb2_1	tb2_1_ave	tb3_1	tb3_1_ave	tb4_1	tb4_1_ave	tb5_1	tb5_1_ave	tb6_1	tb6_1_ave	tb7_1	tb7_1_ave	tb8_1	tb8_1_ave	time	tp	tp_1_ave	tp_ave	version	
4	Broyden	0	-0.04334742796	-14.43537509	-1.172865801	Y	13.50801666	0.01639571304	self-energy/D	sharp_wc_2_b_35	0.06125559029	0.391753689	0.6867631307	0.1856770552	-0.6110684205	1.656620753	0.07790530378	0.9943695996	-0.07864514011	1.025632439	-0.6104383996	1.65570346	0.3614766776	0.1088576838	-0.1364735291	1.988477309	a248bdd	2x2_2C_8b_C2v_L	2.348295304	0.7929541843	0.7825356671	0.9999999998425787	-0.001112509791	0.006181625434	0.5643444396	-0.7256270097	-0.008366741391	-0.18662415	-0.04849617209	0.9591952568	0.1911548617	-1.502218266	0.008447929948	0.1880311095	0.1935470347	-1.217826824	0.1302028456	-0.1798574854	run_optim.py	R0:S0:1	1	-0.5220258096	-0.9723003356	-0.23225642	1.730161558	-4.661924549e-05	-0.0005896136863	0.4206325509	-2.032278284	0.191196748	-1.519430914	-0.04990882356	0.9733403186	0.4204662877	-2.034840408	0.00012703147	-7.050157471e-05	-0.0001265176836	0.00101653481	2024-12-12@08:15	0.492197596	-0.115589373	-0.4074897296	v2.7.1	
4	Broyden	0	-0.04332855498	-14.42223727	-1.171167759	Y	13.55801666	0.01627478513	self-energy/D	sharp_wc_2_b_35	0.0612104452	0.3919117934	0.6861161379	0.1856323612	-0.6092601095	1.656243838	0.0781345545	0.9879766933	-0.07831774858	1.016131044	-0.609248702	1.656043958	0.3583108267	0.1089961271	-0.1358220239	1.988393679	a248bdd	2x2_2C_8b_C2v_L	2.348295304	0.7929376596	0.7824343221	0.9999999998262706	-0.0003682826915	0.001981985972	0.5639844398	-0.7251541561	-0.008299912255	-0.1875390752	-0.04866658875	0.9614173828	0.1912025719	-1.509638517	0.008299524786	0.1879473261	0.1929739379	-1.216714771	0.130010938	-0.1803141118	run_optim.py	R0:S0:1	1	-0.5211514153	-0.9708339479	-0.2322340236	1.729528135	-9.254665269e-05	0.0002201819564	0.4200941062	-2.031446059	0.1911791191	-1.513052498	-0.04893446219	0.9642475328	0.4201184933	-2.031995134	-4.077033238e-05	5.569483122e-05	-0.0001019409018	0.0008493654293	2024-12-12@08:22	0.492197596	-0.1154286395	-0.4070190766	v2.7.1	
1	Broyden	0	-0.04365903266	-14.49237389	-1.166264938	Y	13.50801666	0.01645063085	self-energy/D	sharp_wc_2_b_35	0.05970071026	0.3852937833	0.6898234363	0.181919439	-0.6124937343	1.658466654	0.07649920837	1.007241156	-0.07640609063	0.9900871737	-0.6126284209	1.658637577	0.358081182	0.1088718525	-0.1357933847	1.988497236	a248bdd	2x2_2C_8b_C2v_L	2.368295304	0.7960259512	0.7853789983	0.99999999977937	0.0001434449317	-0.0008250725082	0.5639055369	-0.7150570297	-0.007830570138	-0.1849780369	-0.04818289484	0.9510138107	0.1900488295	-1.53255035	0.007891530844	0.1845237769	0.1926054262	-1.21226368	0.1294832701	-0.1802868252	run_optim.py	R0:S0:1	1	-0.5199281629	-0.9674152853	-0.2309650414	1.716207181	-3.732620487e-05	0.0002945981228	0.4201452387	-2.017927703	0.1900407063	-1.53024102	-0.0480267927	0.9492740192	0.4201654239	-2.01747464	-7.302753186e-05	8.003762051e-05	-1.273885148e-06	5.085578643e-06	2024-12-12@08:25	0.492197596	-0.1143046577	-0.4040037064	v2.7.1	
4	Broyden	0	-0.04198392662	-14.47082057	-1.190821531	Y	13.50801666	0.01650935216	self-energy/D	sharp_wc_2_b_35	0.06179040389	0.4014349134	0.688255252	0.1928466092	-0.6130279307	1.652689749	0.07929339678	0.9916344346	-0.07947181993	1.012756118	-0.6129431281	1.65242569	0.3749616596	0.1074839558	-0.1292950065	1.989382305	a248bdd	2x2_2C_8b_C2v_L	2.348295304	0.7898236757	0.7789954016	0.9999999997798632	-0.0003575157352	0.001939278645	0.5724222453	-0.7429849631	-0.008193258373	-0.1888187754	-0.04768549117	0.954245678	0.1937708141	-1.505680101	0.008146023158	0.1894150028	0.1944008432	-1.222129893	0.125740576	-0.1719691716	run_optim.py	R0:S0:1	1	-0.5245654725	-0.9763690406	-0.234971564	1.743651495	-7.404708482e-05	0.0001334185523	0.4252738116	-2.056715072	0.1937602802	-1.509405581	-0.0479323293	0.9569523094	0.4252870301	-2.057427318	-6.590812202e-05	7.306868314e-05	-0.000148034558	0.001278768008	2024-12-12@08:32	0.512197596	-0.1181315377	-0.4186909358	v2.7.1	
1	Broyden	0	-0.04543932844	-14.42233994	-1.149356358	Y	13.54134999	0.01623502035	self-energy/D	sharp_wc_2_b_35	0.0593578082	0.3777601712	0.6865228329	0.1761742095	-0.6074174677	1.660753539	0.07692077088	0.9822063443	-0.07667539251	1.01158557	-0.607588274	1.66102936	0.3509168857	0.1096757196	-0.1416155132	1.987708672	a248bdd	2x2_2C_8b_C2v_L	2.361628637	0.7982234976	0.7881091532	0.9999999997990258	0.0003986220095	-0.002185244237	0.5555173294	-0.700958114	-0.008358474763	-0.1867565357	-0.04981208742	0.9702485179	0.1881239258	-1.524497635	0.008337281035	0.1862885414	0.1925662408	-1.206685026	0.1340313327	-0.1873434007	run_optim.py	R0:S0:1	1	-0.5175102032	-0.9637233359	-0.2284669353	1.705701382	3.47663758e-05	9.006599167e-05	0.4148891592	-1.998535413	0.1881157375	-1.51910226	-0.04937082202	0.9656841516	0.4149348039	-1.997758826	-0.0003230792688	0.000352739444	-0.0002116013798	0.001740853607	2024-12-12@08:35	0.472197596	-0.1119633891	-0.3931257249	v2.7.1	
3	Broyden	0	-0.04834623043	-14.42493591	-1.128997471	Y	13.55801666	0.01609346462	self-energy/D	sharp_wc_2_b_35	0.05837251155	0.364425271	0.6864454588	0.1674431983	-0.6089644774	1.665696227	0.0777298411	0.939645028	-0.07733657623	1.051782078	-0.6084834032	1.665915563	0.3396437018	0.1108788465	-0.1506796067	1.986808735	a248bdd	2x2_2C_8b_C2v_L	2.368295304	0.8023589349	0.7931233744	0.9999999997833278	0.0006990650719	-0.003792739309	0.5473737751	-0.6784648609	-0.00927835415	-0.1883155559	-0.05393546218	1.009993045	0.1853483224	-1.507416847	0.009363035047	0.187359224	0.1914799377	-1.198751987	0.1389032077	-0.1956425275	run_optim.py	R0:S0:1	1	-0.5141707084	-0.9574412325	-0.2248626	1.683429983	7.047099854e-05	8.863740966e-05	0.4100423737	-1.966795474	0.1853375699	-1.499776908	-0.05330416232	1.003722505	0.4099358781	-1.966021832	-0.0001848360666	0.0002425318389	4.997075e-05	-0.000442329361	2024-12-12@08:41	0.452197596	-0.1091503508	-0.3793833486	v2.7.1	
1	Broyden	0	-0.04675007797	-14.46744688	-1.140638873	Y	13.49134999	0.01634752188	self-energy/D	sharp_wc_2_b_35	0.0582232067	0.369321622	0.6889209729	0.1711386692	-0.6101258787	1.663301942	0.07661098613	0.9687494461	-0.07599984481	1.016834594	-0.6106122272	1.663974415	0.3455978401	0.1101440025	-0.1446517318	1.987426929	a248bdd	2x2_2C_8b_C2v_L	2.374961971	0.8013458108	0.7915562929	0.999999999834398	0.0009153717426	-0.005019150151	0.5529169043	-0.6878396187	-0.008682800799	-0.1860037052	-0.05175453694	0.9864361959	0.1864918587	-1.527885981	0.008633520281	0.1848462615	0.1917810607	-1.202327392	0.1353028883	-0.1902067017	run_optim.py	R0:S0:1	1	-0.5161772194	-0.9604785982	-0.2265754834	1.690649398	5.403880026e-05	0.0003410643523	0.4133429846	-1.982060827	0.1864722306	-1.515175333	-0.05073816585	0.9758207877	0.4134561435	-1.980173117	-0.0002725219526	0.0002847654587	-2.409449524e-05	0.0002047555307	2024-12-12@08:44	0.4655309293	-0.1105266458	-0.386999582	v2.7.1	
4	Broyden	0	-0.05004930725	-14.52112287	-1.118212878	Y	13.53023888	0.01620183023	self-energy/D	sharp_wc_2_b_35	0.05676882706	0.3528220084	0.6914956065	0.1608727806	-0.6161583087	1.670799515	0.07657753914	0.9375160505	-0.07678068619	1.065897662	-0.6156896512	1.670502142	0.3415368444	0.1104445739	-0.152588349	1.986943505	a248bdd	2x2_2C_8b_C2v_L	2.392739748	0.8066514586	0.7977753643	0.9999999997877658	-0.0002923848512	0.001542842006	0.5456359104	-0.6607360412	-0.009611162927	-0.1854438942	-0.05577975381	1.021533789	0.1833395197	-1.504844264	0.009606370304	0.1859396589	0.1913594732	-1.18981975	0.1392910399	-0.1964768062	run_optim.py	R0:S0:1	1	-0.5118808156	-0.951544928	-0.2225288304	1.660880346	-7.892009947e-05	0.00021806606	0.409139985	-1.939627942	0.1833177614	-1.507877704	-0.0559663308	1.023691967	0.4090689378	-1.940363137	-0.0001263969572	0.0001939955108	-0.0001325738432	0.00100553847	2024-12-12@08:50	0.4477531516	-0.107365077	-0.3722317734	v2.7.1	
4	Broyden	0	-0.05445768114	-14.58232456	-1.090141377	Y	13.54134999	0.0160991086	self-energy/D	sharp_wc_2_b_35	0.05542228312	0.3325106931	0.6937589581	0.1483897482	-0.6215101169	1.681251907	0.07678388397	0.8990479833	-0.07698898082	1.103600893	-0.6214366623	1.681090819	0.334026986	0.1104900613	-0.1623233616	1.986248818	a248bdd	2x2_2C_8b_C2v_L	2.414961971	0.8139319533	0.8058948956	0.9999999997924266	-0.0002161858646	0.001126796409	0.5361336326	-0.6277135202	-0.0106160796	-0.1851445875	-0.06045592928	1.061483366	0.1795974312	-1.496102475	0.01049174024	0.1859582338	0.1902346556	-1.170945958	0.1443768412	-0.2048827746	run_optim.py	R0:S0:1	1	-0.5064609979	-0.9398734449	-0.2175473774	1.622196101	-2.330160354e-05	2.258360081e-05	0.4030502764	-1.881604583	0.1795601504	-1.498359	-0.06058404337	1.063067771	0.4030503998	-1.882008646	-0.0001541103687	0.0001706111608	-0.0002560011294	0.001986093911	2024-12-12@08:57	0.4255309293	-0.1029638939	-0.3531304574	v2.7.1	
5	Broyden	0	-0.05740244173	-14.50920413	-1.072648898	Y	13.5524611	0.01590204773	self-energy/D	sharp_wc_2_b_35	0.05608866136	0.3248308694	0.6885248834	0.1428188111	-0.6164153278	1.686643077	0.07876189971	0.8641233545	-0.07877400972	1.135605561	-0.6161126044	1.686540092	0.3223721039	0.1114804223	-0.173581162	1.985055151	a248bdd	2x2_2C_8b_C2v_L	2.40385086	0.816587195	0.8091015523	0.9999999997949136	6.409981708e-05	-0.0003482712224	0.5265930259	-0.6137249009	-0.01164428824	-0.1874931899	-0.06291371225	1.087785579	0.1780643196	-1.48278109	0.01166121236	0.1875287796	0.1892767926	-1.162845151	0.1510544726	-0.214985628	run_optim.py	R0:S0:1	1	-0.5038238337	-0.9355862873	-0.2147584666	1.60944291	-4.688159283e-06	6.810649904e-05	0.396635278	-1.851224735	0.1780415732	-1.482475393	-0.0628488069	1.087347827	0.3965947016	-1.851431313	-0.0001946304726	0.0002488528289	-0.0001581598633	0.001163416005	2024-12-12@09:04	0.4033087071	-0.1001660701	-0.3398454034	v2.7.1	
