CDMFT_iterations	CDMFT_method	D	D_ave	E0_1	E_kin	GS_consistency	U	U_1_ave	convergence	dist_function	eb1_1	eb1_1_ave	eb2_1	eb2_1_ave	eb3_1	eb3_1_ave	eb4_1	eb4_1_ave	eb5_1	eb5_1_ave	eb6_1	eb6_1_ave	eb7_1	eb7_1_ave	eb8_1	eb8_1_ave	githash	model	mu	mu_1_ave	mu_ave	n_1	sb1_1	sb1_1_ave	sb2_1	sb2_1_ave	sb3_1	sb3_1_ave	sb4_1	sb4_1_ave	sb5_1	sb5_1_ave	sb6_1	sb6_1_ave	sb7_1	sb7_1_ave	sb8_1	sb8_1_ave	script	sector_1	t	t_1_ave	t_ave	tb1_1	tb1_1_ave	tb2_1	tb2_1_ave	tb3_1	tb3_1_ave	tb4_1	tb4_1_ave	tb5_1	tb5_1_ave	tb6_1	tb6_1_ave	tb7_1	tb7_1_ave	tb8_1	tb8_1_ave	time	tp	tp_1_ave	tp_ave	version	
7	Broyden	0	-0.09990085359	-7.89476471	-1.070405347	Y	7.5	0.0318388631	self-energy/D	sharp_wc_2_b_35	0.3482320158	0.2733839338	0.1357325151	0.02904754594	0.800937786	0.1874430782	0.1467936561	0.4801306929	0.1468279301	0.4801706762	0.8009933521	0.1873847155	0.7801573821	0.06218061913	0.1079409079	0.09564807834	a248bdd	2x2_2C_8b_C2v_L	1.3	0.8537922124	0.8634629787	0.9999999998174522	-3.38470639e-06	1.439589469e-05	0.1383676809	-0.3496030124	-0.03507524094	-0.1587674268	-0.1509372455	1.427056496	-0.1509286953	1.426915868	-0.03512167853	-0.1585483332	7.313978745e-06	-3.250959031e-05	0.1743582352	-0.9289929248	run_optim.py	R0:S0:1	1	-0.5716584369	-1.023847919	0.2233042455	-1.991242173	1.04330577e-06	-4.645337105e-06	-0.4107833384	1.396995357	0.1102781137	-1.207775213	-0.1103535984	1.208205201	0.4107416933	-1.396788626	0.5342212276	-0.4625327968	-5.598863517e-06	5.62622201e-06	2024-12-09@18:26	-0.4	-0.00816255083	0.1163935705	v2.7.1	
7	Broyden	0	-0.09906376687	-7.886036606	-1.067695455	Y	7.55	0.0313918993	self-energy/D	sharp_wc_2_b_35	0.3474586435	0.2739760454	0.1355174437	0.02903749702	0.7974405016	0.1872682408	0.1461848557	0.4803249744	0.1462318192	0.4803444745	0.797460047	0.1872184178	0.7777413544	0.06233269452	0.1075388886	0.09588397215	a248bdd	2x2_2C_8b_C2v_L	1.3	0.8531662168	0.8627737785	0.9999999997944273	2.293262219e-06	2.048903626e-05	0.1381464458	-0.3495486615	-0.03517058475	-0.1570994791	-0.1507669966	1.424426641	-0.1507645569	1.424299138	-0.03521292374	-0.1569215789	-2.325142213e-05	6.970661563e-05	0.1742455431	-0.9280157285	run_optim.py	R0:S0:1	1	-0.5698379179	-1.02113964	0.2231168566	-1.989937196	-7.839064496e-06	0.0001363747479	-0.4099770557	1.395010067	0.1098897075	-1.20354303	-0.1099568361	1.203896925	0.4099374365	-1.39482348	0.5332465942	-0.4640919946	4.024753179e-05	-8.237441363e-05	2024-12-09@18:33	-0.4	-0.008107725201	0.1163895366	v2.7.1	
6	Broyden	0	-0.1006475501	-7.964791927	-1.069533595	Y	7.5	0.03212239272	self-energy/D	sharp_wc_2_b_35	0.3436476287	0.2712478933	0.1382900173	0.0295011589	0.8047028249	0.183603035	0.151745357	0.4721151346	0.1518344069	0.4721118182	0.8047334246	0.1835556225	0.7792334222	0.061408796	0.1166003948	0.0955094523	a248bdd	2x2_2C_8b_C2v_L	1.32	0.8561015263	0.8657747138	0.9999999998261995	-5.297190617e-06	5.058661648e-05	0.1395908821	-0.3504831958	-0.03624628186	-0.1564815576	-0.152837147	1.418354813	-0.152849827	1.418266349	-0.03629010405	-0.1563363362	-9.523683792e-06	2.652386668e-05	0.1777100284	-0.9333625515	run_optim.py	R0:S0:1	1	-0.5717844514	-1.022521017	0.2220302325	-1.980861183	-4.213178049e-06	0.0001020451061	-0.4095153516	1.385091876	0.1124428383	-1.208125734	-0.1125055462	1.208393309	0.4094887312	-1.384915826	0.5332831334	-0.4616537492	1.516021295e-05	-3.181043029e-05	2024-12-09@18:39	-0.4	-0.008096341709	0.1175314436	v2.7.1	
7	Broyden	0	-0.1031539802	-7.89599281	-1.070499163	Y	7.5	0.0318653014	self-energy/D	sharp_wc_2_b_35	0.3335347226	0.2790247806	0.1524866793	0.03302572528	0.791334754	0.1864585965	0.1524706703	0.4800671826	0.1525223504	0.4800880617	0.7913678476	0.1864083519	0.7757092917	0.06095139214	0.1118090151	0.09566466699	a248bdd	2x2_2C_8b_C2v_L	1.3	0.8522138415	0.8621167	0.9999999998208611	-4.966396248e-06	3.254922867e-05	0.1479708089	-0.3714633187	-0.03628707302	-0.1597501616	-0.1543615568	1.446595925	-0.1543587233	1.446470072	-0.03633271667	-0.1595615073	-5.010263916e-06	1.232369893e-05	0.17480592	-0.9358076416	run_optim.py	R0:S0:1	1	-0.5737873111	-1.031470362	0.2239061048	-2.000721716	-1.574686634e-06	4.507577903e-05	-0.406133345	1.391150019	0.1104107098	-1.209059872	-0.1104781178	1.209421816	0.406096716	-1.39096775	0.5277010497	-0.4553862174	5.594074538e-06	-1.364984618e-05	2024-12-09@18:46	-0.38	-0.01047547319	0.1027073719	v2.7.1	
3	Broyden	0	-0.1035995681	-7.952293933	-1.072498868	Y	7.45	0.03251524078	self-energy/D	sharp_wc_2_b_35	0.3368598257	0.274730854	0.1488644162	0.03190376096	0.8046613455	0.1830525345	0.1559998341	0.4737998764	0.1560527795	0.4738272215	0.8046986796	0.18299865	0.7808629092	0.06053960056	0.1184494794	0.09522345205	a248bdd	2x2_2C_8b_C2v_L	1.313333333	0.8549907705	0.8648195314	0.9999999997335485	-2.030679484e-06	2.187915478e-05	0.145825522	-0.3642291335	-0.03724947212	-0.1570715006	-0.1549390392	1.435681908	-0.1549373728	1.435565142	-0.03729583244	-0.1568733784	1.397731717e-05	-5.3648616e-05	0.1776203235	-0.9383433612	run_optim.py	R0:S0:1	1	-0.575030259	-1.030729535	0.2231746271	-1.991668812	-2.482841948e-06	5.067509429e-05	-0.4077842923	1.383109405	0.1132848743	-1.217319333	-0.1133555625	1.217685032	0.4077452726	-1.382910752	0.5306516158	-0.4554426735	-1.777561285e-05	2.768620253e-05	2024-12-09@18:50	-0.3866666667	-0.009767747935	0.1080241388	v2.7.1	
3	Broyden	0	-0.1055937122	-7.983945289	-1.075017927	Y	7.4	0.03307180366	self-energy/D	sharp_wc_2_b_35	0.3307752496	0.275461742	0.1560054849	0.03347059819	0.804465377	0.1820971953	0.1593108854	0.4721383681	0.1593688692	0.4721609917	0.8045057377	0.1820460902	0.7818269516	0.05981515456	0.1216168748	0.09500009416	a248bdd	2x2_2C_8b_C2v_L	1.32	0.8558606804	0.8658437567	0.9999999998538619	-4.735234224e-06	3.023257343e-05	0.1497372296	-0.3720041645	-0.03779745224	-0.1581800545	-0.1566293899	1.442556904	-0.1566309359	1.442457801	-0.03784252646	-0.1579942872	1.319955471e-05	-5.048300344e-05	0.1784583571	-0.9423098256	run_optim.py	R0:S0:1	1	-0.5775527511	-1.0354878	0.2229857217	-1.99221725	-9.25012212e-07	3.350976903e-05	-0.4064403759	1.380607076	0.1140453026	-1.221214098	-0.1141111424	1.221542179	0.4064067645	-1.380419418	0.5291140671	-0.4514239217	-1.751505639e-05	2.726257268e-05	2024-12-09@18:53	-0.38	-0.01046498713	0.1040266501	v2.7.1	
6	Broyden	0	-0.106394968	-8.002054458	-1.072954174	Y	7.433333333	0.03287111061	self-energy/D	sharp_wc_2_b_35	0.3251589483	0.2766076205	0.1623150322	0.03487530798	0.7988467645	0.1806413412	0.1626357133	0.4694076282	0.1626850892	0.4694817171	0.7988537267	0.1805722069	0.778652706	0.05921011066	0.1260458095	0.0950616837	a248bdd	2x2_2C_8b_C2v_L	1.326666667	0.8556685326	0.8656482651	0.9999999998573049	-1.892310942e-06	2.000493465e-05	0.1532167872	-0.3787076119	-0.03853777322	-0.15737733	-0.1584258864	1.444701623	-0.1584079653	1.444454307	-0.03862247014	-0.1570065832	1.414279057e-06	-1.585756809e-05	0.1798095849	-0.945464739	run_optim.py	R0:S0:1	1	-0.5771302433	-1.035673085	0.2228161778	-1.9904467	-4.701626698e-06	7.422895636e-05	-0.4038239934	1.373970377	0.1143826268	-1.217809742	-0.1144993074	1.218504899	0.4037491723	-1.373723763	0.5259866306	-0.4496839437	1.045705478e-06	-8.926625621e-06	2024-12-09@18:59	-0.3733333333	-0.01125024784	0.09986005897	v2.7.1	
4	Broyden	0	-0.109371299	-8.054432966	-1.074317315	Y	7.4	0.0333789311	self-energy/D	sharp_wc_2_b_35	0.3145458413	0.2780295556	0.1762466456	0.03786654788	0.7920479613	0.1786931386	0.1690648976	0.4657628173	0.1691278137	0.4657995373	0.7920957561	0.1786277316	0.7773220579	0.05799087365	0.1326872175	0.09492873691	a248bdd	2x2_2C_8b_C2v_L	1.34	0.8565409905	0.8665707943	0.9999999998461203	-4.73238679e-06	1.447232672e-05	0.1607955856	-0.3925643764	-0.03977276766	-0.1578954326	-0.1617495419	1.454320987	-0.1617543206	1.454238846	-0.03982330159	-0.1576671594	-4.307023756e-07	-4.82016928e-06	0.1816468952	-0.9525007297	run_optim.py	R0:S0:1	1	-0.5798148608	-1.041323237	0.2225019797	-1.988471419	4.872351959e-06	-4.951681397e-05	-0.3998522232	1.36655897	0.1155219746	-1.22000558	-0.1156011657	1.220378701	0.3998100467	-1.366314119	0.521832514	-0.4439070077	7.899643363e-06	-1.76320305e-05	2024-12-09@19:04	-0.36	-0.01274727956	0.09165021852	v2.7.1	
2	Broyden	0	-0.1116507307	-7.99277867	-1.077860831	Y	7.366666667	0.03343141111	self-energy/D	sharp_wc_2_b_35	0.3106507267	0.2834636519	0.1863588464	0.04030388548	0.7860018192	0.1808194783	0.1702151804	0.4737749049	0.1703150778	0.4737726527	0.7860493746	0.1807638542	0.7765928488	0.05781908766	0.1279902511	0.09508102662	a248bdd	2x2_2C_8b_C2v_L	1.32	0.8534392491	0.8636660858	0.9999999999039832	1.490850694e-05	-0.0001258977172	0.1666629102	-0.4064060676	-0.04008101228	-0.1599823792	-0.1630196304	1.481046651	-0.1630522257	1.481106321	-0.04008926285	-0.1599349285	-1.162094623e-05	5.81767179e-05	0.179161231	-0.9550653904	run_optim.py	R0:S0:1	1	-0.5824155615	-1.049765227	0.2243309711	-2.005622024	2.660921254e-05	-0.0003889024914	-0.3983541047	1.372007677	0.1144618665	-1.2264089	-0.1145118034	1.226503662	0.3983346148	-1.371789145	0.5188848893	-0.439003629	2.507657567e-05	-3.111388005e-05	2024-12-09@19:07	-0.3466666667	-0.01457929441	0.08104501188	v2.7.1	
2	Broyden	0	-0.1173384843	-8.008581308	-1.08321878	Y	7.3	0.0341123491	self-energy/D	sharp_wc_2_b_35	0.2987139902	0.2882352361	0.2118178037	0.04574955433	0.7737927525	0.1792220974	0.1809976349	0.476089081	0.1810602751	0.4761135603	0.7738023571	0.1791754923	0.7745561545	0.05622224289	0.1328959747	0.09508900624	a248bdd	2x2_2C_8b_C2v_L	1.32	0.8518224677	0.8621131094	0.9999999997993617	-4.789205895e-06	1.607672572e-05	0.1810211501	-0.4318420313	-0.0423488911	-0.1609606135	-0.1689399725	1.518216999	-0.1689467562	1.518125891	-0.04238952025	-0.1607828047	7.07052935e-07	-7.376729901e-06	0.1796897924	-0.966581981	run_optim.py	R0:S0:1	1	-0.5879810351	-1.063349944	0.2258624954	-2.014668742	5.006830039e-06	-4.512995368e-05	-0.3922047308	1.363787687	0.1154222269	-1.234957623	-0.1154916088	1.235292196	0.3921665654	-1.363616149	0.5114462193	-0.4282100824	6.365593074e-06	-1.427824602e-05	2024-12-09@19:09	-0.32	-0.01820530923	0.06209011434	v2.7.1	
