CDMFT_iterations	CDMFT_method	D	D_ave	E0_1	E_kin	GS_consistency	U	U_1_ave	convergence	dist_function	eb1_1	eb1_1_ave	eb2_1	eb2_1_ave	eb3_1	eb3_1_ave	eb4_1	eb4_1_ave	eb5_1	eb5_1_ave	eb6_1	eb6_1_ave	eb7_1	eb7_1_ave	eb8_1	eb8_1_ave	githash	model	mu	mu_1_ave	mu_ave	n_1	sb1_1	sb1_1_ave	sb2_1	sb2_1_ave	sb3_1	sb3_1_ave	sb4_1	sb4_1_ave	sb5_1	sb5_1_ave	sb6_1	sb6_1_ave	sb7_1	sb7_1_ave	sb8_1	sb8_1_ave	script	sector_1	t	t_1_ave	t_ave	tb1_1	tb1_1_ave	tb2_1	tb2_1_ave	tb3_1	tb3_1_ave	tb4_1	tb4_1_ave	tb5_1	tb5_1_ave	tb6_1	tb6_1_ave	tb7_1	tb7_1_ave	tb8_1	tb8_1_ave	time	tp	tp_1_ave	tp_ave	version	
2	Broyden	0	-0.1153997365	-9.385929016	-1.07801587	Y	7	0.04281957655	self-energy/D	sharp_wc_2_b_35	0.2858409299	0.2107216786	0.1800364995	0.03486430123	0.2279459125	0.364532875	0.9018399939	0.1299992438	0.9019554712	0.1299629693	0.2280650555	0.3645492367	0.232707873	0.08680943879	0.8517985773	0.04681461903	a248bdd	2x2_2C_8b_C2v_L	1.7	0.9037492173	0.9134440426	0.9999999998000657	-0.0004355982295	0.0007402684744	-0.1634612297	0.340936002	0.1821379118	-1.316201272	0.04949794778	0.1254781736	-0.04954389296	-0.1253383342	-0.1821751926	1.316293082	-0.2215258348	0.9778526014	0.000110016688	-0.0003472916566	run_optim.py	R0:S0:1	1	-0.5978264268	-1.023077814	0.1967657601	-1.730990583	-0.0004192112756	0.004408472578	-0.1403782167	1.182810628	0.3932102001	-1.21025917	0.3932176788	-1.210105631	-0.140414947	1.182847236	0.0001520451032	-0.0001984341138	0.5307560101	-0.4215517379	2024-12-09@18:22	-0.4	-0.007681838785	0.1373451385	v2.7.1	
4	Broyden	0	-0.1143603347	-9.374952262	-1.074516526	Y	7.05	0.04218504105	self-energy/D	sharp_wc_2_b_35	0.2841177063	0.2115961316	0.1794478152	0.03503781543	0.2278046183	0.3639616186	0.8963465995	0.129406124	0.8964680206	0.1293667987	0.2278933153	0.3639833381	0.2325711457	0.08694332733	0.8469727356	0.04684119437	a248bdd	2x2_2C_8b_C2v_L	1.7	0.9030487852	0.9126957966	0.9999999998074534	-0.0004706699688	0.000809627743	-0.1632228323	0.3416312909	0.1822059106	-1.311503623	0.05005138565	0.1221729376	-0.05009926276	-0.1220156967	-0.1822323732	1.311568587	-0.2217210271	0.9759001213	-0.0001314967435	0.0004094891272	run_optim.py	R0:S0:1	1	-0.5956520672	-1.019719998	0.1964981965	-1.730716552	-0.000452955707	0.004751857449	-0.1404550363	1.179423819	0.3916600688	-1.206213379	0.3916609287	-1.206045704	-0.1404956312	1.179507831	-0.0001743207707	0.0002152044046	0.5289959241	-0.4227522262	2024-12-09@18:26	-0.4	-0.00775395185	0.1369913199	v2.7.1	
2	Broyden	0	-0.1153515313	-9.455590824	-1.076652173	Y	7	0.04310258045	self-energy/D	sharp_wc_2_b_35	0.2830254691	0.2072622342	0.181983521	0.03502355464	0.2318620361	0.3598072849	0.9055494111	0.1270784916	0.9056448057	0.1270440515	0.2319572757	0.3598257323	0.2367755731	0.08636070658	0.8546484536	0.04618947565	a248bdd	2x2_2C_8b_C2v_L	1.72	0.9057695969	0.9154632994	0.9999999998412447	-0.0004111244425	0.0007017858915	-0.1647347604	0.339475931	0.183684538	-1.309762044	0.0506141444	0.1206227241	-0.05066330319	-0.1204695537	-0.1837084516	1.309809816	-0.2232612725	0.9779482435	-2.845549453e-05	8.729633396e-05	run_optim.py	R0:S0:1	1	-0.5983604933	-1.021399274	0.19500897	-1.714066501	-0.0003919981624	0.004073884183	-0.1415871343	1.178289645	0.3914559639	-1.198322309	0.3914535149	-1.198172181	-0.141626792	1.178377294	-3.315102938e-05	3.638929074e-05	0.5296387368	-0.4198635062	2024-12-09@18:28	-0.4	-0.007767484966	0.1381322478	v2.7.1	
6	Broyden	0	-0.1175036542	-9.379963652	-1.075964771	Y	7	0.0427616766	self-energy/D	sharp_wc_2_b_35	0.2754348845	0.2134128938	0.1959530428	0.03803974954	0.2317149587	0.3657416438	0.8883855796	0.1285915156	0.8884762283	0.1285514745	0.2317970824	0.3657741433	0.2321299999	0.08663955923	0.8443159792	0.04596162463	a248bdd	2x2_2C_8b_C2v_L	1.7	0.9028972974	0.9124164882	0.999999999869995	-0.0007187842449	0.001267346897	-0.1723865533	0.3547808497	0.1845034005	-1.326820983	0.05108810694	0.1209743542	-0.05114335183	-0.1207837624	-0.1845288698	1.326884833	-0.2200576078	0.978934407	-7.819573731e-06	1.90455993e-05	run_optim.py	R0:S0:1	1	-0.5995199125	-1.028121411	0.196984006	-1.731916304	-0.0006968210213	0.006969549411	-0.1405093197	1.185991524	0.3872552567	-1.202430014	0.3872485275	-1.202256451	-0.1405543955	1.186104862	-9.087549685e-06	6.714440005e-06	0.5230005172	-0.415722095	2024-12-09@18:34	-0.38	-0.009466341002	0.125903579	v2.7.1	
2	Broyden	0	-0.117834678	-9.439907425	-1.079180171	Y	6.95	0.0436207777	self-energy/D	sharp_wc_2_b_35	0.2799659514	0.2090785266	0.1925602999	0.03668799103	0.2330669354	0.3628376964	0.9000554777	0.1278592743	0.9001718093	0.1278170072	0.2331597148	0.3628557352	0.2344999468	0.08627377777	0.8530287198	0.04587190291	a248bdd	2x2_2C_8b_C2v_L	1.713333333	0.9052342174	0.9148174242	0.999999999845887	-0.0006318074498	0.001105440118	-0.1704013429	0.3477020051	0.1845238187	-1.323259662	0.05074817233	0.1225546068	-0.05079813657	-0.1223909134	-0.1845505217	1.323326252	-0.2212749713	0.9803269918	-0.0002125001106	0.0006664051153	run_optim.py	R0:S0:1	1	-0.6015122371	-1.028707229	0.1963664825	-1.720934283	-0.0006044468282	0.006085094032	-0.1413077775	1.185824334	0.389642548	-1.201760949	0.3896403472	-1.201571098	-0.141349846	1.18590077	-0.0002824404055	0.0003503948692	0.5267305072	-0.415543375	2024-12-09@18:37	-0.3866666667	-0.008834915025	0.1305334715	v2.7.1	
2	Broyden	0	-0.1195802913	-9.473155375	-1.081654981	Y	6.9	0.04436239587	self-energy/D	sharp_wc_2_b_35	0.2774669596	0.2080799941	0.1991920555	0.03753647181	0.2354943526	0.3633140145	0.9039486664	0.126854079	0.9040337979	0.1268286045	0.2355884374	0.3633299291	0.2352163211	0.08607506848	0.8568947778	0.04543982265	a248bdd	2x2_2C_8b_C2v_L	1.72	0.9063081701	0.9158361825	0.9999999998294041	-0.0006616715371	0.001146655852	-0.1739444985	0.3508074926	0.1855784912	-1.330237121	0.05136666386	0.1214955356	-0.05140635793	-0.1213760266	-0.1856096917	1.330305843	-0.2210492463	0.983186085	8.115023936e-05	-0.0002602973677	run_optim.py	R0:S0:1	1	-0.604365178	-1.03326136	0.1962234229	-1.716441852	-0.0006366491075	0.006313043247	-0.1420073758	1.191184129	0.3888244118	-1.19868645	0.3888320937	-1.198581687	-0.1420373222	1.191223326	0.0001116767356	-0.0001456590962	0.5258754206	-0.4122172837	2024-12-09@18:39	-0.38	-0.009307183408	0.1273516333	v2.7.1	
1	Broyden	0	-0.1197131286	-9.370284187	-1.080614467	Y	6.933333333	0.04352203907	self-energy/D	sharp_wc_2_b_35	0.2769927345	0.2138404023	0.2012746822	0.03858626998	0.2325924294	0.3689506569	0.8892437453	0.1296456428	0.8893660749	0.1296051534	0.2326902825	0.3689670321	0.231049893	0.08658682305	0.8471666672	0.04586879656	a248bdd	2x2_2C_8b_C2v_L	1.693333333	0.9028410064	0.9123466264	0.9999999998808112	-0.0008245857325	0.001472229438	-0.175283637	0.3580357439	0.1848321248	-1.339598993	0.05096425364	0.1240064919	-0.05101410187	-0.1238461079	-0.1848595031	1.339656349	-0.21889749	0.982437748	-0.0001856415491	0.0005871509219	run_optim.py	R0:S0:1	1	-0.60290473	-1.035011825	0.1983769301	-1.738145297	-0.0007962169599	0.007851653413	-0.1405943229	1.195205465	0.3874973879	-1.208010236	0.3874984439	-1.207835406	-0.1406366731	1.195289584	-0.0002468468373	0.0003074510745	0.5231661082	-0.4127874375	2024-12-09@18:42	-0.3733333333	-0.01001145499	0.1221499318	v2.7.1	
1	Broyden	0	-0.1220534333	-9.329581346	-1.083179522	Y	6.9	0.04375670143	self-energy/D	sharp_wc_2_b_35	0.2734710214	0.2175778203	0.2122120084	0.04056445463	0.2346253391	0.3746774992	0.8838165316	0.1301946644	0.8839093968	0.1301663188	0.2347303115	0.3746897214	0.2289747236	0.08690594489	0.8445541125	0.04570323282	a248bdd	2x2_2C_8b_C2v_L	1.68	0.9012464225	0.9107158908	0.999999999808684	-0.000979068051	0.001774549657	-0.1810458979	0.3681386436	0.1860147831	-1.357580138	0.05205385287	0.1226819288	-0.05209678424	-0.1225548091	-0.1860448488	1.357636726	-0.2171955175	0.9864564765	0.0001087594935	-0.0003547033557	run_optim.py	R0:S0:1	1	-0.6051460943	-1.042110777	0.1999450817	-1.751115538	-0.0009548936843	0.009196401238	-0.1409197655	1.207257332	0.3853970279	-1.209799338	0.3854039783	-1.209683642	-0.1409528347	1.207308625	0.0001507515935	-0.0001978553209	0.5200452657	-0.4092830008	2024-12-09@18:44	-0.36	-0.011181053	0.1140798461	v2.7.1	
2	Broyden	0	-0.1240998213	-9.402391845	-1.083246051	Y	6.866666667	0.04444260364	self-energy/D	sharp_wc_2_b_35	0.2664342791	0.2151573496	0.2250295055	0.04250036781	0.2395213266	0.3711573009	0.8725707996	0.1284356534	0.872684714	0.1283962702	0.2396170797	0.3711771005	0.23235663	0.08637274092	0.8451872558	0.04463834025	a248bdd	2x2_2C_8b_C2v_L	1.7	0.9031108281	0.9124095365	0.9999999998275324	-0.001519753445	0.002796048044	-0.1883579844	0.3738822756	0.1888623373	-1.362168913	0.05264702243	0.1220354069	-0.05269647555	-0.1218691823	-0.1888906877	1.362235369	-0.2176186269	0.9889919162	-2.681072694e-05	8.065645753e-05	run_optim.py	R0:S0:1	1	-0.6081621361	-1.045951466	0.198781111	-1.735160629	-0.001476122628	0.01370781571	-0.1407517232	1.202810613	0.3803648482	-1.201748566	0.3803662622	-1.201577534	-0.1407924011	1.202887539	-3.294387325e-05	3.710641553e-05	0.5152083734	-0.4035587918	2024-12-09@18:46	-0.3466666667	-0.01233664079	0.1075805319	v2.7.1	
2	Broyden	0	-0.1286860168	-9.413276363	-1.087053794	Y	6.8	0.04530391114	self-energy/D	sharp_wc_2_b_35	0.2612994435	0.2163910925	0.2470955252	0.0458400032	0.2466479079	0.3766972625	0.8617457577	0.126570809	0.8618308231	0.1265312645	0.2467418339	0.376719268	0.2324947566	0.08612302951	0.8403618217	0.04360286518	a248bdd	2x2_2C_8b_C2v_L	1.7	0.9026253156	0.9115625786	0.999999999834343	-0.00276931525	0.005204342281	-0.201069704	0.3875190043	0.1927420885	-1.390046395	0.05530586363	0.1160098127	-0.05535665179	-0.1158319054	-0.1927701177	1.390110562	-0.215695048	0.9949495098	-7.83149661e-06	2.130078125e-05	run_optim.py	R0:S0:1	1	-0.6134560661	-1.057500196	0.2005262726	-1.736624089	-0.002686194503	0.02373600757	-0.1418107374	1.217821597	0.3738364192	-1.192871276	0.3738315596	-1.19269148	-0.1418541512	1.217906844	-9.101941197e-06	9.458306844e-06	0.5070479795	-0.3946774279	2024-12-09@18:49	-0.32	-0.01477299236	0.0923549932	v2.7.1	
