CDMFT_iterations	CDMFT_method	D	D_ave	E0_1	E_kin	GS_consistency	U	U_1_ave	convergence	dist_function	eb1_1	eb1_1_ave	eb2_1	eb2_1_ave	eb3_1	eb3_1_ave	eb4_1	eb4_1_ave	eb5_1	eb5_1_ave	eb6_1	eb6_1_ave	eb7_1	eb7_1_ave	eb8_1	eb8_1_ave	githash	model	mu	mu_1_ave	mu_ave	n_1	sb1_1	sb1_1_ave	sb2_1	sb2_1_ave	sb3_1	sb3_1_ave	sb4_1	sb4_1_ave	sb5_1	sb5_1_ave	sb6_1	sb6_1_ave	sb7_1	sb7_1_ave	sb8_1	sb8_1_ave	script	sector_1	t	t_1_ave	t_ave	tb1_1	tb1_1_ave	tb2_1	tb2_1_ave	tb3_1	tb3_1_ave	tb4_1	tb4_1_ave	tb5_1	tb5_1_ave	tb6_1	tb6_1_ave	tb7_1	tb7_1_ave	tb8_1	tb8_1_ave	time	tp	tp_1_ave	tp_ave	version	
5	Broyden	0	-0.0868988096	-10.52971565	-0.9594106278	Y	8.5	0.03152480906	self-energy/D	sharp_wc_2_b_35	0.1908498477	0.04743900954	-0.2018391496	1.823135436	0.7856642649	0.08737657735	0.2562049064	0.2821493771	0.785568564	0.08737023739	0.2561093729	0.2821236786	0.2778607054	0.08062566464	0.7556494331	0.03746348508	a248bdd	2x2_2C_8b_C2v_L	2	0.918623789	0.9260357719	0.9999999998410063	-0.1736599055	0.3260122957	-0.1576432057	1.434017898	-0.06841841209	-0.02271727832	0.2014486974	-1.080619672	-0.0683842282	-0.02278453428	0.2014257952	-1.080640819	-0.2470938357	0.8938052969	-0.0001531274169	0.0004485697351	run_optim.py	R0:S0:1	1	-0.544095181	-0.9042335458	0.02861901193	-0.2657426949	0.032324667	-0.0590320979	-0.3275889075	0.9800257097	-0.1417271961	0.9998434562	0.3275724515	-0.9799427742	0.1416971008	-0.9996945304	-0.0001819250241	0.0002593786859	0.4601209572	-0.4182945605	2024-12-09@18:24	-0.4	-0.008352676821	0.1379427051	v2.7.1	
4	Broyden	0	-0.08632485631	-10.52012879	-0.9570464295	Y	8.55	0.03116159554	self-energy/D	sharp_wc_2_b_35	0.1906602806	0.04754726781	-0.2006087125	1.821697344	0.7799711259	0.08736891293	0.2558737774	0.2827070121	0.7799290925	0.08736225654	0.2557960142	0.282675303	0.2781720449	0.08093298353	0.7503967156	0.03755959124	a248bdd	2x2_2C_8b_C2v_L	2	0.9181530149	0.9255212296	0.9999999998321861	-0.1735533141	0.3271985781	-0.1577460902	1.436933313	-0.06895743706	-0.02074127725	0.201319276	-1.078499597	-0.06892395079	-0.02081409606	0.201298956	-1.078523261	-0.2472596558	0.8931428621	-0.0001532850196	0.0004462798614	run_optim.py	R0:S0:1	1	-0.5422003789	-0.9019007999	0.02819371534	-0.2616673912	0.0317289546	-0.05832924552	-0.3264978332	0.9788043924	-0.1419246552	0.9998175042	0.3264926967	-0.9787271607	0.1418916149	-0.999646972	-0.0001806612976	0.0002544349333	0.4589067699	-0.4194542278	2024-12-09@18:28	-0.4	-0.008232270871	0.137864074	v2.7.1	
7	Broyden	0	-0.08650446721	-10.59330848	-0.9568081771	Y	8.5	0.03171033903	self-energy/D	sharp_wc_2_b_35	0.1930950124	0.04690913275	-0.1998349467	1.827695904	0.7917780365	0.0849022824	0.258764873	0.277091075	0.7917839928	0.08488851591	0.2586876571	0.2770786212	0.2800595468	0.07955226414	0.7590135167	0.03670315214	a248bdd	2x2_2C_8b_C2v_L	2.02	0.9207212709	0.9280738786	0.9999999998556924	-0.1750811288	0.3220862586	-0.1552876228	1.41212361	-0.06912904667	-0.01941368099	0.2028677698	-1.070931933	-0.06911357989	-0.01942728239	0.20284505	-1.070957986	-0.2483803831	0.889193058	-0.0001196471434	0.0003447361607	run_optim.py	R0:S0:1	1	-0.5445522278	-0.90162111	0.02852936198	-0.2627120341	0.03266294277	-0.05908353222	-0.3256553453	0.9677127873	-0.1417261936	0.9921370692	0.3256455495	-0.9676061701	0.1417055558	-0.9920363481	-0.0001378456023	0.0001893001003	0.4578648713	-0.4151206362	2024-12-09@18:35	-0.4	-0.008543670214	0.1379676678	v2.7.1	
6	Broyden	0	-0.08888835621	-10.51042776	-0.9567870827	Y	8.5	0.03155333367	self-energy/D	sharp_wc_2_b_35	0.2036322586	0.04873153922	-0.1961822262	1.822028478	0.7784111314	0.0856438114	0.2593526125	0.283422861	0.7779997792	0.08570871218	0.259317606	0.2833386323	0.2772908649	0.07971127606	0.7507441398	0.03654549804	a248bdd	2x2_2C_8b_C2v_L	2	0.9184227435	0.9255989587	0.9999999997723006	-0.1817594109	0.3334415641	-0.1574892662	1.430507107	-0.07017104605	-0.01796904245	0.203071147	-1.087280182	-0.07005879006	-0.01834728072	0.2030717376	-1.087252516	-0.2449771383	0.8907610893	7.39920923e-06	-4.747729269e-05	run_optim.py	R0:S0:1	1	-0.5458140991	-0.9078065647	0.02819850029	-0.2527357944	0.0319930334	-0.05974990137	-0.322154949	0.9700150972	-0.1421658683	1.00706341	0.3221598004	-0.9703175565	0.1420691875	-1.006658941	7.742904984e-06	-2.292741574e-05	0.4530183355	-0.4116406754	2024-12-09@18:41	-0.38	-0.009870535271	0.1288960999	v2.7.1	
4	Broyden	0	-0.08866865707	-10.57262891	-0.9583442649	Y	8.45	0.03205096286	self-energy/D	sharp_wc_2_b_35	0.2010839452	0.04761350539	-0.1991821857	1.82722529	0.7923124104	0.08448036853	0.261230385	0.2788931876	0.7919696501	0.08453698263	0.261186743	0.2788083494	0.2800376556	0.07894452222	0.7615400247	0.03622686053	a248bdd	2x2_2C_8b_C2v_L	2.013333333	0.9203523235	0.9276066927	0.9999999998533536	-0.1801313089	0.3265337329	-0.1561425443	1.414438869	-0.06964774224	-0.01929501501	0.2038528889	-1.080916439	-0.06953389547	-0.01966664102	0.203854689	-1.080918394	-0.2468002897	0.8899605504	-9.733040043e-05	0.0002631129053	run_optim.py	R0:S0:1	1	-0.5474870557	-0.90730038	0.02874296828	-0.2595015689	0.03301141862	-0.06009748079	-0.3239761615	0.9659633068	-0.1420900581	1.000227091	0.3239923795	-0.9662268029	0.1419900258	-0.9997956409	-0.0001113637902	0.0001314191141	0.4555408008	-0.4106051137	2024-12-09@18:45	-0.3866666667	-0.00963021717	0.132010047	v2.7.1	
1	Broyden	0	-0.08979514795	-10.48225019	-0.9594885033	Y	8.466666667	0.03170971938	self-energy/D	sharp_wc_2_b_35	0.2043056024	0.04888207543	-0.1982460676	1.820668452	0.781122742	0.08666468532	0.2598405839	0.2852123836	0.78057102	0.08674694766	0.2597770606	0.2851124753	0.2769135478	0.07980937064	0.752253924	0.03677557087	a248bdd	2x2_2C_8b_C2v_L	1.988888889	0.9175556856	0.9247171562	0.9999999998201092	-0.1820338586	0.3352441668	-0.1589313292	1.440452815	-0.06984508826	-0.02019659483	0.2028315017	-1.093853516	-0.06971327989	-0.02064939694	0.2028154013	-1.093771175	-0.2440827907	0.8929585207	-3.883345785e-05	8.44498692e-05	run_optim.py	R0:S0:1	1	-0.5471167569	-0.9112433555	0.02842486584	-0.2548752301	0.03210645854	-0.05997409445	-0.3238171139	0.9760471898	-0.1424626536	1.012318487	0.3238096029	-0.9764247903	0.1423510575	-1.011895292	-4.801910899e-05	5.001812118e-05	0.4545528248	-0.4118138103	2024-12-09@18:47	-0.3777777778	-0.01006602608	0.1277077442	v2.7.1	
2	Broyden	0	-0.09155746384	-10.42516748	-0.9613102031	Y	8.45	0.03170760267	self-energy/D	sharp_wc_2_b_35	0.2103248122	0.05026244424	-0.1961017432	1.816156444	0.77779402	0.08711584414	0.2600545447	0.2914432434	0.7770199449	0.08721832393	0.2599844958	0.291313461	0.2755183392	0.08027195085	0.7506253444	0.03685297798	a248bdd	2x2_2C_8b_C2v_L	1.973333333	0.9157753855	0.9229052815	0.9999999998221463	-0.1855744095	0.343061386	-0.1606125358	1.456225576	-0.07100320421	-0.01784347932	0.2026850012	-1.108578797	-0.07083491571	-0.01841662505	0.202678761	-1.108516963	-0.2421832137	0.8967603366	4.970524456e-05	-0.0001944735411	run_optim.py	R0:S0:1	1	-0.5482512831	-0.9163562589	0.02856823318	-0.2526207093	0.03196909325	-0.06114204987	-0.3226881455	0.9779112841	-0.1434839227	1.026842264	0.3226662232	-0.9783634545	0.1433388196	-1.026233142	5.741064821e-05	-9.369149313e-05	0.4533149239	-0.4104522545	2024-12-09@18:50	-0.3666666667	-0.01079046574	0.122601666	v2.7.1	
1	Broyden	0	-0.09264040607	-10.4778243	-0.9588095177	Y	8.433333333	0.03201479317	self-energy/D	sharp_wc_2_b_35	0.2182491328	0.05004472519	-0.1936432364	1.820148389	0.7707235236	0.08493964588	0.2635140749	0.287539897	0.7696845942	0.08507661313	0.2634796634	0.2873669284	0.2769795236	0.07889190458	0.7516038492	0.03571007257	a248bdd	2x2_2C_8b_C2v_L	1.991111111	0.9176137699	0.9246070539	0.9999999998503423	-0.1915133671	0.3429541102	-0.1590701721	1.436527125	-0.0714266685	-0.01641912417	0.2049799992	-1.106000137	-0.07121156269	-0.01716730946	0.2049891452	-1.105897788	-0.2422335176	0.892381273	0.000121800745	-0.0004295743042	run_optim.py	R0:S0:1	1	-0.5502175744	-0.9168997633	0.02677187729	-0.231696072	0.03051790724	-0.05793534593	-0.3175640956	0.9657762699	-0.1427536724	1.021505046	0.3175362147	-0.9664017539	0.1425796391	-1.020746447	0.0001375795175	-0.000205456587	0.4476940244	-0.4038234281	2024-12-09@18:52	-0.3555555556	-0.0118302091	0.1178711841	v2.7.1	
4	Broyden	0	-0.09556384715	-10.45385509	-0.9590503234	Y	8.4	0.03225900387	self-energy/D	sharp_wc_2_b_35	0.2346252871	0.04960967207	-0.1899667265	1.817323614	0.7705381217	0.082837391	0.2680412055	0.2913459737	0.769283824	0.08299995891	0.2680079152	0.2911210032	0.2758713988	0.07794506382	0.7481008397	0.03493540789	a248bdd	2x2_2C_8b_C2v_L	1.986666667	0.9170228925	0.9237338892	0.9999999998591613	-0.2029717846	0.3546194531	-0.16124451	1.450047675	-0.07430034905	-0.008560899274	0.2066641186	-1.119603025	-0.07402852758	-0.009505199121	0.206681065	-1.119498191	-0.2392287096	0.8904697236	0.0001489414916	-0.0005051924887	run_optim.py	R0:S0:1	1	-0.5532278603	-0.9231554391	0.01165611437	-0.09737067624	0.01330784561	-0.02576806111	-0.3129462636	0.9544284783	-0.1443344204	1.036710061	0.3129260547	-0.9551906509	0.1441203381	-1.035745435	0.0001670760282	-0.0002191306967	0.4414318395	-0.3970071766	2024-12-09@18:56	-0.3333333333	-0.01353557757	0.1076846526	v2.7.1	
1	Broyden	0	-0.09566650254	-10.35754745	-0.9604564741	Y	8.45	0.03164219299	self-energy/D	sharp_wc_2_b_35	0.2315394044	0.05146287868	-0.1901448166	1.809462933	0.7549699737	0.08637035919	0.2646865291	0.2985617652	0.7537342795	0.08659774526	0.2647474014	0.2982053876	0.2729539881	0.07971711627	0.7391968785	0.03597530785	a248bdd	2x2_2C_8b_C2v_L	1.96	0.9135773402	0.920354739	0.9999999998202919	-0.2004203977	0.3616496566	-0.1638839473	1.478679811	-0.07358442216	-0.01211484071	0.2049553535	-1.131675431	-0.07320970381	-0.01348632122	0.2050028829	-1.131552458	-0.2377516046	0.8965351876	0.0001074147905	-0.0004127309499	run_optim.py	R0:S0:1	1	-0.550856092	-0.9247446711	0.01747638804	-0.1472023161	0.01950242351	-0.03872313226	-0.3143509346	0.9707409681	-0.1443173158	1.046111141	0.3144107145	-0.971836271	0.1440138475	-1.044671147	0.0001327338964	-0.0001917859772	0.4431961035	-0.4019280252	2024-12-09@18:58	-0.3333333333	-0.01331062954	0.107135409	v2.7.1	
