CDMFT_iterations	CDMFT_method	D	D_ave	E0_1	E_kin	GS_consistency	U	U_1_ave	convergence	dist_function	eb1_1	eb1_1_ave	eb2_1	eb2_1_ave	eb3_1	eb3_1_ave	eb4_1	eb4_1_ave	eb5_1	eb5_1_ave	eb6_1	eb6_1_ave	eb7_1	eb7_1_ave	eb8_1	eb8_1_ave	githash	model	mu	mu_1_ave	mu_ave	n_1	sb1_1	sb1_1_ave	sb2_1	sb2_1_ave	sb3_1	sb3_1_ave	sb4_1	sb4_1_ave	sb5_1	sb5_1_ave	sb6_1	sb6_1_ave	sb7_1	sb7_1_ave	sb8_1	sb8_1_ave	script	sector_1	t	t_1_ave	t_ave	tb1_1	tb1_1_ave	tb2_1	tb2_1_ave	tb3_1	tb3_1_ave	tb4_1	tb4_1_ave	tb5_1	tb5_1_ave	tb6_1	tb6_1_ave	tb7_1	tb7_1_ave	tb8_1	tb8_1_ave	time	tp	tp_1_ave	tp_ave	version	
4	Broyden	0	0.08119455233	-10.43612965	-0.9363260874	Y	9	0.02811205983	self-energy/D	sharp_wc_2_b_35	0.1870508049	0.04578584398	-0.1906288839	1.807460102	0.2499542067	0.2874154656	0.730777069	0.08799767145	0.2498909543	0.2874298587	0.7308816363	0.08801324054	0.2757730096	0.08366552489	0.7061666577	0.03851762427	a248bdd	2x2_2C_8b_C2v_L	2	0.9143221455	0.9211751182	0.9999999997868408	0.1732218523	-0.3385861564	0.1596115006	-1.469671062	-0.1992281881	1.059102953	-0.07224464108	-0.007063602062	0.1992216352	-1.059105358	-0.07222084763	-0.007130528797	-0.247060968	0.8855150766	-2.202859786e-05	7.334410502e-05	run_optim.py	R0:S0:1	1	-0.5257941284	-0.8814109339	0.01278973613	-0.1185543114	0.01400671108	-0.02714871415	-0.1422127594	0.9952624111	0.3177424608	-0.9716295307	-0.1421936808	0.9952813806	-0.3177743204	0.971752209	2.136521432e-05	-2.427168615e-05	-0.4486055994	0.4300050202	2024-12-10@10:33	-0.4	-0.007106809894	0.1372878838	v2.7.1	
1	Broyden	0	0.08079178559	-10.4302906	-0.9342633651	Y	9.05	0.02781433486	self-energy/D	sharp_wc_2_b_35	0.1863541244	0.04584386528	-0.1910017182	1.806858777	0.2503486862	0.2879169381	0.7270546694	0.08767402651	0.250292491	0.2879219387	0.7271178786	0.08769553417	0.2767180257	0.08384719842	0.7020854037	0.03854324519	a248bdd	2x2_2C_8b_C2v_L	2	0.9139451603	0.9207579595	0.9999999997887344	0.1731220929	-0.338861116	0.1597722968	-1.470666688	-0.1992949768	1.057593976	-0.0729535613	-0.004741359279	0.1992856647	-1.057578343	-0.07292803712	-0.004826358579	-0.2474310412	0.8850428252	-3.176560632e-06	2.021926263e-05	run_optim.py	R0:S0:1	1	-0.5241544134	-0.8793507587	0.01270382919	-0.117975258	0.01392349544	-0.02694162169	-0.1426188849	0.9961664721	0.3165142343	-0.9689182252	-0.1425952141	0.9961701613	-0.3165456298	0.9690669277	-8.863889026e-07	3.022960093e-07	-0.4473813114	0.430759969	2024-12-10@10:35	-0.4	-0.007038515107	0.1372815159	v2.7.1	
6	Broyden	0	0.0807716472	-10.53076992	-0.9325164092	Y	9	0.02837299637	self-energy/D	sharp_wc_2_b_35	0.1899526428	0.04562875101	-0.1873215202	1.813980518	0.2538146945	0.281074874	0.7384477737	0.08383496116	0.2537593988	0.2810812978	0.7384823297	0.08386063178	0.2796768282	0.08224610103	0.7105378705	0.03731887881	a248bdd	2x2_2C_8b_C2v_L	2.03	0.9174259796	0.9242405046	0.9999999997660386	0.1755271064	-0.3339397295	0.1561852417	-1.438921328	-0.2013569822	1.046472548	-0.07401360952	-0.000389028079	0.2013492683	-1.046461898	-0.07398500001	-0.0004863254792	-0.249422344	0.8796783026	8.575861365e-06	-1.897712119e-05	run_optim.py	R0:S0:1	1	-0.5262754948	-0.8775567084	0.01277471161	-0.1170699597	0.01427557503	-0.02737147387	-0.1428142713	0.9873938323	0.3140376709	-0.9507115615	-0.1427848672	0.987380137	-0.3140681251	0.9508842262	-1.619375389e-05	3.075808247e-05	-0.4449696023	0.4249631749	2024-12-10@10:41	-0.4	-0.007380715812	0.137399252	v2.7.1	
5	Broyden	0	0.0855125678	-10.40030138	-0.9318992286	Y	9	0.02819568106	self-energy/D	sharp_wc_2_b_35	0.2125642805	0.05027195653	-0.1796476606	1.805576549	0.2569358539	0.2918418799	0.7209001066	0.08383273928	0.2569177439	0.2917863453	0.7206675317	0.0839156296	0.2751190777	0.08198634458	0.6977435638	0.03669115443	a248bdd	2x2_2C_8b_C2v_L	2	0.9137721821	0.920238501	0.9999999998108495	0.1896964322	-0.3555221587	0.1593011276	-1.462792605	-0.2024530077	1.075903919	-0.07670595977	0.005282371725	0.2024651711	-1.075862915	-0.07660443431	0.004906775283	-0.2429275435	0.8807700048	0.0001197309234	-0.0003650010579	run_optim.py	R0:S0:1	1	-0.5291737423	-0.888804999	0.009833676875	-0.08503139377	0.01087060295	-0.02219822912	-0.1441778486	1.015623871	0.3070655377	-0.9481961834	-0.1440909103	1.015362775	-0.3071140049	0.948667942	-0.000145037403	0.0002139012451	-0.4351020033	0.4165787067	2024-12-10@10:46	-0.36	-0.01015301366	0.1197061933	v2.7.1	
3	Broyden	0	0.08435786589	-10.31377461	-0.9360123362	Y	9.033333333	0.0277186512	self-energy/D	sharp_wc_2_b_35	0.2020220757	0.04919989491	-0.1857879583	1.798239699	0.2517447842	0.2982999276	0.7203497676	0.08853682114	0.2516964069	0.2982764887	0.7202237472	0.0885963273	0.2728671222	0.08432729034	0.6967467101	0.03847138253	a248bdd	2x2_2C_8b_C2v_L	1.97	0.9104277356	0.9171235911	0.9999999997358562	0.1821737033	-0.3562758766	0.1629546328	-1.498694137	-0.1994947038	1.08402545	-0.074748089	-0.001586328205	0.1994957776	-1.084004542	-0.07467951229	-0.001835543598	-0.2427571982	0.8898605803	5.337872594e-05	-0.0001611656574	run_optim.py	R0:S0:1	1	-0.5264349495	-0.8892206655	0.01092473556	-0.09745985703	0.01177265265	-0.02403734779	-0.1439387678	1.020958113	0.3138714331	-0.9723709752	-0.143875563	1.020808533	-0.3139079303	0.9727088075	-6.969792584e-05	0.0001112428355	-0.4429210393	0.4264787927	2024-12-10@10:50	-0.3733333333	-0.008810444186	0.1253348321	v2.7.1	
5	Broyden	0	0.08672319466	-10.33892647	-0.9354989918	Y	8.972222222	0.02821291657	self-energy/D	sharp_wc_2_b_35	0.2137911184	0.05088395883	-0.1808790869	1.801054585	0.2563554067	0.296996145	0.7200894736	0.08567766457	0.2563194034	0.2969284552	0.7197994319	0.08576587584	0.2737961876	0.08267119412	0.699576248	0.03716240269	a248bdd	2x2_2C_8b_C2v_L	1.98	0.9117301115	0.9182287932	0.9999999998108884	0.1903593784	-0.3611650158	0.1616836455	-1.483441375	-0.2017404824	1.088885031	-0.07646040847	0.00324329927	0.2017509516	-1.088848369	-0.07634398789	0.002821994375	-0.2414459184	0.8859544724	8.288120396e-05	-0.0002599236345	run_optim.py	R0:S0:1	1	-0.5302198405	-0.8937235503	0.008176074015	-0.07067362354	0.008937540349	-0.01846264866	-0.1445688312	1.025963676	0.3087869863	-0.957912427	-0.1444703094	1.025643453	-0.3088311558	0.9583952694	-0.0001023810934	0.0001538367409	-0.4371428694	0.4176984277	2024-12-10@10:55	-0.3555555556	-0.01043469456	0.1174934292	v2.7.1	
2	Broyden	0	0.08992252825	-10.29657971	-0.9369977857	Y	8.933333333	0.02841915413	self-energy/D	sharp_wc_2_b_35	0.2282664699	0.05330019457	-0.1773985878	1.798708365	0.2598945339	0.3021216575	0.7119398025	0.08487894468	0.2598269967	0.3020819583	0.7116960777	0.08494244152	0.272225716	0.0820628553	0.6965613735	0.0365253507	a248bdd	2x2_2C_8b_C2v_L	1.97	0.9104624275	0.916794126	0.9999999997413214	0.1994842561	-0.3716420897	0.1628756645	-1.489703235	-0.203248188	1.107007965	-0.07824047065	0.00731978087	0.2032434377	-1.106968305	-0.07815663032	0.007022699902	-0.2383269946	0.8865350916	4.76173036e-05	-0.0001551025605	run_optim.py	R0:S0:1	1	-0.5333588721	-0.9011829198	0.003470233382	-0.02903500947	0.003801204292	-0.008064678557	-0.1454361511	1.041233537	0.3042336963	-0.9525201891	-0.1453641231	1.041034401	-0.304254944	0.9528642933	-5.862782742e-05	8.768386119e-05	-0.4316627175	0.41119747	2024-12-10@10:57	-0.3333333333	-0.01222025436	0.1074445979	v2.7.1	
5	Broyden	0	0.09231433704	-10.24316362	-0.9353885312	Y	8.977777778	0.02810313546	self-energy/D	sharp_wc_2_b_35	0.2428417354	0.05606975311	-0.1730166748	1.794710398	0.2627012011	0.3088587022	0.6954117821	0.08417319143	0.2625942862	0.3088586418	0.6951790155	0.08421780691	0.2704434239	0.08195700912	0.6858623029	0.03614897978	a248bdd	2x2_2C_8b_C2v_L	1.96	0.9083284072	0.9143564856	0.9999999997577622	0.2080348388	-0.3825915608	0.164293678	-1.498440567	-0.2041867777	1.122757879	-0.08113919702	0.01606053474	0.2041603683	-1.122685717	-0.0810943222	0.01590396271	-0.2350502666	0.8861960695	-5.307880371e-06	3.109124817e-06	run_optim.py	R0:S0:1	1	-0.5336098403	-0.9051788716	0.00148296114	-0.01201515699	0.001614273792	-0.003542541974	-0.1470089027	1.058161853	0.2983195453	-0.9453475209	-0.1469686056	1.058154762	-0.2983113325	0.94558483	1.957701413e-06	3.934140833e-06	-0.4249827607	0.4069518716	2024-12-10@11:02	-0.3111111111	-0.01385630955	0.09710247713	v2.7.1	
3	Broyden	0	0.09882894334	-10.16372799	-0.9384408759	Y	8.966666667	0.02812467612	self-energy/D	sharp_wc_2_b_35	0.2731704113	0.06061405836	-0.1695403121	1.789895365	0.2720895838	0.3235753772	0.6764568806	0.08132300118	0.2720636573	0.3235608986	0.6765825962	0.08134607701	0.2683118014	0.08104271417	0.6751451035	0.03513836814	a248bdd	2x2_2C_8b_C2v_L	1.94	0.9044648457	0.9099189821	0.9999999998074312	0.2263247756	-0.4011340612	0.167879858	-1.513788415	-0.2071182925	1.163897801	-0.08832007996	0.03804258745	0.2071267396	-1.163945712	-0.08827411002	0.03787290922	-0.2287880182	0.8878637171	-2.404813133e-05	9.456629703e-05	run_optim.py	R0:S0:1	1	-0.537878034	-0.9182482159	-0.0009783516499	0.007519827047	-0.001054344155	0.00237543782	-0.1514942291	1.099844133	0.2875970021	-0.9245264231	-0.1514518956	1.099707619	-0.2876529217	0.9247004114	2.274753303e-05	-2.463490792e-05	-0.4138214696	0.3959095781	2024-12-10@11:06	-0.2666666667	-0.01763884584	0.0757224749	v2.7.1	
5	Broyden	0	0.09880461126	-10.27312665	-0.9366650218	Y	8.9	0.02879533344	self-energy/D	sharp_wc_2_b_35	0.2754246039	0.05881184957	-0.1702452212	1.800052841	0.2757386806	0.3155753662	0.6879302436	0.07730222306	0.2754573157	0.315723338	0.6879937834	0.07725351731	0.2721174519	0.07910477145	0.684645498	0.03394504769	a248bdd	2x2_2C_8b_C2v_L	1.97	0.9085336744	0.9139540625	0.999999999833494	0.228359531	-0.3906245509	0.1645965632	-1.478107052	-0.2088935445	1.149822328	-0.08958262827	0.04269256683	0.2087954579	-1.149761687	-0.0896595362	0.04306363112	-0.2307958062	0.8811773265	-0.000104178273	0.0003233803158	run_optim.py	R0:S0:1	1	-0.5403798241	-0.9161656029	-0.001041125504	0.007987838541	-0.001145578154	0.002468799361	-0.1518550781	1.091137471	0.2848055581	-0.9048150996	-0.151902176	1.091642711	-0.2847139383	0.9045061904	0.0001183209531	-0.0001497199914	-0.4117529983	0.3903595173	2024-12-10@11:11	-0.2666666667	-0.01780011163	0.07687282104	v2.7.1	
