CDMFT_iterations	CDMFT_method	D	D_ave	E0_1	E_kin	GS_consistency	U	U_1_ave	convergence	dist_function	eb1_1	eb1_1_ave	eb2_1	eb2_1_ave	eb3_1	eb3_1_ave	eb4_1	eb4_1_ave	eb5_1	eb5_1_ave	eb6_1	eb6_1_ave	eb7_1	eb7_1_ave	eb8_1	eb8_1_ave	githash	model	mu	mu_1_ave	mu_ave	n_1	sb1_1	sb1_1_ave	sb2_1	sb2_1_ave	sb3_1	sb3_1_ave	sb4_1	sb4_1_ave	sb5_1	sb5_1_ave	sb6_1	sb6_1_ave	sb7_1	sb7_1_ave	sb8_1	sb8_1_ave	script	sector_1	t	t_1_ave	t_ave	tb1_1	tb1_1_ave	tb2_1	tb2_1_ave	tb3_1	tb3_1_ave	tb4_1	tb4_1_ave	tb5_1	tb5_1_ave	tb6_1	tb6_1_ave	tb7_1	tb7_1_ave	tb8_1	tb8_1_ave	time	tp	tp_1_ave	tp_ave	version	
4	Broyden	0	0.004558959599	-10.49959408	-0.9189280953	Y	10.5	0.01914464985	self-energy/D	sharp_wc_2_b_35	0.1059025142	0.0236755556	0.2769274146	0.2289299909	0.2052346134	0.3370755826	0.6358932687	0.1275338288	0.2050986645	0.336958165	0.6358042762	0.1276147998	0.252599336	0.1026460803	-0.6251428774	1.943823369	c61843e	2x2_2C_8b_C2v_L	1.8	0.8849478726	0.8898805058	0.9999999997155212	0.116275501	-0.2764011132	-1.245651273e-05	-2.015924011e-05	-0.1764193464	1.057128429	-0.06543792228	-0.01955623416	-0.1764102312	1.057222554	-0.06530761175	-0.01999885334	0.243515746	-0.9149330422	0.4814279545	-0.5331028692	run_optim.py	R0:S0:1	1	-0.4719249486	-0.8273199457	2.392413957e-05	-0.0003800690983	0.1822650123	-1.64350105	-0.1303761142	0.9751375097	0.3456997058	-1.120940163	0.1302077893	-0.9744032149	-0.3457806002	1.121240173	-9.033234516e-05	0.0001384305658	-6.700233045e-05	0.0001820894321	2024-07-04@10:38	-0.5	0.005377198931	0.1832162991	v2.6.0	
4	Broyden	0	0.004558747037	-10.49659712	-0.918673604	Y	10.51	0.01909588052	self-energy/D	sharp_wc_2_b_35	0.1057610266	0.02371524847	0.2763804482	0.2294846099	0.2036873117	0.3376186526	0.6336576197	0.1283311603	0.2036792555	0.3373670141	0.6335565551	0.1284686089	0.2506621096	0.1029982709	-0.6244727066	1.943690597	c61843e	2x2_2C_8b_C2v_L	1.8	0.8848521474	0.8898114181	0.9999999996895517	0.1161747208	-0.2766329971	-1.204522041e-05	-5.546996681e-05	-0.1762376174	1.058075313	-0.06459907469	-0.02221989007	-0.1762796424	1.058223475	-0.06441246781	-0.02296193096	0.2430521167	-0.9151846495	0.4811743951	-0.5336296212	run_optim.py	R0:S0:1	1	-0.4715558197	-0.82698417	2.68889715e-05	-0.0004626044299	0.1822132121	-1.643836275	-0.1292306648	0.9718904012	0.3458559223	-1.123657408	0.128990578	-0.9707107347	-0.3460103014	1.12420055	-0.0001090432423	0.0001568010259	-9.390852458e-05	0.0002730428318	2024-07-04@10:43	-0.5	0.005499137236	0.183378868	v2.6.0	
5	Broyden	0	0.004572550323	-10.53048552	-0.9185467529	Y	10.5	0.01919701965	self-energy/D	sharp_wc_2_b_35	0.1064526203	0.02412517773	0.2735688296	0.2296997604	0.2049984083	0.3399196972	0.6382756572	0.1257753984	0.2048623693	0.3398550048	0.6381623147	0.1258489152	0.248544047	0.103685968	-0.6229211086	1.943846375	c61843e	2x2_2C_8b_C2v_L	1.81	0.8855794531	0.8907470739	0.9999999996778356	0.116904563	-0.2783147911	-1.742386837e-05	4.101431553e-05	-0.1769558531	1.060988656	-0.06600260151	-0.01798536031	-0.1769497152	1.061085801	-0.06589048783	-0.01834446213	0.2433366913	-0.9169351655	0.4798994288	-0.5326435637	run_optim.py	R0:S0:1	1	-0.4715831443	-0.8267120438	1.140426588e-05	-0.0001459351407	0.1815959976	-1.64064538	-0.1311764071	0.9795085177	0.3449301859	-1.114171257	0.1310411992	-0.9789613151	-0.3449875925	1.114455283	-9.739285847e-05	0.0001414787958	-6.493408557e-05	0.0001842498795	2024-07-04@10:49	-0.5	0.00558313673	0.1836694181	v2.6.0	
5	Broyden	0	0.004692964273	-10.49220297	-0.9178543503	Y	10.5	0.01914488789	self-energy/D	sharp_wc_2_b_35	0.1100111065	0.02524556508	0.2702698072	0.2324120512	0.2039068529	0.3422931696	0.6373647431	0.1264606471	0.2037881948	0.3421982394	0.6372649948	0.1265508095	0.2471724224	0.1034560884	-0.6224690069	1.944158976	c61843e	2x2_2C_8b_C2v_L	1.8	0.8844701191	0.8896960698	0.9999999996778404	0.1194828713	-0.2847152241	-1.36319734e-05	2.512748731e-05	-0.1765749881	1.067288898	-0.06548617877	-0.02020589279	-0.1765762296	1.067391745	-0.06535636102	-0.02064804024	0.241611802	-0.9171982122	0.4779210797	-0.5298351573	run_optim.py	R0:S0:1	1	-0.4725188006	-0.8301730055	9.915531887e-06	-0.0001334195959	0.182558336	-1.64872459	-0.1305822139	0.9836166807	0.3443439321	-1.11708312	0.130427112	-0.9829689721	-0.3444224769	1.117444865	-0.0001053968343	0.0001519387864	-7.26296323e-05	0.0002093636643	2024-07-04@10:55	-0.49	0.004855775312	0.1789415201	v2.6.0	
1	Broyden	0	0.004510659146	-10.5222353	-0.9177889823	Y	10.49	0.01923581087	self-energy/D	sharp_wc_2_b_35	0.1093586329	0.02494058257	0.2708413169	0.2302975418	0.2064291606	0.3379820946	0.6377865052	0.1256037261	0.2063185975	0.3378819948	0.6376412636	0.1257225281	0.2522064718	0.1026448736	-0.6250545628	1.94452206	c61843e	2x2_2C_8b_C2v_L	1.806666667	0.8853850603	0.8905174902	0.9999999996624744	0.1189862413	-0.2824924765	-4.668288211e-06	-8.149419252e-05	-0.1772296527	1.060763026	-0.0658970198	-0.01902198719	-0.1771772287	1.060592433	-0.06582801966	-0.01935440579	0.2433680172	-0.9157170268	0.4788597462	-0.5293776651	run_optim.py	R0:S0:1	1	-0.4726067243	-0.8289009462	3.768216707e-05	-0.0006106574082	0.181922799	-1.643200781	-0.1313785427	0.980622992	0.3439919785	-1.113648181	0.1312568575	-0.9803322128	-0.3440510958	1.114146927	-0.0001377809974	0.0002059030578	-0.0001264719151	0.0003542369365	2024-07-04@10:57	-0.4933333333	0.004899396146	0.1801784516	v2.6.0	
4	Broyden	0	0.004723357994	-10.50011413	-0.918998511	Y	10.505	0.01911946257	self-energy/D	sharp_wc_2_b_35	0.1067035128	0.02414190866	0.2742911317	0.2311298123	0.2033289715	0.3417813514	0.6360548	0.1273822319	0.2031224303	0.341842048	0.6359457006	0.1273881323	0.2471776572	0.103946592	-0.6225971165	1.943537882	c61843e	2x2_2C_8b_C2v_L	1.801666667	0.8846845866	0.8898637175	0.9999999997039437	0.1168954778	-0.2790966122	-2.232978172e-05	8.822541943e-05	-0.1763592365	1.064558477	-0.06514201003	-0.02089192195	-0.1763154361	1.064614744	-0.06510874748	-0.02090500837	0.2424424453	-0.9178869422	0.4802393441	-0.5334435045	run_optim.py	R0:S0:1	1	-0.4715913154	-0.8277868547	9.878665408e-06	-8.246351685e-05	0.1822146774	-1.646046632	-0.1301135615	0.9790539362	0.3455911449	-1.120299424	0.1300648749	-0.9789512247	-0.3455686054	1.120278775	-0.0001231751706	0.0001807438479	-8.453550539e-05	0.0002373783465	2024-07-04@11:02	-0.4983333333	0.005564329242	0.1830334239	v2.6.0	
6	Broyden	0	0.004550871453	-10.51889228	-0.9173865337	Y	10.50333333	0.01917781889	self-energy/D	sharp_wc_2_b_35	0.1099614158	0.02525058026	0.2689010377	0.231698345	0.2044659139	0.3398148451	0.6331910753	0.1265888394	0.2043339318	0.3397640511	0.6330969425	0.1266633054	0.2493221394	0.1033829899	-0.6224813614	1.944316738	c61843e	2x2_2C_8b_C2v_L	1.807777778	0.885213162	0.8904632034	0.9999999996878672	0.1193259881	-0.2841588048	-1.704455977e-05	3.674358166e-05	-0.1770610652	1.063622363	-0.06516033673	-0.02136107273	-0.1770523229	1.063689613	-0.06505981457	-0.02168701727	0.2427437717	-0.9171440844	0.4779555852	-0.529866361	run_optim.py	R0:S0:1	1	-0.4721412105	-0.8287886548	1.33507853e-05	-0.0001727431168	0.1818150858	-1.644366496	-0.1302045871	0.9784742075	0.3436636038	-1.116606329	0.1300847279	-0.978028019	-0.3437175949	1.116907788	-0.0001101375778	0.0001603313468	-7.295232042e-05	0.0002066608241	2024-07-04@11:09	-0.4922222222	0.005029781123	0.1799956907	v2.6.0	
2	Broyden	0	0.004711717149	-10.50450424	-0.9190892349	Y	10.50083333	0.01914571424	self-energy/D	sharp_wc_2_b_35	0.1070635451	0.02422595002	0.2739228811	0.2311191304	0.2046586538	0.3414183055	0.6377126155	0.1266699444	0.2045625163	0.3413008193	0.6376387461	0.1267675516	0.2485897043	0.1037728401	-0.6237735513	1.943674558	c61843e	2x2_2C_8b_C2v_L	1.801944444	0.8847373907	0.8899307571	0.9999999997112382	0.1171200687	-0.2795072678	-1.679622347e-05	1.786481236e-05	-0.1765843939	1.063979618	-0.06585046663	-0.0187435139	-0.1765940354	1.064088483	-0.06571158033	-0.01923258134	0.2428561403	-0.9181134267	0.4804243338	-0.5329633186	run_optim.py	R0:S0:1	1	-0.4717657132	-0.8280285098	1.550542023e-05	-0.0002270886436	0.1821869364	-1.646344304	-0.1310600968	0.9819341159	0.345310074	-1.117722241	0.1308944275	-0.9812236652	-0.3454058653	1.11812437	-9.65180969e-05	0.0001394324595	-6.608392127e-05	0.000190069407	2024-07-04@11:12	-0.4980555556	0.005488871361	0.1828324653	v2.6.0	
2	Broyden	0	0.004846354144	-10.46831458	-0.9187724509	Y	10.50388889	0.01907917035	self-energy/D	sharp_wc_2_b_35	0.1094166428	0.02497205904	0.2719188244	0.2334608446	0.2033967507	0.3435854919	0.6363049639	0.1277353133	0.2032622201	0.3435259562	0.6362115635	0.1278033488	0.247182905	0.1037261429	-0.6232671552	1.943762762	c61843e	2x2_2C_8b_C2v_L	1.792407407	0.8836746848	0.888909796	0.9999999996948473	0.1187818755	-0.2840213307	-2.177545729e-05	4.77540214e-05	-0.1761451098	1.069365812	-0.0651874003	-0.02134597353	-0.1761355763	1.069454792	-0.06508283506	-0.02168040436	0.2414007144	-0.9186232599	0.4792402972	-0.5314394041	run_optim.py	R0:S0:1	1	-0.4723524347	-0.8306535422	1.59923148e-05	-0.0002068893859	0.1830212575	-1.653615088	-0.1302620507	0.9842833439	0.3451975281	-1.121961831	0.1301347538	-0.9837698472	-0.345251801	1.122222255	-9.979740008e-05	0.0001456967263	-6.703433596e-05	0.0001913514605	2024-07-04@11:16	-0.4909259259	0.005007763659	0.1794953252	v2.6.0	
2	Broyden	0	0.00498712455	-10.4357541	-0.9189357199	Y	10.50583333	0.0190192458	self-energy/D	sharp_wc_2_b_35	0.1114830671	0.02539323446	0.2712476782	0.2354589047	0.2021873312	0.3457884972	0.6366491536	0.1287165529	0.2020888678	0.3456852116	0.6365755395	0.1288063904	0.245514362	0.1038447295	-0.6225864166	1.943668429	c61843e	2x2_2C_8b_C2v_L	1.783611111	0.8826935969	0.8879719798	0.9999999996715788	0.1198471102	-0.2869970654	-1.81693117e-05	2.381804377e-05	-0.1757303505	1.074325082	-0.06458984406	-0.02370439429	-0.1757356617	1.074423855	-0.06446317581	-0.0241490135	0.2401626338	-0.9193181799	0.4786559779	-0.5308652851	run_optim.py	R0:S0:1	1	-0.4727220901	-0.8326446356	1.641942933e-05	-0.0002305441087	0.1838273967	-1.660437492	-0.1295367988	0.9862217742	0.3457037873	-1.12614199	0.1293856721	-0.9855752672	-0.3457876039	1.12650528	-0.0001097119827	0.0001592936963	-7.560972608e-05	0.0002190121763	2024-07-04@11:19	-0.4863888889	0.004752934132	0.1774117096	v2.6.0	
