CDMFT_iterations	CDMFT_method	D	D_ave	E0_1	E_kin	GS_consistency	U	U_1_ave	convergence	dist_function	eb1_1	eb1_1_ave	eb2_1	eb2_1_ave	eb3_1	eb3_1_ave	eb4_1	eb4_1_ave	eb5_1	eb5_1_ave	eb6_1	eb6_1_ave	eb7_1	eb7_1_ave	eb8_1	eb8_1_ave	githash	model	mu	mu_1_ave	mu_ave	n_1	sb1_1	sb1_1_ave	sb2_1	sb2_1_ave	sb3_1	sb3_1_ave	sb4_1	sb4_1_ave	sb5_1	sb5_1_ave	sb6_1	sb6_1_ave	sb7_1	sb7_1_ave	sb8_1	sb8_1_ave	script	sector_1	t	t_1_ave	t_ave	tb1_1	tb1_1_ave	tb2_1	tb2_1_ave	tb3_1	tb3_1_ave	tb4_1	tb4_1_ave	tb5_1	tb5_1_ave	tb6_1	tb6_1_ave	tb7_1	tb7_1_ave	tb8_1	tb8_1_ave	time	tp	tp_1_ave	tp_ave	version	
10	Broyden	0	0.004746691523	-10.49753217	-0.9196710987	Y	10.5	0.01913051999	self-energy/D	sharp_wc_2_b_35	0.105905246	0.02382708177	0.2760546948	0.2308304857	0.2038186559	0.3418876862	0.6360323831	0.1277823033	0.2033430921	0.3415123632	0.6367905734	0.1275795878	0.2467771642	0.1040376397	-0.6234652884	1.943397512	c61843e	2x2_2C_8b_C2v_L	1.8	0.8845726912	0.8897502512	0.9999999997085571	0.1162813938	-0.2776119017	0.0001170092887	-0.000447600122	-0.1765573845	1.064835581	-0.06527981663	-0.02075515883	-0.1762989369	1.06490347	-0.06497213449	-0.02144868331	0.2424978215	-0.9182695636	0.4809508479	-0.5340511417	run_optim.py	R0:S0:1	1	-0.4716393153	-0.8277521611	-7.168779167e-05	0.0006933385851	0.1824113675	-1.646811885	-0.1302564622	0.979713842	0.3460237793	-1.122130649	0.1299397299	-0.9777677268	-0.346124497	1.120945641	-0.0002626673427	0.0004611800935	-0.000165194464	0.000375014982	2024-07-04@11:07	-0.5	0.005655961913	0.1838378752	v2.6.0	
1	Broyden	0	0.004716848837	-10.50178362	-0.9191725036	Y	10.51	0.01911774185	self-energy/D	sharp_wc_2_b_35	0.107206495	0.02390873016	0.2761750993	0.2301060518	0.2076984892	0.3393138235	0.6414721724	0.1258569945	0.2071502791	0.3406100726	0.6405119405	0.1257338609	0.2510258622	0.1032905743	-0.6252348294	1.943677223	c61843e	2x2_2C_8b_C2v_L	1.8	0.8846325431	0.889706984	0.9999999997329312	0.1166124467	-0.2774767473	-0.001747656935	0.002894489086	-0.1770173378	1.061771513	-0.06661891446	-0.01663218482	-0.1766506496	1.059974603	-0.0675649948	-0.01325445217	0.2433948341	-0.9170550676	0.4814340527	-0.533499122	run_optim.py	R0:S0:1	1	-0.4716281104	-0.8274501527	0.001765490721	-0.02432525958	0.1822981279	-1.64595964	-0.1322845481	0.9821573046	0.3459085784	-1.114817876	0.1333280514	-0.989035125	-0.3451036504	1.114556642	0.001419272266	-0.001930477566	0.0009581764605	-0.002800628663	2024-07-04@11:10	-0.5	0.005474932471	0.1834447017	v2.6.0	
1	Broyden	0	0.004543434202	-10.53794492	-0.9186266257	Y	10.5	0.01921586407	self-energy/D	sharp_wc_2_b_35	0.1057834468	0.02439893678	0.2734129011	0.2292087146	0.2079457435	0.3393571772	0.64103067	0.1242759032	0.2086624679	0.3388589908	0.6418332847	0.1238261225	0.2521010794	0.1033203346	-0.6262852742	1.944151172	c61843e	2x2_2C_8b_C2v_L	1.81	0.885648884	0.8908282048	0.999999999666318	0.1170140599	-0.278616638	-0.002182151135	0.002663739215	-0.177601463	1.060373424	-0.06743700074	-0.01368588436	-0.1773317994	1.058786961	-0.06781015062	-0.01266381135	0.2444666219	-0.9175801758	0.4804441938	-0.5318758966	run_optim.py	R0:S0:1	1	-0.4717409157	-0.8268451243	0.002197237949	-0.0315095797	0.1813538231	-1.639805443	-0.133128175	0.9852942698	0.3441017594	-1.108702513	0.1336621623	-0.986749837	-0.3438357321	1.106452259	0.0007576141823	-0.0008299402327	0.0005868933154	-0.001862630021	2024-07-04@11:12	-0.5	0.005422854429	0.183563003	v2.6.0	
5	Broyden	0	0.004732808194	-10.49446082	-0.9180011162	Y	10.5	0.01915217038	self-energy/D	sharp_wc_2_b_35	0.1106330934	0.02533518218	0.2702027534	0.2324925734	0.2052615327	0.342224965	0.6363885135	0.12625338	0.2050721282	0.3422174968	0.6354798361	0.1262181364	0.2481096947	0.103381729	-0.623243431	1.944181695	c61843e	2x2_2C_8b_C2v_L	1.8	0.8844148746	0.8896761545	0.9999999997007355	0.1197243575	-0.2850825497	-0.0009195469034	0.0009858678677	-0.176921478	1.067922319	-0.0660512056	-0.0186296405	-0.1766242101	1.066460878	-0.066155983	-0.01816613558	0.2418472155	-0.9175937875	0.4782160059	-0.5297779108	run_optim.py	R0:S0:1	1	-0.472581159	-0.8303298859	0.001011433928	-0.01418893555	0.182544183	-1.649139631	-0.1313386009	0.9853746863	0.3439857169	-1.116024993	0.1316837347	-0.9873259065	-0.3435269942	1.115519141	0.0005075898087	-0.0005118984231	0.000522356675	-0.001728313236	2024-07-04@11:18	-0.49	0.004812059919	0.1789208782	v2.6.0	
5	Broyden	0	0.00488010478	-10.46252251	-0.9193879499	Y	10.50666667	0.01905695954	self-energy/D	sharp_wc_2_b_35	0.1074384741	0.02449236411	0.274764762	0.2327946696	0.2040292329	0.3437853546	0.6368441102	0.1277147034	0.2037907113	0.3436750258	0.6373503469	0.1279130188	0.2460375796	0.1038850071	-0.6242379279	1.9435526	c61843e	2x2_2C_8b_C2v_L	1.79	0.8834892048	0.8887050682	0.9999999996876991	0.1177467759	-0.2815679923	-0.0005709850952	0.0006920312576	-0.1762239228	1.06975254	-0.06544119907	-0.0206649857	-0.1761930725	1.06953886	-0.0652527716	-0.02133396014	0.2413068858	-0.9187849796	0.4800521153	-0.5324597017	run_optim.py	R0:S0:1	1	-0.4722109151	-0.8302666732	0.0006218195391	-0.008836521659	0.1832659562	-1.653799392	-0.130595383	0.9849403552	0.3454948723	-1.121765826	0.1304249526	-0.9847411594	-0.34574807	1.122877229	1.968581021e-05	5.019414054e-05	7.868782158e-05	-0.000296422307	2024-07-04@11:24	-0.4933333333	0.005124497237	0.1806512365	v2.6.0	
2	Broyden	0	0.005050777316	-10.4257347	-0.9196714909	Y	10.51	0.01897778637	self-energy/D	sharp_wc_2_b_35	0.1079510895	0.02474349883	0.2750436242	0.2344678698	0.2018022091	0.3457034772	0.6345116979	0.1298450777	0.201852226	0.3457928384	0.6346375152	0.1296797175	0.2455043666	0.1039434366	-0.6236372796	1.94330363	c61843e	2x2_2C_8b_C2v_L	1.78	0.8824256188	0.8876086932	0.9999999997286153	0.1182135062	-0.2835901773	0.0008752754379	-0.00128740246	-0.1754938592	1.073713173	-0.06430175301	-0.02453210227	-0.1754220852	1.073671003	-0.06436388385	-0.02419358235	0.2403450813	-0.9195297252	0.4801812899	-0.5328098091	run_optim.py	R0:S0:1	1	-0.4724418999	-0.8319159274	-0.0008685865957	0.01212946498	0.1839371982	-1.659792178	-0.1291443156	0.9840839434	0.3464267684	-1.130124748	0.1292701066	-0.9844793862	-0.3462830713	1.129335563	-0.0001617284423	0.0001633053564	-0.0001770442725	0.0005594751972	2024-07-04@11:28	-0.49	0.004940447942	0.1790929867	v2.6.0	
2	Broyden	0	0.00487043835	-10.4518291	-0.9189363659	Y	10.49666667	0.01909255335	self-energy/D	sharp_wc_2_b_35	0.1112984164	0.025371313	0.2728861302	0.2338085344	0.2056256502	0.3439325656	0.6382374999	0.1270117087	0.2037385771	0.3439128514	0.6366742686	0.1277602014	0.2483080117	0.1032794453	-0.6247848597	1.94402134	c61843e	2x2_2C_8b_C2v_L	1.786666667	0.8831478288	0.88841784	0.9999999996798823	0.1202724513	-0.2864574982	0.0009740246267	-0.001279323359	-0.1765905469	1.072039532	-0.06608511501	-0.01902918105	-0.1761495983	1.071976815	-0.06531727406	-0.02132940537	0.2411599573	-0.9187949639	0.4788104146	-0.5297115083	run_optim.py	R0:S0:1	1	-0.4731406136	-0.8326284987	-0.0009188188694	0.01278503489	0.18392686	-1.657581253	-0.131396447	0.9897626446	0.3445532714	-1.119364344	0.1303820809	-0.987321806	-0.3447286692	1.122332114	0.0002210950122	-0.0003771337031	5.597478096e-05	-0.0001385659817	2024-07-04@11:31	-0.4866666667	0.004525505856	0.1773449326	v2.6.0	
5	Broyden	0	0.005106322319	-10.42165884	-0.920886063	Y	10.50444444	0.0189745304	self-energy/D	sharp_wc_2_b_35	0.1068407211	0.02413817777	0.2773408427	0.2341764749	0.2018809927	0.3459914239	0.6374385109	0.1299180686	0.2014977836	0.3467781277	0.635961356	0.1302015341	0.244456731	0.1043565169	-0.624363984	1.942834709	c61843e	2x2_2C_8b_C2v_L	1.777777778	0.882288949	0.887482568	0.9999999997302262	0.1167011408	-0.28048003	0.001453956053	-0.001546533448	-0.1753580472	1.07383363	-0.064237731	-0.02438860356	-0.1751990131	1.073628509	-0.06464800782	-0.02323697001	0.2403909001	-0.9202571731	0.4818467904	-0.5350574206	run_optim.py	R0:S0:1	1	-0.4721285056	-0.8311987785	-0.001516897773	0.02209649576	0.1838840537	-1.660369028	-0.1291970331	0.9831275065	0.3476543334	-1.130672418	0.1292735642	-0.9851690347	-0.3473618856	1.131950969	0.0003699520661	-0.0007926505524	4.736362013e-05	9.394884304e-05	2024-07-04@11:37	-0.4944444444	0.005354828358	0.1813900137	v2.6.0	
2	Broyden	0	0.005325537982	-10.38770656	-0.9223413331	Y	10.50666667	0.01889737449	self-energy/D	sharp_wc_2_b_35	0.1051245908	0.02329793939	0.2842039591	0.2340557725	0.2007506259	0.3489747865	0.6391606805	0.1308669218	0.2004688531	0.3493861236	0.6390063498	0.1312352444	0.2419654212	0.1047198327	-0.6257039212	1.942215754	c61843e	2x2_2C_8b_C2v_L	1.766666667	0.8812141231	0.886339979	0.999999999697276	0.1155283863	-0.2772507302	0.001044122506	-0.0008016611106	-0.1746139715	1.07755624	-0.06417813323	-0.02460226563	-0.1746120218	1.078192163	-0.0641844743	-0.0248170294	0.2395631468	-0.921226538	0.483610514	-0.5373139449	run_optim.py	R0:S0:1	1	-0.4720773356	-0.8316829433	-0.001209598769	0.01823468381	0.1852970039	-1.665732503	-0.1292400925	0.9871451562	0.3489217839	-1.134735144	0.12887405	-0.9867194274	-0.3491832067	1.136634638	0.0007764400753	-0.001349301061	0.0005912773878	-0.001524102391	2024-07-04@11:41	-0.4966666667	0.005502241247	0.1825336707	v2.6.0	
7	Broyden	0	0.005493901204	-10.33815892	-0.9210804186	Y	10.50888889	0.01881545742	self-energy/D	sharp_wc_2_b_35	0.1106753744	0.02515351834	0.2759161922	0.2389978511	0.1972170992	0.3523478609	0.6332763947	0.133499066	0.1973560741	0.3524840201	0.6341604694	0.1328859929	0.2387861235	0.104660742	-0.622779151	1.942585251	c61843e	2x2_2C_8b_C2v_L	1.755555556	0.879796136	0.8850721187	0.9999999997022276	0.1192895439	-0.2878787428	-0.000820224292	0.0009963263489	-0.173867484	1.086467328	-0.06220928985	-0.0319125738	-0.1738113256	1.086676715	-0.062654534	-0.03015755854	0.2367494582	-0.9214869063	0.4801580084	-0.5334693591	run_optim.py	R0:S0:1	1	-0.4731652539	-0.8363664071	0.0008867387918	-0.01248556561	0.1860230301	-1.676688799	-0.1266147752	0.9871115983	0.3482804005	-1.144874814	0.1269525235	-0.9876424468	-0.348117907	1.142145035	0.0004479874141	-0.0005158506404	0.0003431173441	-0.001129700417	2024-07-04@11:48	-0.4822222222	0.004614202261	0.1756742174	v2.6.0	
