CDMFT_iterations	CDMFT_method	D	D_ave	E0_1	E_kin	GS_consistency	U	U_1_ave	convergence	dist_function	eb1_1	eb1_1_ave	eb2_1	eb2_1_ave	eb3_1	eb3_1_ave	eb4_1	eb4_1_ave	eb5_1	eb5_1_ave	eb6_1	eb6_1_ave	eb7_1	eb7_1_ave	eb8_1	eb8_1_ave	githash	model	mu	mu_1_ave	mu_ave	n_1	sb1_1	sb1_1_ave	sb2_1	sb2_1_ave	sb3_1	sb3_1_ave	sb4_1	sb4_1_ave	sb5_1	sb5_1_ave	sb6_1	sb6_1_ave	sb7_1	sb7_1_ave	sb8_1	sb8_1_ave	script	sector_1	t	t_1_ave	t_ave	tb1_1	tb1_1_ave	tb2_1	tb2_1_ave	tb3_1	tb3_1_ave	tb4_1	tb4_1_ave	tb5_1	tb5_1_ave	tb6_1	tb6_1_ave	tb7_1	tb7_1_ave	tb8_1	tb8_1_ave	time	tp	tp_1_ave	tp_ave	version	
4	Broyden	0	0.004560746997	-10.49959408	-0.9189210464	Y	10.5	0.01914464985	self-energy/D	sharp_wc_2_b_35	0.1059025141	0.02367555563	0.2769274147	0.2289299907	0.205234614	0.337075582	0.635893269	0.1275338286	0.2050986649	0.3369581645	0.6358042764	0.1276147997	0.2525993371	0.1026460801	-0.6251428782	1.943823369	a248bdd	2x2_2C_8b_C2v_L	1.8	0.8849478727	0.8898738546	0.9999999996787926	0.1162755011	-0.2764011133	-1.245650749e-05	-2.01592119e-05	-0.1764193466	1.057128429	-0.06543792235	-0.01955623406	-0.1764102313	1.057222553	-0.06530761182	-0.01999885323	0.2435157463	-0.9149330422	0.4814279545	-0.5331028689	run_optim.py	R0:S0:1	1	-0.4719249487	-0.8273111205	2.39241326e-05	-0.0003800689583	0.1822650122	-1.64350105	-0.1303761143	0.9751375092	0.3456997056	-1.120940162	0.1302077893	-0.9744032147	-0.3457806001	1.121240172	-9.03323975e-05	0.000138430633	-6.700237411e-05	0.0001820895641	2024-09-01@15:40	-0.5	0.005377198885	0.1832198518	v2.7.1	
4	Broyden	0	0.004595708667	-10.48893611	-0.9175552692	Y	10.55	0.0189437794	self-energy/D	sharp_wc_2_b_35	0.1056832447	0.02365703525	0.2763468183	0.2302599974	0.2032747405	0.3391249456	0.6321521301	0.1283895234	0.203176789	0.3390047679	0.6320738949	0.1284305355	0.2495990969	0.1035057463	-0.6221500869	1.943459216	a248bdd	2x2_2C_8b_C2v_L	1.8	0.8845093553	0.8894428879	0.9999999997246944	0.1159309473	-0.2764249432	-1.694129197e-05	2.534440479e-05	-0.1760789206	1.058497913	-0.06496308301	-0.02070357339	-0.1760696432	1.058639006	-0.06485598564	-0.02106489706	0.2428626131	-0.9158772209	0.4807335539	-0.534895648	run_optim.py	R0:S0:1	1	-0.4704862607	-0.8258095404	1.172644771e-05	-0.0001712944399	0.1823691692	-1.644694542	-0.129393364	0.9729767963	0.345596104	-1.123237988	0.1292383331	-0.9721880307	-0.3456584239	1.123332338	-9.246386859e-05	0.0001302737075	-8.423748788e-05	0.0002474433387	2024-09-01@15:46	-0.5	0.005653009045	0.1834914576	v2.7.1	
6	Broyden	0	0.0043836152	-10.56355288	-0.9175286791	Y	10.5	0.01926399549	self-energy/D	sharp_wc_2_b_35	0.1075716688	0.0244706628	0.2705550575	0.2289402775	0.2063483522	0.3373240759	0.6364274472	0.1247733165	0.2062322332	0.33724371	0.6363267479	0.1248555307	0.2507504868	0.1033721577	-0.6224265704	1.944299983	a248bdd	2x2_2C_8b_C2v_L	1.82	0.8865444743	0.8917393261	0.9999999997179675	0.1175905665	-0.2792863021	-1.76042483e-05	3.085015723e-05	-0.1776303944	1.057003557	-0.0663347357	-0.01693827386	-0.1776304938	1.057094614	-0.06621816433	-0.01733045063	0.2443440201	-0.9161101494	0.4788811197	-0.5311691914	run_optim.py	R0:S0:1	1	-0.4715218319	-0.8257568622	1.425677171e-05	-0.0001950339702	0.1807683626	-1.63540444	-0.1315949675	0.9772510691	0.343645347	-1.109639755	0.1314538438	-0.9766774358	-0.3437151748	1.109971802	-0.0001003863388	0.0001450911218	-6.811963986e-05	0.000193412678	2024-09-01@15:54	-0.5	0.005533799316	0.1835436337	v2.7.1	
5	Broyden	0	0.004614563498	-10.48608306	-0.9163556535	Y	10.5	0.01915817287	self-energy/D	sharp_wc_2_b_35	0.1152365982	0.02690537431	0.263103827	0.2348831585	0.2042866554	0.3417685909	0.633153069	0.1265627073	0.2041654564	0.3416911777	0.6330730405	0.1266463547	0.2477291954	0.1030538999	-0.6211402893	1.944870165	a248bdd	2x2_2C_8b_C2v_L	1.8	0.884290878	0.8896609644	0.9999999996287924	0.1229322126	-0.2928828072	-2.099993692e-05	3.978715563e-05	-0.1770532167	1.070091667	-0.06498806622	-0.02277220901	-0.1770511055	1.070178677	-0.06486977224	-0.0231702832	0.2408306056	-0.9170123566	0.4748572092	-0.5256831134	run_optim.py	R0:S0:1	1	-0.473339752	-0.8327364186	1.727702412e-05	-0.0002223835023	0.1825108491	-1.65202092	-0.1300159818	0.9839291906	0.342482238	-1.116902662	0.129876632	-0.9833690991	-0.3425535676	1.117244579	-0.0001059671346	0.0001534395562	-7.104761985e-05	0.0002042915201	2024-09-01@16:01	-0.48	0.004132254029	0.1742067393	v2.7.1	
3	Broyden	0	0.00503172749	-10.41761232	-0.9184451056	Y	10.53333333	0.01888685855	self-energy/D	sharp_wc_2_b_35	0.1105022228	0.02516333076	0.2726817034	0.2358298506	0.2006320418	0.34679943	0.6343568568	0.1298286381	0.2004627014	0.3467930808	0.6342716941	0.1298689613	0.2440914208	0.1041545284	-0.6212195017	1.943373427	a248bdd	2x2_2C_8b_C2v_L	1.78	0.8821901154	0.8874071547	0.9999999996211277	0.1192879181	-0.286057888	-2.591092246e-05	7.499994414e-05	-0.1753091725	1.0752489	-0.06389425648	-0.02575953258	-0.1752840875	1.075330247	-0.06381901357	-0.02595779116	0.2396402379	-0.9193815852	0.4786778667	-0.5322327202	run_optim.py	R0:S0:1	1	-0.4720206379	-0.8320042487	1.575300886e-05	-0.0001824397475	0.1841385295	-1.661704658	-0.1284673111	0.9834754662	0.346122845	-1.129950186	0.1283720872	-0.9831282421	-0.3461465326	1.130085315	-0.0001425330327	0.0002086131432	-9.834001832e-05	0.0002823475223	2024-09-01@16:05	-0.4866666667	0.004864310943	0.1776181992	v2.7.1	
2	Broyden	0	0.005372206572	-10.34529281	-0.9190007702	Y	10.55	0.0187019786	self-energy/D	sharp_wc_2_b_35	0.1124552001	0.02556430973	0.2733954592	0.2394357334	0.1984342007	0.3514985121	0.6329490185	0.1322065191	0.1983238929	0.351433688	0.6329141394	0.132276789	0.2404383871	0.1045558045	-0.6207118774	1.942879815	a248bdd	2x2_2C_8b_C2v_L	1.76	0.879957683	0.8851944318	0.999999999726296	0.1202813485	-0.2897709465	-2.303366019e-05	4.53788221e-05	-0.1741981362	1.083995433	-0.06313704567	-0.02861577477	-0.1741934172	1.084081729	-0.0630358174	-0.0289555909	0.2371887417	-0.9209560477	0.4786386303	-0.5327427454	run_optim.py	R0:S0:1	1	-0.4723292887	-0.8352315483	1.899618087e-05	-0.0002494792046	0.1857860433	-1.675108524	-0.1274257676	0.9880014783	0.3470484845	-1.139165572	0.1273027893	-0.9875012656	-0.3471153876	1.139450623	-7.548817024e-05	0.0001114250952	-4.830872445e-05	0.0001401840793	2024-09-01@16:09	-0.48	0.004499778347	0.1745192124	v2.7.1	
6	Broyden	0	0.005084822662	-10.38203138	-0.9160854215	Y	10.56666667	0.0187327	self-energy/D	sharp_wc_2_b_35	0.1160273127	0.02700424027	0.2656583515	0.239700913	0.1993573778	0.3486886964	0.6266057353	0.1310183378	0.1992773468	0.3485657401	0.6265343443	0.1311080023	0.2429961987	0.1039810777	-0.6186753503	1.943877472	a248bdd	2x2_2C_8b_C2v_L	1.773333333	0.8810647704	0.886360545	0.9999999997337307	0.1231119712	-0.295656997	-2.027212728e-05	4.172739003e-05	-0.1750962757	1.080737634	-0.06324835845	-0.0283569642	-0.1751144316	1.080884461	-0.06310578691	-0.02885776289	0.2377800851	-0.9194880128	0.4751632692	-0.5286960483	run_optim.py	R0:S0:1	1	-0.472352483	-0.8350222268	1.130617042e-05	-0.0001424608887	0.1847548636	-1.668997675	-0.1273821159	0.9850882251	0.343931309	-1.133111813	0.1272189273	-0.9843190837	-0.3440220641	1.133460762	-9.96714735e-05	0.0001426016151	-6.506055647e-05	0.000193607908	2024-09-01@16:16	-0.4733333333	0.003966677044	0.1712602705	v2.7.1	
5	Broyden	0	0.005379333594	-10.32096182	-0.9167594323	Y	10.52777778	0.01878699885	self-energy/D	sharp_wc_2_b_35	0.1240694821	0.02941000431	0.2592305853	0.2448073197	0.1985864339	0.3531443463	0.6267907276	0.1320417085	0.1984850882	0.3530534872	0.6267145625	0.1321272435	0.239545798	0.1035413475	-0.6190998382	1.944435285	a248bdd	2x2_2C_8b_C2v_L	1.755555556	0.8791356883	0.8846201553	0.9999999997003791	0.1284920841	-0.3088120302	-1.900360248e-05	3.455911222e-05	-0.1748881118	1.094926985	-0.06256421064	-0.03232214189	-0.1748898381	1.095022867	-0.06244799336	-0.03273411759	0.234446932	-0.9203653246	0.4719757442	-0.5228854182	run_optim.py	R0:S0:1	1	-0.4750352162	-0.8426551042	1.592678115e-05	-0.000199120614	0.1862962446	-1.683926125	-0.1267195327	0.9943542301	0.3430886842	-1.137939805	0.1265787003	-0.99374762	-0.3431622652	1.138276693	-9.907478174e-05	0.0001445778319	-6.739188227e-05	0.0001991959577	2024-09-01@16:22	-0.4555555556	0.002556212709	0.1626680373	v2.7.1	
4	Broyden	0	0.005758140519	-10.23907447	-0.9169897118	Y	10.51666667	0.01871789656	self-energy/D	sharp_wc_2_b_35	0.1351808821	0.0326353617	0.251190818	0.2519340804	0.1977912096	0.3591191093	0.6228447996	0.1340113273	0.1976952036	0.359027961	0.6227671767	0.1340968798	0.2352771525	0.1032892937	-0.6181734656	1.944950802	a248bdd	2x2_2C_8b_C2v_L	1.733333333	0.8763309956	0.8819944267	0.9999999997248705	0.1355237269	-0.3259118482	-1.979455911e-05	3.896496921e-05	-0.1748140787	1.113215127	-0.06181464968	-0.0370323057	-0.174816925	1.113312157	-0.06170094189	-0.03744301195	0.2303391604	-0.9220399889	0.4677569146	-0.5166662883	run_optim.py	R0:S0:1	1	-0.4774927739	-0.8512131617	1.650023046e-05	-0.0001933486328	0.1882125526	-1.702737974	-0.1255496236	1.004190775	0.3415527526	-1.145297543	0.1254120517	-1.003586147	-0.3416240245	1.14563084	-9.527693161e-05	0.0001394770538	-6.439158148e-05	0.0001933701416	2024-09-01@16:28	-0.4333333333	0.000836599889	0.1517920386	v2.7.1	
1	Broyden	0	0.006161407602	-10.15798549	-0.9183177328	Y	10.58888889	0.01827763888	self-energy/D	sharp_wc_2_b_35	0.1260048639	0.02966440011	0.2643691893	0.2519925331	0.191316085	0.3643811384	0.620221832	0.1393401245	0.1912232073	0.364286913	0.620171394	0.1394237121	0.2291142503	0.1048862679	-0.6175192169	1.942933286	a248bdd	2x2_2C_8b_C2v_L	1.711111111	0.8739009715	0.8793696008	0.9999999997247477	0.1294574833	-0.3140829281	-2.062725321e-05	3.414503749e-05	-0.1722819129	1.116497739	-0.05928365472	-0.04425188855	-0.1722832928	1.116595209	-0.05917040805	-0.04466255064	0.2288537379	-0.9239803997	0.4724690908	-0.5259791872	run_optim.py	R0:S0:1	1	-0.4749547349	-0.8484249699	1.845261145e-05	-0.0002345364864	0.1901132081	-1.71154947	-0.1219736962	0.9951539548	0.3460741357	-1.164589988	0.1218362567	-0.9945392488	-0.346148407	1.164909424	-9.296330263e-05	0.0001392188068	-6.155414804e-05	0.0001843000079	2024-09-01@16:30	-0.4444444444	0.001979307871	0.1572587165	v2.7.1	
