CDMFT_iterations	CDMFT_method	D	D_ave	E0_1	E_kin	GS_consistency	U	U_1_ave	convergence	dist_function	eb1_1	eb1_1_ave	eb2_1	eb2_1_ave	eb3_1	eb3_1_ave	eb4_1	eb4_1_ave	eb5_1	eb5_1_ave	eb6_1	eb6_1_ave	eb7_1	eb7_1_ave	eb8_1	eb8_1_ave	githash	model	mu	mu_1_ave	mu_ave	n_1	sb1_1	sb1_1_ave	sb2_1	sb2_1_ave	sb3_1	sb3_1_ave	sb4_1	sb4_1_ave	sb5_1	sb5_1_ave	sb6_1	sb6_1_ave	sb7_1	sb7_1_ave	sb8_1	sb8_1_ave	script	sector_1	t	t_1_ave	t_ave	tb1_1	tb1_1_ave	tb2_1	tb2_1_ave	tb3_1	tb3_1_ave	tb4_1	tb4_1_ave	tb5_1	tb5_1_ave	tb6_1	tb6_1_ave	tb7_1	tb7_1_ave	tb8_1	tb8_1_ave	time	tp	tp_1_ave	tp_ave	version	
4	Broyden	0	0.004560747092	-10.49959408	-0.9189210465	Y	10.5	0.01914464984	self-energy/D	sharp_wc_2_b_35	0.1059025144	0.02367555558	0.2769274144	0.2289299912	0.2052346126	0.3370755831	0.6358932682	0.127533829	0.2050986637	0.3369581656	0.6358042756	0.1276148001	0.2525993346	0.1026460805	-0.6251428765	1.943823369	a248bdd	2x2_2C_8b_C2v_L	1.8	0.8849478726	0.8898738545	0.9999999997103961	0.1162755009	-0.2764011132	-1.245650529e-05	-2.015909397e-05	-0.1764193461	1.057128429	-0.06543792209	-0.01955623458	-0.1764102309	1.057222554	-0.06530761158	-0.01999885366	0.2435157455	-0.9149330421	0.4814279545	-0.5331028697	run_optim.py	R0:S0:1	1	-0.4719249486	-0.8273111206	2.392408495e-05	-0.000380068163	0.1822650124	-1.643501051	-0.130376114	0.9751375095	0.345699706	-1.120940164	0.1302077892	-0.9744032148	-0.3457806004	1.121240174	-9.033230697e-05	0.0001384304738	-6.700230468e-05	0.0001820894007	2024-09-11@14:45	-0.5	0.00537719899	0.1832198518	v2.7.1	
4	Broyden	0	0.004595706853	-10.48893608	-0.9175552595	Y	10.55	0.01894377931	self-energy/D	sharp_wc_2_b_35	0.1056832445	0.02365703207	0.2763468244	0.2302599801	0.2032747224	0.3391249081	0.632152076	0.1283895451	0.203176774	0.3390047152	0.6320738407	0.1284305469	0.2495991033	0.1035057318	-0.6221500854	1.943459217	a248bdd	2x2_2C_8b_C2v_L	1.8	0.8845093592	0.8894428892	0.9999999996068151	0.1159309423	-0.2764249221	-1.694119602e-05	2.533030151e-05	-0.1760789153	1.058497825	-0.0649630725	-0.02070359144	-0.1760696347	1.058638929	-0.06485597602	-0.02106491336	0.2428626013	-0.9158771545	0.4807335554	-0.534895644	run_optim.py	R0:S0:1	1	-0.4704862626	-0.8258095337	1.172689958e-05	-0.0001713170656	0.1823691704	-1.644694511	-0.12939335	0.9729767289	0.3455961058	-1.12323808	0.1292383116	-0.9721878835	-0.3456584253	1.123332364	-9.246790053e-05	0.0001302850613	-8.423326404e-05	0.0002474243353	2024-09-11@14:53	-0.5	0.005653007879	0.1834914516	v2.7.1	
6	Broyden	0	0.004383615199	-10.56355288	-0.9175286791	Y	10.5	0.01926399549	self-energy/D	sharp_wc_2_b_35	0.1075716687	0.02447066281	0.2705550577	0.2289402774	0.2063483525	0.3373240759	0.6364274477	0.1247733164	0.2062322335	0.33724371	0.6363267485	0.1248555305	0.2507504872	0.1033721577	-0.6224265712	1.944299983	a248bdd	2x2_2C_8b_C2v_L	1.82	0.8865444744	0.8917393261	0.9999999996981364	0.1175905665	-0.2792863021	-1.760425708e-05	3.085014451e-05	-0.1776303945	1.057003557	-0.06633473579	-0.0169382737	-0.1776304938	1.057094614	-0.06621816441	-0.01733045048	0.2443440202	-0.9161101496	0.4788811199	-0.5311691914	run_optim.py	R0:S0:1	1	-0.4715218319	-0.8257568622	1.425679173e-05	-0.0001950342698	0.1807683626	-1.635404439	-0.1315949677	0.9772510696	0.343645347	-1.109639755	0.1314538439	-0.9766774364	-0.3437151747	1.109971801	-0.0001003863607	0.000145091154	-6.811965361e-05	0.0001934127097	2024-09-11@15:02	-0.5	0.005533799287	0.1835436337	v2.7.1	
5	Broyden	0	0.004614563498	-10.48608306	-0.9163556535	Y	10.5	0.01915817287	self-energy/D	sharp_wc_2_b_35	0.1152365983	0.02690537433	0.2631038268	0.2348831587	0.2042866555	0.3417685908	0.633153069	0.1265627073	0.2041654564	0.3416911777	0.6330730405	0.1266463547	0.2477291956	0.1030538999	-0.6211402891	1.944870165	a248bdd	2x2_2C_8b_C2v_L	1.8	0.8842908779	0.8896609644	0.999999999679724	0.1229322126	-0.2928828073	-2.09999436e-05	3.978721425e-05	-0.1770532167	1.070091667	-0.06498806619	-0.02277220924	-0.1770511055	1.070178677	-0.06486977223	-0.02317028331	0.2408306057	-0.9170123567	0.4748572091	-0.5256831134	run_optim.py	R0:S0:1	1	-0.473339752	-0.8327364187	1.727702044e-05	-0.0002223834019	0.1825108491	-1.65202092	-0.1300159818	0.9839291904	0.3424822381	-1.116902662	0.129876632	-0.9833690992	-0.3425535676	1.117244579	-0.0001059671619	0.0001534395953	-7.10476314e-05	0.0002042915485	2024-09-11@15:10	-0.48	0.00413225404	0.1742067393	v2.7.1	
3	Broyden	0	0.005031727497	-10.41761236	-0.9184451019	Y	10.53333333	0.01888685832	self-energy/D	sharp_wc_2_b_35	0.1105022124	0.02516332997	0.2726816989	0.235829849	0.2006320224	0.3467994324	0.6343568433	0.1298286442	0.2004626791	0.346793085	0.6342716859	0.1298689661	0.2440913756	0.1041545313	-0.6212195285	1.943373426	a248bdd	2x2_2C_8b_C2v_L	1.78	0.8821901164	0.8874071548	0.9999999996913889	0.1192879137	-0.2860578811	-2.591328073e-05	7.500415474e-05	-0.1753091675	1.075248895	-0.06389424793	-0.02575955602	-0.1752840817	1.075330244	-0.06381900524	-0.02595781128	0.2396402249	-0.919381573	0.4786778719	-0.5322327282	run_optim.py	R0:S0:1	1	-0.4720206361	-0.8320042448	1.575528998e-05	-0.0001824704316	0.1841385274	-1.66170464	-0.1284672999	0.983475431	0.3461228475	-1.12995021	0.1283720763	-0.9831282093	-0.3461465353	1.130085334	-0.0001425357706	0.0002086173359	-9.834194396e-05	0.0002823529188	2024-09-11@15:16	-0.4866666667	0.00486431151	0.1776181996	v2.7.1	
2	Broyden	0	0.005372206575	-10.34529277	-0.9190007713	Y	10.55	0.01870197865	self-energy/D	sharp_wc_2_b_35	0.1124552035	0.02556430999	0.2733954586	0.2394357348	0.1984342028	0.3514985041	0.6329489835	0.1322065265	0.198323897	0.3514336809	0.6329141088	0.1322767946	0.2404384017	0.1045558033	-0.6207118568	1.942879815	a248bdd	2x2_2C_8b_C2v_L	1.76	0.8799576826	0.8851944317	0.9999999997147352	0.1202813491	-0.2897709486	-2.303564055e-05	4.538239736e-05	-0.174198137	1.083995427	-0.06313704333	-0.02861578463	-0.1741934186	1.084081724	-0.06303581669	-0.02895559502	0.2371887447	-0.9209560495	0.478638628	-0.5327427446	run_optim.py	R0:S0:1	1	-0.4723292893	-0.8352315495	1.899798922e-05	-0.0002495032305	0.1857860441	-1.675108532	-0.1274257652	0.9880014627	0.3470484815	-1.139165594	0.1273027886	-0.9875012545	-0.3471153845	1.139450638	-7.548726848e-05	0.0001114236951	-4.830823949e-05	0.0001401828571	2024-09-11@15:21	-0.48	0.004499778261	0.1745192121	v2.7.1	
6	Broyden	0	0.005084822204	-10.38203144	-0.9160854218	Y	10.56666667	0.01873270011	self-energy/D	sharp_wc_2_b_35	0.1160273114	0.027004242	0.2656583509	0.2397009108	0.1993574132	0.3486886629	0.6266057524	0.1310183367	0.1992773467	0.3485657549	0.6265343525	0.1311079915	0.242996225	0.1039810756	-0.6186753763	1.943877473	a248bdd	2x2_2C_8b_C2v_L	1.773333333	0.8810647708	0.8863605454	0.9999999997106138	0.1231119751	-0.295657005	-2.026903176e-05	4.171273209e-05	-0.175096293	1.080737665	-0.06324834437	-0.02835702305	-0.1751144241	1.08088442	-0.06310581045	-0.02885768452	0.2377800936	-0.9194880188	0.4751632761	-0.5286960472	run_optim.py	R0:S0:1	1	-0.4723524834	-0.8350222272	1.131133952e-05	-0.0001425376519	0.1847548611	-1.668997668	-0.127382107	0.9850881224	0.3439313196	-1.133111809	0.1272189499	-0.9843192165	-0.3440220486	1.133460723	-9.967455647e-05	0.0001426101857	-6.50669331e-05	0.0001936210691	2024-09-11@15:30	-0.4733333333	0.003966676019	0.1712602702	v2.7.1	
5	Broyden	0	0.005379333613	-10.32096183	-0.9167594321	Y	10.52777778	0.01878699887	self-energy/D	sharp_wc_2_b_35	0.1240694831	0.02941000439	0.2592305849	0.2448073194	0.1985864335	0.3531443516	0.6267907384	0.1320417044	0.1984850971	0.3530534809	0.6267145761	0.1321272412	0.2395458011	0.103541347	-0.6190998405	1.944435286	a248bdd	2x2_2C_8b_C2v_L	1.755555556	0.8791356883	0.8846201552	0.9999999997229627	0.1284920844	-0.3088120306	-1.900491263e-05	3.456379664e-05	-0.1748881098	1.094926977	-0.06256421786	-0.03232211703	-0.1748898411	1.09502287	-0.06244799125	-0.03273412597	0.2344469328	-0.920365324	0.4719757449	-0.5228854175	run_optim.py	R0:S0:1	1	-0.4750352163	-0.8426551041	1.592566772e-05	-0.0001991044063	0.1862962444	-1.683926125	-0.1267195389	0.9943542647	0.3430886824	-1.137939792	0.1265787011	-0.9937476084	-0.343162268	1.138276686	-9.907485153e-05	0.0001445771906	-6.739009844e-05	0.0001991916932	2024-09-11@15:38	-0.4555555556	0.002556212586	0.1626680369	v2.7.1	
4	Broyden	0	0.005758140489	-10.23907448	-0.9169897121	Y	10.51666667	0.01871789663	self-energy/D	sharp_wc_2_b_35	0.1351808836	0.03263536161	0.2511908201	0.2519340795	0.1977912178	0.3591191072	0.6228448188	0.1340113228	0.1976952125	0.3590279607	0.6227671954	0.1340968738	0.2352771582	0.1032892931	-0.6181734664	1.944950802	a248bdd	2x2_2C_8b_C2v_L	1.733333333	0.8763309956	0.8819944267	0.99999999969808	0.1355237277	-0.3259118483	-1.979403411e-05	3.896464837e-05	-0.1748140804	1.113215126	-0.0618146532	-0.03703229598	-0.1748169268	1.113312156	-0.06170094708	-0.03744299541	0.2303391623	-0.9220399896	0.467756915	-0.5166662869	run_optim.py	R0:S0:1	1	-0.4774927744	-0.8512131623	1.649953102e-05	-0.0001933397367	0.1882125532	-1.702737976	-0.1255496284	1.00419079	0.3415527541	-1.14529753	0.1254120584	-1.003586169	-0.3416240244	1.14563082	-9.527627757e-05	0.0001394760616	-6.43911228e-05	0.000193368775	2024-09-11@15:45	-0.4333333333	0.0008365995651	0.1517920381	v2.7.1	
1	Broyden	0	0.006161407598	-10.1579855	-0.9183177335	Y	10.58888889	0.0182776389	self-energy/D	sharp_wc_2_b_35	0.1260048632	0.02966440046	0.264369188	0.2519925347	0.1913160785	0.3643811488	0.6202218184	0.1393401246	0.1912232158	0.3642868976	0.6201713885	0.1394237186	0.2291142567	0.1048862683	-0.617519222	1.942933286	a248bdd	2x2_2C_8b_C2v_L	1.711111111	0.8739009712	0.8793696006	0.9999999996845244	0.1294574834	-0.31408293	-2.062769204e-05	3.413551799e-05	-0.1722819118	1.116497738	-0.05928365741	-0.04425187398	-0.1722832965	1.116595217	-0.05917040085	-0.04466258731	0.2288537406	-0.9239804058	0.4724690926	-0.5259791873	run_optim.py	R0:S0:1	1	-0.4749547348	-0.8484249705	1.845528487e-05	-0.0002345806026	0.190113208	-1.711549474	-0.121973701	0.9951539903	0.3460741296	-1.164589986	0.1218362474	-0.9945391939	-0.3461484136	1.164909447	-9.295996038e-05	0.0001392132752	-6.155429656e-05	0.000184301764	2024-09-11@15:49	-0.4444444444	0.00197930786	0.1572587167	v2.7.1	
