CDMFT_iterations	CDMFT_method	D	D_ave	E0_1	E_kin	GS_consistency	U	U_1_ave	convergence	dist_function	eb1_1	eb1_1_ave	eb2_1	eb2_1_ave	eb3_1	eb3_1_ave	eb4_1	eb4_1_ave	eb5_1	eb5_1_ave	eb6_1	eb6_1_ave	eb7_1	eb7_1_ave	eb8_1	eb8_1_ave	githash	model	mu	mu_1_ave	mu_ave	n_1	sb1_1	sb1_1_ave	sb2_1	sb2_1_ave	sb3_1	sb3_1_ave	sb4_1	sb4_1_ave	sb5_1	sb5_1_ave	sb6_1	sb6_1_ave	sb7_1	sb7_1_ave	sb8_1	sb8_1_ave	script	sector_1	t	t_1_ave	t_ave	tb1_1	tb1_1_ave	tb2_1	tb2_1_ave	tb3_1	tb3_1_ave	tb4_1	tb4_1_ave	tb5_1	tb5_1_ave	tb6_1	tb6_1_ave	tb7_1	tb7_1_ave	tb8_1	tb8_1_ave	time	tp	tp_1_ave	tp_ave	version	
4	Broyden	0	0.004560747056	-10.49959408	-0.9189210466	Y	10.5	0.01914464985	self-energy/D	sharp_wc_2_b_35	0.1059025144	0.02367555559	0.2769274144	0.228929991	0.2052346129	0.3370755825	0.6358932681	0.127533829	0.205098664	0.3369581651	0.6358042755	0.1276148001	0.2525993354	0.1026460803	-0.625142877	1.943823369	a248bdd	2x2_2C_8b_C2v_L	1.8	0.8849478726	0.8898738545	0.9999999997127502	0.116275501	-0.2764011132	-1.245651678e-05	-2.015909034e-05	-0.1764193462	1.057128429	-0.0654379221	-0.01955623455	-0.176410231	1.057222553	-0.06530761159	-0.01999885364	0.2435157457	-0.9149330419	0.4814279545	-0.5331028695	run_optim.py	R0:S0:1	1	-0.4719249486	-0.8273111207	2.392410074e-05	-0.0003800683974	0.1822650123	-1.643501051	-0.130376114	0.9751375088	0.3456997059	-1.120940164	0.1302077892	-0.9744032143	-0.3457806003	1.121240174	-9.03323523e-05	0.0001384305393	-6.700234268e-05	0.0001820895097	2024-07-11@10:32	-0.5	0.005377198957	0.1832198518	v2.7.1	
4	Broyden	0	0.00455959415	-10.49659712	-0.9186655202	Y	10.51	0.01909588051	self-energy/D	sharp_wc_2_b_35	0.1057610263	0.02371524848	0.2763804482	0.2294846103	0.2036873101	0.3376186544	0.6336576189	0.1283311604	0.203679255	0.3373670137	0.633556554	0.1284686099	0.2506621061	0.1029982714	-0.6244727075	1.943690597	a248bdd	2x2_2C_8b_C2v_L	1.8	0.8848521473	0.889803804	0.9999999996828153	0.1161747207	-0.2766329972	-1.20451304e-05	-5.547128485e-05	-0.1762376171	1.058075315	-0.06459907456	-0.02221988983	-0.1762796425	1.058223477	-0.06441246668	-0.02296193563	0.243052116	-0.9151846501	0.4811743953	-0.5336296218	run_optim.py	R0:S0:1	1	-0.4715558195	-0.8269741854	2.688917976e-05	-0.0004626086544	0.1822132122	-1.643836276	-0.1292306648	0.9718904032	0.3458559221	-1.123657408	0.1289905766	-0.9707107292	-0.3460103023	1.124200553	-0.0001090433469	0.0001568012158	-9.390882037e-05	0.0002730436828	2024-07-11@10:37	-0.5	0.005499137311	0.1833826696	v2.7.1	
5	Broyden	0	0.004573625623	-10.53048552	-0.9185385497	Y	10.5	0.01919701964	self-energy/D	sharp_wc_2_b_35	0.1064526207	0.02412517766	0.2735688292	0.2296997605	0.2049984076	0.3399196962	0.6382756535	0.1257753991	0.2048623687	0.3398550037	0.638162311	0.1258489161	0.2485440477	0.1036859678	-0.6229211099	1.943846375	a248bdd	2x2_2C_8b_C2v_L	1.81	0.8855794531	0.8907392573	0.9999999996774929	0.1169045628	-0.2783147907	-1.742383179e-05	4.101419573e-05	-0.1769558525	1.060988652	-0.06600260159	-0.01798535899	-0.1769497146	1.061085797	-0.06589048784	-0.01834446132	0.2433366912	-0.9169351645	0.4798994296	-0.5326435641	run_optim.py	R0:S0:1	1	-0.4715831442	-0.8267016599	1.140425917e-05	-0.0001459351068	0.1815959977	-1.64064538	-0.131176407	0.9795085157	0.3449301857	-1.114171259	0.131041199	-0.9789613132	-0.3449875924	1.114455287	-9.739284058e-05	0.0001414787519	-6.493408863e-05	0.0001842499107	2024-07-11@10:43	-0.5	0.00558313676	0.1836737796	v2.7.1	
5	Broyden	0	0.004694082887	-10.49220297	-0.9178566572	Y	10.5	0.01914488789	self-energy/D	sharp_wc_2_b_35	0.1100111066	0.02524556507	0.2702698073	0.2324120512	0.2039068528	0.3422931695	0.6373647426	0.1264606471	0.2037881948	0.3421982393	0.6372649945	0.1265508095	0.2471724222	0.1034560884	-0.6224690067	1.944158976	a248bdd	2x2_2C_8b_C2v_L	1.8	0.8844701191	0.8896985937	0.9999999996459434	0.1194828714	-0.2847152241	-1.363194037e-05	2.512742285e-05	-0.1765749881	1.067288898	-0.06548617874	-0.02020589287	-0.1765762296	1.067391745	-0.06535636099	-0.02064804037	0.2416118019	-0.9171982121	0.4779210796	-0.5298351573	run_optim.py	R0:S0:1	1	-0.4725188006	-0.8301747747	9.915503552e-06	-0.0001334192237	0.182558336	-1.64872459	-0.1305822138	0.9836166805	0.344343932	-1.11708312	0.130427112	-0.9829689719	-0.3444224768	1.117444866	-0.0001053968376	0.0001519387864	-7.262963523e-05	0.0002093636775	2024-07-11@10:49	-0.49	0.004855775311	0.1789426173	v2.7.1	
1	Broyden	0	0.004512136019	-10.5222353	-0.9177916285	Y	10.49	0.01923581087	self-energy/D	sharp_wc_2_b_35	0.1093586329	0.02494058281	0.2708413156	0.2302975425	0.2064291616	0.3379820955	0.6377865073	0.1256037256	0.2063185987	0.3378819956	0.6376412656	0.1257225274	0.2522064737	0.1026448737	-0.6250545633	1.944522061	a248bdd	2x2_2C_8b_C2v_L	1.806666667	0.8853850602	0.8905204883	0.9999999996550546	0.1189862415	-0.2824924777	-4.668141502e-06	-8.149458057e-05	-0.1772296531	1.060763028	-0.06589702023	-0.01902198625	-0.1771772291	1.060592435	-0.06582802028	-0.01935440438	0.2433680179	-0.9157170283	0.4788597462	-0.5293776648	run_optim.py	R0:S0:1	1	-0.4726067243	-0.8289032207	3.768206633e-05	-0.0006106562133	0.1819227986	-1.643200782	-0.1313785432	0.9806229949	0.3439919784	-1.11364818	0.131256858	-0.9803322154	-0.3440510957	1.114146924	-0.0001377809708	0.0002059030284	-0.0001264719718	0.0003542370899	2024-07-11@10:51	-0.4933333333	0.004899396185	0.180179205	v2.7.1	
4	Broyden	0	0.004724819263	-10.50011413	-0.9189897731	Y	10.505	0.01911946257	self-energy/D	sharp_wc_2_b_35	0.1067035128	0.0241419087	0.2742911311	0.2311298125	0.203328972	0.3417813503	0.6360548015	0.1273822323	0.2031224297	0.3418420487	0.6359457018	0.1273881318	0.2471776547	0.1039465922	-0.6225971175	1.943537882	a248bdd	2x2_2C_8b_C2v_L	1.801666667	0.8846845866	0.889855821	0.9999999997030862	0.1168954777	-0.2790966123	-2.232982886e-05	8.822613727e-05	-0.1763592368	1.064558478	-0.0651420093	-0.02089192522	-0.176315436	1.064614744	-0.06510874778	-0.0209050069	0.2424424447	-0.9178869418	0.4802393441	-0.5334435046	run_optim.py	R0:S0:1	1	-0.4715913154	-0.8277761294	9.878605701e-06	-8.246197959e-05	0.1822146773	-1.646046632	-0.1301135606	0.9790539319	0.3455911458	-1.120299426	0.1300648752	-0.9789512266	-0.3455686051	1.120278773	-0.0001231753455	0.0001807441262	-8.453560876e-05	0.0002373785828	2024-07-11@10:56	-0.4983333333	0.005564329274	0.1830374122	v2.7.1	
6	Broyden	0	0.004552411852	-10.51889229	-0.9173900037	Y	10.50333333	0.0191778189	self-energy/D	sharp_wc_2_b_35	0.1099614159	0.0252505804	0.2689010375	0.2316983451	0.2044659158	0.3398148445	0.6331910756	0.1265888392	0.204333933	0.3397640516	0.6330969426	0.1266633049	0.2493221427	0.1033829898	-0.6224813625	1.944316738	a248bdd	2x2_2C_8b_C2v_L	1.807777778	0.8852131619	0.8904669499	0.9999999996647662	0.1193259884	-0.2841588056	-1.704455405e-05	3.674370442e-05	-0.1770610658	1.063622364	-0.06516033695	-0.02136107291	-0.1770523232	1.063689613	-0.06505981537	-0.02168701494	0.2427437727	-0.9171440856	0.4779555856	-0.5298663608	run_optim.py	R0:S0:1	1	-0.4721412105	-0.8287918763	1.335080134e-05	-0.0001727431755	0.1818150857	-1.644366496	-0.1302045875	0.9784742075	0.3436636037	-1.116606328	0.130084729	-0.9780280237	-0.3437175942	1.116907785	-0.0001101376985	0.0001603315868	-7.295231803e-05	0.000206660715	2024-07-11@11:03	-0.4922222222	0.005029781073	0.1799961956	v2.7.1	
2	Broyden	0	0.004713382301	-10.50450424	-0.9190811111	Y	10.50083333	0.01914571425	self-energy/D	sharp_wc_2_b_35	0.1070635459	0.02422595011	0.2739228804	0.2311191309	0.2046586544	0.3414183056	0.6377126172	0.1266699441	0.2045625168	0.3413008195	0.6376387479	0.1267675512	0.2485897039	0.1037728402	-0.6237735516	1.943674558	a248bdd	2x2_2C_8b_C2v_L	1.801944444	0.8847373907	0.889923199	0.9999999997111907	0.1171200689	-0.2795072684	-1.679624255e-05	1.786486707e-05	-0.1765843941	1.063979619	-0.06585046685	-0.01874351346	-0.1765940355	1.064088483	-0.0657115806	-0.01923258069	0.2428561402	-0.918113427	0.4804243339	-0.5329633187	run_optim.py	R0:S0:1	1	-0.4717657131	-0.8280182251	1.550543322e-05	-0.0002270887968	0.1821869363	-1.646344305	-0.131060097	0.9819341169	0.3453100743	-1.11772224	0.1308944279	-0.9812236665	-0.3454058655	1.118124369	-9.651810667e-05	0.0001394324781	-6.608392371e-05	0.0001900694079	2024-07-11@11:06	-0.4980555556	0.005488871406	0.1828368041	v2.7.1	
2	Broyden	0	0.004846971467	-10.46831459	-0.9187712181	Y	10.50388889	0.01907917034	self-energy/D	sharp_wc_2_b_35	0.1094166435	0.02497205913	0.2719188231	0.2334608452	0.2033967511	0.3435854923	0.636304967	0.1277353126	0.2032622209	0.3435259561	0.6362115669	0.1278033482	0.2471829017	0.1037261433	-0.623267157	1.943762762	a248bdd	2x2_2C_8b_C2v_L	1.792407407	0.8836746848	0.8889091956	0.9999999996945333	0.1187818756	-0.2840213313	-2.177548476e-05	4.775384516e-05	-0.1761451098	1.069365811	-0.06518740075	-0.02134597208	-0.1761355764	1.069454792	-0.0650828353	-0.02168040388	0.2414007135	-0.9186232595	0.4792402975	-0.5314394045	run_optim.py	R0:S0:1	1	-0.4723524346	-0.8306512642	1.599238975e-05	-0.0002068906471	0.1830212573	-1.653615088	-0.1302620513	0.9842833462	0.3451975283	-1.121961829	0.1301347542	-0.9837698484	-0.3452518014	1.122222254	-9.979736373e-05	0.0001456966868	-6.703430551e-05	0.000191351367	2024-07-11@11:09	-0.4909259259	0.005007763725	0.1794974543	v2.7.1	
2	Broyden	0	0.004988276254	-10.43575409	-0.9189377383	Y	10.50583333	0.0190192458	self-energy/D	sharp_wc_2_b_35	0.1114830679	0.02539323434	0.2712476778	0.2354589045	0.2021873314	0.3457884972	0.6366491555	0.1287165522	0.2020888675	0.3456852125	0.6365755414	0.1288063892	0.2455143624	0.1038447292	-0.6225864134	1.943668429	a248bdd	2x2_2C_8b_C2v_L	1.783611111	0.8826935969	0.8879742291	0.9999999996731934	0.11984711	-0.2869970648	-1.816942008e-05	2.381859363e-05	-0.1757303496	1.074325077	-0.06458984532	-0.02370438868	-0.1757356606	1.074423851	-0.06446317757	-0.02414900555	0.2401626334	-0.9193181779	0.4786559777	-0.5308652856	run_optim.py	R0:S0:1	1	-0.4727220901	-0.8326460898	1.641944055e-05	-0.0002305438624	0.1838273966	-1.660437492	-0.1295368002	0.9862217783	0.3457037872	-1.126141988	0.1293856742	-0.9855752742	-0.3457876033	1.126505276	-0.0001097121127	0.0001592938952	-7.560978839e-05	0.0002190123342	2024-07-11@11:13	-0.4863888889	0.00475293415	0.1774128694	v2.7.1	
