CDMFT_iterations	CDMFT_method	D	D_ave	E0_1	E_kin	GS_consistency	U	U_1_ave	convergence	dist_function	eb1_1	eb1_1_ave	eb2_1	eb2_1_ave	eb3_1	eb3_1_ave	eb4_1	eb4_1_ave	eb5_1	eb5_1_ave	eb6_1	eb6_1_ave	eb7_1	eb7_1_ave	eb8_1	eb8_1_ave	githash	model	mu	mu_1_ave	mu_ave	n_1	sb1_1	sb1_1_ave	sb2_1	sb2_1_ave	sb3_1	sb3_1_ave	sb4_1	sb4_1_ave	sb5_1	sb5_1_ave	sb6_1	sb6_1_ave	sb7_1	sb7_1_ave	sb8_1	sb8_1_ave	script	sector_1	t	t_1_ave	t_ave	tb1_1	tb1_1_ave	tb2_1	tb2_1_ave	tb3_1	tb3_1_ave	tb4_1	tb4_1_ave	tb5_1	tb5_1_ave	tb6_1	tb6_1_ave	tb7_1	tb7_1_ave	tb8_1	tb8_1_ave	time	tp	tp_1_ave	tp_ave	version	
7	Broyden	0	0.004970117782	-11.30390544	-0.9796213358	Y	10	0.02234242547	self-energy/D	sharp_wc_2_b_35	-0.1543803044	1.985422171	0.3102737691	0.2097447021	0.6359915509	0.1294615961	-0.2354952357	1.684544423	0.2354642181	0.3153866151	0.6360520767	0.129378715	0.6312441785	0.07078266978	-0.2193769749	1.882228239	c61843e	2x2_2C_8b_C2v_L	2	0.9027167312	0.9084394194	0.9999999997073183	3.20259071e-05	-0.0005544913297	-2.38538454e-05	-5.341995317e-05	0.07501483557	-0.01288999284	-0.1324582403	0.8898648676	0.1952647312	-1.029916825	0.0750043594	-0.01292283911	-6.205155346e-05	0.0001333986597	-9.262169788e-05	0.0001732372539	run_optim.py	R0:S0:1	1	-0.4624462317	-0.7774646647	-0.1020121337	0.2308315346	0.1619158139	-1.544840296	-0.366379482	1.123619661	0.1953163848	-1.030008476	-0.132483429	0.8897276879	0.3663477449	-1.123159598	-0.5282378327	0.5971904002	-0.257000022	0.9305512186	2024-07-08@10:20	-0.7	0.02400329103	0.2887952445	v2.6.0	
7	Broyden	0	0.004975456124	-11.29695887	-0.9793304788	Y	10.01	0.02228363749	self-energy/D	sharp_wc_2_b_35	-0.1534047002	1.985338997	0.3081348394	0.2106894675	0.6340061872	0.129896141	-0.2348827968	1.684233077	0.2348821571	0.3156869783	0.6340817991	0.1297939979	0.629593608	0.07096726784	-0.2184150977	1.881889116	c61843e	2x2_2C_8b_C2v_L	2	0.9026101896	0.9083605623	0.9999999997035285	5.32399017e-05	-0.0008615256303	-4.71805497e-05	-2.065122993e-05	0.0748314473	-0.01251380056	-0.1321027584	0.8888473673	0.1951028951	-1.029720314	0.07483178568	-0.01257684973	-6.853690326e-05	0.0001513279118	-9.851275107e-05	0.0001838899005	run_optim.py	R0:S0:1	1	-0.4620191461	-0.7770820147	-0.1017487173	0.2313060886	0.1615379878	-1.545496923	-0.3662276931	1.12483665	0.1951439997	-1.029780971	-0.1321348655	0.8886610354	0.366197735	-1.124281366	-0.5279001023	0.5978279958	-0.2565940467	0.9305741824	2024-07-08@10:27	-0.7	0.02416251627	0.2889263773	v2.6.0	
3	Broyden	0	0.00493246073	-11.34970086	-0.9788702835	Y	10	0.0224154962	self-energy/D	sharp_wc_2_b_35	-0.1530077139	1.985247844	0.3049289779	0.2099554629	0.6370839638	0.127661691	-0.2373842473	1.685892441	0.2374119846	0.3140365923	0.6372029867	0.1275662299	0.6315776633	0.07003960466	-0.2239718079	1.882908216	c61843e	2x2_2C_8b_C2v_L	2.01	0.9034947283	0.9093399459	0.9999999997716642	4.549458374e-05	-0.0007514507445	-3.627069652e-05	-4.312050166e-05	0.07614155624	-0.0162912569	-0.1342843364	0.8934441557	0.1955053158	-1.026186922	0.07615647073	-0.01638673401	-6.120918579e-05	0.0001316700976	-9.23519489e-05	0.0001715725712	run_optim.py	R0:S0:1	1	-0.4625164153	-0.7771720879	-0.101981272	0.2312726508	0.1608850565	-1.542193165	-0.3650438985	1.116359062	0.1955444879	-1.026290358	-0.1343397033	0.8933998177	0.3650118727	-1.115861106	-0.5275580177	0.5951092207	-0.2586787668	0.9305934152	2024-07-08@10:31	-0.7	0.02389625374	0.2881402794	v2.6.0	
5	Broyden	0	0.00492530314	-11.28973769	-0.9754418082	Y	10	0.02235299399	self-energy/D	sharp_wc_2_b_35	-0.1392419236	1.985356285	0.3037825704	0.2094787319	0.6437511365	0.1254567602	-0.2361719475	1.68394174	0.2361682416	0.3159936235	0.6437833501	0.1253869536	0.6348197097	0.06855596227	-0.2290366825	1.884398391	c61843e	2x2_2C_8b_C2v_L	2	0.9029922786	0.908840658	0.9999999996678979	3.712615328e-05	-0.0006283489879	-3.302512101e-05	-2.182455479e-05	0.07656295386	-0.01702146663	-0.1364304004	0.9065838494	0.1938198752	-1.026376633	0.07655773092	-0.01705094927	-6.421233815e-05	0.0001479644038	-8.98189174e-05	0.0001587953288	run_optim.py	R0:S0:1	1	-0.4638584598	-0.7806535779	-0.0997066799	0.2286609289	0.1618248155	-1.545278305	-0.3638450057	1.109595734	0.1938537136	-1.026434603	-0.1364519304	0.9064398586	0.3638160747	-1.109195494	-0.5258764982	0.5899820675	-0.2592698981	0.9302431732	2024-07-08@10:37	-0.69	0.02266465848	0.2823017831	v2.6.0	
3	Broyden	0	0.004949575668	-11.34237126	-0.9831451608	Y	10.00666667	0.0223506946	self-energy/D	sharp_wc_2_b_35	-0.1647754506	1.985193195	0.311633151	0.2104898693	0.6280663858	0.1326290946	-0.2366676386	1.68698121	0.2367006404	0.3129525732	0.6281604975	0.1325153381	0.6279454492	0.072598976	-0.2133809912	1.880368826	c61843e	2x2_2C_8b_C2v_L	2.006666667	0.9029394474	0.9085887315	0.9999999996848221	4.754910543e-05	-0.000767100027	-4.13448261e-05	-3.223059256e-05	0.07412492556	-0.01087112998	-0.1293438718	0.8731107399	0.1972030954	-1.03019696	0.07415225934	-0.01101324151	-5.371329573e-05	0.0001100413792	-8.27188169e-05	0.0001620265796	run_optim.py	R0:S0:1	1	-0.4608497159	-0.7737517756	-0.1039574635	0.2341544173	0.1608678194	-1.542118844	-0.36790157	1.133482497	0.1972384898	-1.030274723	-0.1294076372	0.8730504741	0.3678634833	-1.132895517	-0.5301019718	0.6033292685	-0.2560888139	0.9311642676	2024-07-08@10:41	-0.71	0.02529387106	0.2949202608	v2.6.0	
3	Broyden	0	0.004988665457	-11.29345426	-0.982693274	Y	10.01111111	0.02223412154	self-energy/D	sharp_wc_2_b_35	-0.1664702706	1.985275415	0.312614895	0.2118942847	0.6268567889	0.1342122966	-0.2343922717	1.685499325	0.2344174495	0.3144399405	0.6269417559	0.1341101505	0.6283631438	0.07282150729	-0.212247352	1.880147468	c61843e	2x2_2C_8b_C2v_L	1.994444444	0.9019641284	0.9076149085	0.9999999996368351	4.259187516e-05	-0.0006798760943	-3.80726529e-05	-2.34159284e-05	0.07285487423	-0.006656625081	-0.1280210169	0.8726486067	0.1963000181	-1.033002837	0.07287545077	-0.006773031967	-5.471383084e-05	0.0001183445209	-8.130430991e-05	0.0001553220814	run_optim.py	R0:S0:1	1	-0.4608862287	-0.7751168191	-0.1038194545	0.2340642606	0.161674319	-1.548589462	-0.3685981926	1.139833718	0.1963339653	-1.033072774	-0.1280744807	0.8725841159	0.3685649034	-1.139308178	-0.5302800952	0.6038478316	-0.255050267	0.931886383	2024-07-08@10:46	-0.7066666667	0.02520257906	0.2937402665	v2.6.0	
3	Broyden	0	0.005044523505	-11.27015195	-0.9846972243	Y	10.01666667	0.02214725936	self-energy/D	sharp_wc_2_b_35	-0.1757654728	1.985243089	0.3162151205	0.2130155406	0.6245810816	0.1366572049	-0.2338543418	1.684442636	0.2338444683	0.3154199299	0.6246013916	0.1365341539	0.6258419177	0.07443636702	-0.2049043665	1.878496995	c61843e	2x2_2C_8b_C2v_L	1.986666667	0.9011579529	0.9067412943	0.9999999997130247	3.686132487e-05	-0.0006416757082	-3.313428735e-05	-7.76258706e-05	0.07229551725	-0.005286316642	-0.1260692359	0.866324759	0.1967460749	-1.036694621	0.07226680245	-0.005268454987	-5.257675813e-05	9.553257367e-05	-8.407276584e-05	0.0001785342198	run_optim.py	R0:S0:1	1	-0.4600498038	-0.7740806919	-0.105190809	0.2360197185	0.1620727345	-1.552004487	-0.3703480169	1.14889042	0.1968006545	-1.036771443	-0.1260782372	0.8659199988	0.3703157687	-1.148184488	-0.5314944449	0.6086174091	-0.2526243744	0.9320359968	2024-07-08@10:50	-0.71	0.02590046518	0.2966430034	v2.6.0	
3	Broyden	0	0.005087959045	-11.24301008	-0.9794618621	Y	10.01111111	0.02216859566	self-energy/D	sharp_wc_2_b_35	-0.1560786058	1.98539797	0.3094664784	0.2127446999	0.6350351098	0.1312641539	-0.2335740683	1.681956964	0.2335757996	0.3179591663	0.6350839982	0.1311719134	0.6303734563	0.07135422225	-0.217820262	1.881611048	c61843e	2x2_2C_8b_C2v_L	1.984444444	0.9013304144	0.907096786	0.9999999996925126	4.906686637e-05	-0.0007924757135	-4.309074789e-05	-2.388012668e-05	0.07417383679	-0.009945175756	-0.1315859476	0.8919698988	0.1942469385	-1.033741501	0.07416853021	-0.009982800859	-5.692567438e-05	0.0001218450188	-8.394707333e-05	0.0001605871209	run_optim.py	R0:S0:1	1	-0.4621144294	-0.7788275098	-0.1017883438	0.2317623562	0.1625122138	-1.554704117	-0.3673291352	1.131072564	0.1942852705	-1.033803851	-0.1316113214	0.8917714958	0.3672996313	-1.130559995	-0.5286282412	0.598839989	-0.255592458	0.9320680754	2024-07-08@10:54	-0.6966666667	0.02412662007	0.2879918932	v2.6.0	
2	Broyden	0	0.005142955783	-11.19159827	-0.9776285873	Y	10.01333333	0.02208527975	self-energy/D	sharp_wc_2_b_35	-0.1499311883	1.985484009	0.3093554062	0.2133687171	0.638376402	0.1305423841	-0.2325539414	1.67997463	0.2325750599	0.3199414516	0.6384524489	0.1304537374	0.6322491865	0.07068093205	-0.2203373501	1.882329937	c61843e	2x2_2C_8b_C2v_L	1.973333333	0.9005527863	0.9063370308	0.999999999700567	5.092083357e-05	-0.0008338470832	-4.312697904e-05	-2.793626076e-05	0.07424181286	-0.009635064872	-0.132746737	0.9009068731	0.1929883693	-1.035245883	0.07424279007	-0.009682459306	-5.681231012e-05	0.0001229764468	-8.408266256e-05	0.0001591280558	run_optim.py	R0:S0:1	1	-0.4628492507	-0.7813743356	-0.1006407548	0.2305348433	0.1634452662	-1.560251338	-0.3669187288	1.129499271	0.1930235469	-1.035328552	-0.1327825401	0.9007720664	0.3668903535	-1.1290187	-0.527960075	0.5964265498	-0.2555556005	0.9325306207	2024-07-08@10:57	-0.69	0.02343862749	0.2844264518	v2.6.0	
6	Broyden	0	0.005079674257	-11.17455736	-0.9809175329	Y	10.02666667	0.02200983446	self-energy/D	sharp_wc_2_b_35	-0.1515783711	1.985514933	0.3156892794	0.2125648657	0.6289709043	0.1349615265	-0.231733598	1.681592081	0.2317653558	0.318163272	0.6292765884	0.1347638449	0.6273849723	0.07295933628	-0.2103218344	1.880072022	c61843e	2x2_2C_8b_C2v_L	1.973333333	0.9003459967	0.9058306143	0.9999999996725656	0.0001466780943	-0.002415866787	-0.0001237572164	-6.300064344e-05	0.07251336443	-0.005347400801	-0.128104967	0.8803799717	0.1945718452	-1.03708901	0.07246993302	-0.00531097037	-6.977383866e-05	0.0001017657857	-0.0001355022629	0.0002984956556	run_optim.py	R0:S0:1	1	-0.4612115243	-0.7773994205	-0.1008068142	0.2314588901	0.1630173726	-1.555316674	-0.3691594679	1.144101662	0.1946466555	-1.037274048	-0.1281437357	0.8798740501	0.3691561103	-1.143071129	-0.5297362209	0.603830823	-0.2532045268	0.9317881984	2024-07-08@11:04	-0.7	0.02462993095	0.2907401605	v2.6.0	
