CDMFT_iterations	CDMFT_method	D	D_ave	E0_1	E_kin	GS_consistency	U	U_1_ave	convergence	dist_function	eb1_1	eb1_1_ave	eb2_1	eb2_1_ave	eb3_1	eb3_1_ave	eb4_1	eb4_1_ave	eb5_1	eb5_1_ave	eb6_1	eb6_1_ave	eb7_1	eb7_1_ave	eb8_1	eb8_1_ave	githash	model	mu	mu_1_ave	mu_ave	n_1	sb1_1	sb1_1_ave	sb2_1	sb2_1_ave	sb3_1	sb3_1_ave	sb4_1	sb4_1_ave	sb5_1	sb5_1_ave	sb6_1	sb6_1_ave	sb7_1	sb7_1_ave	sb8_1	sb8_1_ave	script	sector_1	t	t_1_ave	t_ave	tb1_1	tb1_1_ave	tb2_1	tb2_1_ave	tb3_1	tb3_1_ave	tb4_1	tb4_1_ave	tb5_1	tb5_1_ave	tb6_1	tb6_1_ave	tb7_1	tb7_1_ave	tb8_1	tb8_1_ave	time	tp	tp_1_ave	tp_ave	version	
6	Broyden	0	0.004981409684	-11.30912759	-0.9796477611	Y	10	0.02235260268	self-energy/D	sharp_wc_2_b_35	-0.1546007942	1.985418595	0.3102966397	0.2096782572	0.6383092315	0.1286726472	-0.2368584366	1.684602573	0.2367553959	0.3152165106	0.6377872568	0.1287086049	0.6315077562	0.07069391026	-0.2200565059	1.882353807	a248bdd	2x2_2C_8b_C2v_L	2	0.902727854	0.908459858	0.9999999996395544	-7.787851641e-05	0.001010903327	6.491909992e-05	-0.0001713613402	0.075813111	-0.01517011371	-0.1335707452	0.8932100571	0.1954429683	-1.029529912	0.07566503648	-0.01471919953	-9.228331148e-06	-4.063874006e-07	-1.51202469e-05	4.529481388e-05	run_optim.py	R0:S0:1	1	-0.4625387773	-0.7775695776	-0.1021062898	0.2308621665	0.1619207225	-1.545127205	-0.3662424958	1.120989154	0.1954843092	-1.029549775	-0.1334223268	0.892350277	0.3662026946	-1.120859668	-0.5282351488	0.5969129817	-0.2572643857	0.9306447612	2024-07-11@11:17	-0.7	0.02393329782	0.2886831193	v2.7.1	
7	Broyden	0	0.004987831177	-11.30174576	-0.979357062	Y	10.01	0.02228828285	self-energy/D	sharp_wc_2_b_35	-0.1537110247	1.985332233	0.3082939158	0.2106631609	0.6346927179	0.1295598557	-0.2354223527	1.684072715	0.2354386262	0.3158184231	0.6347816468	0.1294589126	0.6306461957	0.07089310803	-0.2196507707	1.8820012	a248bdd	2x2_2C_8b_C2v_L	2	0.9026010122	0.9083524904	0.9999999997117017	5.201190132e-05	-0.0008618274466	-4.505608912e-05	-4.075259382e-05	0.07523458898	-0.01371735673	-0.1326453554	0.8906430376	0.1951416172	-1.029663347	0.07522312713	-0.01373383285	-6.560711148e-05	0.0001412410296	-9.436839993e-05	0.0001797236327	run_optim.py	R0:S0:1	1	-0.4620280481	-0.7771243854	-0.1018731654	0.2314101817	0.1615581541	-1.545671747	-0.3660816582	1.123617321	0.1951823714	-1.029741825	-0.1326703441	0.8903986851	0.3660587092	-1.123060031	-0.5282341155	0.5977787008	-0.2570453457	0.9310766608	2024-07-11@11:24	-0.7	0.02413173798	0.2889038237	v2.7.1	
3	Broyden	0	0.004929215475	-11.35006162	-0.9788960697	Y	10	0.02241521241	self-energy/D	sharp_wc_2_b_35	-0.1532381543	1.985241516	0.3049249703	0.2099709683	0.6369904417	0.127681239	-0.2373508851	1.685862557	0.2373708205	0.314048669	0.6370488447	0.1275903647	0.6315418635	0.07004694206	-0.2239804474	1.882905919	a248bdd	2x2_2C_8b_C2v_L	2.01	0.9034932068	0.9093537092	0.9999999997363731	3.914752537e-05	-0.0006646526377	-3.289057563e-05	-5.004952025e-05	0.07611925177	-0.01621959428	-0.1342432795	0.8933778941	0.1955187259	-1.026287805	0.07611928868	-0.01626767813	-5.348536171e-05	0.000110079962	-8.142344898e-05	0.0001559936899	run_optim.py	R0:S0:1	1	-0.4625097372	-0.7771906659	-0.1020363607	0.2313449227	0.1608874674	-1.542225313	-0.3650227417	1.116421938	0.1955596227	-1.026382498	-0.134280631	0.893231206	0.3649876954	-1.115913702	-0.5275558874	0.5951306363	-0.2586700759	0.9305921734	2024-07-11@11:29	-0.7	0.02390299884	0.2881505768	v2.7.1	
5	Broyden	0	0.004938313078	-11.29230421	-0.9755247471	Y	10	0.02235012224	self-energy/D	sharp_wc_2_b_35	-0.140621183	1.985315902	0.3030382617	0.2099305472	0.6435533746	0.1255490371	-0.2360767292	1.683748576	0.2360761039	0.3161582264	0.6435955698	0.1254746302	0.6346281471	0.06861029503	-0.2289846843	1.884315409	a248bdd	2x2_2C_8b_C2v_L	2	0.9029579375	0.9088422417	0.9999999996932938	4.494589246e-05	-0.0007635406453	-3.748879617e-05	-3.85142858e-05	0.0765586536	-0.0170020041	-0.1364115408	0.9067389093	0.1937721503	-1.026529009	0.07654017595	-0.01699089964	-6.066333483e-05	0.0001315314075	-8.877054054e-05	0.0001639770124	run_optim.py	R0:S0:1	1	-0.4637839775	-0.7806787593	-0.09992222658	0.2290951009	0.1617521762	-1.546095897	-0.3638751375	1.109960441	0.1938107143	-1.026606383	-0.1364261617	0.9065255153	0.3638497883	-1.109524478	-0.5259188238	0.5901540075	-0.2592063728	0.9304377913	2024-07-11@11:34	-0.69	0.02273561897	0.2823854896	v2.7.1	
3	Broyden	0	0.004990460377	-11.25683373	-0.9775755515	Y	10.00666667	0.02223940494	self-energy/D	sharp_wc_2_b_35	-0.1473153271	1.985423123	0.3074240539	0.2111508766	0.6374882087	0.1292049175	-0.2342845639	1.683361155	0.2342811696	0.3165554799	0.6374966473	0.1291217859	0.6327956638	0.06998387719	-0.2237818193	1.883024666	a248bdd	2x2_2C_8b_C2v_L	1.99	0.9020028396	0.907788757	0.9999999996683977	4.839847383e-05	-0.0007978714038	-4.364179466e-05	-2.138288188e-05	0.07461581555	-0.01108617037	-0.1330592085	0.8963050348	0.1940189273	-1.030404758	0.07460886317	-0.01111644461	-6.239300043e-05	0.0001366428225	-9.092952744e-05	0.0001690079972	run_optim.py	R0:S0:1	1	-0.4629597877	-0.7798186614	-0.1005927586	0.229955782	0.1623088948	-1.550810425	-0.3658322679	1.123359241	0.1940613383	-1.030487275	-0.1330850424	0.896129309	0.3657932568	-1.122875144	-0.527394993	0.5945867469	-0.2575461376	0.9315115702	2024-07-11@11:39	-0.6933333333	0.02340152926	0.2852262839	v2.7.1	
2	Broyden	0	0.005098770532	-11.22154058	-0.9770841065	Y	10.01	0.02215818986	self-energy/D	sharp_wc_2_b_35	-0.1485338502	1.985500416	0.308688853	0.2121215683	0.6412487258	0.1288613071	-0.2337289742	1.680651989	0.2337246944	0.3192553775	0.6412636296	0.1287888692	0.6326246423	0.07008465466	-0.2234188787	1.88298887	a248bdd	2x2_2C_8b_C2v_L	1.98	0.9011634827	0.9069511716	0.999999999680248	3.256165235e-05	-0.0005650921357	-2.82316716e-05	-4.286045194e-05	0.07515889071	-0.01252337914	-0.134098209	0.9040172472	0.1931979713	-1.033193852	0.07513872305	-0.01250345866	-5.979034414e-05	0.0001335610381	-8.411701409e-05	0.0001552710605	run_optim.py	R0:S0:1	1	-0.463153341	-0.7812298886	-0.1005731427	0.229854591	0.1631745378	-1.556411482	-0.3662052192	1.123290512	0.1932364008	-1.033260168	-0.1341056952	0.9037765981	0.36617899	-1.122858656	-0.5273793284	0.5946301568	-0.2567669846	0.932027982	2024-07-11@11:42	-0.69	0.0232082981	0.2838466926	v2.7.1	
2	Broyden	0	0.005030871239	-11.25658518	-0.9815987399	Y	10.01333333	0.02217889912	self-energy/D	sharp_wc_2_b_35	-0.1602671567	1.985415839	0.3140729327	0.2115172883	0.6307919112	0.1333686679	-0.234733763	1.6846205	0.2347668325	0.3152624767	0.6309288423	0.1332391096	0.6293506898	0.07251638745	-0.2139211076	1.88086495	a248bdd	2x2_2C_8b_C2v_L	1.986666667	0.9014707942	0.9070218951	0.9999999996752621	5.73332948e-05	-0.0009462132087	-4.745094377e-05	-5.249430761e-05	0.07352615816	-0.008509533464	-0.1294828074	0.8796991466	0.1956010995	-1.032922191	0.07352672194	-0.008570078295	-3.92323098e-05	6.584301025e-05	-5.653042553e-05	0.0001282110353	run_optim.py	R0:S0:1	1	-0.4613787861	-0.7763792397	-0.1026290731	0.232548391	0.1623168071	-1.550682263	-0.3686607723	1.137868813	0.1956407129	-1.032987128	-0.1295184425	0.8794283217	0.3686415114	-1.137189104	-0.5303264743	0.6028914803	-0.2548728627	0.9309573725	2024-07-11@11:45	-0.7033333333	0.02471470304	0.2917812798	v2.7.1	
6	Broyden	0	0.005055349723	-11.19140895	-0.978820612	Y	10.02222222	0.02207126329	self-energy/D	sharp_wc_2_b_35	-0.1459342639	1.985547626	0.3128391803	0.2117250895	0.6336175172	0.1321264289	-0.2324758424	1.681608723	0.2324986683	0.3181770926	0.6338618209	0.1319263599	0.6300816152	0.07149292887	-0.21643906	1.881544268	a248bdd	2x2_2C_8b_C2v_L	1.977777778	0.9008702966	0.9064484275	0.9999999996219302	0.0001373350686	-0.002278276015	-0.0001124470871	-6.257529436e-05	0.07356667667	-0.008229157886	-0.1306846001	0.8901898954	0.1939625917	-1.034506431	0.07354491966	-0.008258724635	-7.01515402e-05	0.00011017797	-0.0001166521444	0.000259288977	run_optim.py	R0:S0:1	1	-0.4620893359	-0.7788955311	-0.1000419516	0.2299484706	0.1630090402	-1.553824677	-0.3675514095	1.134224775	0.1940265679	-1.03460701	-0.1307156192	0.8896344176	0.3675396539	-1.133159646	-0.5285222796	0.5993097011	-0.2550072568	0.9315250297	2024-07-11@11:52	-0.6955555556	0.0238870019	0.2874322249	v2.7.1	
2	Broyden	0	0.005181562766	-11.14751977	-0.9791291521	Y	10.02037037	0.02197559159	self-energy/D	sharp_wc_2_b_35	-0.1521754099	1.985625288	0.3144640247	0.2136915072	0.6357679236	0.1332396507	-0.2314064586	1.6793287	0.2314117155	0.3205727532	0.6358642623	0.1331303929	0.6310161859	0.07195961036	-0.2152391503	1.881274039	a248bdd	2x2_2C_8b_C2v_L	1.962962963	0.8996362829	0.9052286874	0.999999999727406	6.528465534e-05	-0.001060928139	-5.584437508e-05	-2.323865341e-05	0.07313545457	-0.006418477484	-0.1304300853	0.8937819454	0.1931389827	-1.038441005	0.07313206441	-0.006468319757	-6.238365715e-05	0.0001319226468	-9.083514914e-05	0.0001778621657	run_optim.py	R0:S0:1	1	-0.4622240507	-0.780588336	-0.1006313381	0.230600933	0.1640510115	-1.562930838	-0.3688295452	1.139652619	0.1931842696	-1.038526082	-0.1304635277	0.8935812511	0.368801596	-1.139066881	-0.5294586599	0.6005253996	-0.2537566175	0.932548329	2024-07-11@11:56	-0.6925925926	0.02388462668	0.2866632104	v2.7.1	
2	Broyden	0	0.005326418077	-11.0836171	-0.9792720781	Y	10.02555556	0.02182802786	self-energy/D	sharp_wc_2_b_35	-0.155812032	1.985762719	0.3181424936	0.2154439755	0.6387722576	0.1341676667	-0.2300728528	1.67549065	0.2300613837	0.3244334442	0.638813311	0.1340751924	0.6317682262	0.07245438566	-0.2138728666	1.880822379	a248bdd	2x2_2C_8b_C2v_L	1.944444444	0.8980521961	0.9036279948	0.9999999997658892	4.32273284e-05	-0.0007130141073	-3.780966459e-05	-2.665244455e-05	0.07302787086	-0.005590370683	-0.1304784974	0.9003878559	0.1921496484	-1.044216192	0.07302251858	-0.00563345414	-6.756129544e-05	0.0001529312171	-9.791956948e-05	0.0001824180835	run_optim.py	R0:S0:1	1	-0.4623120903	-0.7824920315	-0.1008192909	0.2307347972	0.1655215077	-1.572783365	-0.3699932699	1.144608201	0.1921912461	-1.044280058	-0.1305041987	0.9002074074	0.3699601743	-1.144098365	-0.5301388155	0.6017361554	-0.252526664	0.9344070152	2024-07-11@11:59	-0.6888888889	0.02379742869	0.2856484546	v2.7.1	
