CDMFT_iterations	CDMFT_method	D	D_ave	E0_1	E_kin	GS_consistency	U	U_1_ave	convergence	dist_function	eb1_1	eb1_1_ave	eb2_1	eb2_1_ave	eb3_1	eb3_1_ave	eb4_1	eb4_1_ave	eb5_1	eb5_1_ave	eb6_1	eb6_1_ave	eb7_1	eb7_1_ave	eb8_1	eb8_1_ave	githash	model	mu	mu_1_ave	mu_ave	n_1	sb1_1	sb1_1_ave	sb2_1	sb2_1_ave	sb3_1	sb3_1_ave	sb4_1	sb4_1_ave	sb5_1	sb5_1_ave	sb6_1	sb6_1_ave	sb7_1	sb7_1_ave	sb8_1	sb8_1_ave	script	sector_1	t	t_1_ave	t_ave	tb1_1	tb1_1_ave	tb2_1	tb2_1_ave	tb3_1	tb3_1_ave	tb4_1	tb4_1_ave	tb5_1	tb5_1_ave	tb6_1	tb6_1_ave	tb7_1	tb7_1_ave	tb8_1	tb8_1_ave	time	tp	tp_1_ave	tp_ave	version	
1	Broyden	0	0.003488953411	-10.732383	-0.8355638321	Y	11.5	0.01770037853	self-energy/D	sharp_wc_2_b_35	0.1832196312	0.049204559	0.159383159	0.2165021274	0.241965288	0.2950832595	0.5673088984	0.08001468612	0.5672358879	0.0801252663	0.2418609585	0.2949890123	-0.2942319716	1.906344036	0.5491381352	0.04036242306	c61843e	2x2_2C_8b_C2v_L	2.1	0.9081850122	0.9121153738	0.9999999997280804	0.1688814672	-0.3438353658	0.001362236971	-0.002958407882	0.1936500093	-0.9450954155	0.0971176782	-0.08636081843	0.09691153159	-0.08571516747	0.1937119662	-0.9452747998	-0.0001462274562	0.0002006995444	-0.0001169107452	0.0003133003475	run_optim.py	R0:S0:1	1	-0.4529300823	-0.7806341798	0.001319742088	-0.0117687423	-0.1537710537	1.440439138	-0.1515305687	0.9774588273	0.2734310164	-0.8783386875	-0.2735785155	0.8790421122	0.1513476178	-0.9767875908	-0.2565417451	0.8544717488	-0.4042019805	0.4682819239	2024-07-08@10:15	-0.4	-0.001876763276	0.1373241307	v2.6.0	
7	Broyden	0	0.003263394438	-10.72188634	-0.8358203256	Y	11.51	0.01764634308	self-energy/D	sharp_wc_2_b_35	0.183442745	0.04955937916	0.1578955514	0.2188044248	0.2392410926	0.2987260062	0.5638381447	0.0803141085	0.5637592797	0.08041041078	0.2391078459	0.2986246444	-0.289378323	1.905209374	0.5439793894	0.04068329538	c61843e	2x2_2C_8b_C2v_L	2.1	0.9078261331	0.9119390557	0.9999999996416982	0.1685973077	-0.345490006	0.0008235191379	-0.001820172012	0.1929995259	-0.9496076979	0.09713965538	-0.08757898871	0.09695295898	-0.08699700365	0.1930274471	-0.9497485768	-0.0001321563931	0.0001745773962	-0.0001161798243	0.0003245814624	run_optim.py	R0:S0:1	1	-0.4524413073	-0.7807244849	0.0008016640811	-0.007121423259	-0.1539922782	1.444463998	-0.1513795308	0.9801029721	0.2730995021	-0.8789957033	-0.2732296137	0.8795852542	0.1511932321	-0.9794069308	-0.2555102831	0.8572173942	-0.4033044651	0.4692414993	2024-07-08@10:22	-0.4	-0.001618300809	0.1377396017	v2.6.0	
5	Broyden	0	0.003532736299	-10.75889624	-0.8345213351	Y	11.5	0.0177324604	self-energy/D	sharp_wc_2_b_35	0.1843289044	0.04970986241	0.1562905172	0.2167271108	0.239980918	0.2970748981	0.565213888	0.07870996548	0.5651507851	0.07881019895	0.2398713149	0.2969653821	-0.2908008962	1.905751202	0.5442113926	0.0402363574	c61843e	2x2_2C_8b_C2v_L	2.11	0.9089099139	0.9130047289	0.9999999997240268	0.1693189763	-0.3444376881	0.000818238955	-0.001813033	0.1933071211	-0.9451969317	0.09829497133	-0.09116330778	0.09810217492	-0.09055356583	0.1933452646	-0.9453442186	-0.0001398245859	0.000184977593	-0.0001231846129	0.000341580723	run_optim.py	R0:S0:1	1	-0.4526011632	-0.7794799366	0.0007909916442	-0.006993909626	-0.152828231	1.435203157	-0.152002154	0.9796070233	0.2713748912	-0.8704181788	-0.271517871	0.8710503993	0.1518137861	-0.9788935438	-0.2562893728	0.8546482348	-0.401980805	0.4671610174	2024-07-08@10:28	-0.4	-0.001737222358	0.1376034961	v2.6.0	
7	Broyden	0	0.003475381568	-10.71579993	-0.8346442942	Y	11.5	0.01769468947	self-energy/D	sharp_wc_2_b_35	0.1895439113	0.05116014095	0.1541380608	0.2193736242	0.2400608367	0.2994157073	0.5618778383	0.0793932331	0.5618145513	0.07949662715	0.2399705735	0.2993011546	-0.288038121	1.905704632	0.5429394889	0.04017424578	c61843e	2x2_2C_8b_C2v_L	2.1	0.9078689903	0.9119253436	0.9999999997041531	0.172470877	-0.3501883639	0.0004669557957	-0.001054074375	0.1934489284	-0.9528119471	0.09778394069	-0.08947540484	0.09759278062	-0.08885642977	0.1934926629	-0.9529618704	-0.0001351429241	0.000181729547	-0.0001177737903	0.0003271547201	run_optim.py	R0:S0:1	1	-0.4534133623	-0.7824582028	0.0004532010366	-0.003949840242	-0.153544729	1.441823788	-0.1515569931	0.98423166	0.2707837702	-0.8738114631	-0.2709298064	0.8744605032	0.1513700583	-0.9835092823	-0.2540326715	0.8553045988	-0.4002986102	0.4654286336	2024-07-08@10:36	-0.39	-0.002366363202	0.1338104907	v2.6.0	
6	Broyden	0	0.003602683437	-10.74430916	-0.8343697082	Y	11.49	0.01776059414	self-energy/D	sharp_wc_2_b_35	0.1881829285	0.05070870631	0.1544222984	0.2176697335	0.2408005254	0.2978075435	0.5644980985	0.07852290417	0.564424345	0.07862810566	0.2407069971	0.2976893298	-0.2898956159	1.905977366	0.5438865053	0.040008914	c61843e	2x2_2C_8b_C2v_L	2.106666667	0.9086098805	0.9126801702	0.9999999997031177	0.1717160803	-0.3478800931	0.0004798442263	-0.001076262828	0.1936473514	-0.948810256	0.09840429745	-0.09116257642	0.09820618868	-0.09052622857	0.1936912751	-0.9489614842	-0.0001386136358	0.0001856366802	-0.0001211784403	0.0003356320775	run_optim.py	R0:S0:1	1	-0.4533826781	-0.7812662709	0.000464033757	-0.004057794137	-0.1529390777	1.436609072	-0.152065304	0.982851593	0.2705101198	-0.8694841975	-0.2706588104	0.8701480843	0.1518729723	-0.9821098777	-0.2551905098	0.8542818989	-0.4004985688	0.4650834911	2024-07-08@10:42	-0.3933333333	-0.002222663909	0.135008739	v2.6.0	
1	Broyden	0	0.003765070604	-10.75749968	-0.8336525505	Y	11.48	0.01782139732	self-energy/D	sharp_wc_2_b_35	0.1909966085	0.05106749638	0.1534314642	0.2166470712	0.2417773586	0.2977580684	0.5669337913	0.07716739043	0.5668802834	0.07725594687	0.2416550634	0.2976754008	-0.2909382738	1.906494047	0.5439416232	0.03966091869	c61843e	2x2_2C_8b_C2v_L	2.11	0.9089995329	0.9130481914	0.999999999731171	0.1734347104	-0.3485482343	0.0004510537423	-0.001007493888	0.1937742478	-0.9481051962	0.09977796685	-0.09532172609	0.09960837132	-0.09479094089	0.1938065298	-0.948249903	-0.0001326424531	0.0001764537804	-0.000118309894	0.0003284992622	run_optim.py	R0:S0:1	1	-0.4538890992	-0.7815429258	0.0004362569793	-0.003792413269	-0.1525798435	1.432543191	-0.1530157201	0.986454944	0.2690122315	-0.8622848594	-0.2691400676	0.8628560138	0.1528462447	-0.9858390255	-0.2551861723	0.8526425782	-0.3991602712	0.4629750263	2024-07-08@10:45	-0.39	-0.002545153997	0.1336144223	v2.6.0	
6	Broyden	0	0.003574797027	-10.77102725	-0.8348022387	Y	11.48666667	0.01778387528	self-energy/D	sharp_wc_2_b_35	0.1824544018	0.04927143854	0.156799023	0.2157896418	0.2397922596	0.2956407968	0.5656608728	0.0788345895	0.5655853089	0.07893716538	0.2396779179	0.2955281805	-0.2903037617	1.905761249	0.5449406024	0.04024845059	c61843e	2x2_2C_8b_C2v_L	2.113333333	0.909348892	0.9134559904	0.9999999996770356	0.1682364838	-0.342548717	0.0007710886876	-0.001696999545	0.1934482246	-0.9428531249	0.09772367124	-0.08928230299	0.09752590466	-0.08865964027	0.1934855868	-0.9430014572	-0.0001292225719	0.0001713145865	-0.0001135210207	0.0003137279528	run_optim.py	R0:S0:1	1	-0.4526403963	-0.7788053568	0.0007446556358	-0.006618911415	-0.1525172813	1.43267709	-0.1515485341	0.9757865335	0.2719472469	-0.8714733527	-0.2720909422	0.8721142205	0.1513546421	-0.9750519291	-0.2566793463	0.8541012445	-0.4025175729	0.4674922773	2024-07-08@10:52	-0.4033333333	-0.001548456379	0.1388352443	v2.6.0	
5	Broyden	0	0.003987495543	-10.79921616	-0.8324964253	Y	11.47777778	0.01787154269	self-energy/D	sharp_wc_2_b_35	0.1883059981	0.05069466197	0.1521005995	0.2147113122	0.2408535059	0.2939170111	0.5610636458	0.07754064307	0.5609138215	0.07764355233	0.2407231316	0.293829038	-0.2909350789	1.906567471	0.5436912589	0.03949882391	c61843e	2x2_2C_8b_C2v_L	2.122222222	0.9103010795	0.9143668968	0.9999999997742505	0.1719065314	-0.3454449728	-0.0008954128167	0.002043026916	0.1943129502	-0.9413368127	0.0981036574	-0.09036812017	0.09791567501	-0.08978370372	0.1943452227	-0.9414884311	-0.0001690241551	0.0002367229044	-0.0001459256388	0.0003984361568	run_optim.py	R0:S0:1	1	-0.4533193702	-0.7788200104	-0.000854188727	0.007415133426	-0.1511011877	1.422827353	-0.151330024	0.974884286	0.2687868259	-0.863756991	-0.2689109566	0.8643909437	0.1511418669	-0.9742064852	-0.2563316027	0.8505134924	-0.3989833551	0.4629243379	2024-07-08@10:58	-0.3955555556	-0.00218477224	0.1356988017	v2.6.0	
6	Broyden	0	0.004352804933	-10.8360899	-0.8307020353	Y	11.46666667	0.01797065157	self-energy/D	sharp_wc_2_b_35	0.1911157105	0.05116519454	0.149479345	0.2124359174	0.2416000346	0.2921395749	0.561523378	0.07573006933	0.5613115425	0.07585174349	0.2415050831	0.2920488064	-0.2911163448	1.907235378	0.5421780915	0.03892722454	c61843e	2x2_2C_8b_C2v_L	2.133333333	0.911523194	0.9155728975	0.9999999997340524	0.1736817108	-0.3450647721	-0.002097966556	0.004790487461	0.1948170803	-0.9372454434	0.09924325443	-0.09382476019	0.09904338419	-0.09318235628	0.1948628584	-0.9373978392	-0.0002112214546	0.0003059334137	-0.000182214987	0.0004916784915	run_optim.py	R0:S0:1	1	-0.4536741459	-0.7777186457	-0.001992100108	0.01715527985	-0.1496178664	1.411410248	-0.1516832741	0.9740534664	0.2663905084	-0.8537761291	-0.2665266674	0.8545378455	0.1514887888	-0.9733750899	-0.2565674536	0.8468384047	-0.3963632952	0.4596889954	2024-07-08@11:04	-0.3933333333	-0.002464124806	0.134703533	v2.6.0	
1	Broyden	0	0.004271186701	-10.82139455	-0.8316413115	Y	11.45555556	0.01799407104	self-energy/D	sharp_wc_2_b_35	0.1922739198	0.05109369869	0.151003737	0.212732979	0.242959062	0.2936600643	0.5672719309	0.07512739274	0.5671454206	0.0752397853	0.2428911273	0.2935465	-0.2922853882	1.907399323	0.5438573698	0.0389365047	c61843e	2x2_2C_8b_C2v_L	2.127777778	0.9109932994	0.9150398685	0.9999999997428801	0.1744028734	-0.3458956893	-0.0009198374244	0.002092212838	0.1946562896	-0.9400225057	0.1006078281	-0.09755695777	0.1004065859	-0.09690506881	0.1947079937	-0.9401766571	-0.0001813775547	0.0002544899413	-0.0001566580067	0.0004256210772	run_optim.py	R0:S0:1	1	-0.4542736369	-0.7793071146	-0.0008741774221	0.007518989797	-0.1504904876	1.415941014	-0.1531017205	0.9811945982	0.2665751102	-0.8511532129	-0.2667262928	0.851880916	0.1529092013	-0.9804693807	-0.2564212959	0.8478798116	-0.39684853	0.4594333066	2024-07-08@11:07	-0.3911111111	-0.002676856348	0.1338090262	v2.6.0	
