CDMFT_iterations	CDMFT_method	D	D_ave	E0_1	E_kin	GS_consistency	U	U_1_ave	convergence	dist_function	eb1_1	eb1_1_ave	eb2_1	eb2_1_ave	eb3_1	eb3_1_ave	eb4_1	eb4_1_ave	eb5_1	eb5_1_ave	eb6_1	eb6_1_ave	eb7_1	eb7_1_ave	eb8_1	eb8_1_ave	githash	model	mu	mu_1_ave	mu_ave	n_1	sb1_1	sb1_1_ave	sb2_1	sb2_1_ave	sb3_1	sb3_1_ave	sb4_1	sb4_1_ave	sb5_1	sb5_1_ave	sb6_1	sb6_1_ave	sb7_1	sb7_1_ave	sb8_1	sb8_1_ave	script	sector_1	t	t_1_ave	t_ave	tb1_1	tb1_1_ave	tb2_1	tb2_1_ave	tb3_1	tb3_1_ave	tb4_1	tb4_1_ave	tb5_1	tb5_1_ave	tb6_1	tb6_1_ave	tb7_1	tb7_1_ave	tb8_1	tb8_1_ave	time	tp	tp_1_ave	tp_ave	version	
1	Broyden	0	0.003490517879	-10.732383	-0.8355609652	Y	11.5	0.01770037853	self-energy/D	sharp_wc_2_b_35	0.1832196313	0.04920455898	0.159383159	0.2165021272	0.241965288	0.2950832594	0.567308899	0.08001468603	0.5672358886	0.08012526616	0.2418609586	0.294989012	-0.2942319719	1.906344036	0.5491381353	0.04036242305	a248bdd	2x2_2C_8b_C2v_L	2.1	0.9081850122	0.9121107171	0.9999999997280533	0.1688814673	-0.3438353657	0.001362237009	-0.002958407515	0.1936500093	-0.9450954149	0.09711767829	-0.08636081873	0.09691153168	-0.08571516769	0.1937119661	-0.9452747991	-0.0001462279919	0.0002007006012	-0.0001169100877	0.0003132981241	run_optim.py	R0:S0:1	1	-0.4529300823	-0.7806327443	0.001319742093	-0.01176874281	-0.1537710537	1.440439137	-0.1515305689	0.9774588278	0.2734310164	-0.8783386872	-0.2735785155	0.8790421115	0.1513476178	-0.9767875906	-0.2565417452	0.8544717485	-0.4042019806	0.4682819239	2024-07-16@11:44	-0.4	-0.001876763284	0.1373205523	v2.7.1	
6	Broyden	0	0.003264774362	-10.72232371	-0.8358257519	Y	11.51	0.0176471588	self-energy/D	sharp_wc_2_b_35	0.183453067	0.0495438464	0.1579619137	0.2187870523	0.2393508115	0.2986803151	0.5639331364	0.0803042439	0.56385771	0.08040228078	0.2392238295	0.2985759408	-0.2895201549	1.905220822	0.5440502309	0.0406814239	a248bdd	2x2_2C_8b_C2v_L	2.1	0.9078207529	0.9119290816	0.9999999996612947	0.16859762	-0.3454599771	0.0008431378696	-0.001863293951	0.1930238268	-0.9496013239	0.09714694052	-0.08754926496	0.09695836438	-0.08695809712	0.1930553168	-0.9497470379	-0.000130979299	0.0001733503719	-0.0001149049443	0.0003204636759	run_optim.py	R0:S0:1	1	-0.4524473587	-0.780734706	0.0008207961714	-0.007291079685	-0.1540238715	1.444563357	-0.1514251467	0.9801975647	0.2731151539	-0.8789621808	-0.2732493753	0.8795643527	0.1512370853	-0.9794892355	-0.2555489434	0.8572444718	-0.4033460082	0.4692429269	2024-07-16@11:51	-0.4	-0.001621881987	0.1377276147	v2.7.1	
5	Broyden	0	0.003535076745	-10.75889624	-0.8345197373	Y	11.5	0.0177324604	self-energy/D	sharp_wc_2_b_35	0.1843289039	0.04970986246	0.1562905172	0.2167271109	0.2399809185	0.2970748971	0.5652138861	0.078709966	0.5651507828	0.07881019954	0.2398713156	0.2969653809	-0.2908008972	1.905751202	0.5442113943	0.04023635736	a248bdd	2x2_2C_8b_C2v_L	2.11	0.9089099139	0.9130043086	0.9999999997240612	0.1693189761	-0.3444376882	0.0008182384916	-0.001813032	0.1933071215	-0.9451969316	0.09829497044	-0.0911633046	0.09810217391	-0.09055356216	0.1933452651	-0.9453442188	-0.0001398244239	0.0001849773907	-0.0001231844345	0.0003415802098	run_optim.py	R0:S0:1	1	-0.4526011632	-0.7794802182	0.0007909911916	-0.006993905603	-0.152828231	1.435203158	-0.1520021535	0.9796070211	0.2713748915	-0.8704181815	-0.2715178714	0.8710504024	0.1518137855	-0.9788935407	-0.2562893732	0.8546482351	-0.4019808055	0.4671610174	2024-07-16@11:56	-0.4	-0.001737222372	0.137598798	v2.7.1	
7	Broyden	0	0.003476413299	-10.71579993	-0.8346455058	Y	11.5	0.01769468948	self-energy/D	sharp_wc_2_b_35	0.1895439113	0.05116014088	0.1541380611	0.2193736241	0.2400608367	0.2994157076	0.5618778388	0.07939323299	0.5618145518	0.07949662704	0.2399705733	0.2993011549	-0.2880381212	1.905704632	0.5429394888	0.04017424578	a248bdd	2x2_2C_8b_C2v_L	2.1	0.9078689903	0.9119294366	0.999999999704464	0.1724708771	-0.3501883637	0.0004669558927	-0.001054074583	0.1934489283	-0.9528119472	0.09778394087	-0.08947540546	0.0975927808	-0.08885643041	0.1934926628	-0.9529618705	-0.0001351429535	0.0001817295809	-0.0001177738234	0.0003271548195	run_optim.py	R0:S0:1	1	-0.4534133624	-0.7824606354	0.0004532011335	-0.003949841098	-0.1535447291	1.441823788	-0.1515569933	0.9842316606	0.2707837701	-0.8738114626	-0.2709298063	0.8744605026	0.1513700584	-0.9835092829	-0.2540326716	0.8553045987	-0.4002986102	0.4654286336	2024-07-16@12:04	-0.39	-0.002366363206	0.1338073601	v2.7.1	
5	Broyden	0	0.003607465109	-10.74438311	-0.8343634421	Y	11.49	0.01776108681	self-energy/D	sharp_wc_2_b_35	0.1881927633	0.0506979175	0.1544562151	0.217632283	0.2408782814	0.2977219722	0.5644867109	0.07852180584	0.5644118443	0.07862623602	0.2407832771	0.297602574	-0.2899262458	1.905994458	0.5438754258	0.04000717026	a248bdd	2x2_2C_8b_C2v_L	2.106666667	0.9086144536	0.9126872744	0.9999999996456205	0.1717195768	-0.3478450888	0.0004751978795	-0.001064663805	0.1936627166	-0.9486991703	0.09840552755	-0.09114494814	0.09820658837	-0.09050803577	0.1937064455	-0.9488531948	-0.0001394610066	0.0001869549451	-0.0001213149859	0.0003358070335	run_optim.py	R0:S0:1	1	-0.4533889173	-0.7812647066	0.0004599103062	-0.004022671059	-0.1529468365	1.436581156	-0.1520825791	0.982821111	0.2705054984	-0.8694794888	-0.2706537601	0.8701376208	0.1518889647	-0.9820695932	-0.2551899605	0.8542159397	-0.4005022827	0.4650744311	2024-07-16@12:10	-0.3933333333	-0.002226544703	0.134996785	v2.7.1	
1	Broyden	0	0.003764664987	-10.75747706	-0.8336593856	Y	11.48	0.01782125095	self-energy/D	sharp_wc_2_b_35	0.1909855738	0.05107997404	0.1533908284	0.2166772802	0.2417737466	0.2977750118	0.566864802	0.07717583942	0.5668091175	0.07726715849	0.241658857	0.2976861268	-0.2909249352	1.906484677	0.5439287291	0.03966395375	a248bdd	2x2_2C_8b_C2v_L	2.11	0.9089966757	0.9130504243	0.9999999996897879	0.1734311222	-0.3485852864	0.0004307590118	-0.0009635829897	0.1937799582	-0.9481546671	0.0997698451	-0.09529709817	0.09959548639	-0.09474786413	0.1938147342	-0.9482997588	-0.0001345129132	0.0001792239112	-0.0001196072482	0.0003318993421	run_optim.py	R0:S0:1	1	-0.4538864362	-0.7815489439	0.0004162906028	-0.003617573327	-0.1525714814	1.432566736	-0.1530100853	0.986453703	0.2690088756	-0.8623172171	-0.2691407299	0.8629061767	0.1528374642	-0.9858191839	-0.2551841262	0.8526731516	-0.3991658257	0.4629890063	2024-07-16@12:12	-0.39	-0.002543562873	0.133616517	v2.7.1	
5	Broyden	0	0.003573753185	-10.7707318	-0.834765203	Y	11.48666667	0.01778299891	self-energy/D	sharp_wc_2_b_35	0.1823840909	0.0492467301	0.1568670927	0.2156878118	0.2397058268	0.2957335997	0.5658030771	0.07875889212	0.5657265177	0.07885801853	0.2395745842	0.2956291525	-0.290216084	1.90578424	0.5451531269	0.04025317695	a248bdd	2x2_2C_8b_C2v_L	2.113333333	0.9093602027	0.9134589519	0.9999999997023921	0.1682207493	-0.34244044	0.0007934212663	-0.00174244588	0.1933719843	-0.9427064927	0.09784461337	-0.08974973046	0.09765042533	-0.08914610949	0.1934040505	-0.9428543733	-0.0001250200914	0.0001651114445	-0.0001106155208	0.0003062924968	run_optim.py	R0:S0:1	1	-0.4526370522	-0.7787728912	0.0007667281931	-0.006818875867	-0.1525064831	1.432394026	-0.1516313694	0.9761030309	0.271868237	-0.8710505521	-0.2720061272	0.8716689298	0.1514392661	-0.9753868751	-0.2566253706	0.8539415641	-0.4025832644	0.4675497671	2024-07-16@12:18	-0.4033333333	-0.001553501019	0.1388239137	v2.7.1	
5	Broyden	0	0.003976087547	-10.79817894	-0.8325175545	Y	11.47777778	0.01787124292	self-energy/D	sharp_wc_2_b_35	0.1887128723	0.05065073535	0.1521915143	0.2146660413	0.2407176877	0.2942584315	0.5615323989	0.07738348298	0.5614094296	0.07749614946	0.2406302942	0.2941554487	-0.2904558808	1.906545606	0.5424515869	0.03953441096	a248bdd	2x2_2C_8b_C2v_L	2.122222222	0.9102914484	0.9143674473	0.9999999997172226	0.1720139241	-0.3454197763	-0.0009751834651	0.002217930191	0.1942025727	-0.9414626069	0.09836539145	-0.09130149391	0.09816973335	-0.09066978147	0.1942495094	-0.9416163636	-0.0001770245046	0.000249748358	-0.0001527366377	0.0004155237501	run_optim.py	R0:S0:1	1	-0.4533267693	-0.7788376836	-0.0009325112006	0.00809656541	-0.1511352659	1.422881369	-0.1515259166	0.9757794828	0.2686718487	-0.8628932076	-0.2688162514	0.8636026247	0.1513351172	-0.9750779729	-0.256156237	0.850367239	-0.3987389416	0.4629471301	2024-07-16@12:24	-0.3955555556	-0.002177575626	0.1357075387	v2.7.1	
5	Broyden	0	0.004355962468	-10.83626936	-0.8306821795	Y	11.46666667	0.01796974589	self-energy/D	sharp_wc_2_b_35	0.1909416511	0.05120525024	0.1493507123	0.2125186365	0.2415213807	0.292078382	0.5615238044	0.07580677778	0.5613017288	0.07593526712	0.2414458004	0.2919697468	-0.2911743889	1.907222236	0.5427623729	0.03892580267	a248bdd	2x2_2C_8b_C2v_L	2.133333333	0.9115240164	0.9155661601	0.9999999997267359	0.1736248223	-0.3451405102	-0.002150194039	0.004910500578	0.1948362717	-0.9372320163	0.09913963795	-0.09347931263	0.09892584997	-0.09278695723	0.194890955	-0.9373958756	-0.0002159212284	0.0003133453075	-0.0001864944194	0.0005022972238	run_optim.py	R0:S0:1	1	-0.4536547572	-0.7776996813	-0.002041208166	0.01758411872	-0.1495884052	1.411409212	-0.1515623388	0.9736272233	0.2665029033	-0.854241152	-0.266650366	0.855044931	0.1513565817	-0.9728771002	-0.2565970571	0.8469011731	-0.3965162233	0.4597590209	2024-07-16@12:30	-0.3933333333	-0.002459351661	0.1347012665	v2.7.1	
1	Broyden	0	0.004275024875	-10.8213951	-0.8316639495	Y	11.45555556	0.01799449992	self-energy/D	sharp_wc_2_b_35	0.1922731376	0.05111983836	0.1509522598	0.2127738002	0.2430269248	0.2936979135	0.5673209059	0.07511660722	0.5671906412	0.07522648686	0.2429447115	0.2935964414	-0.2922871814	1.907392291	0.5437663015	0.03893709756	a248bdd	2x2_2C_8b_C2v_L	2.127777778	0.9109888023	0.9150394402	0.9999999996928621	0.1744175202	-0.3459729182	-0.0009782732554	0.002228651976	0.1947013907	-0.9401965653	0.1006198124	-0.0975461488	0.100424802	-0.09691893199	0.1947485343	-0.9403470235	-0.0001803297656	0.0002534723119	-0.0001565976107	0.0004256036936	run_optim.py	R0:S0:1	1	-0.4542755932	-0.7793249088	-0.0009289311462	0.007987091272	-0.1504714782	1.41596688	-0.1530962449	0.9812318198	0.2665697886	-0.85109534	-0.2667138252	0.8518057274	0.1529088657	-0.9805465996	-0.2564193091	0.8479107805	-0.3968174395	0.459418779	2024-07-16@12:32	-0.3911111111	-0.002675668916	0.133821411	v2.7.1	
