CDMFT_iterations	CDMFT_method	D	D_ave	E0_1	E_kin	GS_consistency	U	U_1_ave	convergence	dist_function	eb1_1	eb1_1_ave	eb2_1	eb2_1_ave	eb3_1	eb3_1_ave	eb4_1	eb4_1_ave	eb5_1	eb5_1_ave	eb6_1	eb6_1_ave	eb7_1	eb7_1_ave	eb8_1	eb8_1_ave	githash	model	mu	mu_1_ave	mu_ave	n_1	sb1_1	sb1_1_ave	sb2_1	sb2_1_ave	sb3_1	sb3_1_ave	sb4_1	sb4_1_ave	sb5_1	sb5_1_ave	sb6_1	sb6_1_ave	sb7_1	sb7_1_ave	sb8_1	sb8_1_ave	script	sector_1	t	t_1_ave	t_ave	tb1_1	tb1_1_ave	tb2_1	tb2_1_ave	tb3_1	tb3_1_ave	tb4_1	tb4_1_ave	tb5_1	tb5_1_ave	tb6_1	tb6_1_ave	tb7_1	tb7_1_ave	tb8_1	tb8_1_ave	time	tp	tp_1_ave	tp_ave	version	
7	Broyden	0	0.02316408583	-10.83779339	-1.220056882	Y	6	0.07494966354	self-energy/D	sharp_wc_2_b_35	0.09948205682	0.01456430524	0.4430983495	0.1795961082	0.1481558266	0.5157142321	0.9838997214	0.2075508581	0.9835727806	0.2076583675	0.1480383542	0.515630211	0.09426513432	0.1027683232	0.8983026567	0.06424723691	a248bdd	2x2_2C_8b_C2v_L	2	0.9517428305	0.9614594084	0.9999999998630346	-0.1166315263	0.2306570865	-5.877454059e-05	5.875321596e-05	-0.1484030189	1.451056851	-0.02586281821	-0.2401842923	0.02578795461	0.2404831271	-0.148367307	1.45099657	0.1815919314	-1.020360106	-3.063021622e-05	0.0001141988433	run_optim.py	R0:S0:1	1	-0.6418105983	-1.098770116	-5.579331643e-05	0.0008735797519	0.2127830442	-1.726651584	-0.1344961674	1.513429379	0.4618063985	-1.559405372	0.4617891277	-1.559731855	0.1344126265	-1.513065086	-3.247948591e-05	6.652095687e-05	-0.6093599975	0.4439784862	2024-09-03@10:58	-0.5	0.02467196334	0.2425735325	v2.7.1	
6	Broyden	0	0.02384141233	-10.81640961	-1.208339729	Y	6.05	0.07242258464	self-energy/D	sharp_wc_2_b_35	0.1059806208	0.01506174434	0.4317557192	0.1759670302	0.1631393541	0.4891173752	0.999782759	0.1920692113	0.9996581097	0.1921328751	0.1630405209	0.4890628647	0.1157992557	0.1000406306	0.9007207465	0.06174485921	a248bdd	2x2_2C_8b_C2v_L	2	0.9498841827	0.9597277634	0.9999999998252344	-0.1192283594	0.2328965977	-6.006538864e-05	5.032954464e-05	-0.1529061492	1.436062654	-0.02860685414	-0.2348961392	0.02854151326	0.23514007	-0.1528849915	1.436094503	0.1885111947	-1.019441038	-2.483340323e-05	8.315546416e-05	run_optim.py	R0:S0:1	1	-0.6395949077	-1.089377136	-6.068057823e-05	0.0009191831678	0.2094826346	-1.701729533	-0.1391548648	1.478703476	0.4581233353	-1.501094615	0.4581384301	-1.501305503	0.1390822849	-1.478389674	-3.794191558e-05	7.455617771e-05	-0.6065565763	0.4416019315	2024-09-03@11:04	-0.5	0.0215541337	0.2379251866	v2.7.1	
2	Broyden	0	0.02277172719	-10.99325754	-1.223309657	Y	6	0.07663758552	self-energy/D	sharp_wc_2_b_35	0.1002356494	0.01454486335	0.441763269	0.1780135487	0.1470705131	0.5200986172	0.9853485336	0.2091029666	0.9849940798	0.2092220977	0.1469771171	0.5200107777	0.09173538295	0.1040082688	0.898023269	0.06469076133	a248bdd	2x2_2C_8b_C2v_L	2.04	0.9552479744	0.9649117981	0.9999999998388761	-0.1169083283	0.229711423	-5.456099198e-05	2.96163608e-05	-0.1483034807	1.452198641	-0.02577037759	-0.2402576512	0.02569545554	0.2405961584	-0.148290035	1.452256111	0.1812827337	-1.025585804	-2.703246204e-05	9.403948066e-05	run_optim.py	R0:S0:1	1	-0.6426186963	-1.10051182	-5.927430617e-05	0.0009449219412	0.2123021218	-1.717851234	-0.1348342297	1.525399719	0.462419279	-1.567091665	0.4624169758	-1.567447401	0.1347355351	-1.524883548	-3.70407401e-05	8.301959131e-05	-0.6098855432	0.4444947828	2024-09-03@11:06	-0.5	0.02625946828	0.2455956748	v2.7.1	
6	Broyden	0	0.02334796367	-10.80512636	-1.190741357	Y	6	0.07124657566	self-energy/D	sharp_wc_2_b_35	0.1507496334	0.02069597916	0.3834098721	0.1719372703	0.1952976187	0.4472882973	1.010672611	0.1680833626	1.010226195	0.1681943254	0.1951461828	0.4472033457	0.163088217	0.09662150409	0.9079120042	0.05559278899	a248bdd	2x2_2C_8b_C2v_L	2	0.9490012474	0.9589337409	0.9999999998414807	-0.1432508138	0.2645669124	-0.0001192313133	0.0001415778478	-0.1646726306	1.440220954	-0.0347906246	-0.2220315472	0.03469641901	0.2224095711	-0.164638093	1.440194944	0.2015834834	-1.04368202	-3.650769664e-05	0.000122897855	run_optim.py	R0:S0:1	1	-0.6466235005	-1.09924999	-0.0001130232059	0.001335496538	0.205561678	-1.664645591	-0.14549862	1.425717459	0.4425552872	-1.411481597	0.442539338	-1.41184598	0.1453894617	-1.425276663	-5.512023863e-05	8.926325084e-05	-0.5887747802	0.4225805024	2024-09-03@11:12	-0.45	0.01333237852	0.2033141477	v2.7.1	
3	Broyden	0	0.02375185824	-10.65073268	-1.191600765	Y	6.033333333	0.06961481413	self-energy/D	sharp_wc_2_b_35	0.1338159791	0.01909180823	0.3938872947	0.1765091583	0.1868118293	0.456237301	1.014024806	0.1721930834	1.013685916	0.1722912068	0.1866959066	0.4561579754	0.1519880502	0.09669751769	0.9058969708	0.05708947595	a248bdd	2x2_2C_8b_C2v_L	1.96	0.9453891859	0.9553743178	0.9999999998488254	-0.134425853	0.2573853806	-9.013498389e-05	9.521655394e-05	-0.1609358467	1.434203708	-0.03373283551	-0.2210296733	0.03365163057	0.221366887	-0.1609152107	1.434218572	0.1984302643	-1.03131424	-2.926718365e-05	9.848599767e-05	run_optim.py	R0:S0:1	1	-0.642366316	-1.093025052	-8.921514093e-05	0.001148794283	0.2068400513	-1.690225128	-0.1444311591	1.434421448	0.4474686148	-1.425814459	0.4474713691	-1.426142542	0.1443313183	-1.433989567	-4.262533919e-05	7.181436608e-05	-0.5939199209	0.4288629034	2024-09-03@11:15	-0.4666666667	0.01448092613	0.2112336695	v2.7.1	
4	Broyden	0	0.02275961803	-10.67738552	-1.175736903	Y	6.055555556	0.06776137325	self-energy/D	sharp_wc_2_b_35	0.1609806723	0.02185872479	0.3712308887	0.1688928267	0.2117266059	0.4198209427	1.023453713	0.1540995337	1.023099718	0.1541934952	0.2116021174	0.4197431528	0.1900835759	0.09281524712	0.9208272136	0.05237947732	a248bdd	2x2_2C_8b_C2v_L	1.973333333	0.945088307	0.9550054039	0.9999999999055733	-0.1484844749	0.2696650668	-0.0001318676623	0.0001610457353	-0.1701995398	1.420278998	-0.03829755051	-0.2053772344	0.03820527571	0.2057488405	-0.1701823088	1.420307658	0.2094374952	-1.039061805	-2.938258003e-05	9.971633871e-05	run_optim.py	R0:S0:1	1	-0.6443638492	-1.089698512	-0.0001238444582	0.001405800602	0.2022042202	-1.642658786	-0.1483399201	1.374119936	0.4368435696	-1.352883381	0.4368527687	-1.353218391	0.148231712	-1.373666098	-4.154877462e-05	6.086805889e-05	-0.5843974499	0.4171695082	2024-09-03@11:19	-0.4444444444	0.008829441642	0.1935863799	v2.7.1	
2	Broyden	0	0.02363082885	-10.79714415	-1.208158214	Y	6.013888889	0.07293782367	self-energy/D	sharp_wc_2_b_35	0.1139238212	0.01654549518	0.4167217682	0.1786129063	0.1649641731	0.4904926495	1.002490985	0.1906382728	1.002229544	0.1907308447	0.1648767737	0.4904150232	0.1163168062	0.100446808	0.8977655884	0.06137628582	a248bdd	2x2_2C_8b_C2v_L	1.993333333	0.9497862021	0.959700915	0.9999999998694751	-0.1238764922	0.2428203167	-6.490791781e-05	5.738292782e-05	-0.1535782324	1.443620342	-0.02949458461	-0.2323348782	0.02942233821	0.2326447088	-0.1535655175	1.443664472	0.1879521736	-1.024649917	-2.505970332e-05	8.811284258e-05	run_optim.py	R0:S0:1	1	-0.6420034106	-1.096343196	-6.542904184e-05	0.0009406653874	0.2095313609	-1.709790398	-0.1399084016	1.48718309	0.4562432571	-1.49796054	0.4562524	-1.498259734	0.1398193147	-1.486755361	-3.431664397e-05	6.593203731e-05	-0.6023769128	0.4379801141	2024-09-03@11:22	-0.4861111111	0.02080228515	0.2300194656	v2.7.1	
5	Broyden	0	0.02395776476	-10.70209877	-1.21369334	Y	6.064814815	0.07183049662	self-energy/D	sharp_wc_2_b_35	0.09069387836	0.01316540331	0.4559253737	0.1780018063	0.1519494542	0.5042731511	0.9914266095	0.2015604458	0.9911363104	0.2016475643	0.1518776181	0.5041969397	0.09971463099	0.1004207164	0.9024847545	0.06379811283	a248bdd	2x2_2C_8b_C2v_L	1.968888889	0.9477441396	0.9573642968	0.9999999999045437	-0.1110658958	0.2210881033	-4.421001177e-05	1.711923044e-05	-0.1489452741	1.435564852	-0.02669625995	-0.2359136697	0.02663518766	0.2361867948	-0.1489317937	1.435591008	0.1836176583	-1.006523832	-2.066919594e-05	6.750298416e-05	run_optim.py	R0:S0:1	1	-0.6366794642	-1.08458024	-4.65158422e-05	0.0008165096662	0.211435711	-1.719774144	-0.1357956354	1.488345794	0.4631976683	-1.533671354	0.4631892569	-1.533920943	0.1357205371	-1.487963487	-3.083132622e-05	6.692156721e-05	-0.6134018534	0.4481597068	2024-09-03@11:27	-0.5185185185	0.02356636252	0.2490038359	v2.7.1	
16	Broyden	0	0.02387406661	-10.65102092	-1.224483657	Y	6.097222222	0.0718904248	self-energy/D	sharp_wc_2_b_35	0.07131745203	0.0104231731	0.5006741892	0.1775760112	0.1369118752	0.5286677405	0.9817896269	0.2157081172	0.9812939548	0.2158022445	0.1369032994	0.5286153333	0.07983266719	0.1018965581	0.9103410198	0.06710055201	a248bdd	2x2_2C_8b_C2v_L	1.953333333	0.9471735999	0.9561092227	0.9999999998335731	-0.09965445153	0.2010116616	-1.688719481e-05	-5.272624753e-05	-0.1442338201	1.437036047	-0.0243839387	-0.2341010193	0.02433820103	0.2343967159	-0.1442643541	1.437346307	0.1787767873	-0.9938421931	-5.433955791e-07	-2.568978214e-05	run_optim.py	R0:S0:1	1	-0.6319759074	-1.074327783	-2.166626664e-05	0.0005567265751	0.2131108123	-1.728430504	-0.1309529148	1.500580159	0.471464772	-1.581800432	0.4714305737	-1.58195132	0.1308686888	-1.499949429	-3.808849174e-05	0.0001049641192	-0.6263422842	0.4600946247	2024-09-03@11:42	-0.5527777778	0.02769502565	0.2716387667	v2.7.1	
7	Broyden	0	0.0242123914	-10.64880467	-1.200747495	Y	6.084876543	0.06964487479	self-energy/D	sharp_wc_2_b_35	0.1035672362	0.01495008444	0.430360284	0.1766550449	0.1687815025	0.4771736569	1.007018571	0.1853158189	1.006696143	0.1854029278	0.1686649516	0.4771153612	0.1255587964	0.09804181422	0.9032974607	0.06069082877	a248bdd	2x2_2C_8b_C2v_L	1.959259259	0.9455115001	0.955358021	0.999999999807007	-0.1180153798	0.2325550246	-5.647262871e-05	2.702442812e-05	-0.1542665692	1.426438398	-0.02999277006	-0.2287114095	0.02993016823	0.2289693679	-0.1542457901	1.426481009	0.1914428318	-1.012838437	-2.719021828e-05	8.153042324e-05	run_optim.py	R0:S0:1	1	-0.636749678	-1.082025099	-6.521461951e-05	0.001027503267	0.2085088122	-1.703258672	-0.1405914662	1.455208498	0.4571468604	-1.473458008	0.4571413764	-1.47371621	0.14050491	-1.454817512	-4.407608896e-05	8.741740425e-05	-0.6061975883	0.4418741776	2024-09-03@11:48	-0.5040123457	0.01929173433	0.2355545406	v2.7.1	
