CDMFT_iterations	CDMFT_method	D	D_ave	E0_1	E_kin	GS_consistency	U	U_1_ave	convergence	dist_function	eb1_1	eb1_1_ave	eb2_1	eb2_1_ave	eb3_1	eb3_1_ave	eb4_1	eb4_1_ave	eb5_1	eb5_1_ave	eb6_1	eb6_1_ave	eb7_1	eb7_1_ave	eb8_1	eb8_1_ave	githash	model	mu	mu_1_ave	mu_ave	n_1	sb1_1	sb1_1_ave	sb2_1	sb2_1_ave	sb3_1	sb3_1_ave	sb4_1	sb4_1_ave	sb5_1	sb5_1_ave	sb6_1	sb6_1_ave	sb7_1	sb7_1_ave	sb8_1	sb8_1_ave	script	sector_1	t	t_1_ave	t_ave	tb1_1	tb1_1_ave	tb2_1	tb2_1_ave	tb3_1	tb3_1_ave	tb4_1	tb4_1_ave	tb5_1	tb5_1_ave	tb6_1	tb6_1_ave	tb7_1	tb7_1_ave	tb8_1	tb8_1_ave	time	tp	tp_1_ave	tp_ave	version	
6	Broyden	0	-0.01391724209	-9.38542507	-1.078012576	Y	7	0.04281202656	self-energy/D	sharp_wc_2_b_35	0.2853362263	0.2109945987	0.1794348205	0.03486499817	0.2269757174	0.3655226952	0.8995306997	0.1305353771	0.897068252	0.1306980772	0.2267240193	0.3652044316	0.2306552628	0.08694725143	0.8495487852	0.04697677481	c61843e	2x2_2C_8b_C2v_L	1.7	0.903691011	0.9133716152	0.999999999821042	0.0006945903791	-0.001089212314	-0.1630997353	0.3409205184	0.1817652346	-1.316101048	0.04955609616	0.1250493338	-0.04924591738	-0.1262081062	-0.1817743944	1.31665556	-0.2208738494	0.977232511	2.768543051e-05	-0.0001222844934	run_optim.py	R0:S0:1	1	-0.5977678526	-1.02309527	0.196769442	-1.731528584	0.0006770765004	-0.007218167563	-0.1403439079	1.184132468	0.3932081146	-1.212510295	0.3929387755	-1.212524578	-0.1399903566	1.181838339	1.267996845e-05	2.613017668e-05	0.5305829852	-0.4219563182	2024-07-04@11:02	-0.4	-0.007621694187	0.1372932644	v2.6.0	
2	Broyden	0	-0.01381914182	-9.383038435	-1.077348011	Y	7.01	0.04268187521	self-energy/D	sharp_wc_2_b_35	0.2839403342	0.2113448282	0.1803281406	0.03501770347	0.2277282534	0.364731345	0.8980481527	0.130177003	0.8974946982	0.1301591927	0.227704838	0.3647038563	0.2316426273	0.08698011567	0.8495052704	0.04692085967	c61843e	2x2_2C_8b_C2v_L	1.7	0.9035709031	0.9132956706	0.9999999998503439	0.001054979298	-0.001745124857	-0.1632736334	0.3415379539	0.1819948539	-1.314848804	0.04966215751	0.124582812	-0.04973151498	-0.124445518	-0.1819873852	1.315167207	-0.2212421653	0.9773860131	6.48815031e-06	-1.259524876e-06	run_optim.py	R0:S0:1	1	-0.5973092865	-1.022422849	0.1964878896	-1.731519835	0.001045745434	-0.01103119346	-0.1404905596	1.182873806	0.3925531039	-1.210530518	0.3924861816	-1.210227567	-0.1403953284	1.182241584	7.971466425e-05	-9.599943105e-05	0.5303087284	-0.4220841677	2024-07-04@11:05	-0.4	-0.007636910207	0.1373129051	v2.6.0	
1	Broyden	0	-0.01358412784	-9.419896071	-1.077046385	Y	7	0.04294287988	self-energy/D	sharp_wc_2_b_35	0.2837426834	0.2088349652	0.1813241395	0.03497404394	0.2299064342	0.3618698817	0.9034936812	0.128393831	0.9021445195	0.129109967	0.2291646655	0.3614806226	0.2341247062	0.08641268124	0.8530732728	0.04652198427	c61843e	2x2_2C_8b_C2v_L	1.71	0.9048077971	0.9144066335	0.999999999837512	-0.0002908876454	0.000214203763	-0.1641038367	0.3402292915	0.1826268748	-1.31098345	0.05040907004	0.1213363723	-0.04969974311	-0.12414174	-0.1826828657	1.311361254	-0.2219518713	0.9763979977	1.530067654e-05	-4.185294799e-05	run_optim.py	R0:S0:1	1	-0.598102813	-1.022017513	0.1956071263	-1.721293103	-0.0004111777602	0.004591428987	-0.141291914	1.180918834	0.3922213613	-1.203551331	0.3927044042	-1.206883359	-0.1404485096	1.177798145	-0.0001642788752	0.0001912603593	0.5303144607	-0.4208171569	2024-07-04@11:07	-0.4	-0.007725673374	0.1375721782	v2.6.0	
6	Broyden	0	-0.01366360797	-9.382581855	-1.076981238	Y	7	0.04278809296	self-energy/D	sharp_wc_2_b_35	0.2802593328	0.2121438786	0.1877737853	0.03651313181	0.2294028812	0.3652250532	0.8924581531	0.1297553155	0.8925682683	0.129474763	0.2298079912	0.3652758232	0.231752536	0.08681611265	0.8476686614	0.04644316196	c61843e	2x2_2C_8b_C2v_L	1.7	0.9033058317	0.9129380842	0.9999999998307345	0.002254503513	-0.003806676233	-0.1677921773	0.3479686815	0.1832093667	-1.32126788	0.0501352371	0.1239370786	-0.05032735928	-0.1231671668	-0.1832991919	1.321717768	-0.2206516477	0.9784995582	6.415900606e-06	-4.951497756e-06	run_optim.py	R0:S0:1	1	-0.5986547344	-1.025643068	0.1968053666	-1.731436557	0.002206513742	-0.02272261388	-0.1402394385	1.184056228	0.3900640303	-1.20818932	0.3898899845	-1.206686089	-0.1404497503	1.184170801	4.752546708e-05	-3.545091734e-05	0.5268907096	-0.4188042128	2024-07-04@11:12	-0.39	-0.008570453261	0.1316363337	v2.6.0	
1	Broyden	0	-0.01395600045	-9.347217203	-1.07745931	Y	7.006666667	0.04256409235	self-energy/D	sharp_wc_2_b_35	0.2827585906	0.2135961073	0.1844869873	0.03603848297	0.226989048	0.3670325303	0.8925136943	0.131200931	0.8911753523	0.1312377644	0.2274205144	0.3670482895	0.2303850779	0.08703817982	0.8472683709	0.04690185721	c61843e	2x2_2C_8b_C2v_L	1.69	0.9023438496	0.9119836594	0.9999999998223841	0.00358234694	-0.00639045583	-0.1657191407	0.3467268984	0.1819308808	-1.32131621	0.04956383346	0.1258439188	-0.04966081785	-0.1256611948	-0.1821001802	1.321394521	-0.2201174333	0.9779106527	2.491004959e-05	9.576758223e-06	run_optim.py	R0:S0:1	1	-0.5977826836	-1.025131615	0.1975324438	-1.739546783	0.003375684448	-0.03481184999	-0.1397877961	1.185322016	0.391633371	-1.214052498	0.3914394494	-1.214044081	-0.1399289425	1.18544151	4.171288232e-05	-6.500008663e-05	0.5287422607	-0.4208605991	2024-07-04@11:14	-0.3933333333	-0.008228537577	0.1330365129	v2.6.0	
2	Broyden	0	-0.0141430822	-9.310939715	-1.077849164	Y	7.01	0.04238466365	self-energy/D	sharp_wc_2_b_35	0.2819380462	0.2159946552	0.1865576782	0.03669459897	0.2262510915	0.3707122595	0.8880113124	0.1321672945	0.8874060823	0.132182157	0.2260538563	0.3707403838	0.2279125689	0.08740928259	0.8433853925	0.04709729694	c61843e	2x2_2C_8b_C2v_L	1.68	0.9010730638	0.9107839494	0.9999999997725669	0.004952452338	-0.008604267605	-0.1666626064	0.3502356435	0.1818790217	-1.32831655	0.04972249075	0.1259733874	-0.04972033516	-0.1258784863	-0.181798374	1.328039148	-0.2191026132	0.978743002	-9.951796876e-05	0.0003564233102	run_optim.py	R0:S0:1	1	-0.597664114	-1.026824732	0.198275918	-1.748200637	0.004850117474	-0.05014618015	-0.1395789047	1.190017091	0.3911287074	-1.217331305	0.3909731904	-1.217281437	-0.13962069	1.190366883	-0.0001014907132	0.000176139661	0.5274734804	-0.4207331811	2024-07-04@11:17	-0.39	-0.008492299002	0.1308318776	v2.6.0	
2	Broyden	0	-0.01422648838	-9.337271499	-1.078527222	Y	7.013333333	0.04247024275	self-energy/D	sharp_wc_2_b_35	0.2873127212	0.2134406837	0.1764927881	0.03450856624	0.2246540075	0.3687125226	0.8974029027	0.1321827616	0.897024135	0.1321909821	0.2247920569	0.3685353334	0.2284427539	0.08743703141	0.8478377847	0.04755468339	c61843e	2x2_2C_8b_C2v_L	1.686666667	0.9022634374	0.9120450245	0.9999999997859361	0.001930039	-0.003011625992	-0.161083268	0.3406292961	0.1806936502	-1.318623933	0.04920993139	0.1263596682	-0.04919462881	-0.126542804	-0.1806454811	1.318301905	-0.2202506641	0.9773343059	-0.0001111960701	0.0003258583221	run_optim.py	R0:S0:1	1	-0.5965056023	-1.02256968	0.1974955135	-1.742687404	0.00196175052	-0.02119248051	-0.139958389	1.186867698	0.3944726159	-1.218753077	0.3943832782	-1.218630205	-0.1399629808	1.186757057	-0.0001499378063	0.0002510536451	0.5320847386	-0.4244101701	2024-07-04@11:20	-0.4033333333	-0.007271644042	0.1387377074	v2.6.0	
1	Broyden	0	-0.01452887597	-9.31474719	-1.079336042	Y	7.02	0.0423151459	self-energy/D	sharp_wc_2_b_35	0.2921031762	0.2137988033	0.1702941	0.03331400108	0.2218940486	0.3704845963	0.8985424679	0.1337272956	0.898972142	0.133592663	0.2221080865	0.3704931295	0.2259821993	0.08774165563	0.8471495866	0.0481566312	c61843e	2x2_2C_8b_C2v_L	1.68	0.901728798	0.9115511174	0.9999999998488117	0.001648994695	-0.002652771226	-0.157523703	0.3360008536	0.1793214411	-1.317171164	0.04848814757	0.1286099516	-0.04862722522	-0.1281518789	-0.1793040444	1.317112536	-0.2198014257	0.9763388369	-1.103821087e-05	4.282760286e-05	run_optim.py	R0:S0:1	1	-0.5954715767	-1.021006335	0.1981191939	-1.748245715	0.001632765475	-0.01791038793	-0.1395977611	1.187877143	0.396672527	-1.225263539	0.3966409197	-1.224642433	-0.1397119542	1.188245764	1.218605625e-06	2.854137066e-05	0.534577595	-0.4272566861	2024-07-04@11:22	-0.41	-0.006629474081	0.1422675772	v2.6.0	
2	Broyden	0	-0.01448223164	-9.290179571	-1.079283833	Y	7.01	0.04231462302	self-energy/D	sharp_wc_2_b_35	0.288194151	0.2156747519	0.1777547678	0.0349128973	0.223146784	0.3717650575	0.8929811549	0.1337304719	0.8925877409	0.1337794658	0.2232860288	0.3716169695	0.2258833611	0.08765626109	0.8458018597	0.04777866739	c61843e	2x2_2C_8b_C2v_L	1.673333333	0.9008440158	0.9106246066	0.9999999997951887	0.003419148733	-0.005748945678	-0.1617670883	0.3434237232	0.1801239356	-1.324536151	0.04880718641	0.1287259137	-0.04871581002	-0.129135095	-0.1802146035	1.324785597	-0.2190027865	0.9776950699	-5.039517056e-05	0.0001868177707	run_optim.py	R0:S0:1	1	-0.5966651988	-1.024751833	0.1986718326	-1.752804813	0.003351106056	-0.03576927679	-0.1393033757	1.190768326	0.3943715451	-1.22456723	0.3943984185	-1.22465564	-0.1392239718	1.189991866	-7.425390911e-05	0.0001401529538	0.531615608	-0.4242938867	2024-07-04@11:24	-0.4	-0.007587756069	0.1363300008	v2.6.0	
2	Broyden	0	-0.01483909817	-9.224672349	-1.07945202	Y	7.026666667	0.04185773215	self-energy/D	sharp_wc_2_b_35	0.2907959656	0.2188955631	0.1757270613	0.03512332123	0.2193883289	0.3761307064	0.8853616767	0.1366464964	0.8855217069	0.1366127133	0.2192127782	0.3761039572	0.2216675732	0.08818226811	0.8408855916	0.04838983959	c61843e	2x2_2C_8b_C2v_L	1.655555556	0.89873968	0.9085724987	0.9999999998953975	0.006052375455	-0.009975246252	-0.1606479957	0.3449972094	0.1787806186	-1.329563633	0.04788237273	0.1325394542	-0.04777155295	-0.1326532887	-0.1788530437	1.329674982	-0.2174735064	0.9772413584	-0.0002052104549	0.0006368123767	run_optim.py	R0:S0:1	1	-0.595491773	-1.025235043	0.2001798221	-1.767094395	0.006104008506	-0.06602097248	-0.1378167718	1.192277376	0.3951930624	-1.235285142	0.3952293219	-1.235154416	-0.1378710256	1.19223341	-0.0002517077212	0.0004609009853	0.5316598304	-0.4261134962	2024-07-04@11:27	-0.4	-0.007529363808	0.1355424434	v2.6.0	
