CDMFT_iterations	CDMFT_method	D	D_ave	E0_1	E_kin	GS_consistency	U	U_1_ave	convergence	dist_function	eb1_1	eb1_1_ave	eb2_1	eb2_1_ave	eb3_1	eb3_1_ave	eb4_1	eb4_1_ave	eb5_1	eb5_1_ave	eb6_1	eb6_1_ave	eb7_1	eb7_1_ave	eb8_1	eb8_1_ave	githash	model	mu	mu_1_ave	mu_ave	n_1	sb1_1	sb1_1_ave	sb2_1	sb2_1_ave	sb3_1	sb3_1_ave	sb4_1	sb4_1_ave	sb5_1	sb5_1_ave	sb6_1	sb6_1_ave	sb7_1	sb7_1_ave	sb8_1	sb8_1_ave	script	sector_1	t	t_1_ave	t_ave	tb1_1	tb1_1_ave	tb2_1	tb2_1_ave	tb3_1	tb3_1_ave	tb4_1	tb4_1_ave	tb5_1	tb5_1_ave	tb6_1	tb6_1_ave	tb7_1	tb7_1_ave	tb8_1	tb8_1_ave	time	tp	tp_1_ave	tp_ave	version	
2	Broyden	0	-0.0138334989	-9.385929016	-1.078015709	Y	7	0.04281957655	self-energy/D	sharp_wc_2_b_35	0.2858409298	0.2107216786	0.1800364993	0.03486430124	0.2279459125	0.3645328751	0.9018399946	0.1299992438	0.9019554719	0.1299629692	0.2280650554	0.3645492368	0.2327078723	0.08680943882	0.8517985773	0.04681461906	a248bdd	2x2_2C_8b_C2v_L	1.7	0.9037492173	0.9134439271	0.9999999998459721	-0.0004355982211	0.0007402684481	-0.1634612296	0.340936002	0.1821379118	-1.316201272	0.04949794779	0.1254781736	-0.04954389297	-0.1253383341	-0.1821751926	1.316293082	-0.2215258346	0.9778526011	0.0001100166912	-0.000347291665	run_optim.py	R0:S0:1	1	-0.5978264268	-1.023077642	0.1967657601	-1.730990583	-0.0004192112697	0.004408472528	-0.1403782168	1.182810628	0.3932102003	-1.21025917	0.3932176789	-1.21010563	-0.1404149471	1.182847237	0.0001520451077	-0.0001984341178	0.5307560102	-0.421551738	2024-09-01@15:37	-0.4	-0.007681838773	0.1373451692	v2.7.1	
4	Broyden	0	-0.01357048819	-9.374952262	-1.074516447	Y	7.05	0.04218504105	self-energy/D	sharp_wc_2_b_35	0.2841177061	0.2115961316	0.1794478143	0.03503781546	0.2278046186	0.3639616191	0.8963466024	0.1294061234	0.8964680235	0.1293667981	0.2278933157	0.3639833386	0.2325711457	0.08694332731	0.8469727344	0.04684119437	a248bdd	2x2_2C_8b_C2v_L	1.7	0.9030487853	0.9126957437	0.9999999998265601	-0.0004706699409	0.0008096276458	-0.1632228321	0.3416312908	0.1822059106	-1.311503624	0.05005138609	0.1221729357	-0.0500992632	-0.1220156947	-0.1822323732	1.311568587	-0.2217210271	0.975900121	-0.0001314967525	0.0004094891596	run_optim.py	R0:S0:1	1	-0.5956520672	-1.01971993	0.1964981964	-1.730716551	-0.0004529556998	0.004751857433	-0.1404550368	1.179423821	0.3916600689	-1.206213377	0.3916609288	-1.206045702	-0.1404956317	1.179507833	-0.0001743207974	0.0002152044346	0.5289959238	-0.4227522261	2024-09-01@15:41	-0.4	-0.007753951856	0.1369912924	v2.7.1	
2	Broyden	0	-0.01331697886	-9.455590824	-1.076652151	Y	7	0.04310258046	self-energy/D	sharp_wc_2_b_35	0.2830254688	0.2072622342	0.181983521	0.03502355467	0.2318620363	0.359807285	0.9055494109	0.1270784916	0.9056448056	0.1270440515	0.2319572759	0.3598257324	0.2367755738	0.08636070662	0.8546484537	0.04618947564	a248bdd	2x2_2C_8b_C2v_L	1.72	0.9057695969	0.9154632404	0.9999999998204985	-0.0004111244322	0.0007017858737	-0.1647347605	0.3394759311	0.183684538	-1.309762044	0.05061414445	0.120622724	-0.05066330326	-0.1204695536	-0.1837084517	1.309809817	-0.2232612727	0.9779482441	-2.845552655e-05	8.729644013e-05	run_optim.py	R0:S0:1	1	-0.5983604933	-1.021399228	0.1950089699	-1.714066501	-0.0003919981528	0.004073884081	-0.1415871343	1.178289646	0.3914559638	-1.198322309	0.3914535148	-1.198172181	-0.141626792	1.178377294	-3.315106206e-05	3.638932732e-05	0.5296387368	-0.4198635062	2024-09-01@15:44	-0.4	-0.007767484974	0.1381323074	v2.7.1	
6	Broyden	0	-0.0134485895	-9.379963653	-1.075964803	Y	7	0.0427616766	self-energy/D	sharp_wc_2_b_35	0.2754348844	0.2134128938	0.1959530428	0.03803974956	0.2317149589	0.365741644	0.8883855805	0.1285915155	0.8884762291	0.1285514743	0.2317970826	0.3657741434	0.2321300003	0.08663955925	0.8443159797	0.04596162463	a248bdd	2x2_2C_8b_C2v_L	1.7	0.9028972974	0.9124166347	0.9999999998656525	-0.0007187842036	0.001267346823	-0.1723865533	0.3547808498	0.1845034006	-1.326820984	0.0510881071	0.1209743537	-0.05114335197	-0.1207837619	-0.1845288699	1.326884834	-0.2200576079	0.9789344074	-7.819629502e-06	1.90457827e-05	run_optim.py	R0:S0:1	1	-0.5995199125	-1.02812146	0.196984006	-1.731916304	-0.0006968209855	0.006969549059	-0.1405093199	1.185991525	0.3872552567	-1.202430014	0.3872485276	-1.20225645	-0.1405543956	1.186104863	-9.087618862e-06	6.714523803e-06	0.5230005173	-0.415722095	2024-09-01@15:49	-0.38	-0.009466341002	0.1259035341	v2.7.1	
1	Broyden	0	-0.01387587303	-9.305347768	-1.075689123	Y	7.033333333	0.0420833341	self-energy/D	sharp_wc_2_b_35	0.2802428336	0.2164502787	0.1885042965	0.03699679614	0.2277992125	0.3696925347	0.8900447593	0.1306792217	0.8901183921	0.130642769	0.2279019808	0.3697125501	0.2281798928	0.08717175635	0.8413408746	0.04682776205	a248bdd	2x2_2C_8b_C2v_L	1.68	0.9007065231	0.9102856569	0.9999999998444927	-0.0005475686727	0.0009646865086	-0.1681265498	0.3523770784	0.1825409846	-1.326849233	0.0505266861	0.1224028739	-0.05057874393	-0.1222394512	-0.1825692525	1.32690338	-0.2189834546	0.9770030838	-2.725216528e-05	8.32956915e-05	run_optim.py	R0:S0:1	1	-0.5970707697	-1.025938702	0.1983059306	-1.747590811	-0.0005322458749	0.005453804147	-0.1400555918	1.189328629	0.3900157895	-1.210759986	0.3900100294	-1.210600845	-0.1400987338	1.189419412	-3.285877278e-05	3.629941333e-05	0.5253957186	-0.4198570903	2024-09-01@15:51	-0.3866666667	-0.008888752255	0.1286648818	v2.7.1	
2	Broyden	0	-0.01420047374	-9.230242488	-1.075584465	Y	7.05	0.04158704674	self-energy/D	sharp_wc_2_b_35	0.2788564406	0.2212965258	0.1917429618	0.03806177784	0.2251975277	0.3750934862	0.8757374786	0.1334365581	0.8758207685	0.1333973282	0.2252929369	0.3751115961	0.2251292462	0.08774987495	0.8356316954	0.04715963065	a248bdd	2x2_2C_8b_C2v_L	1.66	0.8980515019	0.9076631441	0.999999999816304	-0.0006401772738	0.001142377218	-0.1699048677	0.3592145071	0.181959106	-1.336933308	0.05004495511	0.1253644154	-0.05009204571	-0.125212843	-0.1819877551	1.337015314	-0.2173830242	0.9783664326	-2.819540607e-05	8.69330826e-05	run_optim.py	R0:S0:1	1	-0.596419529	-1.028487099	0.1999112266	-1.764674693	-0.0006296396501	0.00641458147	-0.1386841101	1.193278426	0.3885988773	-1.220032051	0.3885965433	-1.219857467	-0.1387194548	1.19332307	-3.458862894e-05	3.787718207e-05	0.5235230685	-0.419953235	2024-09-01@15:54	-0.38	-0.009511702229	0.1239404369	v2.7.1	
2	Broyden	0	-0.01428728832	-9.279874034	-1.076037503	Y	7.066666667	0.04162269717	self-energy/D	sharp_wc_2_b_35	0.2909888838	0.215516534	0.1720105815	0.03379839254	0.2215760984	0.3704254033	0.8917080166	0.1335691682	0.8918011632	0.1335313863	0.2216561823	0.3704563556	0.2260543585	0.08776470298	0.8429248872	0.04807074878	a248bdd	2x2_2C_8b_C2v_L	1.673333333	0.90035415	0.9101056113	0.999999999853676	-0.0003623934158	0.0006048463418	-0.1586907648	0.3389249477	0.1794336307	-1.315709978	0.04867735899	0.1271904894	-0.04872656123	-0.1270233153	-0.1794589634	1.315780551	-0.2196891926	0.9748011902	-2.868760032e-06	8.429452272e-06	run_optim.py	R0:S0:1	1	-0.5936890217	-1.019202949	0.1985478799	-1.752129504	-0.0003544160945	0.003849399475	-0.1390662635	1.184493422	0.3947887706	-1.222785817	0.3947856018	-1.222628208	-0.1391059033	1.184587568	-1.834485272e-07	-6.78092224e-06	0.5321307308	-0.4274993023	2024-09-01@15:57	-0.4066666667	-0.007077637978	0.1397571018	v2.7.1	
2	Broyden	0	-0.01469575318	-9.230360387	-1.076281263	Y	7.1	0.04106396206	self-energy/D	sharp_wc_2_b_35	0.2987237852	0.216702887	0.1603782032	0.03170009461	0.2163904941	0.3740433904	0.8958399485	0.1357812422	0.8959248075	0.1357439202	0.2164824173	0.3740686448	0.22216719	0.08845839028	0.8412008591	0.04924630139	a248bdd	2x2_2C_8b_C2v_L	1.66	0.8990465851	0.908862545	0.9999999998504487	-0.0001879272496	0.0003112107706	-0.1519191255	0.3305764847	0.1769096602	-1.311612585	0.047781448	0.1287412698	-0.04783142597	-0.1285806313	-0.1769381285	1.311682587	-0.219246592	0.9727261589	-3.132345268e-05	9.894822879e-05	run_optim.py	R0:S0:1	1	-0.5906865898	-1.014609806	0.1991495285	-1.761868066	-0.0001827332696	0.002068950322	-0.1385140703	1.185688038	0.3988245565	-1.231883899	0.398822277	-1.231727673	-0.1385541262	1.185771513	-3.867160136e-05	4.513504744e-05	0.5365134387	-0.433731054	2024-09-01@16:00	-0.42	-0.005791948261	0.1468368029	v2.7.1	
2	Broyden	0	-0.01490300592	-9.189187816	-1.078383967	Y	7.05	0.04145044659	self-energy/D	sharp_wc_2_b_35	0.2924989479	0.2204493827	0.174895277	0.03450135054	0.2184473351	0.3779775341	0.8852162045	0.1368279218	0.8853294943	0.1367866186	0.2185390999	0.3780082434	0.2209709707	0.08830622095	0.8389784708	0.04859117756	a248bdd	2x2_2C_8b_C2v_L	1.646666667	0.8975498916	0.9073353992	0.9999999998690167	-0.0004054867568	0.0006895478365	-0.1601708101	0.3449869716	0.1783832866	-1.33047146	0.0480931656	0.1310798994	-0.04814854546	-0.1308964774	-0.1784074928	1.330528177	-0.2171614511	0.9764682783	-1.342104723e-05	4.221249045e-05	run_optim.py	R0:S0:1	1	-0.5943728361	-1.02438887	0.2009951091	-1.774102497	-0.000398359923	0.004306258759	-0.1379126997	1.194367779	0.3952809106	-1.235383531	0.3952787971	-1.235217485	-0.1379570397	1.194489214	-1.315159881e-05	9.23004551e-06	0.5315247694	-0.4271894145	2024-09-01@16:03	-0.4	-0.007633138685	0.1349877424	v2.7.1	
2	Broyden	0	-0.01554218381	-9.097018431	-1.080232074	Y	7.05	0.0410817178	self-energy/D	sharp_wc_2_b_35	0.2957372711	0.225123191	0.1725466625	0.03431835409	0.2140061093	0.3856381919	0.8842284041	0.14008257	0.884296672	0.140048869	0.2140935599	0.3856657615	0.214652307	0.08903043663	0.8349319985	0.04950351923	a248bdd	2x2_2C_8b_C2v_L	1.62	0.8947617495	0.9046045926	0.9999999998647996	-0.0002991618456	0.0005058423623	-0.1586136325	0.3469656677	0.1765389107	-1.340564753	0.04740275352	0.1340562037	-0.04745062664	-0.1339005437	-0.1765670106	1.34063482	-0.2147458935	0.9765089594	5.336046712e-05	-0.0001696414715	run_optim.py	R0:S0:1	1	-0.5936993603	-1.026659769	0.2029565462	-1.795447454	-0.0002971606136	0.003263208907	-0.1369008459	1.203228256	0.3975775411	-1.248186646	0.3975757278	-1.248050696	-0.1369374745	1.203307957	7.732101851e-05	-0.0001091986571	0.5326834237	-0.4293906795	2024-09-01@16:06	-0.4	-0.007535623284	0.1339307621	v2.7.1	
