CDMFT_iterations	CDMFT_method	D	D_ave	E0_1	E_kin	GS_consistency	U	U_1_ave	convergence	dist_function	eb1_1	eb1_1_ave	eb2_1	eb2_1_ave	eb3_1	eb3_1_ave	eb4_1	eb4_1_ave	eb5_1	eb5_1_ave	eb6_1	eb6_1_ave	eb7_1	eb7_1_ave	eb8_1	eb8_1_ave	githash	model	mu	mu_1_ave	mu_ave	n_1	sb1_1	sb1_1_ave	sb2_1	sb2_1_ave	sb3_1	sb3_1_ave	sb4_1	sb4_1_ave	sb5_1	sb5_1_ave	sb6_1	sb6_1_ave	sb7_1	sb7_1_ave	sb8_1	sb8_1_ave	script	sector_1	t	t_1_ave	t_ave	tb1_1	tb1_1_ave	tb2_1	tb2_1_ave	tb3_1	tb3_1_ave	tb4_1	tb4_1_ave	tb5_1	tb5_1_ave	tb6_1	tb6_1_ave	tb7_1	tb7_1_ave	tb8_1	tb8_1_ave	time	tp	tp_1_ave	tp_ave	version	
5	Broyden	0	0.0009735799296	-10.52971565	-0.9594099451	Y	8.5	0.03152480906	self-energy/D	sharp_wc_2_b_35	0.1908498477	0.04743900958	-0.2018391496	1.823135436	0.7856642652	0.08737657731	0.2562049064	0.2821493773	0.7855685643	0.08737023736	0.256109373	0.2821236787	0.2778607054	0.08062566468	0.755649433	0.03746348509	c61843e	2x2_2C_8b_C2v_L	2	0.9186237889	0.9260353823	0.9999999998044034	-0.1736599055	0.3260122958	-0.1576432057	1.434017898	-0.06841841215	-0.02271727811	0.2014486975	-1.080619672	-0.06838422826	-0.02278453414	0.2014257952	-1.080640819	-0.2470938357	0.8938052971	-0.0001531273839	0.0004485696421	run_optim.py	R0:S0:1	1	-0.544095181	-0.9042327339	0.02861901199	-0.2657426955	0.03232466706	-0.05903209799	-0.3275889076	0.9800257096	-0.1417271962	0.9998434566	0.3275724515	-0.979942774	0.1416971008	-0.9996945307	-0.0001819249691	0.0002593786209	0.4601209572	-0.4182945606	2024-07-08@10:17	-0.4	-0.008352676818	0.137943028	v2.6.0	
1	Broyden	0	0.001023277555	-10.52811859	-0.9587519009	Y	8.51	0.03144899599	self-energy/D	sharp_wc_2_b_35	0.1905680172	0.04720658374	-0.2020911455	1.823225859	0.7836205027	0.08740360737	0.256425961	0.2813945157	0.7835696797	0.08740485568	0.2563522247	0.2813609314	0.277773994	0.08047101184	0.7538433043	0.03746183515	c61843e	2x2_2C_8b_C2v_L	2	0.9186064536	0.9259727976	0.9999999998126737	-0.1736627675	0.3258243261	-0.1577507672	1.434072897	-0.06847127535	-0.02238300901	0.2013994018	-1.07850364	-0.06843828307	-0.02246914541	0.2013735602	-1.078489157	-0.2468885555	0.8924089656	-0.0001490009842	0.0004379260996	run_optim.py	R0:S0:1	1	-0.5438058371	-0.9036228903	0.02810819896	-0.2610996788	0.03176388403	-0.05789134369	-0.3272320878	0.9798825564	-0.1417541656	0.998704032	0.3272305607	-0.9798557764	0.141723518	-0.9985781113	-0.0001783402444	0.0002561822772	0.4597176731	-0.418381643	2024-07-08@10:19	-0.4	-0.008367195393	0.1378225265	v2.6.0	
5	Broyden	0	0.001317969286	-10.56046223	-0.9581266611	Y	8.5	0.03161562679	self-energy/D	sharp_wc_2_b_35	0.1921057174	0.0470605024	-0.2003748188	1.825070357	0.7883200528	0.08616957877	0.2572984404	0.2797540201	0.7883579666	0.08617303381	0.2572576535	0.2797050801	0.2788619129	0.08012761052	0.7572185003	0.0370923411	c61843e	2x2_2C_8b_C2v_L	2.01	0.9196652964	0.9270511495	0.9999999998604105	-0.1744965351	0.3244872431	-0.1564703981	1.424083062	-0.0687340167	-0.02115870772	0.202128451	-1.075990298	-0.0686875771	-0.02129250026	0.2021155164	-1.076010873	-0.2477080444	0.8915907097	-0.0001092238541	0.0003215293522	run_optim.py	R0:S0:1	1	-0.5442999905	-0.9029337185	0.02805136472	-0.2592875195	0.03187369587	-0.05804372304	-0.3265941827	0.9740086823	-0.1416850611	0.9960192428	0.3266175832	-0.9740056921	0.141638479	-0.9957904813	-0.0001239392871	0.0001770518793	0.4589848111	-0.4167586561	2024-07-08@10:24	-0.4	-0.008436827837	0.1379823564	v2.6.0	
5	Broyden	0	0.001232856089	-10.51820552	-0.9579964567	Y	8.5	0.03153145881	self-energy/D	sharp_wc_2_b_35	0.1971383308	0.04817580277	-0.1983190857	1.822430389	0.7821014086	0.08647472121	0.2572618895	0.2830058466	0.7819782271	0.08650859247	0.2572283926	0.282946636	0.2770859524	0.08018643564	0.7531748781	0.0370175691	c61843e	2x2_2C_8b_C2v_L	2	0.9185367059	0.9258291235	0.9999999998929164	-0.1776187902	0.3299465482	-0.1573910247	1.431876518	-0.06935811534	-0.01988600971	0.2020869636	-1.083786154	-0.06928123172	-0.0201348505	0.2020860986	-1.083796869	-0.2458600941	0.892025588	-4.543408875e-05	0.0001276892863	run_optim.py	R0:S0:1	1	-0.5449193688	-0.9059589648	0.02849440081	-0.2598129821	0.03223779527	-0.0596927108	-0.3248326438	0.9748595824	-0.1419254757	1.003550527	0.3248588509	-0.9750217332	0.1418559533	-1.003250127	-5.410745199e-05	7.161523943e-05	0.4565731535	-0.4150496228	2024-07-08@10:29	-0.39	-0.009094104339	0.1334294664	v2.6.0	
2	Broyden	0	0.001326907368	-10.54098434	-0.9573002667	Y	8.506666667	0.03153401947	self-energy/D	sharp_wc_2_b_35	0.1959003517	0.04712673695	-0.198207132	1.822909534	0.7787848585	0.08670323527	0.2569523918	0.2807773427	0.7786336813	0.08671395181	0.256884525	0.2807521581	0.2778296124	0.08013379863	0.7529286523	0.0370080085	c61843e	2x2_2C_8b_C2v_L	2.006666667	0.9191449446	0.9264725616	0.9999999997630076	-0.1771125421	0.3286349178	-0.1572119127	1.430528129	-0.06857042526	-0.02196888708	0.2021590826	-1.078976428	-0.06853645902	-0.02206477167	0.2021374341	-1.07896539	-0.2466059507	0.8913029169	-9.175481264e-05	0.000258826307	run_optim.py	R0:S0:1	1	-0.544477784	-0.9042285573	0.0262002697	-0.2394345526	0.02966843084	-0.05472445364	-0.3248635506	0.9756941975	-0.141321294	0.9975190345	0.3248490409	-0.9757141542	0.1412852266	-0.9973835333	-0.0001020875511	0.0001321730795	0.4569060366	-0.4155528186	2024-07-08@10:32	-0.3933333333	-0.008854190833	0.1349280749	v2.6.0	
1	Broyden	0	0.001596066674	-10.54655287	-0.9564365881	Y	8.51	0.03155317715	self-energy/D	sharp_wc_2_b_35	0.1985658729	0.04688588021	-0.1963098412	1.822551555	0.7798102634	0.08585945216	0.2580509882	0.2805528686	0.7795538076	0.08588809202	0.257971347	0.2805131304	0.2790308265	0.07993279249	0.7547340644	0.03665182704	c61843e	2x2_2C_8b_C2v_L	2.01	0.9194351504	0.9267547415	0.9999999998408902	-0.1793033331	0.3305779451	-0.1568916345	1.429608972	-0.06893700784	-0.02105106279	0.2029731176	-1.079844275	-0.06886696111	-0.02125570079	0.2029586747	-1.079844614	-0.2469962773	0.8911766233	-5.487898697e-05	0.0001437580985	run_optim.py	R0:S0:1	1	-0.5446723734	-0.9043325166	0.02390314527	-0.2169147961	0.02717744361	-0.05038093551	-0.3235925258	0.9712786584	-0.141117209	0.9973835303	0.3235796988	-0.9713874256	0.1410558498	-0.9971394424	-6.638772746e-05	7.848164408e-05	0.4553089795	-0.4137393625	2024-07-08@10:35	-0.39	-0.009122131833	0.1336001833	v2.6.0	
3	Broyden	0	0.001787849093	-10.55745951	-0.956011951	Y	8.496666667	0.03168216481	self-energy/D	sharp_wc_2_b_35	0.2012627717	0.04723841129	-0.1959587533	1.824471361	0.7811517315	0.08507931559	0.2591851627	0.2793922301	0.7809345104	0.08511836566	0.2591474644	0.2793330343	0.2788763676	0.07934551844	0.7545851793	0.03637794623	c61843e	2x2_2C_8b_C2v_L	2.013333333	0.9199227696	0.9271625329	0.9999999998249893	-0.1805896084	0.3296013798	-0.156265177	1.421281825	-0.06941457973	-0.01932569128	0.2033378488	-1.078466773	-0.06933513771	-0.01958366257	0.2033341482	-1.078465552	-0.2464823401	0.8888512627	-1.525089927e-05	2.619297106e-05	run_optim.py	R0:S0:1	1	-0.5455963572	-0.9049679978	0.02555065938	-0.2301768453	0.02916979438	-0.05392346249	-0.3225914076	0.9674809127	-0.1414198585	0.9975138376	0.3226027527	-0.9676605639	0.141345434	-0.9971997066	-1.495429808e-05	8.266850605e-06	0.4540103899	-0.4118764217	2024-07-08@10:38	-0.3866666667	-0.009457967266	0.132010224	v2.6.0	
4	Broyden	0	0.002216572513	-10.57630153	-0.9545826854	Y	8.49	0.03180459638	self-energy/D	sharp_wc_2_b_35	0.2061486296	0.04700122561	-0.1950018126	1.826130774	0.7794867138	0.08390189336	0.2612348101	0.2776537967	0.7791066511	0.08395888284	0.2611995075	0.277564617	0.279545896	0.07856808454	0.7555056367	0.03580022628	c61843e	2x2_2C_8b_C2v_L	2.02	0.9206389372	0.9277810232	0.9999999998280343	-0.18402413	0.3301456331	-0.155835098	1.413572017	-0.06979939746	-0.01823281003	0.2044500645	-1.077439292	-0.06968138579	-0.0186134188	0.2044566711	-1.077462272	-0.2462451264	0.8862593768	2.974344518e-05	-0.0001145610809	run_optim.py	R0:S0:1	1	-0.546603282	-0.9055456874	0.02412150871	-0.2144818552	0.02777778357	-0.05119492809	-0.32013309	0.9611107951	-0.1412814953	0.9962777282	0.3201432677	-0.9613644694	0.1411715353	-0.9957737656	3.096764687e-05	-5.708598127e-05	0.4511853987	-0.4084300657	2024-07-08@10:42	-0.38	-0.01005786016	0.1290447316	v2.6.0	
2	Broyden	0	0.002210146285	-10.60393141	-0.954413644	Y	8.5	0.03177081499	self-energy/D	sharp_wc_2_b_35	0.1991539058	0.04572598349	-0.1968978531	1.827555534	0.7808059674	0.0841808689	0.2598170869	0.275116067	0.7805020275	0.08420104784	0.2597671783	0.2750504117	0.2800529569	0.07867927544	0.7580962621	0.03598840143	c61843e	2x2_2C_8b_C2v_L	2.026666667	0.9213922338	0.9286117286	0.9999999998058282	-0.1804535979	0.3258059884	-0.155328706	1.41017837	-0.06899716957	-0.0196530758	0.2039427835	-1.069662081	-0.06893043292	-0.01985519715	0.2039298196	-1.06969764	-0.2476490526	0.8857064969	-3.620458716e-05	9.355875933e-05	run_optim.py	R0:S0:1	1	-0.545562427	-0.9023464663	0.022357515	-0.2021522852	0.02583958484	-0.04690206013	-0.3216176234	0.9626996705	-0.1407123945	0.9884855507	0.3216000323	-0.9627326822	0.1406348194	-0.9880964748	-2.855623974e-05	3.1540827e-05	0.4535486029	-0.4107356452	2024-07-08@10:45	-0.39	-0.009376660099	0.1335055838	v2.6.0	
7	Broyden	0	0.002691334551	-10.59649671	-0.9522191687	Y	8.5	0.03181553837	self-energy/D	sharp_wc_2_b_35	0.210946788	0.04587624645	-0.1939392054	1.826896778	0.7787974639	0.08223823759	0.2633405749	0.2763676294	0.7780546573	0.08231398292	0.2632515343	0.2762717833	0.2804881693	0.07783303181	0.7553240608	0.03520845429	c61843e	2x2_2C_8b_C2v_L	2.027777778	0.9213153113	0.9283426046	0.9999999998332425	-0.1882018429	0.3319404052	-0.1559403608	1.410649572	-0.07095286104	-0.0143832105	0.2055069282	-1.075457466	-0.0708212412	-0.01481047988	0.2054800672	-1.075367605	-0.2461725005	0.8832229768	-5.932838532e-06	-2.350597729e-05	run_optim.py	R0:S0:1	1	-0.5469801997	-0.9051491449	0.01742283928	-0.1529526413	0.02023399162	-0.0371592591	-0.3172341537	0.9519394192	-0.1415950573	0.9962971968	0.3171857705	-0.9522566589	0.1414840297	-0.9958658013	-4.80460773e-06	-1.121040729e-05	0.4478659864	-0.4051894315	2024-07-08@10:52	-0.3733333333	-0.0106232551	0.126080421	v2.6.0	
