CDMFT_iterations	CDMFT_method	D	D_ave	E0_1	E_kin	GS_consistency	U	U_1_ave	convergence	dist_function	eb1_1	eb1_1_ave	eb2_1	eb2_1_ave	eb3_1	eb3_1_ave	eb4_1	eb4_1_ave	eb5_1	eb5_1_ave	eb6_1	eb6_1_ave	eb7_1	eb7_1_ave	eb8_1	eb8_1_ave	githash	model	mu	mu_1_ave	mu_ave	n_1	sb1_1	sb1_1_ave	sb2_1	sb2_1_ave	sb3_1	sb3_1_ave	sb4_1	sb4_1_ave	sb5_1	sb5_1_ave	sb6_1	sb6_1_ave	sb7_1	sb7_1_ave	sb8_1	sb8_1_ave	script	sector_1	t	t_1_ave	t_ave	tb1_1	tb1_1_ave	tb2_1	tb2_1_ave	tb3_1	tb3_1_ave	tb4_1	tb4_1_ave	tb5_1	tb5_1_ave	tb6_1	tb6_1_ave	tb7_1	tb7_1_ave	tb8_1	tb8_1_ave	time	tp	tp_1_ave	tp_ave	version	
5	Broyden	0	0.0009747949449	-10.52971565	-0.9594104743	Y	8.5	0.03152480906	self-energy/D	sharp_wc_2_b_35	0.1908498477	0.04743900955	-0.2018391496	1.823135436	0.7856642651	0.08737657732	0.2562049064	0.2821493771	0.7855685642	0.08737023736	0.2561093729	0.2821236786	0.2778607054	0.08062566464	0.7556494331	0.03746348508	a248bdd	2x2_2C_8b_C2v_L	2	0.918623789	0.9260352928	0.9999999997812179	-0.1736599055	0.3260122957	-0.1576432057	1.434017898	-0.06841841213	-0.02271727818	0.2014486974	-1.080619672	-0.06838422824	-0.02278453416	0.2014257952	-1.080640819	-0.2470938357	0.8938052969	-0.0001531274018	0.0004485696909	run_optim.py	R0:S0:1	1	-0.544095181	-0.9042333936	0.02861901197	-0.2657426953	0.03232466704	-0.05903209797	-0.3275889076	0.9800257096	-0.1417271962	0.9998434563	0.3275724515	-0.9799427741	0.1416971008	-0.9996945305	-0.0001819250039	0.0002593786632	0.4601209572	-0.4182945605	2024-07-16@11:47	-0.4	-0.008352676821	0.1379427017	v2.7.1	
1	Broyden	0	0.001024511524	-10.52811859	-0.9587524855	Y	8.51	0.03144899597	self-energy/D	sharp_wc_2_b_35	0.1905680198	0.04720658294	-0.2020911474	1.823225859	0.783620494	0.08740360788	0.2564259593	0.2813945153	0.783569671	0.08740485671	0.2563522231	0.2813609308	0.2777739929	0.08047101175	0.7538433069	0.03746183515	a248bdd	2x2_2C_8b_C2v_L	2	0.9186064537	0.9259730634	0.9999999998128608	-0.1736627687	0.325824326	-0.1577507678	1.434072899	-0.06847127438	-0.02238301126	0.2013994018	-1.078503641	-0.06843828196	-0.02246914887	0.2013735597	-1.078489155	-0.2468885552	0.8924089651	-0.0001490010026	0.0004379259852	run_optim.py	R0:S0:1	1	-0.5438058371	-0.9036236434	0.02810819775	-0.2610996674	0.03176388237	-0.05789133966	-0.3272320868	0.9798825577	-0.1417541643	0.9987040263	0.32723056	-0.9798557811	0.1417235168	-0.9985781085	-0.0001783404552	0.0002561826772	0.4597176734	-0.4183816431	2024-07-16@11:49	-0.4	-0.008367195379	0.1378221051	v2.7.1	
5	Broyden	0	0.001318837783	-10.56046223	-0.9581270075	Y	8.5	0.03161562679	self-energy/D	sharp_wc_2_b_35	0.1921057174	0.04706050243	-0.2003748188	1.825070357	0.7883200531	0.08616957879	0.2572984406	0.27975402	0.7883579669	0.08617303371	0.2572576534	0.2797050802	0.2788619129	0.08012761051	0.7572185004	0.0370923411	a248bdd	2x2_2C_8b_C2v_L	2.01	0.9196652964	0.9270525683	0.9999999998604847	-0.174496535	0.3244872431	-0.1564703981	1.424083062	-0.06873401666	-0.02115870791	0.2021284511	-1.075990298	-0.06868757723	-0.02129249975	0.2021155163	-1.076010873	-0.2477080444	0.8915907097	-0.0001092239335	0.0003215295677	run_optim.py	R0:S0:1	1	-0.5442999905	-0.9029343366	0.02805136483	-0.2592875204	0.03187369601	-0.05804372337	-0.3265941828	0.9740086824	-0.1416850611	0.9960192426	0.3266175831	-0.9740056916	0.1416384792	-0.9957904818	-0.0001239393936	0.000177052009	0.4589848112	-0.4167586561	2024-07-16@11:54	-0.4	-0.008436827836	0.1379816771	v2.7.1	
5	Broyden	0	0.001234033741	-10.51820552	-0.9579972651	Y	8.5	0.03153145881	self-energy/D	sharp_wc_2_b_35	0.1971383308	0.04817580272	-0.1983190858	1.822430389	0.782101408	0.08647472116	0.2572618892	0.2830058467	0.7819782267	0.08650859265	0.2572283929	0.2829466358	0.2770859526	0.08018643565	0.7531748784	0.0370175691	a248bdd	2x2_2C_8b_C2v_L	2	0.9185367059	0.925830574	0.9999999998731279	-0.1776187902	0.3299465483	-0.1573910248	1.431876518	-0.06935811542	-0.01988600932	0.2020869635	-1.083786154	-0.0692812315	-0.02013485139	0.2020860987	-1.083796869	-0.2458600942	0.8920255881	-4.543395714e-05	0.000127688933	run_optim.py	R0:S0:1	1	-0.5449193687	-0.9059608131	0.02849440061	-0.2598129805	0.03223779502	-0.05969271022	-0.3248326436	0.974859582	-0.1419254757	1.003550527	0.3248588511	-0.9750217341	0.1418559531	-1.003250127	-5.410731025e-05	7.161505993e-05	0.4565731536	-0.4150496228	2024-07-16@11:59	-0.39	-0.00909410434	0.1334267999	v2.7.1	
2	Broyden	0	0.001328302915	-10.54098434	-0.9573006849	Y	8.506666667	0.03153401945	self-energy/D	sharp_wc_2_b_35	0.1959003517	0.04712673651	-0.1982071327	1.822909534	0.7787848549	0.08670323532	0.2569523911	0.2807773423	0.7786336775	0.08671395193	0.2568845247	0.2807521575	0.2778296118	0.08013379841	0.7529286525	0.03700800849	a248bdd	2x2_2C_8b_C2v_L	2.006666667	0.9191449447	0.9264732447	0.999999999787929	-0.1771125423	0.3286349172	-0.1572119127	1.430528127	-0.06857042479	-0.02196888824	0.2021590825	-1.078976428	-0.06853645852	-0.02206477314	0.202137434	-1.078965389	-0.2466059504	0.8913029154	-9.175499808e-05	0.0002588268778	run_optim.py	R0:S0:1	1	-0.5444777841	-0.9042299385	0.02620026883	-0.2394345447	0.02966842997	-0.05472445175	-0.3248635498	0.9756941973	-0.1413212936	0.9975190328	0.3248490402	-0.9757141545	0.1412852262	-0.9973835314	-0.0001020876543	0.0001321731645	0.4569060365	-0.4155528186	2024-07-16@12:02	-0.3933333333	-0.008854190902	0.1349256265	v2.7.1	
1	Broyden	0	0.001596590156	-10.54655288	-0.9564354635	Y	8.51	0.03155317707	self-energy/D	sharp_wc_2_b_35	0.198565889	0.0468858774	-0.1963098513	1.822551558	0.7798102593	0.08585945203	0.2580509775	0.2805528757	0.7795538029	0.08588809149	0.2579713355	0.2805131373	0.2790308135	0.07993279236	0.7547340282	0.03665182798	a248bdd	2x2_2C_8b_C2v_L	2.01	0.9194351503	0.9267507602	0.9999999998409399	-0.1793033368	0.3305779404	-0.1568916369	1.429608972	-0.06893701012	-0.02105105005	0.2029731136	-1.079844276	-0.06886696366	-0.02125568681	0.2029586708	-1.079844616	-0.2469962725	0.8911766157	-5.487886645e-05	0.0001437573845	run_optim.py	R0:S0:1	1	-0.5446723734	-0.9043315862	0.02390314584	-0.2169147971	0.02717744317	-0.05038093227	-0.3235925248	0.9712786576	-0.1411172098	0.9973835396	0.3235796977	-0.9713874217	0.1410558502	-0.9971394479	-6.638728075e-05	7.848143265e-05	0.4553089736	-0.4137393643	2024-07-16@12:04	-0.39	-0.009122131615	0.1335996854	v2.7.1	
3	Broyden	0	0.001788092034	-10.5574595	-0.9560120361	Y	8.496666667	0.0316821648	self-energy/D	sharp_wc_2_b_35	0.2012627737	0.04723841151	-0.1959587531	1.824471361	0.7811517364	0.08507931543	0.2591851612	0.2793922311	0.7809345151	0.08511836544	0.2591474628	0.2793330353	0.2788763636	0.07934551851	0.7545851694	0.03637794637	a248bdd	2x2_2C_8b_C2v_L	2.013333333	0.9199227696	0.9271630674	0.9999999998250008	-0.1805896086	0.3296013797	-0.1562651769	1.421281825	-0.0694145799	-0.01932569021	0.2033378486	-1.078466774	-0.06933513795	-0.01958366125	0.2033341479	-1.078465553	-0.2464823388	0.8888512608	-1.525098925e-05	2.619320415e-05	run_optim.py	R0:S0:1	1	-0.5455963572	-0.9049683225	0.02555066059	-0.2301768553	0.02916979568	-0.05392346511	-0.3225914084	0.9674809125	-0.1414198581	0.9975138376	0.3226027534	-0.9676605633	0.1413454336	-0.9971997066	-1.495439158e-05	8.266967211e-06	0.4540103877	-0.4118764215	2024-07-16@12:08	-0.3866666667	-0.009457967158	0.1320096041	v2.7.1	
4	Broyden	0	0.002216822607	-10.57630154	-0.954583595	Y	8.49	0.03180459642	self-energy/D	sharp_wc_2_b_35	0.2061486289	0.04700122562	-0.1950018154	1.826130775	0.7794867243	0.08390189222	0.2612348127	0.2776537973	0.7791066612	0.08395888147	0.2611995101	0.2775646175	0.2795458966	0.07856808443	0.7555056356	0.0358002263	a248bdd	2x2_2C_8b_C2v_L	2.02	0.9206389372	0.9277844115	0.9999999998413066	-0.1840241298	0.3301456317	-0.1558350984	1.413572015	-0.06979939884	-0.01823280647	0.2044500649	-1.077439292	-0.06968138714	-0.01861341498	0.2044566717	-1.077462274	-0.2462451266	0.8862593768	2.974357634e-05	-0.0001145614462	run_optim.py	R0:S0:1	1	-0.5466032822	-0.905546864	0.02412151018	-0.2144818686	0.02777778556	-0.05119493135	-0.3201330904	0.9611107903	-0.1412814971	0.9962777353	0.3201432681	-0.9613644629	0.1411715369	-0.9957737703	3.096765774e-05	-5.708598584e-05	0.4511853987	-0.4084300657	2024-07-16@12:12	-0.38	-0.01005786024	0.1290440291	v2.7.1	
2	Broyden	0	0.002210444013	-10.60393141	-0.9544139629	Y	8.5	0.03177081504	self-energy/D	sharp_wc_2_b_35	0.199153904	0.04572598412	-0.1968978536	1.827555533	0.780805969	0.08418086904	0.2598170893	0.2751160679	0.780502029	0.08420104863	0.2597671822	0.2750504119	0.2800529574	0.07867927593	0.7580962591	0.03598840155	a248bdd	2x2_2C_8b_C2v_L	2.026666667	0.9213922335	0.9286123205	0.9999999998058393	-0.1804535975	0.3258059893	-0.1553287061	1.410178372	-0.06899716887	-0.01965308051	0.2039427847	-1.069662087	-0.06893043129	-0.0198552054	0.2039298218	-1.069697647	-0.2476490532	0.8857065	-3.620402778e-05	9.355724382e-05	run_optim.py	R0:S0:1	1	-0.5455624271	-0.9023469576	0.02235751609	-0.2021522963	0.0258395861	-0.04690206222	-0.3216176239	0.962699671	-0.1407123947	0.9884855538	0.3216000339	-0.9627326868	0.140634819	-0.9880964744	-2.85557405e-05	3.154021574e-05	0.4535486028	-0.4107356455	2024-07-16@12:15	-0.39	-0.009376660167	0.1335051419	v2.7.1	
7	Broyden	0	0.002691709185	-10.59649673	-0.9522187725	Y	8.5	0.03181553837	self-energy/D	sharp_wc_2_b_35	0.2109467882	0.04587624579	-0.1939392117	1.826896781	0.7787974426	0.08223823832	0.2633405755	0.2763676264	0.7780546385	0.08231398409	0.2632515356	0.2762717813	0.2804881736	0.07783303144	0.7553240691	0.03520845415	a248bdd	2x2_2C_8b_C2v_L	2.027777778	0.9213153114	0.928339577	0.9999999998376217	-0.1882018426	0.331940401	-0.1559403618	1.410649568	-0.07095286018	-0.01438321169	0.2055069285	-1.075457464	-0.07082124185	-0.01481047816	0.205480066	-1.075367596	-0.246172502	0.8832229782	-5.933156435e-06	-2.35053862e-05	run_optim.py	R0:S0:1	1	-0.5469801999	-0.9051488695	0.01742284234	-0.1529526699	0.02023399476	-0.03715926263	-0.3172341511	0.9519394198	-0.1415950565	0.9962971863	0.3171857676	-0.9522566637	0.1414840312	-0.9958658068	-4.805533679e-06	-1.120902378e-05	0.4478659882	-0.4051894315	2024-07-16@12:21	-0.3733333333	-0.0106232553	0.1260800974	v2.7.1	
