CDMFT_iterations	CDMFT_method	D	D_ave	E0_1	E_kin	GS_consistency	U	U_1_ave	convergence	dist_function	eb1_1	eb1_1_ave	eb2_1	eb2_1_ave	eb3_1	eb3_1_ave	eb4_1	eb4_1_ave	eb5_1	eb5_1_ave	eb6_1	eb6_1_ave	eb7_1	eb7_1_ave	eb8_1	eb8_1_ave	githash	model	mu	mu_1_ave	mu_ave	n_1	sb1_1	sb1_1_ave	sb2_1	sb2_1_ave	sb3_1	sb3_1_ave	sb4_1	sb4_1_ave	sb5_1	sb5_1_ave	sb6_1	sb6_1_ave	sb7_1	sb7_1_ave	sb8_1	sb8_1_ave	script	sector_1	t	t_1_ave	t_ave	tb1_1	tb1_1_ave	tb2_1	tb2_1_ave	tb3_1	tb3_1_ave	tb4_1	tb4_1_ave	tb5_1	tb5_1_ave	tb6_1	tb6_1_ave	tb7_1	tb7_1_ave	tb8_1	tb8_1_ave	time	tp	tp_1_ave	tp_ave	version	
5	Broyden	0	0.0009747949438	-10.52971565	-0.9594104744	Y	8.5	0.03152480906	self-energy/D	sharp_wc_2_b_35	0.1908498477	0.04743900958	-0.2018391496	1.823135436	0.7856642655	0.08737657726	0.2562049064	0.2821493773	0.7855685646	0.08737023731	0.256109373	0.2821236787	0.2778607053	0.08062566464	0.755649433	0.03746348508	a248bdd	2x2_2C_8b_C2v_L	2	0.9186237889	0.9260352928	0.9999999998046418	-0.1736599055	0.3260122957	-0.1576432057	1.434017898	-0.0684184122	-0.02271727796	0.2014486974	-1.080619672	-0.0683842283	-0.02278453398	0.2014257952	-1.080640819	-0.2470938357	0.8938052969	-0.0001531274059	0.0004485697049	run_optim.py	R0:S0:1	1	-0.544095181	-0.9042333937	0.02861901204	-0.265742696	0.03232466712	-0.0590320981	-0.3275889075	0.9800257093	-0.1417271962	0.9998434567	0.3275724515	-0.9799427738	0.1416971008	-0.9996945308	-0.0001819250001	0.0002593786571	0.4601209572	-0.4182945605	2024-09-01@15:40	-0.4	-0.008352676821	0.1379427017	v2.7.1	
4	Broyden	0	0.001020723074	-10.52012879	-0.9570462988	Y	8.55	0.03116159554	self-energy/D	sharp_wc_2_b_35	0.1906602806	0.04754726784	-0.2006087125	1.821697344	0.7799711261	0.0873689129	0.2558737775	0.2827070121	0.7799290927	0.08736225652	0.2557960142	0.2826753031	0.278172045	0.08093298353	0.7503967157	0.03755959123	a248bdd	2x2_2C_8b_C2v_L	2	0.9181530149	0.9255212074	0.9999999998535705	-0.1735533141	0.3271985781	-0.1577460902	1.436933313	-0.06895743709	-0.02074127716	0.201319276	-1.078499597	-0.06892395082	-0.02081409596	0.201298956	-1.078523261	-0.2472596558	0.8931428621	-0.0001532850419	0.0004462799243	run_optim.py	R0:S0:1	1	-0.5422003788	-0.9019006726	0.0281937154	-0.2616673917	0.03172895466	-0.05832924563	-0.3264978332	0.9788043923	-0.1419246552	0.9998175043	0.3264926967	-0.9787271606	0.1418916149	-0.9996469721	-0.0001806613212	0.0002544349624	0.4589067699	-0.4194542278	2024-09-01@15:45	-0.4	-0.00823227087	0.1378640653	v2.7.1	
7	Broyden	0	0.001678805684	-10.59330848	-0.956808128	Y	8.5	0.03171033903	self-energy/D	sharp_wc_2_b_35	0.1930950124	0.04690913277	-0.1998349466	1.827695904	0.7917780366	0.08490228239	0.258764873	0.277091075	0.7917839929	0.0848885159	0.2586876571	0.2770786212	0.2800595467	0.07955226415	0.7590135167	0.03670315214	a248bdd	2x2_2C_8b_C2v_L	2.02	0.9207212709	0.9280739603	0.9999999998135037	-0.1750811288	0.3220862586	-0.1552876228	1.412123609	-0.06912904668	-0.01941368096	0.2028677698	-1.070931933	-0.06911357991	-0.01942728234	0.20284505	-1.070957986	-0.2483803831	0.889193058	-0.0001196471488	0.0003447361765	run_optim.py	R0:S0:1	1	-0.5445522278	-0.901621062	0.02852936203	-0.2627120346	0.03266294283	-0.05908353234	-0.3256553453	0.9677127872	-0.1417261937	0.9921370692	0.3256455495	-0.96760617	0.1417055558	-0.9920363482	-0.0001378456056	0.0001893001035	0.4578648713	-0.4151206362	2024-09-01@15:52	-0.4	-0.008543670214	0.1379676651	v2.7.1	
6	Broyden	0	0.001511185961	-10.51042776	-0.9567870313	Y	8.5	0.03155333367	self-energy/D	sharp_wc_2_b_35	0.2036322587	0.04873153927	-0.1961822261	1.822028478	0.7784111317	0.08564381138	0.2593526126	0.283422861	0.7779997795	0.08570871215	0.259317606	0.2833386323	0.2772908648	0.07971127607	0.7507441395	0.03654549804	a248bdd	2x2_2C_8b_C2v_L	2	0.9184227435	0.9255993536	0.9999999997990683	-0.1817594109	0.3334415641	-0.1574892661	1.430507107	-0.0701710461	-0.01796904228	0.203071147	-1.087280182	-0.07005879012	-0.01834728055	0.2030717376	-1.087252516	-0.2449771382	0.8907610893	7.399201095e-06	-4.747726732e-05	run_optim.py	R0:S0:1	1	-0.5458140991	-0.9078065378	0.02819850045	-0.2527357958	0.03199303358	-0.05974990175	-0.322154949	0.9700150971	-0.1421658683	1.00706341	0.3221598004	-0.9703175563	0.1420691876	-1.006658941	7.742897704e-06	-2.292741009e-05	0.4530183354	-0.4116406754	2024-09-01@15:58	-0.38	-0.009870535269	0.1288960356	v2.7.1	
5	Broyden	0	0.001829473285	-10.55131299	-0.9542205118	Y	8.533333333	0.03141061088	self-energy/D	sharp_wc_2_b_35	0.2003306822	0.04763567814	-0.1958407223	1.824129392	0.7744339867	0.0853098149	0.2585274303	0.2795219809	0.7740850005	0.08535960344	0.2584772972	0.2794514544	0.2785470592	0.07952340743	0.7509460416	0.03643338335	a248bdd	2x2_2C_8b_C2v_L	2.013333333	0.9196055864	0.926803844	0.9999999998234546	-0.1800969487	0.329561392	-0.1562331098	1.420794465	-0.06943397056	-0.01900940137	0.2031825185	-1.076592773	-0.06933636242	-0.01932452908	0.2031782558	-1.076586742	-0.246475554	0.8880257045	-1.57821705e-05	2.859336627e-05	run_optim.py	R0:S0:1	1	-0.5442343485	-0.9032022578	0.02655032339	-0.2394949793	0.03029122244	-0.05603352146	-0.3215770872	0.9675719848	-0.1412135459	0.9961750377	0.321577202	-0.9677901922	0.1411263122	-0.995804364	-1.748168405e-05	1.351741711e-05	0.4530805375	-0.4126371376	2024-09-01@16:03	-0.3866666667	-0.009395333992	0.1319437604	v2.7.1	
1	Broyden	0	0.002229308624	-10.56324888	-0.9518536109	Y	8.55	0.03136307783	self-energy/D	sharp_wc_2_b_35	0.2057639699	0.04747239626	-0.1927753659	1.823997157	0.7734090038	0.08386219415	0.2600281447	0.2792474808	0.7728373072	0.08394166558	0.2599624168	0.2791589557	0.2790524093	0.07915288003	0.7497242863	0.03592824442	a248bdd	2x2_2C_8b_C2v_L	2.02	0.9200256736	0.9271428746	0.9999999998256204	-0.1837785795	0.3321265914	-0.155789862	1.417302663	-0.07040519151	-0.01594233155	0.2041867864	-1.076502824	-0.0702703617	-0.01638538907	0.2041854749	-1.076474839	-0.2464078851	0.8862544638	2.735572147e-06	-4.340768557e-05	run_optim.py	R0:S0:1	1	-0.5442256839	-0.9028082733	0.02393010484	-0.212665688	0.02741160606	-0.05114028262	-0.3189414541	0.9595335513	-0.14136957	0.9969631825	0.3189340505	-0.9599014925	0.1412526412	-0.99649373	2.92266412e-07	-2.437971661e-05	0.4497292141	-0.4098793785	2024-09-01@16:05	-0.38	-0.009878080245	0.129066678	v2.7.1	
2	Broyden	0	0.002642079495	-10.59549625	-0.953215041	Y	8.483333333	0.03193290209	self-energy/D	sharp_wc_2_b_35	0.211129065	0.04738912326	-0.1940683101	1.828550564	0.7805769799	0.08226035616	0.2636617213	0.276568812	0.7799138205	0.08236081766	0.263649618	0.2764388682	0.2805094161	0.07779440438	0.7556328837	0.03522597714	a248bdd	2x2_2C_8b_C2v_L	2.026666667	0.9213470794	0.9283997161	0.9999999998334974	-0.18697138	0.3295811032	-0.1548994223	1.401670066	-0.0710440546	-0.01424633464	0.2055331046	-1.076819686	-0.07087431026	-0.01482255564	0.205546695	-1.07677195	-0.2460898128	0.8837733036	6.834003875e-05	-0.0002415265717	run_optim.py	R0:S0:1	1	-0.5476256121	-0.9061366464	0.02545744235	-0.2235288045	0.02956850852	-0.05428470171	-0.3175813888	0.9523765734	-0.1417754958	0.997535838	0.3175900875	-0.9528633226	0.1416342434	-0.9969250984	7.783829112e-05	-0.0001240281579	0.4481477964	-0.4049310835	2024-09-01@16:08	-0.3733333333	-0.01066113988	0.1261028427	v2.7.1	
2	Broyden	0	0.00350780143	-10.64271598	-0.9514980857	Y	8.45	0.0323360915	self-energy/D	sharp_wc_2_b_35	0.2210003876	0.04638852414	-0.1950566918	1.833330592	0.783235682	0.07954881007	0.2681897314	0.273650374	0.7822279741	0.07967841459	0.2681167453	0.2735089681	0.2824951911	0.07606342863	0.762652025	0.03401393669	a248bdd	2x2_2C_8b_C2v_L	2.04	0.9229559549	0.9298383002	0.9999999998185478	-0.1940251897	0.3286321923	-0.1543338443	1.384448037	-0.07205561691	-0.01146614355	0.2079246469	-1.076836812	-0.07186376427	-0.01213028396	0.2079121929	-1.076700832	-0.2458467214	0.8792493999	8.07260949e-05	-0.0002941664042	run_optim.py	R0:S0:1	1	-0.550388546	-0.9081786447	0.02221306301	-0.190584327	0.02636267162	-0.04741828657	-0.3132168342	0.9381149249	-0.1416347839	0.9967725747	0.3131950679	-0.9387490537	0.1414683375	-0.9961491495	9.744269256e-05	-0.0001534066863	0.4433720614	-0.397580159	2024-09-01@16:11	-0.36	-0.01189304256	0.1203317804	v2.7.1	
2	Broyden	0	0.003501452096	-10.68816715	-0.9495117302	Y	8.5	0.03204487568	self-energy/D	sharp_wc_2_b_35	0.2088069871	0.04505950003	-0.1958086937	1.835207105	0.7844820186	0.08026508279	0.2652272933	0.2683919803	0.7838421694	0.08035316366	0.2652041113	0.2682778232	0.2834068316	0.07651924597	0.7619858245	0.03448559426	a248bdd	2x2_2C_8b_C2v_L	2.053333333	0.9241553134	0.9311977252	0.999999999795941	-0.1865333892	0.3211507796	-0.1525907645	1.376142993	-0.07029505914	-0.01496953676	0.2069282462	-1.059527081	-0.07013878854	-0.01548662862	0.2069377745	-1.059495097	-0.2485934273	0.877461232	5.753185369e-05	-0.0001905288786	run_optim.py	R0:S0:1	1	-0.5471298944	-0.9004552494	0.02219337315	-0.1955858523	0.02634563653	-0.04677593572	-0.3162263847	0.9419323775	-0.1404072563	0.9800284987	0.3162295452	-0.9423547622	0.1402758301	-0.9794646726	6.649705445e-05	-0.0001011943694	0.4470439476	-0.4028826855	2024-09-01@16:14	-0.38	-0.01041955728	0.1290960021	v2.7.1	
3	Broyden	0	0.004496556621	-10.6766097	-0.9453997426	Y	8.5	0.03212893256	self-energy/D	sharp_wc_2_b_35	0.2318546621	0.04546378211	-0.1919241076	1.835661468	0.7771580218	0.07642775995	0.2721104413	0.271359101	0.7758560018	0.07669535728	0.2722533194	0.2710098861	0.2836179538	0.07475182713	0.7564224792	0.03299864882	a248bdd	2x2_2C_8b_C2v_L	2.055555556	0.9240295288	0.930684866	0.9999999997894551	-0.2016876061	0.3306898553	-0.1536393068	1.372551107	-0.0748094223	-0.002346599329	0.2098099227	-1.070796022	-0.07434301303	-0.003958104335	0.209912204	-1.070687881	-0.2453275119	0.8716763105	0.0001931472733	-0.0005976361077	run_optim.py	R0:S0:1	1	-0.5499042096	-0.9057051452	0.01253534136	-0.1048042795	0.01506253784	-0.02700731904	-0.3066757579	0.9193722647	-0.1423213767	0.9968136354	0.3068251079	-0.9208688858	0.1419839294	-0.9953257552	0.000202763496	-0.0002674358917	0.435667542	-0.3920234148	2024-09-01@16:18	-0.3466666667	-0.0128656257	0.1145036464	v2.7.1	
