CDMFT_iterations	CDMFT_method	D	D_ave	E0_1	E_kin	GS_consistency	U	U_1_ave	convergence	dist_function	eb1_1	eb1_1_ave	eb2_1	eb2_1_ave	eb3_1	eb3_1_ave	eb4_1	eb4_1_ave	eb5_1	eb5_1_ave	eb6_1	eb6_1_ave	eb7_1	eb7_1_ave	eb8_1	eb8_1_ave	githash	model	mu	mu_1_ave	mu_ave	n_1	sb1_1	sb1_1_ave	sb2_1	sb2_1_ave	sb3_1	sb3_1_ave	sb4_1	sb4_1_ave	sb5_1	sb5_1_ave	sb6_1	sb6_1_ave	sb7_1	sb7_1_ave	sb8_1	sb8_1_ave	script	sector_1	t	t_1_ave	t_ave	tb1_1	tb1_1_ave	tb2_1	tb2_1_ave	tb3_1	tb3_1_ave	tb4_1	tb4_1_ave	tb5_1	tb5_1_ave	tb6_1	tb6_1_ave	tb7_1	tb7_1_ave	tb8_1	tb8_1_ave	time	tp	tp_1_ave	tp_ave	version	
5	Broyden	0	0.0009747949423	-10.52971565	-0.9594104743	Y	8.5	0.03152480906	self-energy/D	sharp_wc_2_b_35	0.1908498477	0.04743900954	-0.2018391496	1.823135436	0.7856642648	0.08737657736	0.2562049063	0.2821493771	0.7855685639	0.0873702374	0.2561093729	0.2821236786	0.2778607054	0.08062566465	0.7556494331	0.03746348508	a248bdd	2x2_2C_8b_C2v_L	2	0.9186237889	0.9260352928	0.9999999997811824	-0.1736599055	0.3260122957	-0.1576432057	1.434017898	-0.06841841209	-0.02271727832	0.2014486974	-1.080619672	-0.06838422819	-0.02278453432	0.2014257952	-1.080640819	-0.2470938357	0.893805297	-0.0001531274134	0.0004485697251	run_optim.py	R0:S0:1	1	-0.544095181	-0.9042333936	0.02861901192	-0.2657426949	0.03232466699	-0.05903209787	-0.3275889075	0.9800257097	-0.1417271961	0.9998434562	0.3275724515	-0.9799427742	0.1416971007	-0.9996945304	-0.0001819250178	0.0002593786787	0.4601209572	-0.4182945606	2024-09-02@08:57	-0.4	-0.00835267682	0.1379427017	v2.7.1	
4	Broyden	0	0.001020723074	-10.52012879	-0.9570462987	Y	8.55	0.03116159554	self-energy/D	sharp_wc_2_b_35	0.1906602805	0.04754726782	-0.2006087125	1.821697344	0.779971126	0.08736891292	0.2558737774	0.2827070121	0.7799290926	0.08736225653	0.2557960142	0.2826753031	0.2781720449	0.08093298353	0.7503967157	0.03755959123	a248bdd	2x2_2C_8b_C2v_L	2	0.9181530149	0.9255212074	0.9999999998131667	-0.1735533141	0.3271985781	-0.1577460902	1.436933313	-0.06895743707	-0.02074127722	0.201319276	-1.078499597	-0.0689239508	-0.02081409602	0.201298956	-1.078523261	-0.2472596558	0.8931428621	-0.000153285032	0.0004462798966	run_optim.py	R0:S0:1	1	-0.5422003789	-0.9019006726	0.02819371535	-0.2616673912	0.0317289546	-0.05832924552	-0.3264978332	0.9788043923	-0.1419246552	0.9998175042	0.3264926967	-0.9787271607	0.1418916149	-0.9996469721	-0.0001806613106	0.0002544349495	0.4589067699	-0.4194542278	2024-09-02@09:02	-0.4	-0.00823227087	0.1378640653	v2.7.1	
4	Broyden	0	0.002016965406	-10.62625484	-0.9555342729	Y	8.5	0.03180286992	self-energy/D	sharp_wc_2_b_35	0.1940148144	0.04652513546	-0.1993379457	1.82997657	0.7932609511	0.0839245577	0.2598360552	0.2744684457	0.7932365484	0.08392097832	0.2597613311	0.2744510161	0.2808472419	0.07903844368	0.7606805768	0.03633728342	a248bdd	2x2_2C_8b_C2v_L	2.03	0.9217439488	0.9290792062	0.9999999997820661	-0.1757721309	0.3199920406	-0.1542987037	1.401760479	-0.06914347155	-0.01893117862	0.2035932361	-1.066265195	-0.06911951952	-0.01898125877	0.2035709012	-1.066274274	-0.2489819084	0.8869839662	-0.0001123491687	0.0003189962407	run_optim.py	R0:S0:1	1	-0.5447848763	-0.9003470837	0.0282971183	-0.259635162	0.03262467669	-0.05860288719	-0.3247008182	0.9626873116	-0.1414558166	0.98740034	0.3246955746	-0.9626406899	0.1414285159	-0.9872911807	-0.0001292552021	0.0001748371857	0.4567527071	-0.4135440966	2024-09-02@09:06	-0.4	-0.00863769668	0.137967973	v2.7.1	
5	Broyden	0	0.002018407215	-10.49717126	-0.9545060638	Y	8.5	0.03158805828	self-energy/D	sharp_wc_2_b_35	0.2165805936	0.04858467012	-0.1930591022	1.820616884	0.7698557566	0.08394190486	0.2630796387	0.2848186179	0.7689512049	0.08407225369	0.26305213	0.2846471788	0.2774373371	0.07866449203	0.7461866675	0.03567263492	a248bdd	2x2_2C_8b_C2v_L	2	0.9181612336	0.9250655968	0.9999999998392775	-0.1910003023	0.3414980596	-0.1586798431	1.434174891	-0.07215755211	-0.01257030935	0.2047577023	-1.094346393	-0.07194408627	-0.01330686955	0.2047678823	-1.094266435	-0.2428814942	0.8874862193	0.0001168806953	-0.0003963238604	run_optim.py	R0:S0:1	1	-0.5475641379	-0.9113746556	0.02205521859	-0.1913561703	0.02518551648	-0.04761489083	-0.31655932	0.9598303375	-0.1428811237	1.015245838	0.316555455	-0.960443146	0.1427047395	-1.01448011	0.0001345139493	-0.0001936417297	0.4463169709	-0.4052221707	2024-09-02@09:12	-0.36	-0.01142102969	0.1198094673	v2.7.1	
2	Broyden	0	0.002369059064	-10.56285535	-0.9516854793	Y	8.533333333	0.03148874912	self-energy/D	sharp_wc_2_b_35	0.209427691	0.0472937908	-0.1927527083	1.824428008	0.7705911305	0.08334318315	0.2612011385	0.2792212155	0.7699050876	0.08344715105	0.2611834172	0.2790817349	0.2788249454	0.07859275732	0.7499316801	0.03562161133	a248bdd	2x2_2C_8b_C2v_L	2.02	0.9201302344	0.9271538497	0.9999999998501532	-0.1866204604	0.3337537573	-0.1562608461	1.416684661	-0.07096491391	-0.01427484982	0.2045509677	-1.078241038	-0.07078671834	-0.01488061573	0.2045626125	-1.078199724	-0.2454748341	0.8847024997	7.864604812e-05	-0.0002629426932	run_optim.py	R0:S0:1	1	-0.5454614876	-0.9046441629	0.02203376248	-0.1939312225	0.02533938898	-0.04717422061	-0.3171369872	0.956588896	-0.1417234955	0.9996898218	0.3171452869	-0.9570809871	0.141573255	-0.9990327053	9.293180793e-05	-0.0001382180582	0.4480653552	-0.4074566366	2024-09-02@09:15	-0.3733333333	-0.01044442209	0.126003526	v2.7.1	
2	Broyden	0	0.00312996998	-10.58307577	-0.9480835169	Y	8.55	0.03149243122	self-energy/D	sharp_wc_2_b_35	0.2196432295	0.04698937742	-0.1893110954	1.825536859	0.7700867987	0.08072786253	0.2653777741	0.2779649827	0.7690577297	0.08083275824	0.2652974003	0.277818277	0.2807098991	0.07749032758	0.7476341515	0.03466634225	a248bdd	2x2_2C_8b_C2v_L	2.03	0.9208911487	0.9277119495	0.9999999998391282	-0.1937933091	0.3375129153	-0.1558208072	1.409351179	-0.07292656921	-0.008495552036	0.2065592345	-1.077882885	-0.07273528266	-0.009115493711	0.2065507203	-1.077814685	-0.2450573058	0.8803314189	-1.306590371e-05	-2.271937657e-05	run_optim.py	R0:S0:1	1	-0.5461691636	-0.9048290811	0.01503102243	-0.1289798793	0.01746905006	-0.03270664964	-0.3124571198	0.9421296023	-0.1422833304	1.001950006	0.3124045597	-0.9425772778	0.1421236757	-1.001250908	-9.258022836e-06	-1.549871798e-05	0.441981624	-0.4018271553	2024-09-02@09:18	-0.36	-0.01148803555	0.1201512105	v2.7.1	
2	Broyden	0	0.003891528675	-10.62709138	-0.9485908934	Y	8.483333333	0.03211368861	self-energy/D	sharp_wc_2_b_35	0.2301157302	0.04645089065	-0.1919966591	1.831484562	0.7747382336	0.07818371802	0.2708255886	0.2755178837	0.7735762925	0.07831547322	0.270695274	0.2754114807	0.2823190679	0.0756973119	0.7556312737	0.0335307082	a248bdd	2x2_2C_8b_C2v_L	2.04	0.9224565153	0.9291674382	0.9999999998296671	-0.2006152224	0.3351990429	-0.1552109885	1.39006453	-0.07409455271	-0.005610468046	0.2090497486	-1.081097561	-0.07397778222	-0.00609327278	0.2089924239	-1.080836094	-0.2445138737	0.8769037544	3.849433597e-05	-0.0001882614602	run_optim.py	R0:S0:1	1	-0.550184195	-0.9089104897	0.01424440193	-0.1197072757	0.01689807093	-0.03077481803	-0.3086157479	0.9290652367	-0.1424672015	1.003699878	0.3085607314	-0.9297138318	0.1423299858	-1.003352499	6.279505803e-05	-9.492426206e-05	0.4378901572	-0.3941383423	2024-09-02@09:21	-0.3466666667	-0.01278929396	0.114462703	v2.7.1	
4	Broyden	0	0.005338932759	-10.7011801	-0.9450090378	Y	8.45	0.03261527072	self-energy/D	sharp_wc_2_b_35	0.2525489719	0.04497110537	-0.1961165762	1.840340161	0.7752702418	0.0734102882	0.2803495348	0.2722873041	0.7743231697	0.07350724591	0.2802688656	0.2721606561	0.2851130998	0.072800437	0.7602830035	0.03167840692	a248bdd	2x2_2C_8b_C2v_L	2.06	0.9245090216	0.9309209855	0.9999999998063218	-0.2142181479	0.3324285032	-0.1551084347	1.361578045	-0.07790584263	0.005308527413	0.213002733	-1.082067634	-0.07771222008	0.004694525319	0.2130065584	-1.082032938	-0.2430850704	0.8679681879	-1.042053894e-06	-2.698409283e-05	run_optim.py	R0:S0:1	1	-0.5541556992	-0.9120860085	0.003891225802	-0.03125374123	0.004774731938	-0.00836274799	-0.2998664238	0.9019396056	-0.1437385876	1.009346629	0.2998403061	-0.9024199427	0.1435886604	-1.008713537	-2.375574858e-06	-5.740642704e-06	0.428226148	-0.3821080836	2024-09-02@09:25	-0.32	-0.01497705181	0.1028844667	v2.7.1	
5	Broyden	0	0.004670350162	-10.56862845	-0.9457693837	Y	8.5	0.03200847431	self-energy/D	sharp_wc_2_b_35	0.2671999872	0.04945368833	-0.1877639647	1.82967566	0.7469622136	0.074113834	0.2815996909	0.2862778919	0.7456228614	0.07421993621	0.2814840995	0.2861479562	0.2805405448	0.07406404633	0.7381419891	0.03197504209	a248bdd	2x2_2C_8b_C2v_L	2.03	0.9200021315	0.9260597063	0.9999999997638198	-0.2231537379	0.35174701	-0.1583312603	1.395585681	-0.08202558688	0.01669334221	0.2128089469	-1.111771568	-0.08182458008	0.01605278556	0.2128024968	-1.111724582	-0.2378328952	0.872350996	-5.943086087e-05	0.000155187355	run_optim.py	R0:S0:1	1	-0.5536804639	-0.9191965278	0.000506900894	-0.003979947081	0.0006004868256	-0.00110371394	-0.2935933734	0.9011242325	-0.1466020171	1.04108144	0.2935072769	-0.9016076872	0.1464515512	-1.040442269	-6.6262053e-05	8.683373989e-05	0.4212901327	-0.3804134195	2024-09-02@09:30	-0.2933333333	-0.01667034297	0.09058928176	v2.7.1	
4	Broyden	0	0.006936562821	-10.76217067	-0.937490846	Y	8.5	0.03249367201	self-energy/D	sharp_wc_2_b_35	0.2787570652	0.04403330658	-0.2005343115	1.848776265	0.76302833	0.067955473	0.2897447984	0.2715315752	0.7626612542	0.06796113343	0.2894972743	0.2715942111	0.2869819989	0.07002600818	0.7520443103	0.02991951821	a248bdd	2x2_2C_8b_C2v_L	2.08	0.9256866503	0.9318563504	0.9999999998576022	-0.2286858445	0.3289474023	-0.155041291	1.330384786	-0.08438243549	0.02542013681	0.2164695448	-1.08119818	-0.08443370264	0.02558155423	0.2164134638	-1.081204907	-0.2406238157	0.855194729	-0.000157089296	0.0004413631345	run_optim.py	R0:S0:1	1	-0.5551604661	-0.9116272038	-0.001644598259	0.01253510681	-0.002110671355	0.003584610681	-0.2872509555	0.8667987998	-0.1461528422	1.020273981	0.2871987027	-0.8667890791	0.1461254856	-1.02037587	-0.0001424056552	0.0001841201283	0.4147658715	-0.3707963584	2024-09-02@09:35	-0.2888888889	-0.01719196743	0.08952799201	v2.7.1	
