CDMFT_iterations	CDMFT_method	D	D_ave	E0_1	E_kin	GS_consistency	U	U_1_ave	convergence	dist_function	eb1_1	eb1_1_ave	eb2_1	eb2_1_ave	eb3_1	eb3_1_ave	eb4_1	eb4_1_ave	eb5_1	eb5_1_ave	eb6_1	eb6_1_ave	eb7_1	eb7_1_ave	eb8_1	eb8_1_ave	githash	model	mu	mu_1_ave	mu_ave	n_1	sb1_1	sb1_1_ave	sb2_1	sb2_1_ave	sb3_1	sb3_1_ave	sb4_1	sb4_1_ave	sb5_1	sb5_1_ave	sb6_1	sb6_1_ave	sb7_1	sb7_1_ave	sb8_1	sb8_1_ave	script	sector_1	t	t_1_ave	t_ave	tb1_1	tb1_1_ave	tb2_1	tb2_1_ave	tb3_1	tb3_1_ave	tb4_1	tb4_1_ave	tb5_1	tb5_1_ave	tb6_1	tb6_1_ave	tb7_1	tb7_1_ave	tb8_1	tb8_1_ave	time	tp	tp_1_ave	tp_ave	version	
4	Broyden	0	-0.005220443462	-9.508291853	-1.002626397	Y	8	0.03368126284	self-energy/D	sharp_wc_2_b_35	0.2070288517	0.2212047427	0.2514141233	0.05457462887	0.7615944296	0.1030788926	0.2585895848	0.343843247	0.2586600814	0.3438952583	0.7617193251	0.1030270018	0.7513380231	0.03955597923	0.2524867607	0.0839269653	a248bdd	2x2_2C_8b_C2v_L	1.8	0.8986336168	0.9059307333	0.9999999998395621	0.0003316902404	-0.0006957297236	-0.2092252628	0.403366645	0.06982981464	0.03953045189	0.2003013792	-1.259457595	-0.2003119226	1.259481849	-0.06991605996	-0.03922264207	-0.000105757305	0.0003396229798	-0.2235791932	0.9366475961	run_optim.py	R0:S0:1	1	-0.5682082202	-0.9771606183	-0.1841339477	1.64199812	-0.000321870789	0.002689904795	0.3310841624	-1.057265512	-0.1448891322	1.133054638	-0.1449580279	1.13329656	0.3310609296	-1.057013656	0.4587006221	-0.4023152191	-0.0001175182266	0.0001412204543	2024-09-03@20:33	-0.3	-0.01651085321	0.08488593006	v2.7.1	
3	Broyden	0	-0.005116501521	-9.500207401	-1.000078836	Y	8.05	0.03327162328	self-energy/D	sharp_wc_2_b_35	0.2062516183	0.2221146031	0.2513609439	0.05472784793	0.7561655515	0.1029686738	0.2583703107	0.3439400756	0.2584677413	0.3439691631	0.7562921555	0.1029282819	0.7477144739	0.03958658341	0.2536611675	0.08406772645	a248bdd	2x2_2C_8b_C2v_L	1.8	0.8981274813	0.9053936221	0.9999999998402538	0.0002825555814	-0.0005962555166	-0.2090929145	0.4039924543	0.07033472765	0.03718414335	0.2001565456	-1.256294438	-0.2001793321	1.256332757	-0.07040068051	-0.03696232559	-4.886040225e-05	0.0001619498762	-0.223936194	0.9357720172	run_optim.py	R0:S0:1	1	-0.56633076	-0.9746117163	-0.1840786786	1.642790473	-0.0002749469242	0.002295027817	0.3298653064	-1.055418918	-0.1450292309	1.132100471	-0.1450840851	1.13224835	0.3298592308	-1.055229019	0.4576658809	-0.4033275694	-4.894084532e-05	5.537798536e-05	2024-09-03@20:36	-0.3	-0.0164590959	0.08489039901	v2.7.1	
5	Broyden	0	-0.003746640792	-9.642166526	-0.9977103693	Y	8	0.03409610682	self-energy/D	sharp_wc_2_b_35	0.2034294472	0.2120658149	0.2534310818	0.05404289965	0.7673379131	0.09780388237	0.2638616255	0.3334565182	0.2639375518	0.3334966154	0.7674718776	0.0977583558	0.7549315185	0.03822871373	0.259024586	0.0822597135	a248bdd	2x2_2C_8b_C2v_L	1.84	0.9031731679	0.910295275	0.9999999998474813	0.0003322804621	-0.000682340139	-0.2113787816	0.3953620761	0.0716263568	0.03095733419	0.2026133885	-1.23880976	-0.2026287468	1.238847827	-0.07169996075	-0.03069837844	-5.788709999e-05	0.0001879973693	-0.2263568341	0.9300307284	run_optim.py	R0:S0:1	1	-0.5688130456	-0.9716544173	-0.1799103199	1.60181084	-0.0003169696085	0.00262496007	0.326761447	-1.032924483	-0.1460892459	1.120981928	-0.1461487832	1.121162651	0.3267458975	-1.032697039	0.4550532761	-0.3979160943	-5.901092235e-05	6.723703435e-05	2024-09-03@20:41	-0.3	-0.01649973681	0.0868531733	v2.7.1	
5	Broyden	0	-0.005069965577	-9.50454546	-1.004704665	Y	8	0.03379867473	self-energy/D	sharp_wc_2_b_35	0.1996109798	0.224479257	0.2904556492	0.0603961812	0.7311470912	0.0973814051	0.2730170949	0.3582721198	0.2731111574	0.3582932055	0.7312586387	0.09734256005	0.7352600434	0.0377439728	0.2529631095	0.08283984158	a248bdd	2x2_2C_8b_C2v_L	1.8	0.895625434	0.9021530484	0.9999999998380967	2.933422617e-05	-5.962655288e-05	-0.2324477429	0.4248729091	0.07902707198	0.009631709019	0.2064040504	-1.305682438	-0.206424399	1.305719904	-0.07908982301	-0.009413710658	-5.007372764e-05	0.0001695880544	-0.2187755073	0.938926216	run_optim.py	R0:S0:1	1	-0.5729196749	-0.9901660779	-0.186864002	1.644413562	-3.004331718e-05	0.0002385656458	0.3148967668	-1.0222871	-0.1500809317	1.172903072	-0.150130299	1.17301284	0.3148891107	-1.022087061	0.4420460649	-0.3876774723	-4.858472762e-05	5.397090365e-05	2024-09-03@20:46	-0.25	-0.0212166398	0.05815434708	v2.7.1	
3	Broyden	0	-0.006519040541	-9.366470666	-1.007027875	Y	8.033333333	0.033070612	self-energy/D	sharp_wc_2_b_35	0.2039540195	0.2333259268	0.2760490591	0.0593715348	0.7317764071	0.1049832639	0.2629317299	0.3630786278	0.2630216767	0.3630998315	0.7318953814	0.1049453136	0.733371303	0.03968637903	0.2467247999	0.08489166848	a248bdd	2x2_2C_8b_C2v_L	1.76	0.8916720883	0.8986484763	0.9999999997779501	7.153910877e-05	-0.0001530908226	-0.2226178607	0.4271432348	0.07391344035	0.02918903687	0.2022173588	-1.30838216	-0.2022396956	1.308429459	-0.07397041695	-0.02899139502	-3.7632623e-05	0.000130621965	-0.2177873903	0.9436615621	run_optim.py	R0:S0:1	1	-0.5696858825	-0.9898070455	-0.1897607199	1.682947724	-7.265278089e-05	0.0005871357066	0.3240466407	-1.059351354	-0.1466459606	1.167817669	-0.1466905563	1.167914516	0.3240452489	-1.059171537	0.450096742	-0.3972048179	-3.416166958e-05	3.652228117e-05	2024-09-03@20:50	-0.2666666667	-0.01974466946	0.064578111	v2.7.1	
4	Broyden	0	-0.00803041167	-9.231107062	-1.012508439	Y	8.05	0.032565228	self-energy/D	sharp_wc_2_b_35	0.2063023743	0.2433333556	0.2881674825	0.06170331385	0.7165377286	0.1085083901	0.2625882204	0.3793594472	0.2626896627	0.3793775572	0.7166410004	0.1084675923	0.7265296173	0.04034124003	0.2399412795	0.08613064518	a248bdd	2x2_2C_8b_C2v_L	1.72	0.8855160077	0.8924292741	0.9999999998254445	-1.789379007e-05	4.369607763e-05	-0.2287796409	0.4422099408	0.07502144267	0.02814510485	0.2024429189	-1.348268272	-0.2024666932	1.348309725	-0.07508138798	-0.02793581741	-4.407674711e-05	0.000153691336	-0.2135978912	0.9510916214	run_optim.py	R0:S0:1	1	-0.5704507216	-0.9994542473	-0.1950428179	1.722303216	1.692749282e-05	-0.0001295558241	0.3229246321	-1.071266774	-0.1464616581	1.190241108	-0.1465102281	1.190343229	0.3229200318	-1.071072934	0.447928586	-0.3962416989	-4.212875373e-05	4.717741338e-05	2024-09-03@20:54	-0.25	-0.02172088395	0.05221676665	v2.7.1	
1	Broyden	0	-0.007037528754	-9.320820257	-1.005307913	Y	8.066666667	0.03255087648	self-energy/D	sharp_wc_2_b_35	0.2168688857	0.231520901	0.2369034883	0.05235809595	0.7551400685	0.1122353365	0.2468239426	0.3528249341	0.2469264074	0.3528462035	0.7552556026	0.1121929748	0.7474096699	0.04202218086	0.2450373504	0.0863200649	a248bdd	2x2_2C_8b_C2v_L	1.746666667	0.8928290085	0.9005206889	0.9999999998532755	0.0003972979044	-0.0008336105635	-0.1988249986	0.4034973954	0.06519473345	0.05700753539	0.1950050553	-1.266889992	-0.1950269987	1.266933206	-0.06525677499	-0.05680251984	-4.97876676e-05	0.0001684075435	-0.2216793228	0.9417951889	run_optim.py	R0:S0:1	1	-0.5635367553	-0.9765225748	-0.1889995742	1.692243311	-0.0003971702833	0.003453346424	0.3401353789	-1.098218205	-0.1414591781	1.133217239	-0.1415083498	1.133333456	0.340130471	-1.098025432	0.4676238278	-0.4142237799	-4.528820352e-05	4.950081627e-05	2024-09-03@20:56	-0.3166666667	-0.01499150981	0.09090106757	v2.7.1	
3	Broyden	0	-0.008259689378	-9.205684392	-1.012578802	Y	8.027777778	0.03258492004	self-energy/D	sharp_wc_2_b_35	0.2126378119	0.242046595	0.2659742768	0.05791051045	0.7352226791	0.1129513986	0.2535994074	0.3721447521	0.2537005296	0.3721687689	0.7353372389	0.1129052782	0.7368809873	0.04160862089	0.2390097463	0.08679890428	a248bdd	2x2_2C_8b_C2v_L	1.711111111	0.8867359458	0.8941155573	0.9999999998359452	0.0001731124302	-0.0003811544858	-0.2153107633	0.4295485542	0.06941996958	0.04770499182	0.1983702802	-1.323842388	-0.1983945205	1.323894024	-0.06948336388	-0.04748136234	-4.324709877e-05	0.0001504626551	-0.2157459102	0.9504480158	run_optim.py	R0:S0:1	1	-0.568380741	-0.9938482152	-0.1942829516	1.727149536	-0.0001755492004	0.001446750993	0.3331997825	-1.096438035	-0.1432726749	1.170482753	-0.1433241751	1.170598054	0.3331937785	-1.096225472	0.4584982218	-0.4049287253	-4.094528433e-05	4.609557659e-05	2024-09-03@21:00	-0.2777777778	-0.01894237242	0.06743011393	v2.7.1	
5	Broyden	0	-0.009872067083	-9.058517272	-1.019088154	Y	8.016666667	0.03222568335	self-energy/D	sharp_wc_2_b_35	0.2169434603	0.251409339	0.273887233	0.0593026522	0.7218292921	0.118565497	0.2504047183	0.3871493926	0.2505035092	0.3871725362	0.7219337656	0.1185192234	0.7314040795	0.04264427836	0.230322139	0.08806240267	a248bdd	2x2_2C_8b_C2v_L	1.666666667	0.8807571525	0.8882267679	0.9999999998044324	8.715570446e-05	-0.0001933774505	-0.2188456432	0.4417127854	0.06873867728	0.0533903713	0.1975211263	-1.360076033	-0.1975454376	1.360127107	-0.06879994816	-0.05317026788	-4.470295442e-05	0.0001575632397	-0.2113760784	0.9570392326	run_optim.py	R0:S0:1	1	-0.5696590701	-1.003701516	-0.1993749828	1.767100776	-9.028083575e-05	0.0007408608983	0.3343609183	-1.117887415	-0.1415854019	1.186781033	-0.1416353113	1.18689308	0.3343555977	-1.117680254	0.4584726384	-0.4052464256	-4.35315785e-05	5.02668692e-05	2024-09-03@21:05	-0.2666666667	-0.02045564809	0.05769989413	v2.7.1	
3	Broyden	0	-0.01133368378	-8.900388002	-1.021762629	Y	8.088888889	0.03122354011	self-energy/D	sharp_wc_2_b_35	0.2198029785	0.2622406666	0.2804074318	0.06103578456	0.7051578341	0.1243277921	0.2476672146	0.4016326592	0.2477735713	0.4016454331	0.7052320386	0.1242839566	0.7226652272	0.04375036396	0.2218119732	0.08960198338	a248bdd	2x2_2C_8b_C2v_L	1.622222222	0.8737109495	0.8811960422	0.9999999998620088	-4.624678213e-05	0.0001073793043	-0.2219668159	0.4549253873	0.0680291718	0.05938203377	0.1970202987	-1.393640961	-0.1970465701	1.393688658	-0.06808574103	-0.0591839279	-4.359889146e-05	0.0001557197315	-0.2072740143	0.9622905049	run_optim.py	R0:S0:1	1	-0.5681923203	-1.009673848	-0.2041026271	1.80630068	4.739821398e-05	-0.0003834116302	0.3348704552	-1.137335064	-0.1393289617	1.197245035	-0.139375181	1.197329492	0.3348648976	-1.13713996	0.457129951	-0.4069345867	-4.23268053e-05	4.951897436e-05	2024-09-03@21:09	-0.2555555556	-0.02208662874	0.04730392532	v2.7.1	
