CDMFT_iterations	CDMFT_method	D	D_ave	E0_1	E_kin	GS_consistency	U	U_1_ave	convergence	dist_function	eb1_1	eb1_1_ave	eb2_1	eb2_1_ave	eb3_1	eb3_1_ave	eb4_1	eb4_1_ave	eb5_1	eb5_1_ave	eb6_1	eb6_1_ave	eb7_1	eb7_1_ave	eb8_1	eb8_1_ave	githash	model	mu	mu_1_ave	mu_ave	n_1	sb1_1	sb1_1_ave	sb2_1	sb2_1_ave	sb3_1	sb3_1_ave	sb4_1	sb4_1_ave	sb5_1	sb5_1_ave	sb6_1	sb6_1_ave	sb7_1	sb7_1_ave	sb8_1	sb8_1_ave	script	sector_1	t	t_1_ave	t_ave	tb1_1	tb1_1_ave	tb2_1	tb2_1_ave	tb3_1	tb3_1_ave	tb4_1	tb4_1_ave	tb5_1	tb5_1_ave	tb6_1	tb6_1_ave	tb7_1	tb7_1_ave	tb8_1	tb8_1_ave	time	tp	tp_1_ave	tp_ave	version	
4	Broyden	0	-0.005220443236	-9.508291853	-1.002626396	Y	8	0.03368126285	self-energy/D	sharp_wc_2_b_35	0.2070288569	0.2212047377	0.251414128	0.05457462665	0.7615944342	0.1030788938	0.2585895877	0.343843239	0.2586600839	0.3438952508	0.7617193297	0.1030270028	0.7513380211	0.03955597933	0.2524867522	0.08392696456	a248bdd	2x2_2C_8b_C2v_L	1.8	0.8986336174	0.9059307332	0.9999999998390012	0.0003316905396	-0.0006957302809	-0.209225263	0.4033666372	0.06982981252	0.03953046142	0.20030138	-1.259457585	-0.2003119231	1.259481838	-0.0699160583	-0.03922264972	-0.00010575755	0.0003396238249	-0.2235791909	0.9366475883	run_optim.py	R0:S0:1	1	-0.5682082209	-0.9771606172	-0.1841339479	1.641998112	-0.0003218710132	0.002689906715	0.3310841654	-1.057265518	-0.1448891309	1.133054624	-0.1449580271	1.13329655	0.3310609321	-1.057013662	0.4587006217	-0.4023152191	-0.0001175182176	0.0001412203803	2024-07-11@11:14	-0.3	-0.01651085359	0.08488592898	v2.7.1	
3	Broyden	0	-0.005187707502	-9.507194014	-1.002159353	Y	8.01	0.03360448905	self-energy/D	sharp_wc_2_b_35	0.2077398445	0.2211141979	0.2520827423	0.05440976362	0.7599867124	0.1031255485	0.2588852255	0.3435857908	0.2589812176	0.3436148541	0.7601164055	0.1030825912	0.7520467418	0.03952656998	0.2534192799	0.08391615101	a248bdd	2x2_2C_8b_C2v_L	1.8	0.8985245493	0.9058216912	0.9999999998931103	0.0003055186039	-0.0006403945823	-0.2094010982	0.4030309643	0.06984739865	0.03959966109	0.2004106177	-1.258866679	-0.2004331266	1.258912806	-0.06991434549	-0.03937116243	-5.034803393e-05	0.0001670870117	-0.2238923524	0.9368405858	run_optim.py	R0:S0:1	1	-0.5678454794	-0.9766931923	-0.1843531338	1.642457273	-0.0002967980611	0.002477224399	0.3308078685	-1.057161734	-0.1448744746	1.132476467	-0.1449286413	1.13261435	0.330800801	-1.056956302	0.458780664	-0.4024721582	-4.926328365e-05	5.54370569e-05	2024-07-11@11:18	-0.3	-0.01652282124	0.08488720199	v2.7.1	
5	Broyden	0	-0.004859249703	-9.541390043	-1.001403431	Y	8	0.03378160692	self-energy/D	sharp_wc_2_b_35	0.2057783105	0.219005886	0.2520461357	0.05451024014	0.7618560068	0.1017099548	0.2597499222	0.3414956394	0.259839659	0.3415313925	0.7619930547	0.1016621757	0.7527006233	0.03921710046	0.2545880498	0.0835184694	a248bdd	2x2_2C_8b_C2v_L	1.81	0.8997715054	0.9070326527	0.9999999998327946	0.0002964721042	-0.0006191446055	-0.2097884854	0.4015701216	0.07048864109	0.03637580149	0.2007646034	-1.254197147	-0.2007835179	1.254240591	-0.07056218962	-0.03611847926	-5.79958671e-05	0.0001902374225	-0.2243759301	0.9352220468	run_optim.py	R0:S0:1	1	-0.5683294236	-0.9757772373	-0.1829859346	1.631905908	-0.0002872187069	0.002394386509	0.3296972268	-1.050837302	-0.1453273413	1.130675777	-0.1453869205	1.130841572	0.329684304	-1.050603637	0.4579242019	-0.4012894574	-5.864465175e-05	6.707588997e-05	2024-07-11@11:22	-0.3	-0.01650535765	0.08542064418	v2.7.1	
5	Broyden	0	-0.005141370719	-9.507144864	-1.002777643	Y	8	0.03370452892	self-energy/D	sharp_wc_2_b_35	0.2052532462	0.221811088	0.2594285435	0.05578152751	0.7567353834	0.1018274515	0.261542506	0.3463751717	0.2616336264	0.3464026885	0.7568616295	0.1017860775	0.7483341425	0.03916376368	0.2527017388	0.08366141776	a248bdd	2x2_2C_8b_C2v_L	1.8	0.8981079354	0.9052600079	0.9999999997858353	0.0002651531196	-0.0005609474689	-0.2138938049	0.4078304624	0.07170556628	0.03353908664	0.2015356211	-1.267785594	-0.2015567586	1.26783136	-0.07177033741	-0.03331670826	-5.116298865e-05	0.0001707994672	-0.222656703	0.9368359617	run_optim.py	R0:S0:1	1	-0.5691512071	-0.9796812118	-0.1845720072	1.642078207	-0.0002578214681	0.002120792837	0.3279393076	-1.050095545	-0.145949496	1.140776408	-0.1460006853	1.140903229	0.3279327115	-1.049894488	0.4553215658	-0.3992928805	-5.014014412e-05	5.646553401e-05	2024-07-11@11:27	-0.29	-0.01743142468	0.07964286697	v2.7.1	
2	Broyden	0	-0.00550300575	-9.47322866	-1.003617357	Y	8.006666667	0.03354354866	self-energy/D	sharp_wc_2_b_35	0.2075342069	0.2236353473	0.2568701136	0.05532039809	0.7556186324	0.1036789491	0.2595419898	0.3476037117	0.2596291333	0.3476312408	0.755742725	0.1036379622	0.7479549795	0.03959236068	0.2519677455	0.08409682465	a248bdd	2x2_2C_8b_C2v_L	1.79	0.8970815894	0.9043240164	0.9999999997787679	0.0002673418449	-0.0005642630465	-0.2119764905	0.4078665922	0.07047185896	0.03846191688	0.2006546265	-1.269424057	-0.2006750263	1.269471177	-0.07053490703	-0.03824450766	-4.680020766e-05	0.0001570054511	-0.2225515138	0.9383678223	run_optim.py	R0:S0:1	1	-0.568497259	-0.9799051909	-0.1856596728	1.652085402	-0.0002613999773	0.00216600687	0.32987074	-1.058809142	-0.1451684461	1.140130607	-0.1452175694	1.140252725	0.3298649377	-1.058612775	0.4571498299	-0.401342635	-4.503392262e-05	5.028215708e-05	2024-07-11@11:30	-0.2933333333	-0.01715663128	0.08083693009	v2.7.1	
2	Broyden	0	-0.005848697	-9.438982049	-1.004690058	Y	8.01	0.03341621251	self-energy/D	sharp_wc_2_b_35	0.2076211286	0.2261986713	0.2589126804	0.05587896941	0.7541968202	0.1042274904	0.2590178727	0.3517238891	0.2591100895	0.3517540562	0.7543111849	0.1041840396	0.7470944941	0.03978902279	0.2503489814	0.08442334438	a248bdd	2x2_2C_8b_C2v_L	1.78	0.8957167256	0.9029434308	0.9999999998297203	0.0002683375936	-0.0005710076694	-0.2129480749	0.4114136633	0.07118331519	0.03619415579	0.2003417701	-1.277382542	-0.2003619925	1.277422645	-0.07125052536	-0.03596075584	-5.814142345e-05	0.0001931621198	-0.2215453718	0.9399790789	run_optim.py	R0:S0:1	1	-0.5685180386	-0.9819206704	-0.1867744615	1.661794628	-0.0002642802206	0.002183831475	0.3298102732	-1.060730406	-0.1455296273	1.147131929	-0.1455845733	1.147277243	0.3297993128	-1.060520085	0.4570923436	-0.401527931	-6.110334732e-05	7.098560588e-05	2024-07-11@11:33	-0.29	-0.01747070927	0.07851513084	v2.7.1	
5	Broyden	0	-0.005679362109	-9.461497116	-1.003515632	Y	8.013333333	0.03342435541	self-energy/D	sharp_wc_2_b_35	0.2091025997	0.2239751332	0.2484045909	0.05423270031	0.7579941563	0.1054893228	0.255669051	0.3461976	0.2557655178	0.3462238915	0.7581081348	0.1054441787	0.749979403	0.04013003996	0.2506649457	0.0845525088	a248bdd	2x2_2C_8b_C2v_L	1.786666667	0.8971659918	0.9045721873	0.9999999998516402	0.0002930214704	-0.0006171043589	-0.2070261849	0.4041926032	0.06858031591	0.04433224786	0.1990888967	-1.262329992	-0.1991094704	1.262379305	-0.06864893389	-0.04409867014	-4.297305897e-05	0.0001445434093	-0.2230919625	0.9383757097	run_optim.py	R0:S0:1	1	-0.567229375	-0.9774396844	-0.1853933179	1.654957105	-0.0002864094052	0.002411778212	0.3330327355	-1.06808459	-0.1438878123	1.133006047	-0.1439396949	1.133127454	0.3330227955	-1.067864792	0.4606210317	-0.4049562889	-3.787614948e-05	4.12483066e-05	2024-07-11@11:37	-0.3033333333	-0.01621696409	0.08596466312	v2.7.1	
2	Broyden	0	-0.005955281249	-9.433069704	-1.00512461	Y	8.005555556	0.03342256516	self-energy/D	sharp_wc_2_b_35	0.2097679694	0.2259318548	0.2550536983	0.05500857966	0.7551696398	0.1055744676	0.2574262391	0.3501784874	0.2575177582	0.3502109259	0.7552995633	0.1055301387	0.7491801589	0.04005554101	0.2502153314	0.08459746459	a248bdd	2x2_2C_8b_C2v_L	1.777777778	0.8958103562	0.903147579	0.9999999997936011	0.0002869650478	-0.0006037835434	-0.210462538	0.4087408238	0.06955756242	0.04229480275	0.1997436059	-1.273987351	-0.1997680785	1.274042857	-0.06962309957	-0.04206390153	-5.116042996e-05	0.0001712396246	-0.2220259245	0.9404103975	run_optim.py	R0:S0:1	1	-0.5681689784	-0.9810803195	-0.1869514701	1.66391542	-0.0002830858234	0.00236218516	0.3318496799	-1.06764311	-0.144530127	1.141921847	-0.144584196	1.142058691	0.3318431186	-1.06743508	0.459281705	-0.4032582908	-5.178235453e-05	5.877336749e-05	2024-07-11@11:40	-0.2955555556	-0.01698758864	0.08135286253	v2.7.1	
3	Broyden	0	-0.006398201602	-9.395386873	-1.006638454	Y	8.003333333	0.03332328324	self-energy/D	sharp_wc_2_b_35	0.2096840816	0.228781106	0.2557079189	0.05553891328	0.7499478523	0.1072072994	0.2559822608	0.3539108625	0.2560803938	0.3539381202	0.7500693724	0.107163062	0.7456572889	0.04040295197	0.2474544771	0.08504349373	a248bdd	2x2_2C_8b_C2v_L	1.766666667	0.8943993985	0.9017741947	0.9999999998581879	0.0002622897946	-0.0005559401961	-0.2106925414	0.4121840337	0.06918928758	0.04428184934	0.1992376182	-1.281979211	-0.1992561784	1.282011297	-0.06925769299	-0.04404887591	-5.594803624e-05	0.0001939397932	-0.2207203509	0.9419324532	run_optim.py	R0:S0:1	1	-0.56831923	-0.9833122016	-0.1880075936	1.674568922	-0.000258685502	0.002158907302	0.3321753852	-1.074381118	-0.1441568583	1.146312792	-0.1442121241	1.146465473	0.3321658568	-1.074174351	0.4591954326	-0.4037911069	-4.040025469e-05	3.957412143e-05	2024-07-11@11:44	-0.2933333333	-0.0172066867	0.07952131644	v2.7.1	
2	Broyden	0	-0.006727395371	-9.35476559	-1.007192443	Y	8.017777778	0.0330849901	self-energy/D	sharp_wc_2_b_35	0.2101814541	0.2315666707	0.2567603185	0.05595749096	0.7419768904	0.1092826154	0.2542209981	0.3566037	0.2543092001	0.3566356569	0.742084835	0.1092359369	0.7419491532	0.04074061155	0.2455202449	0.08544964038	a248bdd	2x2_2C_8b_C2v_L	1.755555556	0.8928711632	0.9002460998	0.999999999836495	0.0001746553755	-0.0003698882301	-0.2110890034	0.4154059219	0.06842353907	0.04766886254	0.1987409717	-1.287772432	-0.1987600715	1.287816993	-0.06849032732	-0.0474302315	-5.382729876e-05	0.0001796422799	-0.21967691	0.9430005202	run_optim.py	R0:S0:1	1	-0.5678499973	-0.9845805644	-0.1892018554	1.685096001	-0.0001765931959	0.001475590211	0.3323334704	-1.08263182	-0.1430698003	1.146810419	-0.1431242769	1.146955549	0.3323208121	-1.082410713	0.4589766824	-0.4046721329	-5.825351512e-05	6.837190732e-05	2024-07-11@11:46	-0.2911111111	-0.01741725345	0.07767439137	v2.7.1	
