CDMFT_iterations	CDMFT_method	D	D_ave	E0_1	E_kin	GS_consistency	U	U_1_ave	convergence	dist_function	eb1_1	eb1_1_ave	eb2_1	eb2_1_ave	eb3_1	eb3_1_ave	eb4_1	eb4_1_ave	eb5_1	eb5_1_ave	eb6_1	eb6_1_ave	eb7_1	eb7_1_ave	eb8_1	eb8_1_ave	githash	model	mu	mu_1_ave	mu_ave	n_1	sb1_1	sb1_1_ave	sb2_1	sb2_1_ave	sb3_1	sb3_1_ave	sb4_1	sb4_1_ave	sb5_1	sb5_1_ave	sb6_1	sb6_1_ave	sb7_1	sb7_1_ave	sb8_1	sb8_1_ave	script	sector_1	t	t_1_ave	t_ave	tb1_1	tb1_1_ave	tb2_1	tb2_1_ave	tb3_1	tb3_1_ave	tb4_1	tb4_1_ave	tb5_1	tb5_1_ave	tb6_1	tb6_1_ave	tb7_1	tb7_1_ave	tb8_1	tb8_1_ave	time	tp	tp_1_ave	tp_ave	version	
5	Broyden	0	0.001801997583	-10.37199788	-0.9210941317	Y	9.5	0.02582069945	self-energy/D	sharp_wc_2_b_35	0.1383519594	0.03269307597	0.2092256992	0.1787000512	0.713704007	0.08576002422	0.2435633323	0.2695991241	0.24361491	0.2696835854	0.7138991542	0.08573734942	0.684619091	0.04105557005	0.282631088	0.0871068748	a248bdd	2x2_2C_8b_C2v_L	2.1	0.920366973	0.9271128874	0.999999999772976	-0.1420384882	0.2868008407	-0.0005638568669	0.0008815125661	0.07401043217	-0.008267986163	-0.1976331246	0.9790321169	-0.1976438646	0.9790410739	0.07409631957	-0.008510260553	-8.368540771e-05	0.0002074344938	0.2631426426	-0.8747340645	run_optim.py	R0:S0:1	1	-0.5020449978	-0.8314300274	-0.0005214785782	0.005747902553	0.1528936777	-1.416944986	0.320668867	-0.9511358837	0.1418530216	-0.9306540712	-0.1419262877	0.9310211003	-0.3206649649	0.9510793363	-0.4590352399	0.4606142002	-9.039131982e-05	0.00013436901	2024-09-01@15:40	-0.5	0.0004877241388	0.1793282086	v2.7.1	
4	Broyden	0	0.001770228445	-10.36645305	-0.9190648542	Y	9.55	0.02554465326	self-energy/D	sharp_wc_2_b_35	0.1380498241	0.03273172096	0.2087650905	0.1796972892	0.7088656804	0.08579623572	0.2429253237	0.2705016328	0.2429912675	0.2705831232	0.7090525659	0.08577829595	0.6803665733	0.04121095319	0.2831311563	0.08744508727	a248bdd	2x2_2C_8b_C2v_L	2.1	0.9199642936	0.9266427141	0.9999999998433813	-0.1417011005	0.2870884083	-0.000630831154	0.0009957691454	0.07465143962	-0.01063884064	-0.1972282475	0.9772985445	-0.1972429674	0.9773028542	0.0747349334	-0.01086627627	-9.068150124e-05	0.0002249328292	0.2632694697	-0.8745208111	run_optim.py	R0:S0:1	1	-0.5003519477	-0.8294547166	-0.0005837257361	0.006426972278	0.1530963812	-1.418865143	0.3197509366	-0.9501468016	0.1422451485	-0.9316026378	-0.1423178885	0.9319699677	-0.319750558	0.9501193373	-0.4583468837	0.4620420878	-9.861603946e-05	0.0001467066027	2024-09-01@15:45	-0.5	0.0006380997979	0.1792202751	v2.7.1	
5	Broyden	0	0.002364067935	-10.43978181	-0.9186069333	Y	9.5	0.02597437749	self-energy/D	sharp_wc_2_b_35	0.1410111763	0.03309438082	0.2050456683	0.1753350451	0.7158054851	0.08357423944	0.2456795616	0.2650012828	0.245735004	0.2650795877	0.715968319	0.0835545325	0.6853709453	0.04021526833	0.2849144961	0.08614833269	a248bdd	2x2_2C_8b_C2v_L	2.12	0.922276835	0.929028747	0.999999999840137	-0.1437102616	0.2859402865	-0.0006987027287	0.001110416486	0.07456273091	-0.01045285513	-0.1990301044	0.9706963969	-0.1990423053	0.970707386	0.07464566026	-0.01068092382	-8.792684333e-05	0.0002171680282	0.2645722674	-0.8705415669	run_optim.py	R0:S0:1	1	-0.5023775143	-0.8291958046	-0.0006369803619	0.006908304931	0.1505683481	-1.398507886	0.3183000613	-0.9398794871	0.1417160109	-0.9235038296	-0.1417850918	0.923843332	-0.3182943693	0.9398294184	-0.4561773513	0.4567964796	-9.485417163e-05	0.0001399525721	2024-09-01@15:50	-0.5	0.0002405784415	0.1788222574	v2.7.1	
5	Broyden	0	0.002387577736	-10.36242446	-0.9166220605	Y	9.5	0.02584860886	self-energy/D	sharp_wc_2_b_35	0.1488178529	0.03569137796	0.1992665785	0.1801736363	0.710674742	0.08414574383	0.2453030432	0.2688536752	0.2453554016	0.268931406	0.7108448134	0.08412078306	0.6810910396	0.03988765403	0.2833866338	0.08608032554	a248bdd	2x2_2C_8b_C2v_L	2.1	0.9205309163	0.9272281335	0.9999999997304021	-0.1490125184	0.2971560362	-0.0009352696078	0.001570731432	0.07458286458	-0.00941271565	-0.1986895231	0.9807942681	-0.1986984881	0.9808052873	0.07466997094	-0.009658586702	-8.881627037e-05	0.0002244592787	0.261462697	-0.8713072012	run_optim.py	R0:S0:1	1	-0.503655788	-0.8347163418	-0.0008545452324	0.008942588152	0.1519440351	-1.412255392	0.3161927659	-0.9428265223	0.1416846304	-0.9342962751	-0.1417548066	0.9346317319	-0.3161841261	0.9427425861	-0.4520578947	0.4529452043	-9.610787479e-05	0.000139882822	2024-09-01@15:56	-0.48	-0.0009321126798	0.1706369141	v2.7.1	
6	Broyden	0	0.00258465241	-10.41702439	-0.9183924944	Y	9.45	0.0262245688	self-energy/D	sharp_wc_2_b_35	0.1467977828	0.03457101185	0.2021084466	0.175726034	0.7180326605	0.08306926856	0.2466976566	0.2652889144	0.2467548841	0.2653650393	0.7182145793	0.08304949251	0.6893617011	0.03954591538	0.2855211027	0.08528664179	a248bdd	2x2_2C_8b_C2v_L	2.113333333	0.9221606867	0.9289131723	0.9999999998065825	-0.1479805883	0.2916065012	-0.0009081987464	0.001487416694	0.0743680704	-0.009069681745	-0.1995118706	0.9760789221	-0.1995243314	0.9760861243	0.07444890811	-0.009292893718	-8.814581118e-05	0.0002203152607	0.2632011549	-0.8699915706	run_optim.py	R0:S0:1	1	-0.5050728987	-0.8340745405	-0.0008191735179	0.00865037989	0.1508850044	-1.399062064	0.3168748891	-0.9383538366	0.1415597029	-0.9282863788	-0.1416289522	0.928625952	-0.3168723665	0.9383052995	-0.4538626913	0.4517031464	-9.388435446e-05	0.0001374804973	2024-09-01@16:03	-0.4866666667	-0.000816556621	0.1732560696	v2.7.1	
1	Broyden	0	0.002939152008	-10.44218383	-0.9180081636	Y	9.4	0.02655670135	self-energy/D	sharp_wc_2_b_35	0.1522232681	0.03570196899	0.1965880079	0.1743716996	0.7243687253	0.08144230173	0.2482491766	0.2632595848	0.2483135986	0.2633171415	0.7245224153	0.08142898827	0.6933313895	0.03882355741	0.2858980757	0.0843211227	a248bdd	2x2_2C_8b_C2v_L	2.12	0.9232421891	0.9300449381	0.9999999998071556	-0.1511439627	0.2944613203	-0.0009741700752	0.001642873031	0.07484665836	-0.01059391045	-0.2002185085	0.9748069659	-0.2002324928	0.9748035831	0.07491316187	-0.01076933165	-9.217336513e-05	0.0002337970958	0.2627065124	-0.867335739	run_optim.py	R0:S0:1	1	-0.5073199865	-0.8362482869	-0.0008716804007	0.008978706523	0.1493471377	-1.389073859	0.3154322645	-0.9311725899	0.1417792789	-0.9285580339	-0.1418384608	0.9288413544	-0.3154338703	0.9311503137	-0.4517947924	0.4470477999	-9.706461055e-05	0.0001362431874	2024-09-01@16:05	-0.48	-0.001449027837	0.1703330764	v2.7.1	
4	Broyden	0	0.003388162616	-10.45647202	-0.9144810162	Y	9.433333333	0.02643306969	self-energy/D	sharp_wc_2_b_35	0.1559164667	0.03680059472	0.1928890118	0.1739306935	0.7172231866	0.08058529828	0.2487459929	0.2620460491	0.2487919138	0.2621161008	0.7172968687	0.08057565564	0.6899136486	0.03820489527	0.2863506491	0.08395198899	a248bdd	2x2_2C_8b_C2v_L	2.126666667	0.9237095132	0.9304670471	0.9999999997938939	-0.1539967498	0.2971921726	-0.002077407852	0.00356996727	0.07482641694	-0.01050016347	-0.2012085606	0.9729303871	-0.2012173677	0.9729268354	0.07489981643	-0.01069353932	-9.532785466e-05	0.0002408747811	0.2627895527	-0.8649520077	run_optim.py	R0:S0:1	1	-0.5068619707	-0.8352433334	-0.001836657132	0.01859745846	0.148319201	-1.381237596	0.3121356935	-0.9253706703	0.1408470659	-0.9253074729	-0.1409056784	0.9256159584	-0.3121246017	0.9253595476	-0.4474563377	0.4437128993	-0.000102699222	0.0001503174516	2024-09-01@16:10	-0.4733333333	-0.001920247106	0.1674035552	v2.7.1	
4	Broyden	0	0.004272286316	-10.49849531	-0.9113190608	Y	9.4	0.02675591566	self-energy/D	sharp_wc_2_b_35	0.1645908073	0.03836886	0.1873766071	0.1702042863	0.7204531802	0.0777639683	0.2518751137	0.2585591257	0.2519015218	0.2586197464	0.7205520292	0.07774284347	0.6947693121	0.03674149334	0.2882220902	0.08222975752	a248bdd	2x2_2C_8b_C2v_L	2.14	0.9254472069	0.9321616039	0.9999999998466371	-0.1601487658	0.300033007	-0.003479629443	0.006091188257	0.07547940067	-0.0121185597	-0.203327933	0.9705692137	-0.2033477283	0.9706557165	0.07556895956	-0.01235788037	-9.693869764e-05	0.0002481136086	0.2628075322	-0.8598069355	run_optim.py	R0:S0:1	1	-0.5093784833	-0.8369887173	-0.002998462593	0.02935603978	0.1460394868	-1.360267169	0.3075907786	-0.9109017893	0.1402667467	-0.9231537599	-0.1402993638	0.9232880661	-0.30759398	0.9108078897	-0.4415478793	0.4349456205	-0.0001251609906	0.0001729938999	2024-09-01@16:15	-0.46	-0.003174812797	0.1615877032	v2.7.1	
5	Broyden	0	0.003995765161	-10.42964984	-0.9124350412	Y	9.366666667	0.02680047854	self-energy/D	sharp_wc_2_b_35	0.169984484	0.03989419677	0.1850568196	0.1740641086	0.7196105022	0.07879740174	0.2515489518	0.2622804595	0.2516156629	0.2623335099	0.7197441664	0.07878247368	0.6919493158	0.03690384503	0.286190881	0.08222223064	a248bdd	2x2_2C_8b_C2v_L	2.12	0.9238054144	0.9304514532	0.9999999997399893	-0.163303601	0.3075297343	-0.002848642798	0.005118690385	0.07561661906	-0.01171757632	-0.2024283213	0.9804200609	-0.2024447202	0.9804172823	0.07568220716	-0.01189397129	-8.606210697e-05	0.0002228673298	0.259631279	-0.8610200246	run_optim.py	R0:S0:1	1	-0.5112008519	-0.8426692971	-0.002494224386	0.02397806631	0.1478470888	-1.375407436	0.3078813905	-0.9172117374	0.1410373703	-0.9344643148	-0.141098198	0.9347355038	-0.3078789805	0.9171696353	-0.4408739575	0.4337663983	-8.615397222e-05	0.0001181301713	2024-09-01@16:20	-0.4466666667	-0.003952974661	0.1561919644	v2.7.1	
4	Broyden	0	0.005217600253	-10.55156707	-0.9109076562	Y	9.277777778	0.02759398804	self-energy/D	sharp_wc_2_b_35	0.1756301074	0.03910859891	0.1838618819	0.1633284504	0.7330639993	0.07510786216	0.2565345874	0.2517428573	0.2566078974	0.2517943709	0.7332251551	0.07508904851	0.7066046223	0.03513503093	0.2895325567	0.07928433333	a248bdd	2x2_2C_8b_C2v_L	2.153333333	0.9279663308	0.9346329368	0.9999999997902356	-0.1672096577	0.2998427365	-0.003996738815	0.006988675201	0.07512376898	-0.01067166699	-0.2055661046	0.9664567195	-0.2055775605	0.9664381702	0.07519838626	-0.01086939396	-7.199407814e-05	0.0001841946403	0.2616501127	-0.8518275691	run_optim.py	R0:S0:1	1	-0.5152539801	-0.842192539	-0.003378028743	0.03186371745	0.1438248353	-1.332893416	0.305097711	-0.8992688622	0.1394972603	-0.9181701875	-0.139566369	0.9184692995	-0.3050924131	0.8992004405	-0.4374292093	0.4241129799	-6.478281937e-05	8.739816337e-05	2024-09-01@16:25	-0.4444444444	-0.0048465066	0.1546090138	v2.7.1	
