CDMFT_iterations	CDMFT_method	D	D_ave	E0_1	E_kin	GS_consistency	U	U_1_ave	convergence	dist_function	eb1_1	eb1_1_ave	eb2_1	eb2_1_ave	eb3_1	eb3_1_ave	eb4_1	eb4_1_ave	eb5_1	eb5_1_ave	eb6_1	eb6_1_ave	eb7_1	eb7_1_ave	eb8_1	eb8_1_ave	githash	model	mu	mu_1_ave	mu_ave	n_1	sb1_1	sb1_1_ave	sb2_1	sb2_1_ave	sb3_1	sb3_1_ave	sb4_1	sb4_1_ave	sb5_1	sb5_1_ave	sb6_1	sb6_1_ave	sb7_1	sb7_1_ave	sb8_1	sb8_1_ave	script	sector_1	t	t_1_ave	t_ave	tb1_1	tb1_1_ave	tb2_1	tb2_1_ave	tb3_1	tb3_1_ave	tb4_1	tb4_1_ave	tb5_1	tb5_1_ave	tb6_1	tb6_1_ave	tb7_1	tb7_1_ave	tb8_1	tb8_1_ave	time	tp	tp_1_ave	tp_ave	version	
5	Broyden	0	0.001801997582	-10.37199788	-0.9210941316	Y	9.5	0.02582069944	self-energy/D	sharp_wc_2_b_35	0.1383519591	0.03269307594	0.2092256993	0.178700051	0.7137040063	0.08576002426	0.243563332	0.2695991241	0.2436149097	0.2696835854	0.7138991535	0.08573734948	0.6846190908	0.04105557006	0.2826310876	0.08710687478	a248bdd	2x2_2C_8b_C2v_L	2.1	0.920366973	0.9271128874	0.9999999998141336	-0.1420384881	0.2868008405	-0.0005638568556	0.0008815125387	0.07401043212	-0.008267986143	-0.1976331245	0.9790321167	-0.1976438645	0.9790410737	0.07409631951	-0.008510260508	-8.3685447e-05	0.0002074345963	0.2631426424	-0.8747340642	run_optim.py	R0:S0:1	1	-0.5020449978	-0.8314300273	-0.0005214785672	0.005747902446	0.1528936777	-1.416944985	0.3206688669	-0.9511358838	0.1418530215	-0.9306540708	-0.1419262877	0.9310211	-0.3206649648	0.9510793365	-0.4590352399	0.4606142002	-9.039135637e-05	0.0001343690571	2024-07-11@11:15	-0.5	0.000487724129	0.1793282086	v2.7.1	
4	Broyden	0	0.001754362983	-10.37110586	-0.9206515885	Y	9.51	0.02576044628	self-energy/D	sharp_wc_2_b_35	0.1381737836	0.03265235438	0.2092327059	0.1789227023	0.7122783035	0.08578003624	0.2430425406	0.2700538104	0.2430969617	0.2701425989	0.7124595457	0.08575768819	0.6838254962	0.04111989222	0.2830361878	0.08716780528	a248bdd	2x2_2C_8b_C2v_L	2.1	0.9202598082	0.9269869168	0.9999999998183535	-0.1418499986	0.286712184	-0.0006386484975	0.001002862952	0.07424601498	-0.009292246848	-0.197305827	0.9785351321	-0.1973176099	0.9785434883	0.07433508407	-0.009543103836	-8.581379447e-05	0.0002124098776	0.2631662491	-0.8747246243	run_optim.py	R0:S0:1	1	-0.5016678249	-0.8310060333	-0.0005904803157	0.006503347595	0.1530392213	-1.417603235	0.3204418878	-0.9509341049	0.14209558	-0.9314668623	-0.1421723345	0.931851763	-0.320434569	0.9508791281	-0.4591518101	0.4611281262	-9.260558174e-05	0.0001388669347	2024-07-11@11:20	-0.5	0.0005320182763	0.1792911105	v2.7.1	
6	Broyden	0	0.002073292442	-10.40625064	-0.9199019641	Y	9.5	0.02590065333	self-energy/D	sharp_wc_2_b_35	0.1395476364	0.03285433395	0.2075068503	0.1769500834	0.715152917	0.08459254942	0.2447027129	0.2675263151	0.2447605905	0.2676080619	0.7153303855	0.08457150438	0.6853831641	0.04062755504	0.2844058873	0.08662493003	a248bdd	2x2_2C_8b_C2v_L	2.11	0.9213040482	0.9280521709	0.9999999998131663	-0.1428632842	0.2862713378	-0.0006297616987	0.0009921206956	0.07439146758	-0.009621888619	-0.1983549672	0.9752893896	-0.198367395	0.9752969851	0.07447698287	-0.009859147506	-8.667302784e-05	0.0002145362576	0.264064598	-0.8729869759	run_optim.py	R0:S0:1	1	-0.5022127222	-0.8303570435	-0.000577572403	0.006318500922	0.1518136357	-1.407880697	0.3194772129	-0.945167938	0.1419155169	-0.9277371173	-0.141988881	0.9280985941	-0.3194717051	0.945115845	-0.4577430548	0.458729791	-9.3429758e-05	0.0001381900142	2024-07-11@11:26	-0.5	0.0003551305744	0.1790898412	v2.7.1	
5	Broyden	0	0.002080531421	-10.36699347	-0.9188313405	Y	9.5	0.02583256251	self-energy/D	sharp_wc_2_b_35	0.1435737577	0.03417517609	0.204249831	0.1794105629	0.7122378346	0.08482312391	0.2441381089	0.2695916983	0.2442018718	0.2696690357	0.7124121493	0.08480333943	0.6828854038	0.04046454499	0.2832908076	0.08659429286	a248bdd	2x2_2C_8b_C2v_L	2.1	0.9204480861	0.9271784012	0.9999999998202076	-0.1455241517	0.2919973293	-0.0007656485246	0.001248612032	0.07448842121	-0.009600714752	-0.1980205066	0.9800684156	-0.1980333921	0.9800706642	0.07457134	-0.009828960508	-9.204646023e-05	0.00023128788	0.2623782017	-0.8731546029	run_optim.py	R0:S0:1	1	-0.5028375308	-0.8330835108	-0.0007014963796	0.007523141739	0.1524169302	-1.414530247	0.3182427434	-0.9462933874	0.1419087683	-0.9332579067	-0.141980824	0.9336112464	-0.3182386105	0.9462471015	-0.4555394914	0.4567825535	-9.906810803e-05	0.0001448127695	2024-07-11@11:31	-0.49	-0.0002184764068	0.1749955707	v2.7.1	
2	Broyden	0	0.00224966904	-10.39186218	-0.9191217865	Y	9.49	0.02594193367	self-energy/D	sharp_wc_2_b_35	0.1423458113	0.03373000302	0.2054475809	0.1773049207	0.7138405635	0.08444273798	0.2450558038	0.2673792338	0.245116947	0.2674630378	0.7140231354	0.08442392604	0.6865946969	0.04025355691	0.2845522413	0.08623913035	a248bdd	2x2_2C_8b_C2v_L	2.106666667	0.9212115858	0.927934103	0.9999999997710929	-0.1450820723	0.2894870474	-0.0007796701354	0.001248837854	0.07409335814	-0.008345188361	-0.1987048493	0.9772095062	-0.1987218357	0.9772238248	0.0741755955	-0.008573627825	-9.118240433e-05	0.0002259553281	0.2634313269	-0.8723092066	run_optim.py	R0:S0:1	1	-0.503095381	-0.8321557686	-0.0007105951799	0.007674294639	0.1516947337	-1.407416596	0.3183072743	-0.9444845813	0.1413927808	-0.9284193574	-0.1414658563	0.9287822593	-0.3183055099	0.9444496809	-0.4559834866	0.4561890519	-9.644463156e-05	0.0001437374507	2024-07-11@11:34	-0.4933333333	-0.0001620135842	0.1762824687	v2.7.1	
3	Broyden	0	0.002375062116	-10.40345576	-0.9183841086	Y	9.48	0.02602099126	self-energy/D	sharp_wc_2_b_35	0.145420583	0.03440993385	0.2018474535	0.1775106934	0.7157681596	0.08371591682	0.2457164617	0.2667524922	0.245772692	0.266827379	0.7159216575	0.08369727305	0.6852412649	0.03999923435	0.2845701756	0.08597794581	a248bdd	2x2_2C_8b_C2v_L	2.11	0.9215609427	0.9283252879	0.9999999997452282	-0.1465364008	0.291628823	-0.0008220109411	0.001350394311	0.07456378119	-0.009858735868	-0.1988970462	0.9762416439	-0.1989089033	0.9762451551	0.07464322957	-0.01007798405	-8.763064134e-05	0.0002196120064	0.2630758894	-0.8711532232	run_optim.py	R0:S0:1	1	-0.5036551507	-0.8327349146	-0.0007485006993	0.007954376951	0.1511154548	-1.404864895	0.3175619342	-0.9411371896	0.1417853023	-0.9293411821	-0.1418541335	0.9296785491	-0.3175553053	0.9410905196	-0.4545758925	0.454433417	-9.355423033e-05	0.0001365940463	2024-07-11@11:38	-0.49	-0.0003802035753	0.1747942733	v2.7.1	
4	Broyden	0	0.002561704294	-10.41172238	-0.9171241646	Y	9.486666667	0.02601156245	self-energy/D	sharp_wc_2_b_35	0.147298591	0.03509285171	0.1993595065	0.1775750543	0.7119975069	0.0833408116	0.24564102	0.2665200836	0.2456843071	0.2665978276	0.7120405661	0.08333563704	0.6849758806	0.03967790091	0.2846467321	0.08588023971	a248bdd	2x2_2C_8b_C2v_L	2.113333333	0.9218236848	0.9286172868	0.9999999998508067	-0.1479876101	0.2935448846	-0.001537226247	0.002576416354	0.07442916956	-0.009468184884	-0.1993405229	0.9764369919	-0.1993492499	0.9764350152	0.07450256254	-0.009659448439	-9.700159518e-05	0.0002418151192	0.2631262813	-0.8707213936	run_optim.py	R0:S0:1	1	-0.5036938069	-0.8327212209	-0.001386502602	0.01457617618	0.1505237626	-1.401467048	0.3159228491	-0.9385769523	0.1412620706	-0.9281372931	-0.1413193456	0.9284620319	-0.3159095133	0.9385942634	-0.4527335012	0.4526465471	-0.000107662133	0.0001627821438	2024-07-11@11:42	-0.4866666667	-0.0006015362857	0.1734307063	v2.7.1	
5	Broyden	0	0.002946083015	-10.43196254	-0.9148149805	Y	9.48	0.02610448285	self-energy/D	sharp_wc_2_b_35	0.1514926674	0.0359601272	0.1957044252	0.1761039287	0.7119121365	0.08217589591	0.2468894031	0.2640236075	0.2469224083	0.2641086952	0.7119283215	0.08216781947	0.685034116	0.03903442324	0.2854534154	0.0849727444	a248bdd	2x2_2C_8b_C2v_L	2.12	0.9226200015	0.929339367	0.999999999775605	-0.1507128482	0.2954221369	-0.002209044687	0.003754000313	0.07468433093	-0.01041542509	-0.1999777443	0.9727561073	-0.1999859612	0.9727683103	0.07475933089	-0.01061936993	-0.0001027782684	0.000255425215	0.2627850786	-0.8670717117	run_optim.py	R0:S0:1	1	-0.5045973	-0.8330948346	-0.001982671889	0.02043805315	0.1495302344	-1.392080139	0.3138834218	-0.9326529225	0.1411757155	-0.9261057928	-0.1412341189	0.9264311164	-0.3138614519	0.932646502	-0.4499635626	0.4489258354	-0.0001120300852	0.0001721040493	2024-07-11@11:48	-0.48	-0.001216336108	0.1702503038	v2.7.1	
1	Broyden	0	0.002839313767	-10.39585147	-0.9149658501	Y	9.473333333	0.02607320913	self-energy/D	sharp_wc_2_b_35	0.1542603368	0.03675645005	0.1945646241	0.1782958123	0.7107400239	0.08270759694	0.2463532116	0.2662775475	0.2464041751	0.2663478305	0.7107999047	0.08269760103	0.6834523499	0.03907659701	0.2843207378	0.08511994268	a248bdd	2x2_2C_8b_C2v_L	2.11	0.9217352657	0.9284481613	0.9999999997745698	-0.1523947991	0.2994457944	-0.001846668587	0.003190715985	0.07454621686	-0.009485964739	-0.199640948	0.9782895089	-0.1996517114	0.9782880744	0.07461630209	-0.00967442071	-9.995604421e-05	0.0002538259174	0.2614234345	-0.8682130807	run_optim.py	R0:S0:1	1	-0.5051699709	-0.8356151058	-0.001663168613	0.01696905406	0.1504165142	-1.400055268	0.313755732	-0.9356162406	0.1411938557	-0.9312927147	-0.1412537379	0.9316006555	-0.3137414889	0.9356022494	-0.4491149789	0.4481982546	-0.0001071938344	0.0001575401281	2024-07-11@11:50	-0.4733333333	-0.001566116409	0.1676424175	v2.7.1	
1	Broyden	0	0.003370100606	-10.45307052	-0.9131053412	Y	9.455555556	0.0262962871	self-energy/D	sharp_wc_2_b_35	0.156010576	0.03687286276	0.1923634313	0.1742328388	0.7124813128	0.08088476635	0.2477467987	0.261930905	0.2477879921	0.262001183	0.7125067624	0.08087918392	0.6868217911	0.03827386114	0.2854198814	0.08397007615	a248bdd	2x2_2C_8b_C2v_L	2.126666667	0.9235571011	0.9302439058	0.9999999997406661	-0.1539569484	0.2973671841	-0.002375797019	0.004091490687	0.07469848106	-0.01059987932	-0.2007472001	0.9709674423	-0.2007574623	0.9709682993	0.07476383229	-0.01077282429	-9.591875719e-05	0.0002415473076	0.2622185365	-0.863577196	run_optim.py	R0:S0:1	1	-0.5061745595	-0.8343567238	-0.00210856207	0.02130138271	0.1484724379	-1.38140192	0.3116072453	-0.9262441305	0.1407283148	-0.9242907968	-0.1407828466	0.9245849216	-0.311591618	0.9262499369	-0.4468844754	0.4442095707	-0.0001006926846	0.0001508920737	2024-07-11@11:52	-0.4722222222	-0.001936694463	0.166761778	v2.7.1	
