CDMFT_iterations	CDMFT_method	D	D_ave	E0_1	E_kin	GS_consistency	U	U_1_ave	convergence	dist_function	eb1_1	eb1_1_ave	eb2_1	eb2_1_ave	eb3_1	eb3_1_ave	eb4_1	eb4_1_ave	eb5_1	eb5_1_ave	eb6_1	eb6_1_ave	eb7_1	eb7_1_ave	eb8_1	eb8_1_ave	githash	model	mu	mu_1_ave	mu_ave	n_1	sb1_1	sb1_1_ave	sb2_1	sb2_1_ave	sb3_1	sb3_1_ave	sb4_1	sb4_1_ave	sb5_1	sb5_1_ave	sb6_1	sb6_1_ave	sb7_1	sb7_1_ave	sb8_1	sb8_1_ave	script	sector_1	t	t_1_ave	t_ave	tb1_1	tb1_1_ave	tb2_1	tb2_1_ave	tb3_1	tb3_1_ave	tb4_1	tb4_1_ave	tb5_1	tb5_1_ave	tb6_1	tb6_1_ave	tb7_1	tb7_1_ave	tb8_1	tb8_1_ave	time	tp	tp_1_ave	tp_ave	version	
2	Broyden	0	-0.001384910935	-10.43561829	-0.9366356053	Y	9	0.02812988212	self-energy/D	sharp_wc_2_b_35	0.1872281114	0.0464296873	-0.1904114664	1.807799044	0.2523529019	0.2881726083	0.7348483416	0.08671272624	0.2514885453	0.2876031391	0.7311985454	0.08763654312	0.2767307374	0.08362911065	0.7084393194	0.03838402718	c61843e	2x2_2C_8b_C2v_L	2	0.9143266753	0.9212760026	0.9999999997104063	0.1733668636	-0.3386923993	0.1591365194	-1.467256698	-0.19987901	1.061092396	-0.07383275851	-0.00237595642	0.1997764401	-1.060256544	-0.07260770673	-0.006586538122	-0.2474298091	0.8861276644	0.0002147409082	-0.0005517231226	run_optim.py	R0:S0:1	1	-0.5258792602	-0.8816364458	0.01538943919	-0.142677163	0.0169284673	-0.03288103776	-0.1435578207	0.9999226949	0.3168530087	-0.9650355005	-0.142623175	0.9976276551	-0.3171275534	0.969942795	-0.0002670132807	0.000361301377	-0.4484577326	0.4294118013	2024-07-04@11:00	-0.4	-0.007142212593	0.1374978988	v2.6.0	
1	Broyden	0	-0.00133422548	-10.4382846	-0.9360213888	Y	9.01	0.02806922449	self-energy/D	sharp_wc_2_b_35	0.1872506548	0.04635647153	-0.1919074624	1.808449661	0.2515025635	0.2874765704	0.7295877578	0.08740965773	0.2521069221	0.2874166852	0.7314962259	0.08737417348	0.2771441128	0.08354552282	0.7053678518	0.03846958921	c61843e	2x2_2C_8b_C2v_L	2	0.9142322351	0.9210982045	0.9999999997826456	0.1731140054	-0.3376383968	0.1595671032	-1.466832621	-0.1993646913	1.058303913	-0.07354583692	-0.002871584772	0.1994869935	-1.058037485	-0.07364847557	-0.002741185123	-0.2474157702	0.8854740308	1.027221232e-05	-0.0001115962374	run_optim.py	R0:S0:1	1	-0.5255984598	-0.8811300974	0.01657651058	-0.1542105139	0.01799774553	-0.03426540557	-0.1434297478	0.9985042781	0.3167450673	-0.9681062093	-0.1436242565	0.9992032785	-0.3170511234	0.968304189	0.0001115481203	-0.0002288083026	-0.4482734491	0.4298335299	2024-07-04@11:02	-0.4	-0.007152603515	0.1372282285	v2.6.0	
4	Broyden	0	-0.001638285816	-10.46615951	-0.9349352803	Y	9	0.02819101273	self-energy/D	sharp_wc_2_b_35	0.1885625062	0.04627235359	-0.1890228525	1.809948112	0.251940215	0.2848383815	0.7293330448	0.08654149532	0.2508649317	0.2840582825	0.7296490868	0.08723992712	0.2764293563	0.08319630908	0.7060282736	0.03820056498	c61843e	2x2_2C_8b_C2v_L	2.01	0.9153788267	0.9222143023	0.99999999973649	0.1738043802	-0.3368164284	0.1582228569	-1.457367155	-0.1998134534	1.052935801	-0.0734249387	-0.002703252357	0.1997067782	-1.053055896	-0.07202473732	-0.00719376327	-0.2475297192	0.8830019329	0.0002221997374	-0.0006135799691	run_optim.py	R0:S0:1	1	-0.5259334967	-0.880027947	0.01564617614	-0.1442991238	0.01719289582	-0.03322651149	-0.1431476662	0.9938920688	0.3156590015	-0.963756625	-0.141835851	0.9894529633	-0.3165821664	0.9677758674	-0.0002184594282	0.0002707882345	-0.4474246558	0.42864734	2024-07-04@11:07	-0.4	-0.007175292913	0.1372683334	v2.6.0	
1	Broyden	0	-0.001701239939	-10.42648859	-0.9351227298	Y	9	0.02815091758	self-energy/D	sharp_wc_2_b_35	0.1935344804	0.04752746837	-0.1878691838	1.807963081	0.2543576898	0.2873346654	0.7319830076	0.08638900524	0.2526706422	0.2874243264	0.7277980864	0.08676145721	0.2774616308	0.08306005774	0.7059293398	0.03789111839	c61843e	2x2_2C_8b_C2v_L	2	0.9143221835	0.9210764752	0.9999999998222482	0.1773362803	-0.3422774373	0.158867632	-1.463420081	-0.2008465249	1.06257527	-0.07380050704	-0.003200210581	0.2004643239	-1.062197069	-0.07343116083	-0.004213749972	-0.246705567	0.8844605354	0.0002618941396	-0.0008160701641	run_optim.py	R0:S0:1	1	-0.5267802927	-0.8832760033	0.01574712235	-0.1434653085	0.01731296313	-0.03394317135	-0.1430683745	1.00013819	0.3149756783	-0.9633216055	-0.1425686214	0.9994724054	-0.3145293166	0.9647678791	-0.0003016848048	0.0003212843385	-0.4450256201	0.4259740566	2024-07-04@11:09	-0.39	-0.007958496981	0.1329403243	v2.6.0	
1	Broyden	0	-0.001656406411	-10.4508287	-0.9351462951	Y	8.99	0.02824257188	self-energy/D	sharp_wc_2_b_35	0.1923876645	0.04673876644	-0.1874729703	1.808604959	0.2527559005	0.2868618226	0.7288228875	0.08617472657	0.2513869175	0.286383429	0.7286880816	0.0867355107	0.2768886532	0.08304620729	0.7067436754	0.03792536629	c61843e	2x2_2C_8b_C2v_L	2.006666667	0.9149939172	0.9218294972	0.9999999998361749	0.1765344647	-0.3406411831	0.1586064016	-1.461073431	-0.2001551892	1.058739862	-0.07384810646	-0.002085022486	0.200193098	-1.059729255	-0.07268089917	-0.005644172048	-0.2469383657	0.8838268698	0.0001218272467	-0.0003013801475	run_optim.py	R0:S0:1	1	-0.5267858277	-0.8822609969	0.01343165048	-0.1223987626	0.01480569545	-0.02909980309	-0.1434579209	0.9996674864	0.3143825177	-0.9618162343	-0.1422002999	0.9951441022	-0.3151688335	0.9650021018	-0.0002092978577	0.000306887707	-0.4458085848	0.4264565851	2024-07-04@11:12	-0.3933333333	-0.007677147746	0.1344541479	v2.6.0	
2	Broyden	0	-0.001899623019	-10.45854839	-0.9339617137	Y	8.993333333	0.02826256539	self-energy/D	sharp_wc_2_b_35	0.1957204137	0.04783832099	-0.1848170168	1.808887307	0.2530575269	0.2860594027	0.7274333424	0.08576886504	0.2519576358	0.2861465624	0.7265160094	0.08612586964	0.2761421366	0.08291737744	0.7049118631	0.03763014488	c61843e	2x2_2C_8b_C2v_L	2.011111111	0.9153240713	0.9221429726	0.9999999998265396	0.1784602168	-0.3423655297	0.1578403918	-1.455338086	-0.2009518629	1.059933426	-0.07346700655	-0.003453100016	0.2007224836	-1.059292526	-0.07294809159	-0.004939188725	-0.2466275405	0.8829136333	0.0002089487177	-0.0006417013406	run_optim.py	R0:S0:1	1	-0.527001952	-0.8823951911	0.0156728416	-0.1415700094	0.01722216161	-0.03397865076	-0.1424409041	0.9957028529	0.3134227813	-0.9595231743	-0.1421557894	0.9960854423	-0.31346644	0.9616081307	-0.0001716082426	0.0001956391697	-0.4435502533	0.4245377419	2024-07-04@11:15	-0.3888888889	-0.007960399145	0.1325996296	v2.6.0	
1	Broyden	0	-0.002266632881	-10.47005549	-0.9328528393	Y	8.99	0.02834141688	self-energy/D	sharp_wc_2_b_35	0.1988375142	0.04888002587	-0.1822785565	1.809875089	0.253306486	0.2859613613	0.7264359782	0.08489964947	0.2532565309	0.2852264448	0.7256368992	0.08528514944	0.2761641593	0.08250215489	0.7051946551	0.03710663228	c61843e	2x2_2C_8b_C2v_L	2.016666667	0.9158556	0.9226527093	0.9999999997621553	0.1807186898	-0.34365444	0.1568553249	-1.447016703	-0.2019940705	1.061390517	-0.07363514811	-0.002997292908	0.2018337916	-1.060775132	-0.07288786835	-0.005623714235	-0.2464564064	0.8815405429	0.0002118309271	-0.0006504739034	run_optim.py	R0:S0:1	1	-0.5276371999	-0.882881424	0.01735222431	-0.15547834	0.01912635351	-0.03769111782	-0.141833289	0.9954097067	0.3115144199	-0.955016768	-0.1411928814	0.9929133989	-0.3118036751	0.9569787624	-0.0003098591632	0.0003743988607	-0.4407812356	0.421417385	2024-07-04@11:17	-0.3833333333	-0.008398056908	0.1303602139	v2.6.0	
1	Broyden	0	-0.001965211555	-10.43292246	-0.9334719033	Y	8.986666667	0.02827727399	self-energy/D	sharp_wc_2_b_35	0.2018034041	0.04889983303	-0.1828755877	1.807905011	0.2537397412	0.2878062681	0.7238772643	0.0855501728	0.254195141	0.2877298928	0.7228876759	0.08558002141	0.2756513098	0.0825168763	0.703052437	0.0373142918	c61843e	2x2_2C_8b_C2v_L	2.005555556	0.9147116683	0.9213624843	0.999999999738101	0.1822576801	-0.3468058326	0.1583744862	-1.457420307	-0.2011679319	1.065236008	-0.07395924331	-0.002322861788	0.2012720958	-1.065164819	-0.07414503835	-0.002006916201	-0.245061948	0.8821096674	9.795266929e-05	-0.0003205156538	run_optim.py	R0:S0:1	1	-0.5281379093	-0.8852938801	0.01555941596	-0.13840251	0.01704055363	-0.03389483303	-0.1428642539	1.002718366	0.3113583765	-0.9581376024	-0.1429396987	1.002690087	-0.3112653928	0.9581631141	-0.0002006011072	0.0002580017976	-0.4409329703	0.4216504605	2024-07-04@11:19	-0.3777777778	-0.008828348005	0.1275300614	v2.6.0	
2	Broyden	0	-0.00217437187	-10.4372091	-0.9324258056	Y	8.994444444	0.02826113409	self-energy/D	sharp_wc_2_b_35	0.2042080772	0.04967519291	-0.181853033	1.808650775	0.2544443784	0.2875128123	0.721787051	0.08520489952	0.2546772897	0.2876597844	0.721703676	0.08501304762	0.275678998	0.08230374254	0.7019249275	0.03705127077	c61843e	2x2_2C_8b_C2v_L	2.008148148	0.9148759451	0.9214746283	0.9999999997722666	0.1836185981	-0.3471130788	0.1577821839	-1.451616153	-0.2018131106	1.065768202	-0.07413528626	-0.002137224061	0.2018311403	-1.06589222	-0.07439331626	-0.001197489639	-0.2449214551	0.8811720528	2.875704544e-05	-7.274088494e-05	run_optim.py	R0:S0:1	1	-0.5282265654	-0.8853082802	0.01825432485	-0.1608956504	0.02027317747	-0.04081374082	-0.1424518313	1.001795849	0.3102212717	-0.9560435405	-0.1427022059	1.002430138	-0.3099726171	0.9548707418	-8.464555221e-05	0.0001868299374	-0.4390782992	0.4200757124	2024-07-04@11:22	-0.3740740741	-0.009119776406	0.1259577411	v2.6.0	
2	Broyden	0	-0.00280128861	-10.47066808	-0.9305539082	Y	8.980740741	0.0284612554	self-energy/D	sharp_wc_2_b_35	0.2100053663	0.05018792518	-0.1792509971	1.811866366	0.2566160916	0.2853236847	0.7223163578	0.08295954449	0.2568012463	0.2849222707	0.7209220426	0.08322278421	0.2774573701	0.08110935761	0.7029309957	0.036181534	c61843e	2x2_2C_8b_C2v_L	2.020246914	0.9162355772	0.9227563991	0.9999999996449191	0.1875969137	-0.3470507092	0.1561272112	-1.435302821	-0.2032480533	1.063698604	-0.07497528162	0.000776842192	0.2033230958	-1.063757189	-0.07463859518	-0.0005758710098	-0.2449596825	0.8769340444	0.0003226581854	-0.0009383876399	run_optim.py	R0:S0:1	1	-0.5295364056	-0.8854661389	0.01838739072	-0.1597453509	0.02061761991	-0.04131962483	-0.1424611004	1.000617424	0.3067679638	-0.9442917253	-0.1420485895	0.9986686478	-0.306913471	0.9455697214	-0.0004125765529	0.0005755364786	-0.4351670413	0.4151264341	2024-07-04@11:25	-0.3667901235	-0.009806116894	0.1229252546	v2.6.0	
