CDMFT_iterations	CDMFT_method	D	D_ave	E0_1	E0_2	E_kin	GS_consistency	U	U_1_ave	convergence	dist_function	e	e_2_ave	e_ave	eb1_1	eb1_1_ave	eb2_1	eb2_1_ave	eb3_1	eb3_1_ave	eb4_1	eb4_1_ave	eb5_1	eb5_1_ave	eb6_1	eb6_1_ave	eb7_1	eb7_1_ave	eb8_1	eb8_1_ave	githash	model	mu	mu_1_ave	mu_2_ave	mu_ave	n_1	n_2	sb1_1	sb1_1_ave	sb2_1	sb2_1_ave	sb3_1	sb3_1_ave	sb4_1	sb4_1_ave	sb5_1	sb5_1_ave	sb6_1	sb6_1_ave	sb7_1	sb7_1_ave	sb8_1	sb8_1_ave	script	sector_1	sector_2	tb1_1	tb1_1_ave	tb2_1	tb2_1_ave	tb3_1	tb3_1_ave	tb4_1	tb4_1_ave	tb5_1	tb5_1_ave	tb6_1	tb6_1_ave	tb7_1	tb7_1_ave	tb8_1	tb8_1_ave	time	tpd	tpd_ave	tpp	tpp_2_ave	tpp_ave	tppp	tppp_2_ave	tppp_ave	version	
6	Broyden	0	0.02600515055	-82.12255706	-131.549776	6.616074479	YY	10.926022	0.4180642458	self-energy/D	sharp_wc_2_b_35	3.684675	2	1.199481929	0.006273889407	0.1047040746	-2.537559448	1.946046757	-3.04124989	1.577076285	-0.08526515286	1.161803047	-3.04165235	1.57711545	-0.08544764853	1.162041221	0.2469523388	0.01353636966	-2.733127811	1.073201179	a248bdd	2x2_2C_8b_C2v_L	11.906536	1.400745607	2	1.646554653	0.999999999771945	0.9999999999999996	0.00096390508	-0.006979840634	-6.648826517e-05	0.000104701864	0.01571837032	0.1593060461	-0.1810975335	1.971090527	0.01578742723	0.1592889966	-0.1811133399	1.970206471	-0.0001655669828	0.001366353353	7.745613341e-05	0.0001509795746	run_optim.py	R0:S0:1	uncorrelated	0.1481622428	-1.205035567	-0.9976923002	0.4053171839	1.623586763	-2.007215914	0.09401446475	-1.158103579	-1.623667061	2.007202296	-0.09421990586	1.159848332	0.3973479791	-0.4213067773	-2.181078466	3.588728241	2024-12-20@11:01	2.271756	-0.7526001217	1	-3.514978026e-16	-0.326041657	-1.0600929	4.479744733e-17	0.1684544971	v2.7.1	
2	Broyden	0	0.03045336981	-82.34327368	-131.549776	6.631215793	YY	11.126022	0.4001892903	self-energy/D	sharp_wc_2_b_35	3.684675	2	1.200479822	0.01219221768	0.1050153942	-2.480657408	1.944799557	-3.141485919	1.588934078	-0.1145477971	1.244781915	-3.141779363	1.588923251	-0.1145650697	1.244601777	0.2654785822	0.01325770277	-2.770780257	1.094374012	a248bdd	2x2_2C_8b_C2v_L	11.906536	1.382003515	2	1.641988185	0.9999999998244031	0.9999999999999996	0.0003699594767	-0.002478549133	-3.23287652e-05	-0.0001609115746	0.02105087637	0.2043542267	-0.190020501	1.842389041	0.0210331014	0.204146367	-0.1900285275	1.84238118	-0.000175923281	0.002222720095	-0.0003679586181	0.001534140269	run_optim.py	R0:S0:1	uncorrelated	0.1462005846	-1.196352518	-0.9873846844	0.4225336512	1.645885202	-2.014652149	0.1145245396	-1.289760613	-1.645954743	2.014780503	-0.1145580768	1.290008748	0.3998857733	-0.4152801379	-2.199210936	3.562985231	2024-12-20@11:05	2.271756	-0.7545550817	1	-3.514978026e-16	-0.3221098606	-1.0600929	4.479744733e-17	0.1666814576	v2.7.1	
8	Broyden	0	0.007753753528	-81.40989343	-130.909776	6.706866684	YY	10.926022	0.4185051526	self-energy/D	sharp_wc_2_b_35	3.724675	2	1.1981361	0.003640888236	0.1114497752	-2.502038702	1.943480624	-2.94457406	1.557269891	-0.03683791917	0.941543817	-2.944106783	1.558499404	-0.03833249983	0.9438968721	0.2328986877	0.01421977557	-2.702975002	1.067498835	a248bdd	2x2_2C_8b_C2v_L	11.906536	1.401039617	2	1.645012698	0.9999999998588767	0.9999999999999998	0.001327281585	-0.01019253811	-0.0001306635881	-0.0001937942235	0.003448492671	0.02646252526	-0.1787308177	2.255931874	0.002267375877	0.02709225631	-0.179858137	2.266129744	-0.0009031641247	0.01084645078	-0.0005504877437	0.004425964934	run_optim.py	R0:S0:1	uncorrelated	0.1508132013	-1.233778225	-0.9924093028	0.4169154361	1.604031508	-2.051015143	0.0276599035	-0.3735549427	-1.60469606	2.046187698	-0.02312924345	0.3144657865	0.3952678402	-0.4248435762	-2.17653306	3.590861622	2024-12-20@11:17	2.271756	-0.7562779358	1	1.628492669e-16	-0.3285204682	-1.0600929	-5.408184027e-18	0.1702171046	v2.7.1	
11	Broyden	0	0.01418367996	-70.45572001	-131.549776	6.378634862	YY	10.926022	0.4168226616	self-energy/D	sharp_wc_2_b_35	3.684675	2	1.196113253	0.01377124133	0.384007693	-2.503972959	1.943214495	2.94989485	0.4588893539	-0.03694099772	0.9763801224	2.98115823	0.4499646273	-0.06526868342	1.059649448	-0.2421107097	1.972188584	-2.732541918	1.064435897	a248bdd	2x2_2C_8b_C2v_L	11.906536	1.398183552	2	1.641588881	0.9999999997920787	0.9999999999999996	-0.07344481485	0.4882850586	0.000751313359	-0.002197565103	-1.625187872	2.09753071	0.1787076911	-2.199166012	-1.633579044	2.075763225	0.1756949094	-2.008412274	-0.3995901155	0.4358898907	0.005062248744	0.03129271419	run_optim.py	R0:S0:1	uncorrelated	0.1356367276	-1.141789404	-1.006929609	0.4145755225	0.005405817683	0.08510890807	-0.04769786512	0.6483136191	-0.01043774559	-0.1014349569	0.09111206533	-1.139876696	-0.02401899358	0.1956510465	-2.213325592	3.596367266	2024-12-20@11:32	2.311756	-0.7642176351	1	-3.514978026e-16	-0.3315118805	-1.0600929	4.479744733e-17	0.1725135556	v2.7.1	
1	Broyden	0	0.03255668765	-82.68901207	-131.549776	6.692417767	YY	10.926022	0.4174950384	self-energy/D	sharp_wc_2_b_35	3.684675	2	1.200939903	0.009651069245	0.09963918861	-2.477780356	1.946852312	-3.144550705	1.595963267	-0.1280643695	1.258285363	-3.1448131	1.595976996	-0.1280914285	1.258305088	0.2602258178	0.01296659144	-2.778559853	1.080703084	a248bdd	2x2_2C_8b_C2v_L	11.906536	1.400308957	2	1.648080181	0.999999999765206	1.0	0.0004626299937	-0.00312991233	-2.790162929e-05	4.308807475e-05	0.02298266186	0.2185322948	-0.195355825	1.89140917	0.02298622854	0.2185497815	-0.1953783272	1.89145285	2.734108821e-05	-0.0002003082298	-6.347657646e-06	-2.739583984e-05	run_optim.py	R0:S0:1	uncorrelated	0.1447572337	-1.175494744	-0.9890334661	0.3990853203	1.642856074	-1.964691731	0.114865332	-1.280172311	-1.64293153	1.964698335	-0.1148711583	1.280158077	0.3972923483	-0.4154355212	-2.189750227	3.586277528	2024-12-20@11:35	2.271756	-0.7488945673	1	6.359100424e-16	-0.3238363604	-1.0200929	-4.613566093e-16	0.1657939477	v2.7.1	
1	Broyden	0	0.03201079459	-82.66218755	-131.549776	6.694736563	YY	10.926022	0.4173055637	self-energy/D	sharp_wc_2_b_35	3.684675	2	1.200983652	0.009437775157	0.09968200173	-2.479466201	1.946760265	-3.14345386	1.595353093	-0.1226961326	1.249880052	-3.14373345	1.595360503	-0.122721502	1.24985337	0.2537123691	0.01288362918	-2.78018076	1.081225005	a248bdd	2x2_2C_8b_C2v_L	11.906536	1.400141849	2	1.648154021	0.9999999998423965	1.0	0.0004333981248	-0.002946409708	-2.765150308e-05	3.315883852e-05	0.02245614653	0.2107853006	-0.1931384063	1.894901848	0.02248729021	0.2106946353	-0.1931542564	1.894832866	-1.293983898e-05	0.0002040817837	-2.361179082e-05	0.0001313522022	run_optim.py	R0:S0:1	uncorrelated	0.1446593584	-1.175076836	-0.9893823354	0.3998679029	1.642369355	-1.96627927	0.1133893864	-1.274989508	-1.642439381	1.966325496	-0.1134264286	1.275219872	0.3946960264	-0.4132782365	-2.189714266	3.585697712	2024-12-20@11:38	2.271756	-0.7486753589	1	6.359100424e-16	-0.3237817878	-1.0200929	-4.613566093e-16	0.1657359401	v2.7.1	
1	Broyden	0	0.03124745429	-82.50386131	-131.549776	6.661633118	YY	11.026022	0.4086276797	self-energy/D	sharp_wc_2_b_35	3.684675	2	1.200713297	0.01071870577	0.1025583146	-2.479814533	1.945690971	-3.142517049	1.592095931	-0.1193875475	1.247860015	-3.14280012	1.592083415	-0.1194110918	1.247766587	0.2608575106	0.01310465991	-2.775030357	1.08782834	a248bdd	2x2_2C_8b_C2v_L	11.906536	1.390957525	2	1.644979291	0.9999999998761525	1.0	0.000404204332	-0.002730347904	-3.974047079e-05	-5.331620723e-05	0.02241472455	0.2061153905	-0.1918367288	1.867629578	0.02238702568	0.206024486	-0.1918645633	1.867552685	-0.0001170225347	0.001487318533	-0.0002118455374	0.0009499858018	run_optim.py	R0:S0:1	uncorrelated	0.1455991933	-1.186978777	-0.9883972815	0.4116287654	1.644192598	-1.991042029	0.1139703547	-1.282006337	-1.644267789	1.991179822	-0.1140218201	1.282299891	0.3979074771	-0.4148700134	-2.194547347	3.574304436	2024-12-20@11:41	2.271756	-0.7517849665	1	3.042361821e-16	-0.3229300727	-1.0400929	6.923320063e-17	0.1662272819	v2.7.1	
2	Broyden	0	0.03139338675	-82.66129401	-131.549776	6.65838663	YY	10.926022	0.4174509947	self-energy/D	sharp_wc_2_b_35	3.684675	2	1.200274651	0.008971909688	0.1002701275	-2.479284853	1.946797666	-3.141052155	1.59319344	-0.1218469181	1.243754386	-3.141337447	1.593223949	-0.1218883297	1.243812896	0.2595790673	0.01311063838	-2.77052695	1.078217464	a248bdd	2x2_2C_8b_C2v_L	11.906536	1.400123686	2	1.647579931	0.9999999998464462	1.0	0.0004292513828	-0.00292949865	-2.58821844e-05	0.0001020267131	0.02334027737	0.205252805	-0.1930091568	1.895116335	0.02338367568	0.2052549516	-0.1930140427	1.895140319	6.526128484e-05	-0.0007580899199	8.433232722e-05	-0.0004189597501	run_optim.py	R0:S0:1	uncorrelated	0.1454985537	-1.17995168	-0.9890010717	0.3990232015	1.644026095	-1.972457232	0.1148193224	-1.287327617	-1.644099745	1.972391618	-0.114817277	1.287318516	0.3994445002	-0.417993327	-2.191828606	3.588218466	2024-12-20@11:45	2.271756	-0.7503084711	1	3.042361821e-16	-0.3249054719	-1.0400929	6.923320063e-17	0.1670394509	v2.7.1	
3	Broyden	0	0.002108621893	-81.797995	-131.549776	6.526717098	YY	10.926022	0.417657334	self-energy/D	sharp_wc_2_b_35	3.684675	2	1.198370124	0.005181094017	0.1135034076	-2.436287278	1.941795381	-2.947315151	1.554556375	0.03683009404	1.075949542	-2.949467631	1.554760625	-0.03693249427	0.9246390135	-0.2300569248	1.98591383	-2.73556512	1.0697197	a248bdd	2x2_2C_8b_C2v_L	11.906536	1.399915448	2	1.644264821	0.9999999998282028	1.0	-0.002845765999	0.02118872484	-0.000548412817	0.001302155929	0.0009073084157	0.004525365221	-0.004014148592	0.05531155439	0.0001804924329	0.006948935919	0.1805307766	-2.284243686	-0.3919369927	0.4189228612	0.0003592317989	0.002862387152	run_optim.py	R0:S0:1	uncorrelated	0.1507676851	-1.235007612	-0.9877835687	0.421883407	1.611550994	-2.057546122	-0.1805347164	2.28480289	-1.612096065	2.057271769	0.006305502751	-0.08542192979	-0.001795907678	0.01637306636	-2.192926462	3.592558039	2024-12-20@11:52	2.291756	-0.7574927403	1	3.042361821e-16	-0.327814012	-1.0400929	6.923320063e-17	0.1694363323	v2.7.1	
7	Broyden	0	0.003174870966	-81.54168854	-131.229776	6.694875602	YY	10.926022	0.4180963327	self-energy/D	sharp_wc_2_b_35	3.704675	2	1.199456551	-2.019507106e-05	1.049899386	-2.536877281	1.943903941	-2.952985945	1.56347745	-0.03768144345	0.938202902	-2.956297939	1.563632725	-0.03758861489	0.9381638676	0.2274429553	0.01390448196	-2.736151854	1.074417204	a248bdd	2x2_2C_8b_C2v_L	11.906536	1.400900917	2	1.646176247	0.9999999998187719	0.9999999999999998	0.1090809385	-0.8942506368	-7.063803525e-05	0.0002886675626	0.0005776209099	0.008425458088	-0.1795393097	2.279711922	0.0009391422439	0.008255551732	-0.1795007678	2.279247959	0.0001619698774	-0.001677176952	-5.787939164e-05	-0.0003626100924	run_optim.py	R0:S0:1	uncorrelated	0.103179664	-0.8455430367	-0.9959164724	0.417311239	1.602133083	-2.03287621	0.006392311685	-0.08795578256	-1.602890699	2.033040602	-0.007972294419	0.1085286631	0.3901313756	-0.4178746819	-2.179855804	3.586281123	2024-12-20@12:04	2.271756	-0.7530917481	1	7.637919937e-16	-0.3262134755	-1.0400929	-4.189809678e-16	0.168174714	v2.7.1	
