CDMFT_iterations	CDMFT_method	D	D_ave	E0_1	E0_2	E_kin	GS_consistency	U	U_1_ave	convergence	dist_function	e	e_2_ave	e_ave	eb1_1	eb1_1_ave	eb2_1	eb2_1_ave	eb3_1	eb3_1_ave	eb4_1	eb4_1_ave	eb5_1	eb5_1_ave	eb6_1	eb6_1_ave	eb7_1	eb7_1_ave	eb8_1	eb8_1_ave	githash	model	mu	mu_1_ave	mu_2_ave	mu_ave	n_1	n_2	sb1_1	sb1_1_ave	sb2_1	sb2_1_ave	sb3_1	sb3_1_ave	sb4_1	sb4_1_ave	sb5_1	sb5_1_ave	sb6_1	sb6_1_ave	sb7_1	sb7_1_ave	sb8_1	sb8_1_ave	script	sector_1	sector_2	tb1_1	tb1_1_ave	tb2_1	tb2_1_ave	tb3_1	tb3_1_ave	tb4_1	tb4_1_ave	tb5_1	tb5_1_ave	tb6_1	tb6_1_ave	tb7_1	tb7_1_ave	tb8_1	tb8_1_ave	time	tpd	tpd_ave	tpp	tpp_2_ave	tpp_ave	tppp	tppp_2_ave	tppp_ave	version	
5	Broyden	0	0.01266422584	-76.65161548	-105.9504	9.492972107	YY	14	0.1752983193	self-energy/D	sharp_wc_2_b_35	4.0781	2	1.221254438	0.02227206483	0.3454938486	-2.726040292	1.908519297	-3.547886204	1.694602606	-0.1656244947	1.389734081	-3.548404751	1.69460086	-0.1657250773	1.389978522	0.2242034173	0.02041903514	-3.16264438	1.365166437	a248bdd	2x2_2C_8b_C2v_L	10.7	1.138490885	2	1.588088366	0.9999999997737324	0.9999999999999999	4.569024705e-05	-0.0003561813628	2.643608219e-05	-7.494045652e-05	0.00710426261	0.1889409532	-0.2313323915	1.49154209	0.007163900967	0.1889267629	-0.2313715311	1.491160789	5.477162203e-05	-0.0002841148558	-2.135794659e-05	-1.082344425e-05	run_optim.py	R0:S0:1	uncorrelated	-0.1530520987	1.534981778	-1.082171735	0.826739534	1.761096568	-1.916463744	0.02672772128	-0.6489314454	-1.76122808	1.916567046	-0.02678726657	0.6493744102	0.3240908511	-0.3348535328	-2.344849053	3.000711718	2024-12-04@09:47	2.1719	-0.7191975453	1	-2.00254954e-16	-0.2721971987	0.1609	4.144656972e-17	0.1127946429	v2.7.1	
5	Broyden	0	0.01070604146	-76.47330081	-105.9504	9.501717078	YY	14.1	0.1721088638	self-energy/D	sharp_wc_2_b_35	4.0781	2	1.221466549	0.02292556943	0.3655232674	-2.748946301	1.907680151	-3.520550683	1.695951345	-0.1606778067	1.355289687	-3.521239944	1.695987539	-0.1607685219	1.355396667	0.2208142596	0.02169913815	-3.158288989	1.366021833	a248bdd	2x2_2C_8b_C2v_L	10.7	1.134909871	2	1.586711031	0.9999999997782081	0.9999999999999999	-9.474296222e-05	0.0007918175749	-1.570535735e-05	-3.495349317e-06	0.006465733098	0.1833583394	-0.228888997	1.51454483	0.006471921352	0.1833799131	-0.2289398058	1.514573455	9.22362431e-06	-3.535931041e-05	-1.261488449e-05	1.426229851e-05	run_optim.py	R0:S0:1	uncorrelated	-0.1527611225	1.541454925	-1.08556631	0.8375863027	1.754324157	-1.908609066	0.0225644451	-0.6285680872	-1.75450443	1.908561132	-0.0225626734	0.6285802536	0.3227545051	-0.3371373164	-2.343475057	2.992433414	2024-12-04@09:56	2.1719	-0.7185777785	1	-2.00254954e-16	-0.2714628473	0.1609	4.144656972e-17	0.1126054446	v2.7.1	
5	Broyden	0	0.01216965695	-76.55995883	-105.6304	9.526006109	YY	14	0.1754663569	self-energy/D	sharp_wc_2_b_35	4.0981	2	1.22023591	0.02271556825	0.353799909	-2.728612903	1.90738568	-3.529994724	1.691833551	-0.1657120595	1.373844735	-3.530569535	1.691862889	-0.1657976652	1.373937019	0.2234690682	0.02065934299	-3.144793954	1.359809838	a248bdd	2x2_2C_8b_C2v_L	10.7	1.138241585	2	1.586758655	0.9999999997640641	0.9999999999999998	-6.636996001e-05	0.0005554852651	-1.025805665e-05	-8.857937301e-06	0.007585596464	0.1892967061	-0.2318408893	1.506673596	0.007594965645	0.1893115002	-0.2318876278	1.506688289	1.215275814e-05	-5.001399549e-05	-1.699068237e-05	1.841798853e-05	run_optim.py	R0:S0:1	uncorrelated	-0.1535292253	1.547538164	-1.083515841	0.8326701608	1.75864198	-1.924058525	0.02673018756	-0.6545295026	-1.758794741	1.924022731	-0.02673388834	0.6545670435	0.3247698113	-0.3359206907	-2.342901185	3.01032095	2024-12-04@10:04	2.1719	-0.7225451529	1	3.658684541e-16	-0.2743090808	0.1609	5.473218779e-17	0.1136823108	v2.7.1	
5	Broyden	0	0.01021639004	-76.65172861	-105.9504	9.329048922	YY	14	0.1762914055	self-energy/D	sharp_wc_2_b_35	4.0781	2	1.218389934	0.02330131382	0.3640793761	-2.740570532	1.90515037	-3.507482	1.683304625	-0.1662086939	1.355767424	-3.508265994	1.683354041	-0.1663202903	1.355884649	0.2323037996	0.02146698201	-3.174986856	1.352493302	a248bdd	2x2_2C_8b_C2v_L	10.7	1.137859223	2	1.584226493	0.9999999997610951	0.9999999999999999	-9.255322654e-05	0.0007712427518	-1.484662918e-05	-1.539500677e-07	0.005577403722	0.1926552446	-0.2332533007	1.526699533	0.005572376697	0.1927039629	-0.2333183425	1.526810202	2.150278303e-05	-0.0001143241976	2.964348057e-06	-2.779679321e-05	run_optim.py	R0:S0:1	uncorrelated	-0.1553342659	1.566684741	-1.092731025	0.8408425777	1.764255744	-1.94892633	0.02016607054	-0.6290739044	-1.76446308	1.948833326	-0.02016069535	0.6290504836	0.3313399183	-0.339752039	-2.36654716	3.031324522	2024-12-04@10:13	2.1919	-0.7298612898	1	-2.00254954e-16	-0.2778049139	0.1609	4.144656972e-17	0.1153192039	v2.7.1	
4	Broyden	0	0.01335438342	-76.72130703	-105.9504	9.506551602	YY	14	0.1751644112	self-energy/D	sharp_wc_2_b_35	4.0781	2	1.221518445	0.02259603018	0.3466862557	-2.718341287	1.908297368	-3.561974934	1.696432626	-0.163822899	1.380635446	-3.562380276	1.696446018	-0.1638919075	1.38073638	0.2231630657	0.02040968173	-3.181235026	1.367089283	a248bdd	2x2_2C_8b_C2v_L	10.7	1.138410864	2	1.588376228	0.9999999997417686	1.0	-4.324026661e-05	0.0003605152244	-8.559295467e-06	9.314528423e-07	0.008199863479	0.1873159138	-0.2302816333	1.498452655	0.008217948599	0.1873214662	-0.2303155788	1.498374288	7.745519496e-06	-4.012343634e-05	-3.968058768e-06	-2.851430104e-06	run_optim.py	R0:S0:1	uncorrelated	-0.1528690978	1.535419777	-1.080983775	0.8280684216	1.762912086	-1.910996705	0.02974156688	-0.6648818378	-1.763021334	1.911005509	-0.02975452412	0.6649900181	0.3231755542	-0.3341598858	-2.348455208	2.998320568	2024-12-04@10:19	2.1719	-0.7183425166	1	1.111380411e-15	-0.2716537133	0.1709	-1.333576673e-16	0.1123346425	v2.7.1	
2	Broyden	0	0.01423495713	-76.80164898	-106.4304	9.538517221	YY	14	0.1759505386	self-energy/D	sharp_wc_2_b_35	4.0781	2	1.222423627	0.02204880536	0.3386213634	-2.721781913	1.90955566	-3.553625736	1.697851204	-0.1619196942	1.388401958	-3.555686164	1.698147027	-0.1617412729	1.386947075	0.2198413284	0.02001904085	-3.182906729	1.370213768	a248bdd	2x2_2C_8b_C2v_L	10.73	1.139917173	2	1.589841235	0.9999999997861951	0.9999999999999999	-0.001715436005	0.01396540493	6.030251128e-05	-0.000765183587	0.008615343616	0.1868228157	-0.2285060441	1.486222292	0.008154618301	0.1877305082	-0.2283413264	1.490266841	0.001199528729	-0.005550948179	-0.0005034221577	0.0002357927584	run_optim.py	R0:S0:1	uncorrelated	-0.1521769818	1.523847866	-1.079488868	0.8222161163	1.758101803	-1.90591766	0.03272040905	-0.6763580387	-1.758752275	1.904755386	-0.03121354882	0.668811194	0.3207140421	-0.3318918202	-2.344712936	2.99209558	2024-12-04@10:24	2.1719	-0.7154411399	1	4.846382429e-16	-0.2697819527	0.1609	2.395876703e-16	0.1117993143	v2.7.1	
4	Broyden	0	0.01334005439	-76.57536274	-106.0144	9.688000012	YY	14.04	0.1731513373	self-energy/D	sharp_wc_2_b_35	4.0861	2	1.224186373	0.02188400043	0.3482829588	-2.771100931	1.91109369	-3.531534107	1.70563844	-0.1535182544	1.366965783	-3.532696011	1.705915462	-0.153709546	1.365981323	0.2196010538	0.02112077786	-3.185872309	1.379964304	a248bdd	2x2_2C_8b_C2v_L	10.712	1.137916046	2	1.591065484	0.9999999997763167	0.9999999999999997	0.001106151423	-0.009118575754	0.0001558934526	-5.621504354e-05	0.007410557001	0.1783706581	-0.2233210902	1.494568127	0.007340121254	0.1782053609	-0.2235075124	1.498067285	2.777833737e-05	-0.0002763132934	-1.900027866e-05	-7.149079153e-05	run_optim.py	R0:S0:1	uncorrelated	-0.1505921527	1.511758167	-1.080986631	0.8247252087	1.742230869	-1.878141331	0.02819211648	-0.6452692961	-1.742553244	1.876836293	-0.02807081393	0.6435980634	0.3194944862	-0.3355984489	-2.333478591	2.965981896	2024-12-04@10:31	2.1519	-0.7086196365	1	1.632942742e-16	-0.266095665	0.1649	-3.243521383e-16	0.1101252897	v2.7.1	
2	Broyden	0	0.01649388333	-76.93234288	-106.04	9.602936925	YY	13.916	0.1781090902	self-energy/D	sharp_wc_2_b_35	4.0893	2	1.222442248	0.02142680434	0.3214028396	-2.70576758	1.910666875	-3.583618794	1.698843393	-0.1690190431	1.420093924	-3.584706163	1.69899915	-0.1689726235	1.419542904	0.2267622228	0.01883347978	-3.189956894	1.370888354	a248bdd	2x2_2C_8b_C2v_L	10.7168	1.142399257	2	1.591386624	0.9999999997633804	0.9999999999999998	-0.0002667377049	0.002128678145	-5.167896917e-05	4.645708052e-05	0.01151099468	0.1907610519	-0.230779971	1.462731308	0.01131473344	0.1908882204	-0.2308538022	1.464488131	0.0001194297627	-0.0004813655893	-0.0001146545931	0.0001289560626	run_optim.py	R0:S0:1	uncorrelated	-0.1521388352	1.51812897	-1.075448109	0.8120695922	1.762124989	-1.90625404	0.04188069684	-0.7184202248	-1.762416354	1.905644618	-0.04167020511	0.716920948	0.3231550522	-0.3305216638	-2.344820028	2.996022898	2024-12-04@10:35	2.1639	-0.7145964658	1	-8.430526617e-18	-0.270224878	0.1665	2.184532543e-17	0.1116279972	v2.7.1	
4	Broyden	0	0.0160573883	-76.77204423	-106.0848	9.623667235	YY	13.824	0.1807507781	self-energy/D	sharp_wc_2_b_35	4.0949	2	1.222302053	0.02130187455	0.3291590964	-2.762252072	1.910715302	-3.522573151	1.697127049	-0.1577410946	1.382551586	-3.523623803	1.697172055	-0.157835582	1.382711876	0.2192293876	0.01931404833	-3.181290557	1.368752546	a248bdd	2x2_2C_8b_C2v_L	10.7252	1.145755459	2	1.591751868	0.9999999997549621	0.9999999999999997	-0.0004345231937	0.003562623832	-6.602124469e-05	3.181866503e-05	0.00954547578	0.187896688	-0.225068814	1.494171416	0.00952132578	0.1879792043	-0.225128442	1.494109974	2.237397584e-05	-5.49941721e-05	-1.830740788e-05	3.883066545e-05	run_optim.py	R0:S0:1	uncorrelated	-0.1519098397	1.522839445	-1.08274467	0.8167362096	1.742978424	-1.906316617	0.03673647757	-0.6979876687	-1.74324727	1.906304015	-0.03670248932	0.6978349101	0.3190322749	-0.3304593032	-2.334803391	3.002381194	2024-12-04@10:42	2.1599	-0.7156705625	1	2.558176189e-16	-0.270453595	0.1693	3.357430284e-16	0.1117238336	v2.7.1	
4	Broyden	0	0.01459442587	-76.79452024	-106.52384	9.594121685	YY	13.9824	0.1753623184	self-energy/D	sharp_wc_2_b_35	4.06578	2	1.224252584	0.02154620834	0.3378825351	-2.756847651	1.911262549	-3.561632296	1.70485517	-0.1545438504	1.378299339	-3.562862473	1.705220886	-0.154702409	1.376962602	0.214403304	0.02010702574	-3.192032347	1.378746303	a248bdd	2x2_2C_8b_C2v_L	10.72352	1.14036606	2	1.591967587	0.9999999997204474	1.0	0.0006211070155	-0.005156193609	6.365670874e-05	4.018326401e-05	0.008253119375	0.1805431908	-0.2236664347	1.487449619	0.008008630842	0.1805690052	-0.2238898138	1.492133115	8.942827711e-05	-0.0004978768854	-7.285427394e-05	-1.354608752e-07	run_optim.py	R0:S0:1	uncorrelated	-0.1507672003	1.508781927	-1.080603839	0.8199422179	1.750772203	-1.883170068	0.03183823038	-0.6649002104	-1.751142647	1.881433902	-0.03149131934	0.6617608011	0.315372094	-0.3302389257	-2.334582577	2.972831099	2024-12-04@10:49	2.1607	-0.7090779913	1	-1.51578484e-16	-0.2659594446	0.16874	4.852573767e-16	0.1100103657	v2.7.1	
