CDMFT_iterations	CDMFT_method	D	D_ave	E0_1	E0_2	E_kin	GS_consistency	U	U_1_ave	convergence	dist_function	e	e_2_ave	e_ave	eb1_1	eb1_1_ave	eb2_1	eb2_1_ave	eb3_1	eb3_1_ave	eb4_1	eb4_1_ave	eb5_1	eb5_1_ave	eb6_1	eb6_1_ave	eb7_1	eb7_1_ave	eb8_1	eb8_1_ave	githash	model	mu	mu_1_ave	mu_2_ave	mu_ave	n_1	n_2	sb1_1	sb1_1_ave	sb2_1	sb2_1_ave	sb3_1	sb3_1_ave	sb4_1	sb4_1_ave	sb5_1	sb5_1_ave	sb6_1	sb6_1_ave	sb7_1	sb7_1_ave	sb8_1	sb8_1_ave	script	sector_1	sector_2	tb1_1	tb1_1_ave	tb2_1	tb2_1_ave	tb3_1	tb3_1_ave	tb4_1	tb4_1_ave	tb5_1	tb5_1_ave	tb6_1	tb6_1_ave	tb7_1	tb7_1_ave	tb8_1	tb8_1_ave	time	tpd	tpd_ave	tpp	tpp_2_ave	tpp_ave	tppp	tppp_2_ave	tppp_ave	version	
2	Broyden	0	0.04532756337	-110.8174238	-222.8828573	-6.26735727	YY	12.519705	0.4156705981	self-energy/D	sharp_wc_2_b_35	0.38589542	2	1.240986986	0.01725960321	0.0394566322	-3.499512185	1.957482048	-5.258554096	1.694380845	-0.2102568172	1.478217209	-5.259255835	1.694406811	-0.210317601	1.478238034	0.2979879738	0.005847251165	-5.043149568	1.217653913	a248bdd	2x2_2C_8b_C2v_L	14.316074	1.401933651	2	1.683308951	0.9999999997500395	1.0000000000000004	-7.687589822e-05	0.0002606191973	-7.894536906e-06	5.11065537e-05	0.03164482445	0.2654029356	-0.2106639098	1.600288659	0.03167996625	0.2653840792	-0.2106876014	1.600337704	1.939136308e-05	-0.0002628571883	6.985920434e-05	-0.0002078212228	run_optim.py	R0:S0:1	uncorrelated	-0.1281612254	0.7386129308	-1.319538571	0.3543224054	2.294639875	-1.686798821	0.1727063739	-1.328466711	-2.294796689	1.686753659	-0.1727185935	1.328449731	0.3554934179	-0.2561638468	-2.976403539	3.497625506	2024-10-09@17:19	3.3408533	-0.6469448155	1	6.549283715e-16	-0.2299578298	-1.4774388	-1.251095087e-16	0.1196020658	v2.7.1	
2	Broyden	0	0.04523443926	-110.8013452	-222.8828573	-6.267336987	YY	12.529705	0.4146758509	self-energy/D	sharp_wc_2_b_35	0.38589542	2	1.241023224	0.01866708843	0.03917891756	-3.498082342	1.95739015	-5.259906375	1.694317794	-0.208968763	1.480491513	-5.2605997	1.694332792	-0.2090494691	1.480464689	0.2945551095	0.005791580509	-5.048040084	1.219069024	a248bdd	2x2_2C_8b_C2v_L	14.316074	1.400952175	2	1.683016639	0.999999999783376	1.0000000000000004	-3.523703076e-05	0.0001195313806	-7.068854301e-06	1.455077977e-05	0.03137673817	0.2645966499	-0.2093283057	1.589496895	0.03140908411	0.264545007	-0.2093545653	1.589484462	8.056384484e-06	-5.602010556e-05	-2.506218314e-06	-4.160304145e-06	run_optim.py	R0:S0:1	uncorrelated	-0.1279272385	0.7358510548	-1.319508111	0.3556124965	2.293928778	-1.688774752	0.1733477999	-1.330232601	-2.294071112	1.688788024	-0.1733962895	1.330401685	0.3533310111	-0.2546397255	-2.97701486	3.495322979	2024-10-09@17:23	3.3408533	-0.6470446315	1	6.549283715e-16	-0.2297611443	-1.4774388	-1.251095087e-16	0.1195143723	v2.7.1	
2	Broyden	0	0.04523500911	-110.8254627	-222.7228573	-6.234681419	YY	12.519705	0.415585226	self-energy/D	sharp_wc_2_b_35	0.39589542	2	1.240881454	0.01711409522	0.03945483378	-3.497867966	1.957468093	-5.259361904	1.694282231	-0.2092022046	1.477369992	-5.260053982	1.69431275	-0.2092912656	1.477391331	0.2947703384	0.005820580998	-5.046678216	1.217714356	a248bdd	2x2_2C_8b_C2v_L	14.316074	1.401831496	2	1.683220104	0.9999999997689749	0.9999999999999997	-3.787898322e-05	0.000119782883	-5.091708781e-06	5.889664239e-05	0.03179183736	0.2638911321	-0.2096564053	1.596195543	0.03183936428	0.2638686204	-0.2096741616	1.596162106	4.430713002e-05	-0.0004694021137	6.930416593e-05	-0.00025335674	run_optim.py	R0:S0:1	uncorrelated	-0.1282256791	0.7387351337	-1.319748666	0.3543561169	2.294881029	-1.687233394	0.1737465689	-1.333891003	-2.295019966	1.687172096	-0.1737863524	1.333982061	0.3545188949	-0.2554198766	-2.978444563	3.497850251	2024-10-09@17:27	3.3408533	-0.6472574264	1	2.757240261e-16	-0.2301997297	-1.4774388	1.926863613e-16	0.1197305671	v2.7.1	
2	Broyden	0	0.04519483451	-110.8722004	-222.8828573	-6.309108225	YY	12.519705	0.4153125669	self-energy/D	sharp_wc_2_b_35	0.38589542	2	1.240580683	0.020300387	0.03985618735	-3.496767466	1.957291892	-5.258227299	1.692575613	-0.2099213253	1.476473049	-5.258915289	1.692556223	-0.2099951295	1.476345274	0.2974140292	0.005853248987	-5.046014019	1.216339044	a248bdd	2x2_2C_8b_C2v_L	14.316074	1.401410887	2	1.682617492	0.9999999997963385	1.0000000000000004	-3.964985525e-05	0.0001634599872	-1.502256519e-05	-7.542871411e-05	0.03192929886	0.264384881	-0.2107004111	1.597137696	0.03192434758	0.2642793313	-0.2107493094	1.597163489	-8.13671868e-05	0.0009029626431	-0.0001538322812	0.0005357002426	run_optim.py	R0:S0:1	uncorrelated	-0.1292919765	0.7431447638	-1.324142014	0.3548666127	2.300728415	-1.693257383	0.1741424786	-1.334442332	-2.300877162	1.693436757	-0.1742145788	1.334783926	0.3559111962	-0.2561733282	-2.98549746	3.499950314	2024-10-09@17:31	3.3508533	-0.6486738197	1	6.549283715e-16	-0.2307440555	-1.4774388	-1.251095087e-16	0.1200832237	v2.7.1	
2	Broyden	0	0.04527306595	-110.8083301	-222.8828573	-6.255955683	YY	12.519705	0.4155069013	self-energy/D	sharp_wc_2_b_35	0.38589542	2	1.241154401	0.01933167743	0.03932154895	-3.498096952	1.957356554	-5.260122728	1.694820281	-0.2085085634	1.478852378	-5.260815035	1.694822179	-0.2085853759	1.478794574	0.2926370521	0.005775068683	-5.048867168	1.218723322	a248bdd	2x2_2C_8b_C2v_L	14.316074	1.401828057	2	1.683431056	0.9999999996927567	0.9999999999999999	-3.832064814e-05	0.0001374424932	-9.031329379e-06	-1.082979209e-05	0.03132899974	0.2646967578	-0.2092758517	1.595377327	0.03134950578	0.2646320234	-0.2093107336	1.595377929	-1.725319484e-05	0.0002145203407	-4.181519781e-05	0.0001415941856	run_optim.py	R0:S0:1	uncorrelated	-0.1280412012	0.7371335295	-1.319844209	0.3553076128	2.293133201	-1.685457584	0.1726919879	-1.329615337	-2.293280128	1.6855336	-0.1727468555	1.329838845	0.3524694391	-0.2542248035	-2.975455547	3.495999878	2024-10-09@17:35	3.3408533	-0.6464162162	1	-3.985204539e-16	-0.2296375688	-1.4674388	-3.368159527e-17	0.1192929081	v2.7.1	
2	Broyden	0	0.0452626013	-110.863075	-223.0428573	-6.25869932	YY	12.519705	0.4164855844	self-energy/D	sharp_wc_2_b_35	0.38589542	2	1.241116341	0.01772494021	0.03940483288	-3.498116394	1.957496417	-5.259773853	1.695114186	-0.2083418406	1.475741637	-5.260465873	1.695121969	-0.2084227682	1.475690453	0.2919505452	0.005794687588	-5.047512285	1.217613451	a248bdd	2x2_2C_8b_C2v_L	14.326074	1.402818617	2	1.683783088	0.9999999997616794	1.0	-3.486627231e-05	0.0001287675657	-8.422930796e-06	-9.10520179e-06	0.03167531265	0.2637770607	-0.2092192267	1.600866696	0.03170000717	0.2637114006	-0.2092502616	1.600866983	-1.7440782e-05	0.0002082015213	-3.677031294e-05	0.0001284448629	run_optim.py	R0:S0:1	uncorrelated	-0.1281037041	0.7382133178	-1.31912609	0.3538647933	2.293111857	-1.682691468	0.1733266435	-1.334378066	-2.293255308	1.68273938	-0.1733800063	1.334584134	0.3533756165	-0.2548246004	-2.975628509	3.497971063	2024-10-09@17:39	3.3408533	-0.6462040082	1	-4.408583258e-16	-0.2298041928	-1.4774388	3.665036052e-16	0.1194616196	v2.7.1	
1	Broyden	0	0.04534741	-110.77862	-222.8828573	-6.204813233	YY	12.523705	0.4159157048	self-energy/D	sharp_wc_2_b_35	0.38989542	2	1.241478111	0.01527925298	0.03903005885	-3.498930537	1.95760548	-5.260795715	1.69649451	-0.2086450872	1.479739717	-5.261499892	1.69654828	-0.2087586596	1.479853503	0.295494119	0.005792557331	-5.04695286	1.219644041	a248bdd	2x2_2C_8b_C2v_L	14.320074	1.402373606	2	1.684103869	0.9999999997670355	1.0000000000000004	-8.194679069e-06	-1.109204383e-05	1.242039914e-05	0.0001385103064	0.03133466275	0.2645875185	-0.2089731427	1.59764955	0.03144667109	0.2645901013	-0.2089889009	1.597639702	0.0001101182779	-0.001315058358	0.0002557896423	-0.0008446867594	run_optim.py	R0:S0:1	uncorrelated	-0.1271294188	0.7337738655	-1.314568524	0.3542668351	2.287572055	-1.679350984	0.1718520516	-1.32662548	-2.287731082	1.679177937	-0.1718595374	1.326491259	0.3532760273	-0.2548159656	-2.968776124	3.494550229	2024-10-09@17:42	3.3308533	-0.6448805872	1	-3.288017469e-16	-0.229018543	-1.4734388	2.642352447e-16	0.1189710305	v2.7.1	
1	Broyden	0	0.04540498409	-110.7381336	-222.8828573	-6.15229048	YY	12.525705	0.4161338287	self-energy/D	sharp_wc_2_b_35	0.39189542	2	1.241933497	0.02106123493	0.03871623578	-3.500315694	1.957549761	-5.262560203	1.698511733	-0.2081059205	1.481597739	-5.26326872	1.698598669	-0.208221401	1.481755279	0.2944791708	0.005768632164	-5.049030065	1.221614967	a248bdd	2x2_2C_8b_C2v_L	14.322074	1.402776596	2	1.684853174	0.9999999997069768	0.9999999999999996	-4.676748664e-06	-3.330252082e-05	9.675733696e-06	0.0001394002427	0.03111151961	0.2645767179	-0.2079794688	1.596747814	0.03120935042	0.2645981362	-0.2079852843	1.596775693	0.0001092800515	-0.001304494857	0.0002403438098	-0.0008172748559	run_optim.py	R0:S0:1	uncorrelated	-0.1269716254	0.7308801643	-1.312258258	0.3552384109	2.280922816	-1.672234147	0.1708842138	-1.32325346	-2.281063913	1.67190032	-0.1708761729	1.322957656	0.3519109176	-0.2542058708	-2.960598903	3.491051708	2024-10-09@17:45	3.3208533	-0.6429422962	1	3.103073635e-16	-0.2281295936	-1.4714388	6.78040906e-16	0.1184044511	v2.7.1	
1	Broyden	0	0.04530705651	-110.8128469	-222.8828573	-6.199784496	YY	12.512105	0.4170625974	self-energy/D	sharp_wc_2_b_35	0.39229542	2	1.241413622	0.01515778691	0.03928883535	-3.498383116	1.957533518	-5.260210252	1.696613499	-0.2083674792	1.476299713	-5.260916498	1.69658436	-0.2084867757	1.476130878	0.2941661349	0.005822379641	-5.045968573	1.218336919	a248bdd	2x2_2C_8b_C2v_L	14.322474	1.403519955	2	1.684425885	0.9999999997837685	1.0000000000000004	-3.05681984e-06	6.138479675e-05	-4.309063115e-05	-9.603187966e-05	0.03183230522	0.2634643288	-0.2088648736	1.603998894	0.03178359067	0.2633644828	-0.2089215202	1.604071411	-0.0001807536245	0.001890279706	-0.0002540977537	0.0009531081461	run_optim.py	R0:S0:1	uncorrelated	-0.1273249636	0.7362817257	-1.316426178	0.3536877534	2.288382765	-1.676710839	0.1723111611	-1.331055192	-2.288537404	1.676932552	-0.172390531	1.331427021	0.3539549135	-0.2554731982	-2.969344084	3.496681887	2024-10-09@17:48	3.3328533	-0.6448311419	1	-3.339888899e-16	-0.2293151436	-1.4710388	2.679516873e-16	0.1190675376	v2.7.1	
1	Broyden	0	0.04532299358	-110.7860177	-223.1068573	-6.218526715	YY	12.519065	0.4167674457	self-energy/D	sharp_wc_2_b_35	0.38085542	2	1.241765641	0.01372324537	0.03914716974	-3.499223512	1.957566003	-5.261318511	1.697499944	-0.2075146556	1.478339785	-5.262030816	1.69755698	-0.2074926976	1.478343433	0.2919683197	0.005774238699	-5.0477019	1.219815108	a248bdd	2x2_2C_8b_C2v_L	14.325034	1.40332687	2	1.684726036	0.9999999997467419	0.9999999999999998	-6.402486834e-05	0.0002211708005	4.544765428e-05	-2.343657039e-05	0.03134362291	0.2636825586	-0.2080994872	1.600759398	0.03147979294	0.2635167205	-0.2080832626	1.600812005	0.0001505566883	-0.001268652826	4.791230683e-05	-0.0003332767328	run_optim.py	R0:S0:1	uncorrelated	-0.1269565893	0.734292581	-1.313514282	0.3542035547	2.284928098	-1.674323376	0.1714070422	-1.327331418	-2.285062979	1.674136678	-0.1714027475	1.327314166	0.3520253446	-0.2542714474	-2.964713799	3.494186877	2024-10-09@17:51	3.3296533	-0.6436352574	1	-5.107296144e-17	-0.2285422462	-1.4684788	1.19559275e-16	0.1185927286	v2.7.1	
