CDMFT_iterations	CDMFT_method	D	D_ave	E0_1	E0_2	E_kin	GS_consistency	U	U_1_ave	convergence	dist_function	e	e_2_ave	e_ave	eb1_1	eb1_1_ave	eb2_1	eb2_1_ave	eb3_1	eb3_1_ave	eb4_1	eb4_1_ave	eb5_1	eb5_1_ave	eb6_1	eb6_1_ave	eb7_1	eb7_1_ave	eb8_1	eb8_1_ave	githash	model	mu	mu_1_ave	mu_2_ave	mu_ave	n_1	n_2	sb1_1	sb1_1_ave	sb2_1	sb2_1_ave	sb3_1	sb3_1_ave	sb4_1	sb4_1_ave	sb5_1	sb5_1_ave	sb6_1	sb6_1_ave	sb7_1	sb7_1_ave	sb8_1	sb8_1_ave	script	sector_1	sector_2	tb1_1	tb1_1_ave	tb2_1	tb2_1_ave	tb3_1	tb3_1_ave	tb4_1	tb4_1_ave	tb5_1	tb5_1_ave	tb6_1	tb6_1_ave	tb7_1	tb7_1_ave	tb8_1	tb8_1_ave	time	tpd	tpd_ave	tpp	tpp_2_ave	tpp_ave	tppp	tppp_2_ave	tppp_ave	version	
6	Broyden	0	0.01126936265	-71.76358628	-106.1424	7.743541964	YY	14	0.1268384743	self-energy/D	sharp_wc_2_b_35	3.0461	2	1.260117254	0.009136295053	0.3426262567	-3.209622253	1.940212121	-3.67972066	1.822739371	-0.07961871123	1.398473992	-3.679415313	1.822743008	-0.07960212721	1.398356298	0.1212488213	0.02234215752	-3.206654894	1.569393116	a248bdd	2x2_2C_8b_C2v_L	9.68	1.10292328	2	1.620167943	0.9999999996281479	1.0	0.0001352811987	-0.001177988586	3.337517463e-06	-1.846123351e-05	0.003339780407	0.08340192562	-0.1604231853	1.236663819	0.003336199912	0.08334616874	-0.1604348813	1.236864516	-1.982192444e-05	0.0001718381307	-8.138446453e-05	0.0001304211908	run_optim.py	R0:S0:1	uncorrelated	-0.1181454313	1.191399369	-1.038247702	0.7605236329	1.598471726	-1.476826655	0.01917331131	-0.4331157506	-1.598408924	1.476768532	-0.01919147999	0.4330761148	0.2238592111	-0.3139620905	-2.09868686	2.447339516	2024-10-09@17:29	1.9019	-0.5725925722	1	-9.544171156e-17	-0.185230909	0.2229	-2.506165051e-16	0.07618756481	v2.7.1	
5	Broyden	0	0.01126424755	-71.76908338	-106.1424	7.744116822	YY	14.01	0.1266133782	self-energy/D	sharp_wc_2_b_35	3.0461	2	1.260117554	0.008917609503	0.3459410028	-3.205500622	1.940063332	-3.681381218	1.822893789	-0.07948550786	1.393867505	-3.68089861	1.822901331	-0.07946868905	1.39373157	0.1218616893	0.02260371157	-3.211775762	1.569511626	a248bdd	2x2_2C_8b_C2v_L	9.68	1.102629354	2	1.620097859	0.9999999996054587	1.0	0.0001591971051	-0.001412941349	3.29888827e-06	2.289597804e-05	0.003362566437	0.08301033311	-0.1604675368	1.240226206	0.003333154545	0.08300903122	-0.1604754163	1.240674246	1.507876939e-05	-0.0001148773489	-1.14758057e-05	-6.578622471e-06	run_optim.py	R0:S0:1	uncorrelated	-0.1180567319	1.192874377	-1.03786262	0.7616145962	1.598914722	-1.47598641	0.0193169205	-0.4330175163	-1.598835089	1.475859577	-0.01926911851	0.432580937	0.2243698597	-0.3154031081	-2.100264873	2.446627766	2024-10-09@17:39	1.9019	-0.5724786066	1	-9.544171156e-17	-0.1852592557	0.2229	-2.506165051e-16	0.07619788872	v2.7.1	
7	Broyden	0	0.01117053931	-71.74787621	-105.9824	7.76210519	YY	14	0.1269320812	self-energy/D	sharp_wc_2_b_35	3.0561	2	1.259596247	0.009942939977	0.3492329748	-3.220106603	1.939785252	-3.66483162	1.821626752	-0.08034426238	1.387801628	-3.673293621	1.821767844	-0.08059352026	1.388251559	0.1235556472	0.02285161796	-3.20438327	1.566602846	a248bdd	2x2_2C_8b_C2v_L	9.68	1.102727019	2	1.619468135	0.9999999995815989	1.0000000000000004	0.0001746562975	-0.001443595259	2.472657215e-05	-0.0001075487293	0.003189174286	0.08385749446	-0.1612000439	1.249223014	0.003254455908	0.08372877825	-0.1613876493	1.249291348	2.184080855e-05	-6.686814813e-05	-6.668889186e-05	0.0001166742878	run_optim.py	R0:S0:1	uncorrelated	-0.1185690141	1.19970455	-1.040411332	0.7635640095	1.596361161	-1.479890766	0.0183992507	-0.4302077375	-1.598094039	1.479982647	-0.01845309522	0.4306015777	0.2258417202	-0.3169434496	-2.099921578	2.453940134	2024-10-09@17:53	1.9019	-0.5745155707	1	-6.209784992e-16	-0.1865063817	0.2229	-2.569540692e-16	0.07668842793	v2.7.1	
6	Broyden	0	0.01106229585	-71.8263082	-106.1424	7.663325471	YY	14	0.1275242753	self-energy/D	sharp_wc_2_b_35	3.0461	2	1.258498237	0.01129579104	0.3538436311	-3.20529624	1.938796563	-3.678931419	1.818820955	-0.08361432907	1.385215312	-3.678482419	1.818801142	-0.08360713704	1.385220914	0.1277833158	0.02324394722	-3.210274521	1.560363543	a248bdd	2x2_2C_8b_C2v_L	9.68	1.102587945	2	1.618082695	0.9999999996411217	1.0	0.0001463747085	-0.001259887694	3.090031467e-06	2.339475686e-05	0.003201728848	0.08642060516	-0.1637421504	1.264624826	0.003213402007	0.08641551966	-0.1637345913	1.264482184	-8.013304255e-06	-4.171306764e-06	1.581571494e-05	-4.467486056e-05	run_optim.py	R0:S0:1	uncorrelated	-0.1196956218	1.214157475	-1.042632177	0.7672930866	1.605211013	-1.49085953	0.01771876809	-0.4334344335	-1.605131025	1.490916191	-0.01776374625	0.4337441214	0.229157832	-0.3192433058	-2.108620693	2.471634513	2024-10-09@18:04	1.9119	-0.5791655521	1	-9.544171156e-17	-0.1890910929	0.2229	-2.506165051e-16	0.07773914033	v2.7.1	
13	Broyden	0	0.01103442087	-71.71658346	-106.1424	7.75229042	YY	14	0.1265278542	self-energy/D	sharp_wc_2_b_35	3.0461	2	1.260276256	0.008751553017	0.3626925282	-3.378319367	1.940483563	-3.638963475	1.822847597	0.07801838587	0.6242610571	-3.678927725	1.823642472	0.07895581391	0.6243449273	0.1206763014	0.02298734481	-3.216811399	1.570301689	a248bdd	2x2_2C_8b_C2v_L	9.68	1.102654012	2	1.620201882	0.9999999996579723	1.0000000000000002	0.008349734742	-0.07345206531	0.0004547064648	1.350840205e-05	0.002714679708	0.08225864999	0.01715424169	-0.4180558235	0.002987328506	0.08109617649	0.01746670561	-0.4183829779	-0.0001917232109	0.0001048177142	0.000143479032	-0.0005178425477	run_optim.py	R0:S0:1	uncorrelated	-0.1188233793	1.198535296	-1.062689529	0.7664784278	1.589380644	-1.473475921	0.1590478902	-1.248093316	-1.597637892	1.472432311	-0.1600172775	1.253872105	0.2225981533	-0.3165990787	-2.098985283	2.442392428	2024-10-09@18:26	1.9019	-0.5719132685	1	5.213937747e-16	-0.1847864076	0.2329	-3.969193651e-16	0.07590191832	v2.7.1	
7	Broyden	0	0.01142601051	-71.81885771	-106.3024	7.760727098	YY	14	0.1269977812	self-energy/D	sharp_wc_2_b_35	3.0461	2	1.260577875	0.007969947307	0.3383950101	-3.206065186	1.940456143	-3.682327709	1.823483793	-0.07814006894	1.402444331	-3.68185663	1.823487697	-0.07812524613	1.402315529	0.1197548014	0.02201301333	-3.215704172	1.57189261	a248bdd	2x2_2C_8b_C2v_L	9.69	1.103388637	2	1.62093426	0.9999999996294898	0.9999999999999997	0.000162083382	-0.001442734733	1.373716527e-06	2.108059712e-05	0.003355834416	0.08284201737	-0.1592656931	1.228334594	0.003323636794	0.08284860391	-0.1592718081	1.228722605	5.343632417e-06	-5.141951514e-05	-1.008448906e-05	-2.810053863e-06	run_optim.py	R0:S0:1	uncorrelated	-0.1177306648	1.185106186	-1.037596372	0.7590111455	1.598288567	-1.4743793	0.02010096223	-0.4355253471	-1.59821581	1.474278958	-0.02005546718	0.4351324009	0.2223131032	-0.3119989536	-2.099688332	2.442139554	2024-10-09@18:39	1.9019	-0.5708481036	1	-2.824861703e-16	-0.1841262787	0.2229	-1.764798023e-16	0.07575169814	v2.7.1	
12	Broyden	0	-0.01071855163	-72.03870078	-106.1424	7.701233608	YY	14.004	0.1269848122	self-energy/D	sharp_wc_2_b_35	3.0501	2	1.258831275	0.01102305503	0.3682420429	-3.38789726	1.939747341	-3.651108806	1.820146852	-0.08243221756	1.367302378	-3.653234827	1.820268014	-0.08242061247	1.366392367	0.1265034497	0.02398313103	-3.194711308	1.561735142	a248bdd	2x2_2C_8b_C2v_L	9.684	1.102331835	2	1.618304742	0.9999999996436837	0.9999999999999998	-0.003600869765	0.03127276309	-0.0002777505954	-6.576543614e-05	-0.002868604337	-0.08413742428	-0.1626543043	1.271159283	-0.002955015527	-0.08368508087	-0.1627500834	1.274177569	-0.0001454078717	0.001606368009	2.604535313e-05	0.0003610795076	run_optim.py	R0:S0:1	uncorrelated	-0.1200263753	1.217071979	-1.065105966	0.7701969039	1.595789528	-1.484210289	-0.01623327031	0.4197387944	-1.59625391	1.483341015	0.0163274169	-0.4192899499	0.2289156547	-0.3229831492	-2.10053325	2.462847109	2024-10-09@19:00	1.9059	-0.577520131	1	-1.503366456e-16	-0.1883044951	0.2129	1.033089589e-16	0.07757966596	v2.7.1	
16	Broyden	0	0.01078872227	-72.46101638	-106.1424	7.743204605	YY	14.001	0.126527678	self-energy/D	sharp_wc_2_b_35	3.0471	2	1.259975328	0.008563105392	0.3696818173	-3.546999912	1.94090352	-3.67253934	1.823204003	-0.08041515067	1.37162793	-3.674916609	1.823351722	-0.08042621278	1.371215195	0.1227134776	0.02356128081	-3.216074847	1.568747442	a248bdd	2x2_2C_8b_C2v_L	9.681	1.102483127	2	1.619869546	0.9999999996841479	0.9999999999999998	0.001137211794	-0.01015161929	0.0001629714222	-0.000163851237	0.002904707726	0.08162879003	-0.1609208705	1.257938778	0.002851499473	0.08146999903	-0.1610229262	1.26046808	0.0003923342648	-0.002518809176	-0.0002481397557	9.96035872e-05	run_optim.py	R0:S0:1	uncorrelated	-0.120106434	1.208915569	-1.086606757	0.7692674735	1.597506441	-1.473191988	0.01676555861	-0.4156629253	-1.598002881	1.472386043	-0.01650095522	0.4132773878	0.2249509316	-0.3204084771	-2.101129597	2.444276918	2024-10-09@19:28	1.9029	-0.5728518467	1	-1.528403988e-16	-0.1855044774	0.2279	3.034247037e-16	0.07626869307	v2.7.1	
8	Broyden	0	0.01128738102	-71.97281765	-106.3024	7.759277054	YY	14	0.1269138691	self-energy/D	sharp_wc_2_b_35	3.0461	2	1.260528367	0.008067722417	0.3445225673	-3.294298061	1.940692533	-3.67412307	1.823478901	-0.07843543295	1.396461643	-3.677382888	1.823526611	-0.0785258439	1.396589066	0.1202226369	0.02229228375	-3.2150973	1.571612428	a248bdd	2x2_2C_8b_C2v_L	9.69	1.103274779	2	1.620823054	0.9999999995817246	0.9999999999999997	0.0002482983359	-0.002171370212	1.367126258e-05	-1.914216931e-05	0.00316174522	0.08268071603	-0.1594432563	1.233526093	0.00318464478	0.08263511514	-0.1595088932	1.23358725	1.21720645e-05	-9.65464744e-05	-1.961670348e-06	-9.459603507e-06	run_optim.py	R0:S0:1	uncorrelated	-0.118331912	1.189596012	-1.050253155	0.7610775787	1.59664934	-1.473601379	0.01921325602	-0.430166044	-1.597327627	1.473653752	-0.01922803298	0.430302804	0.2227426077	-0.3135742062	-2.099418622	2.441435234	2024-10-09@19:43	1.9019	-0.5709765505	1	-2.824861703e-16	-0.1842254808	0.2229	-1.764798023e-16	0.07580083895	v2.7.1	
6	Broyden	0	0.0112535836	-71.91176586	-106.2224	7.751309551	YY	14	0.126866784	self-energy/D	sharp_wc_2_b_35	3.0461	2	1.260314128	0.008584125333	0.3452409872	-3.270879309	1.940451023	-3.676070148	1.823131579	-0.07893280611	1.39515629	-3.678381564	1.823164286	-0.07899636264	1.395235012	0.1210681241	0.02242675257	-3.213629734	1.570533774	a248bdd	2x2_2C_8b_C2v_L	9.685	1.103077922	2	1.62049777	0.9999999996428626	0.9999999999999998	0.0002932780122	-0.002563414825	1.29109051e-05	4.509788587e-07	0.003203598158	0.08288023155	-0.1598585178	1.236712241	0.003217154705	0.0828465772	-0.1599083536	1.236788874	9.285366102e-06	-0.000105386918	8.169045517e-06	-3.615052922e-05	run_optim.py	R0:S0:1	uncorrelated	-0.1183207317	1.191568296	-1.047331693	0.7616143928	1.597479426	-1.474942177	0.01902543728	-0.4303266814	-1.597966104	1.474974959	-0.01904752244	0.4304815105	0.2235095614	-0.3144133876	-2.099921309	2.444212308	2024-10-09@19:54	1.9019	-0.5717745289	1	-2.72532212e-16	-0.1847569651	0.2229	1.934711617e-16	0.07600684235	v2.7.1	
